id,binance_order_id,backstop_algo_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_off24h_pct,entry_btc_off24lo_pct,entry_long_heat_flags,entry_btc_off30d_high_pct,entry_btc_r72_pct,entry_btc_eff72,entry_btc_above72_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_pair_age_days,entry_br_r72,entry_br_above,entry_br_eff,entry_br_off24h,entry_br_door,entry_bear_r24,entry_bear_below24,entry_bear_eff24,entry_bear_off24lo,entry_bear_bypass,funding_fee_usd,spike_rsi_max,spike_armed,belock_t15_min,belock_tr15,belock_t20_min,belock_tr20,belock_t30_min,belock_tr30,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,hard_tp_shadow_leash_pnl,hard_tp_shadow_leash_fired,hard_tp_shadow_ladder_pnl,hard_tp_shadow_ladder_fired,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,entry_strategy,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,shadow_peak_stretch_at_close,shadow_atr05_pnl,shadow_atr05_min,shadow_atr10_pnl,shadow_atr10_min,shadow_atr15_pnl,shadow_atr15_min,shadow_cap025_pnl,shadow_cap025_min,shadow_cap035_pnl,shadow_cap035_min,shadow_cap050_pnl,shadow_cap050_min,shadow_arm035_pnl,shadow_arm035_min,shadow_arm040_pnl,shadow_arm040_min,runner_peak_stretch,runner_trail_bound,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
33,,,UNIUSDT,LONG,CLOSED,8.874,8.917,8.923,599.0568497514686,20.0,11981.136995029372,1350.1393954281464,STRONG_BUY,0.364,0.1064,0.1496,44.41158037482671,45.02,18.818602012758635,18.3229,0.233,-0.2325,BULLISH,-0.1116,0.1533,48.8927,48.1728,80.8,80.7,71.9,0.2448,84.5,83.1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,0.6944,0.8732087038642621,65.2,23.9,39.0,0.4957,1.0,BULL_EXHAUSTED,CHOPPY_FLAT,,0.8803,15.671427524784493,26.26620911116412,0.7723092680335869,0.1592,,0.1908,-0.4876,0.3804,-0.1,6.12,2,-0.1,9.28,0.139,55.9,0.9828,,,554673588.546,10,,9.28,55.9,0.139,-0.1,REARM,,,,,,,,False,,,,,,,11981.136995029372,500000.0,False,,0.651,,,,,,,,,2.156604659105287,5.417636845064751,7.574241504170038,50.481752499239256,0.4213435880099082,1.9757485913905697,-0.288276087446488,9.055,8.874,0.0,,,,,,NEVER,1,0.4,,False,,-0.0113,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.4965,-0.4466,True,,,,,8.988,8.871,2026-09-21T13:35:44.328145,2026-09-21T13:42:10.678643,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,0.6357,0.4216,0.2976,0.4892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T12:25:05,2026-09-21T13:26:14.494359,BR_TRAILING_STOP,MAKER,TAKER,True,
32,,,XRPUSDT,LONG,CLOSED,1.4899,1.4804,1.4807,634.2600900432426,20.0,12685.201800864852,8514.129673712901,STRONG_BUY,0.0488,0.0035,0.0059,56.511970103507004,50.1,22.634174636370066,24.1166,0.1109,0.111,BULLISH,0.0281,0.1537,48.4407,48.1728,80.9,80.7,71.9,0.214,84.5,83.1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,0.7154,0.6050010571881479,58.7,32.6,46.9,-1.4824,2.0,BULL_EXHAUSTED,STRONG_BEAR,,0.8808,16.894293379700105,15.795101833571909,0.36416841956413143,0.4456,,0.713,0.1086,0.3844,-0.1,6.12,2,-0.1,9.28,0.139,55.9,0.9828,,,1390244238.0814,3,,9.28,55.9,0.139,-0.1,REARM,,,,,,,,False,,,,,,,12685.201800864852,500000.0,False,,0.5968,,,,,,,,,2.2833363241556737,5.671942906034061,7.955279230189735,-88.83951113046284,-0.7003397543459335,0.3596568897241407,-0.7003397543459335,1.4962,1.4899,0.0,,,,,,NEVER,1,0.4,,False,,-0.0067,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.5152,0.0015,True,,,,,1.4849,1.4718,2026-09-21T13:43:10.349914,2026-09-21T13:38:10.309091,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,-0.7275,-0.6067,-0.6134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T12:21:21,2026-09-21T13:31:12.995610,BR_STOP_LOSS,MAKER,TAKER,True,
31,,,NEARUSDT,LONG,CLOSED,4.216,4.168,4.172,634.2600900432426,20.0,12685.201800864852,3008.823956561872,STRONG_BUY,0.1887,0.0998,0.0625,52.247917997902036,40.09,18.379296439316686,19.6114,0.4692,0.4714,BULLISH,-0.0127,0.1065,47.3592,47.7392,75.0,74.0,73.9,0.2006,83.7,83.1,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,,,,0.756,0.874296582601457,54.3,37.0,49.6,-1.2321,0.0,BULL_EXHAUSTED,BULL_EXHAUSTED,,0.8403,20.606156113944294,19.655363530209065,0.8206369389551931,-0.8221,,-1.0639,0.5088,0.2169,-0.45,5.74,2,-0.45,8.77,0.132,55.7,0.9566,,,1279502364.214,4,,8.77,55.7,0.132,-0.45,REARM,,,,,,,,False,,,,,,,12685.201800864852,500000.0,False,,0.8715,,,,,,,,,2.2833363241556737,5.643350212927447,7.926686537083121,-152.3502364520531,-1.2010075901328285,0.0,-1.2010075901328285,4.218,4.216,0.0,,,,,,NEVER,1,0.4,,False,,-0.0237,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.3473,0.1911,True,,,,,4.211,4.127,2026-09-21T12:35:17.074334,2026-09-21T12:53:08.201139,-0.1816,-2.174,11.55,29.4,38.29,-0.7746,-0.9643,0.0,,,,,,,38.63,-0.9406,,,,,,BULLRUN_LONG,,,,,,-1.0355,-0.7271,-0.6085,-0.9643,-1.7708,,,,,,,,,,,,,,,,,,,,,-0.9643,window,,,,,,,,,,,-0.9643,window,,,,,,,,-0.9643,window,,,,,,,-0.9643,,-0.9643,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T12:15:43,2026-09-21T12:23:43.904352,BR_STOP_LOSS,MAKER,TAKER,True,
30,,,ZECUSDT,LONG,CLOSED,1562.76,1548.19,1550.1,686.5538372486395,20.0,13731.07674497279,8.78642705532058,STRONG_BUY,1.1356,0.298,0.4164,67.41174379539183,66.47,44.670883575789375,43.5334,0.2211,0.2216,BULLISH,0.4681,0.1092,47.791,48.5289,75.1,73.1,69.5,0.1975,83.2,83.1,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,,,,0.9177,1.0445979583100855,60.9,21.7,82.9,1.1374,1.0,BULL_EXHAUSTED,BULL_EXHAUSTED,,0.8587,38.647795571972196,9.826278652879003,0.6632575792441666,0.8174,,1.3799,0.9388,0.2404,-0.51,5.68,2,-0.55,8.67,0.13,55.4,0.942,,,2801103153.26,1,,8.67,55.4,0.13,-0.51,REARM,,,,,,,,False,,,,,,,13731.076744972788,500000.0,False,,0.8667,,,,,,,,,2.471593814095102,6.121376326249545,8.592970140344647,-136.61121233636493,-0.9949053149555872,0.0,-0.9949053149555872,1562.76,1562.76,0.0,,,,,,NEVER,1,0.4,,True,,-0.0006,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.5487,0.2954,True,,,,,1556.39,1535.45,2026-09-21T12:20:09.202397,2026-09-21T12:27:43.604034,-0.4706,-1.8105,13.1,20.67,9.24,-0.9134,-1.6339,0.0,0.09,-1.044,3.68,-1.2942,,,16.67,-1.6282,,,,,,BULLRUN_LONG,,,,,,-1.1579,-1.2628,-1.1086,-0.598,-1.042,,,,,,,,,,,,,,,,,,,,,-1.6339,window,,,,,,,,,,,-1.6339,window,,,,,,,,-1.6339,window,,,,,,,-1.6339,,-1.6339,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T12:01:11,2026-09-21T12:07:02.432170,BR_STOP_LOSS,MAKER,TAKER,True,
29,,,DOGEUSDT,LONG,CLOSED,0.09321,0.09356,0.09357,619.370593398646,20.0,12387.411867972918,132897.88507641797,STRONG_BUY,0.3097,0.0294,0.1038,56.408285150146696,66.53,31.50782654191289,31.6494,0.1299,-0.1297,BULLISH,0.1142,0.1186,49.5211,49.5625,73.7,73.9,65.6,0.1944,83.1,81.3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,0.8718,0.7950254442063981,82.6,13.0,60.3,-0.1415,2.0,BULL_EXHAUSTED,STRONG_BULL,,0.8757,28.17201678688861,15.280604052263824,0.44396710692367325,0.7684,,1.1329,0.0033,0.2272,-0.52,5.67,3,-0.58,8.67,0.13,55.2,1.0136,,,736560455.21471,7,,8.67,55.2,0.13,-0.52,REARM,,,,,,,,False,,,,,,,12387.411867972918,500000.0,False,,0.7034,,,,,,,,,2.2297341362351255,5.59526675748735,7.825000893722475,38.68925888302422,0.31232721810964825,1.2023889067696607,-0.3418145048814466,0.09439,0.09321,0.0,,,,,,NEVER,1,0.4,,True,,-0.0107,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.4207,0.2197,True,,,,,0.09385,0.09251,2026-09-21T13:26:01.713662,2026-09-21T13:38:10.309091,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,0.3876,0.4198,0.3876,-0.2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T11:50:19,2026-09-21T13:25:10.575585,BR_TRAILING_STOP,MAKER,TAKER,True,
28,,,SUIUSDT,LONG,CLOSED,0.998,1.014,1.0159,549.9935133968772,20.0,10999.870267937546,11021.914096129805,STRONG_BUY,0.2555,0.0083,0.0258,57.135826869367996,50.8,30.465825045076606,31.5285,0.3696,0.371,BULLISH,0.1273,0.1841,65.5532,65.5104,74.9,74.2,79.5,0.3028,85.9,85.7,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,1.1058,0.5190428032506269,56.5,32.6,48.8,-1.0627,3.0,BULL_EXHAUSTED,BULL_EXHAUSTED,,1.4696,26.147627173533287,18.682865570106067,1.0148306844930546,1.1473,,1.5516,0.4052,0.2647,-0.87,5.35,2,-0.87,8.15,0.123,54.3,1.0132,,,859409346.60903,5,,8.15,54.3,0.123,-0.87,REARM,,,,,,,,False,,,,,,,10999.870267937546,500000.0,False,,0.8722,,,,,,,,,4.949941620571895,5.029299402064031,9.979241022635925,166.37138451544112,1.5124849699398812,3.5456377755511017,-0.6208231462925823,1.0343,0.998,0.0,,,,,,NEVER,1,0.4,,True,,0.0602,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.9076,-0.1167,True,,,,,1.0354,1.014,2026-09-21T12:39:12.605051,2026-09-21T11:55:12.087841,3.6575,1.5132,44.01,0.0,6.56,2.0142,3.5373,2.1946,0.02,1.5733,19.13,2.0643,,,6.66,1.924,,,,,,BULLRUN_LONG,,,,,,1.7637,1.7036,1.894,2.0843,2.6254,,,,,,,2026-09-21T11:59:04.888831,1.5733,2026-09-21T11:57:05.488474,1.6735,2026-09-21T11:59:03.869725,1.6034,2026-09-21T11:57:06.503165,1.7036,2026-09-21T11:59:03.869725,1.6034,2026-09-21T11:59:04.888831,1.5733,2026-09-21T11:59:57.967997,1.6334,1.7241,trailing,1.67,,,,,,,,,,2.1144,stretch,5.85,,,,,,,2.0142,signal_lost,6.55,,,,1.0143,,3.5373,,3.5373,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T10:20:41,2026-09-21T11:55:11.755007,BR_TRAILING_STOP,TAKER_FALLBACK,TAKER,True,
27,,,HYPEUSDT,LONG,CLOSED,95.412,94.803,94.814,527.109823855546,20.0,10542.19647711092,110.49130588511842,STRONG_BUY,0.0964,0.0001,0.0119,59.08422651245215,51.06,37.31413104859843,38.383,0.126,0.1262,BULLISH,0.0481,0.1785,65.4464,65.5181,71.8,72.1,83.2,0.3152,83.9,85.7,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,1.0849,0.6559449358658326,52.2,37.0,60.5,-1.0688,1.0,BULL_EXHAUSTED,STRONG_BEAR,,1.4837,26.183466607664947,16.246633576927024,0.3817413430592776,0.4067,,0.5633,0.1381,0.15,-0.82,5.41,2,-0.85,8.23,0.125,54.3,0.9946,,,637574336.93893,8,,8.23,54.3,0.125,-0.82,REARM,,,,,,,,False,,,,,,,10542.19647711092,500000.0,False,,0.593,,,,,,,,,1.8975953658799656,4.713708272322097,6.611303638202062,-73.90050892224016,-0.7009972644950413,0.635758908732641,-0.7009972644950413,96.079,95.412,0.0,,,,,,NEVER,1,0.4,,False,,-0.001,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.491,-0.0422,True,,,,,94.885,94.452,2026-09-21T13:37:37.374789,2026-09-21T13:41:51.145674,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,-0.7243,-0.8176,-1.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T10:16:47,2026-09-21T13:37:16.371990,BR_STOP_LOSS,MAKER,TAKER,True,
26,,,ENAUSDT,LONG,CLOSED,0.2216,0.22224,0.22294,520.6705509601335,20.0,10413.41101920267,46991.92698196151,STRONG_BUY,0.5017,0.1128,0.1493,64.7696597155988,49.62,27.062846744878986,27.307,0.5102,0.5129,BULLISH,0.2021,0.2271,66.061,65.8058,73.1,74.1,94.2,0.3392,83.7,85.7,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,1.5692,0.7448880868280685,52.2,41.3,87.2,-0.2442,1.0,BULL_EXHAUSTED,BULL_EXHAUSTED,,1.5682,27.505716876294034,16.898256227790462,0.9683447865295203,0.779,,1.0915,0.7764,0.2205,-0.85,5.38,2,-0.85,8.26,0.125,54.3,0.9934,,,534214511.89443,10,,8.26,54.3,0.125,-0.85,REARM,,,,,,,,False,,,,,,,10413.41101920267,500000.0,False,,1.4837,,,,,,,,,4.686034958641201,4.699568633612007,9.385603592253208,20.689229676202235,0.1986787003610116,1.5247964801444045,-0.3380832581227414,0.22518,0.2216,0.0,,,,,,NEVER,1,0.4,,True,,0.009,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.2545,1.3113,False,,,,,0.22743,0.22204,2026-09-21T10:59:50.963327,2026-09-21T10:21:05.058636,2.5409,0.1086,42.15,3.39,,,2.1618,,3.54,0.1717,25.06,0.2169,,,,,,,,,,BULLRUN_LONG,2026-09-21T10:38:35.633460,0.4696,,,,0.7403,0.7178,0.3748,0.5237,1.6338,,,,,,,2026-09-21T10:20:39.003184,0.5237,2026-09-21T10:20:37.981162,0.5057,2026-09-21T10:20:40.029287,0.5057,2026-09-21T10:20:37.981162,0.5057,2026-09-21T10:20:40.029287,0.5057,2026-09-21T10:20:39.003184,0.5237,2026-09-21T10:20:40.029287,0.5057,0.7069,trailing,2.88,,,,,,,,,,0.4425,stretch,0.19,,,,,,,2.1618,window,,,,,1.4274,,2.1618,,2.1618,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T10:06:08,2026-09-21T10:17:41.297098,BR_BREAKEVEN_EXIT,TAKER_FALLBACK,TAKER,True,
25,,,NEARUSDT,LONG,CLOSED,4.282,4.233,4.244,617.5702550334302,20.0,12351.405100668602,2884.4944186521725,STRONG_BUY,0.0242,0.0472,0.0031,47.40979490765693,45.39,13.079422617991666,13.1965,0.3121,-0.3111,BULLISH,-0.0555,0.4037,64.8087,63.8317,80.0,83.2,89.9,0.3734,85.9,82.1,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,,,,1.1599,0.7304438018734303,71.7,23.9,31.3,-0.1171,0.0,BULL_EXHAUSTED,BULL_EXHAUSTED,,1.6422,24.090419019447825,19.09889251216573,0.947572162497842,0.0667,,0.071,-0.3612,0.5456,-0.61,5.62,2,0.7,8.54,0.129,54.3,0.7397,,,1228993334.059,4,,8.54,54.3,0.129,-0.61,REARM,,,,,,,,False,,,,,,,12351.405100668602,500000.0,False,,1.6142,,,,,,,,,2.2232529181203486,5.49452919336959,7.717782111489939,-149.05800862544748,-1.206810135450733,0.35717515179822035,-1.206810135450733,4.3,4.282,0.0,,,,,,NEVER,1,0.4,,False,,-0.0233,False,,,,1.0,1.0,BULLRUN,False,,,0,,-1.2604,-0.2617,True,,,,,4.319,4.176,2026-09-21T10:29:20.460461,2026-09-21T10:00:50.549802,0.8011,-2.5385,30.34,1.85,0.01,-1.2073,-0.1798,0.0,0.01,-1.2073,36.61,-0.0396,,,0.01,-1.2073,,,,,,BULLRUN_LONG,2026-09-21T10:38:35.633460,-0.3199,,,,-1.7678,-2.3049,-1.6978,-0.6935,0.6843,,,,,,,2026-09-21T10:30:14.989485,0.4508,2026-09-21T10:30:12.941244,0.4508,2026-09-21T10:30:13.965620,0.4508,2026-09-21T10:30:12.941244,0.4508,2026-09-21T10:30:13.965620,0.4508,2026-09-21T10:30:13.965620,0.4508,2026-09-21T10:30:14.989485,0.4508,0.4508,ema13,28.25,,,,,,,,,,0.4508,ema13,28.25,,,,,,,0.4508,ema13,28.25,,,,0.8403,,-0.1798,,-0.1798,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T09:53:08,2026-09-21T09:58:59.486965,BR_STOP_LOSS,MAKER,TAKER,True,
24,,,XRPUSDT,LONG,CLOSED,1.4794,1.4694,1.4698,607.1366189753152,20.0,12142.732379506304,8207.876422540425,STRONG_BUY,0.6797,0.1032,0.2315,69.93572297545789,75.99,49.48924320982835,49.5544,0.0181,0.0181,BULLISH,0.2715,0.4806,63.8749,62.0447,88.0,94.6,89.8,0.3769,86.4,82.1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,1.0606,0.608404064977711,78.3,19.6,83.3,-0.0652,1.0,BULL_EXHAUSTED,BULL_EXHAUSTED,,1.655,30.175988583923097,10.426196524563899,0.4906941657916229,1.0033,,1.4284,0.3531,0.8232,-0.35,5.91,2,0.7,8.87,0.135,54.3,0.7598,,,1231664962.0668,3,,8.87,54.3,0.135,-0.35,REARM,,,,,,,,False,,,,,,,12142.732379506306,500000.0,False,,1.5682,,,,,,,,,2.185691828311135,5.427294126876405,7.61298595518754,-89.69175018059185,-0.7386455319724219,0.0,-0.7386455319724219,1.4797,1.4794,0.0,,,,,,NEVER,1,0.4,,False,,-0.0068,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.3857,-0.1965,True,,,,,1.4946,1.4691,2026-09-21T10:32:07.170556,2026-09-21T10:06:06.510324,0.9644,-0.7592,26.02,0.01,0.01,-0.7592,0.3223,0.0,0.47,-0.4888,40.23,0.4913,,,0.01,-0.7592,,,,,,BULLRUN_LONG,2026-09-21T10:38:35.633460,0.5251,,,,-0.4618,-0.5226,-0.401,-0.0427,0.4778,,,,,,,,,2026-09-21T10:20:37.981162,0.0316,2026-09-21T10:33:57.141775,0.6265,2026-09-21T10:20:37.981162,0.0316,2026-09-21T10:33:53.024334,0.6467,2026-09-21T10:33:50.975759,0.6332,2026-09-21T10:33:47.903432,0.6805,0.4237,ema13,17.73,,,,,,,,,,0.4237,ema13,17.73,,,,,,,0.4237,ema13,17.73,,,,0.7655,,0.3223,,0.3223,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T09:47:32,2026-09-21T10:06:05.830887,BR_STOP_LOSS,MAKER,TAKER,True,
