id,binance_order_id,backstop_algo_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_off24h_pct,entry_btc_off24lo_pct,entry_long_heat_flags,entry_btc_off30d_high_pct,entry_btc_r72_pct,entry_btc_eff72,entry_btc_above72_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_pair_age_days,entry_br_r72,entry_br_above,entry_br_eff,entry_br_off24h,entry_br_door,entry_bear_r24,entry_bear_below24,entry_bear_eff24,entry_bear_off24lo,entry_bear_bypass,funding_fee_usd,spike_rsi_max,spike_armed,belock_t15_min,belock_tr15,belock_t20_min,belock_tr20,belock_t30_min,belock_tr30,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,hard_tp_shadow_leash_pnl,hard_tp_shadow_leash_fired,hard_tp_shadow_ladder_pnl,hard_tp_shadow_ladder_fired,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,entry_strategy,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,shadow_peak_stretch_at_close,shadow_atr05_pnl,shadow_atr05_min,shadow_atr10_pnl,shadow_atr10_min,shadow_atr15_pnl,shadow_atr15_min,shadow_cap025_pnl,shadow_cap025_min,shadow_cap035_pnl,shadow_cap035_min,shadow_cap050_pnl,shadow_cap050_min,shadow_arm035_pnl,shadow_arm035_min,shadow_arm040_pnl,shadow_arm040_min,runner_peak_stretch,runner_trail_bound,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
10,,,1000PEPEUSDT,LONG,CLOSED,0.0048308,0.0047758,0.0047868,625.6488253804591,20.0,12512.976507609183,2590249.3391589765,STRONG_BUY,4.3339,0.9924,1.6809,80.35531496431997,81.88,47.34961906047393,47.1687,0.5196,0.5224,BULLISH,1.7537,0.1385,31.3477,31.6433,60.7,63.1,71.5,0.3053,87.2,86.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,2.2694,1.1349707389124442,41.3,54.3,81.2,0.1809,1.0,STRONG_BULL,STRONG_BULL,,0.7583,38.18820568764176,12.830816914547205,1.7429374750058673,3.9734,,5.9104,3.2263,0.1338,-0.29,6.89,1,0.2,6.2,0.098,56.5,1.0096,,,632014469.670873,9,,6.2,56.5,0.098,-0.29,REARM,,,,,,,,False,,,,,,,12512.976507609183,500000.0,False,,0.7583,,,,,,,,,2.252335771369653,5.566730757279948,7.819066528649601,-150.282780182392,-1.2010154425767885,0.03631771135215941,-1.2010154425767885,0.0048356,0.0048308,0.0,,,,,,NEVER,1,0.4,,True,,-0.0021,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.6281,0.8728,False,,,,,0.0047965,0.0047758,2026-09-21T15:22:07.785932,2026-09-21T15:22:04.019487,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T15:20:57,2026-09-21T15:22:03.529943,BR_STOP_LOSS,MAKER,TAKER,True,
9,,,HYPEUSDT,LONG,CLOSED,94.44500000000001,93.843,93.888,632.4697510532746,20.0,12649.395021065493,133.93398296432306,STRONG_BUY,0.1217,0.0309,0.0362,49.05742090521262,40.31,28.977647999475728,29.5149,0.1319,0.1321,BULLISH,-0.0334,0.1863,31.5805,31.472,69.0,71.1,65.1,0.3151,87.8,86.6,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,3.2996,0.5898934115977683,43.5,47.8,47.2,-0.5373,0.0,STRONG_BULL,STRONG_BULL,,0.772,15.396557972596318,24.078335957823747,0.4335285241995995,-0.3486,,-0.4598,0.1268,0.428,-0.08,7.13,2,-0.34,6.86,0.108,56.5,1.0334,,,784005662.04049,6,,6.86,56.5,0.108,-0.08,REARM,,,,,,,,False,,,,,,,12649.395021065493,500000.0,False,,0.7583,,,,,,,,,2.276891103791789,5.6559450434944365,7.932836147286226,-88.56109389180922,-0.700121181640112,0.05341749166181314,-0.700121181640112,94.555,94.44500000000001,0.0,,,,,,NEVER,1,0.4,,False,,-0.0011,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.2611,-0.1819,True,,,,,93.868,93.713,2026-09-21T15:21:57.204570,2026-09-21T15:22:09.833659,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T15:10:33,2026-09-21T15:21:56.112030,BR_STOP_LOSS,MAKER,TAKER,True,
8,,,ENAUSDT,LONG,CLOSED,0.22287,0.22033,0.22054,697.5721454813729,20.0,13951.442909627458,62599.016958888395,STRONG_BUY,0.0098,0.0688,0.0041,49.63647871290762,52.48,20.37484430778073,20.8456,0.0239,-0.0239,BULLISH,0.0733,0.1638,33.5024,33.4896,64.7,71.5,69.1,0.3089,86.9,85.3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,1.5937,0.6181413817397811,58.7,32.6,65.9,-0.4707,1.0,STRONG_BULL,STRONG_BULL,,0.7182,17.991158213061993,23.97327557272618,1.0296516548588748,-0.1471,,-0.0182,0.049,0.2431,-0.08,6.83,2,0.17,6.34,0.1,56.5,1.0368,,,545559276.85407,10,,6.34,56.5,0.1,-0.08,REARM,,,,,,,,False,,,,,,,13951.442909627458,500000.0,False,,0.761,,,,,,,,,2.511259723732943,6.206598632948346,8.717858356681289,-167.71936143225872,-1.2021649840714383,0.3854901512092254,-1.2021649840714383,0.22387,0.22287,0.0,,,,,,NEVER,1,0.4,,False,,-0.0045,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.7573,-0.3745,True,,,,,0.2206,0.21473,2026-09-21T15:13:03.054325,2026-09-21T15:20:54.295563,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,-1.4539,-1.445,-2.7013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T14:57:37,2026-09-21T15:12:58.489937,BR_STOP_LOSS,MAKER,TAKER,True,
7,,,UNIUSDT,LONG,CLOSED,8.938,8.842,8.877,676.535892588437,20.0,13530.71785176874,1513.8417824758044,STRONG_BUY,0.0744,0.1037,0.027,54.49074840607165,46.27,14.615766193481281,15.582,0.3417,0.3429,BULLISH,0.0452,0.1602,33.21,32.855,70.8,69.7,68.9,0.3155,87.1,85.3,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,,,,2.0026,0.6577690003827759,45.7,43.5,76.4,-0.9662,0.0,BULL_EXHAUSTED,STRONG_BULL,,0.7074,23.125058552115675,24.095604064379913,0.7519521236758016,-0.2241,,-0.1304,0.4741,0.4092,-0.04,6.73,2,0.17,6.27,0.099,56.5,1.0468,,,595449129.72,9,,6.27,56.5,0.099,-0.04,REARM,,,,,,,,False,,,,,,,13530.71785176874,500000.0,False,,0.7182,,,,,,,,,2.4355292133183735,6.023425068292979,8.458954281611351,-153.7877653992887,-1.1365824569254876,0.0,-1.1365824569254876,8.938,8.938,0.0,,,,,,NEVER,1,0.4,,True,,-0.0112,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.7901,0.3825,True,,,,,8.973,8.753,2026-09-21T15:08:37.281476,2026-09-21T15:22:06.760638,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,-1.1259,-1.2154,-1.1706,-0.8685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T14:52:05,2026-09-21T14:58:01.423387,BR_STOP_LOSS,MAKER,TAKER,True,
6,,,NEARUSDT,LONG,CLOSED,4.156,4.11,4.114,550.028237951807,20.0,11000.56475903614,2646.9116359567233,STRONG_BUY,0.0672,0.1125,0.0234,56.773964802755714,34.17,30.961535363740506,32.4632,0.7195,0.7247,BULLISH,0.0008,0.1602,33.21,32.855,70.8,69.7,68.9,0.3155,87.1,85.3,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,,,,2.0026,0.9533695579305904,45.7,43.5,83.8,-1.5016,1.0,BULL_EXHAUSTED,STRONG_BULL,,0.7074,20.994416435974177,26.41858162527687,0.7743179453803425,-0.7034,,-0.965,0.8144,0.4092,-0.04,6.73,2,0.17,6.27,0.099,56.5,1.0468,,,1279758889.297,3,,6.27,56.5,0.099,-0.04,REARM,,,,,,,,False,,,,,,,11000.56475903614,500000.0,False,,0.7016,,,,,,,,,1.9801016566265055,4.89546307070196,6.875564727328466,-128.6334999813361,-1.1693354186717848,0.0,-1.1693354186717848,4.157,4.156,0.0,,,,,,NEVER,1,0.4,,False,,-0.0241,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.2745,0.5478,True,,,,,4.13,4.018,2026-09-21T15:09:06.195167,2026-09-21T15:18:40.026840,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,-1.3864,-1.218,-1.2901,-2.6135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T14:51:55,2026-09-21T15:01:18.285073,BR_STOP_LOSS,MAKER,TAKER,True,
5,,,BNBUSDT,LONG,CLOSED,796.71,805.31,805.34,606.8809574019399,20.0,12137.619148038797,15.234676542328822,STRONG_BUY,0.3293,0.063,0.1262,59.693461685628705,65.99,31.578439666407952,32.0293,0.027,-0.027,BULLISH,0.1185,0.1705,32.7551,33.2197,66.2,66.6,56.2,0.3247,86.5,85.3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,1.1968,0.6979877604489025,47.8,47.8,70.5,-0.4508,2.0,STRONG_BULL,STRONG_BULL,,0.6579,28.455019619204624,16.813130702059578,0.3661496186664718,0.3901,,0.579,0.1622,0.2897,-0.22,6.52,2,0.18,6.24,0.099,56.5,1.0216,,,728826540.804,7,,6.24,56.5,0.099,-0.22,REARM,,,,,,,,False,,,,,,,12137.619148038797,500000.0,False,,0.7872,,,,,,,,,5.461928616617459,5.52088681483627,10.98281543145373,120.03540283257274,0.9889534460468561,1.3552957788906856,-0.19664074757440256,808.23,796.71,0.0,,,,,,NEVER,1,0.4,,True,,0.0314,False,,,,1.0,1.0,BULLRUN,False,,,0,,0.1224,0.6787,True,,,,,805.54,801.6,2026-09-21T15:18:11.195560,2026-09-21T15:22:08.810474,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,0.9882,0.8802,0.5966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T14:42:35,2026-09-21T15:16:46.375413,BR_TRAILING_STOP,TAKER_FALLBACK,TAKER,True,
4,,,DOGEUSDT,LONG,CLOSED,0.0936,0.09452,0.09463,706.875,20.0,14137.5,151041.66666666666,STRONG_BUY,0.0251,0.0543,0.0068,56.34808783093563,47.31,19.137575997093364,19.9824,0.2667,0.2674,BULLISH,0.0516,0.1279,31.7352,31.4741,69.0,68.9,65.1,0.3167,86.1,85.3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,1.513,0.7159823289643539,43.5,45.7,65.0,-0.8448,1.0,STRONG_BULL,BULL_EXHAUSTED,,0.584,25.569480303294185,21.71368291965758,0.5629128966587006,0.0947,,0.2773,0.315,0.3772,-0.15,6.47,2,-0.15,6.22,0.099,56.5,1.0095,,,836891131.66362,5,,6.22,56.5,0.099,-0.15,REARM,,,,,,,,False,,,,,,,14137.5,500000.0,False,,0.7074,,,,,,,,,2.54475,6.4244062500000005,8.969156250000001,129.98917708333394,0.9194636752136794,1.485448183760676,-0.47947916666666823,0.09505,0.0936,0.0,,,,,,NEVER,1,0.4,,True,,-0.0107,False,,,,1.0,1.0,BULLRUN,False,,,0,,0.8008,0.2602,True,,,,,0.09813,0.0945,2026-09-21T15:08:38.354996,2026-09-21T14:52:01.330041,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,1.3579,1.1763,1.0695,3.2596,2.2661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T14:29:27,2026-09-21T14:51:47.455566,BR_TRAILING_STOP,MAKER,TAKER,True,
3,,,SUIUSDT,LONG,CLOSED,1.0458,1.0339,1.0353,706.875,20.0,14137.5,13518.359150889271,STRONG_BUY,0.2877,0.0914,0.0571,59.169461554830185,54.4,20.21852128610063,21.3004,0.4394,0.4413,BULLISH,0.1787,0.1279,31.7352,31.4741,69.0,68.9,65.1,0.3167,86.1,85.3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,1.513,0.7764386487753715,43.5,45.7,72.2,-1.0819,4.0,STRONG_BULL,STRONG_BULL,,0.584,24.693057585084766,21.830223436255945,0.9888830024670787,0.7632,,1.2864,0.5905,0.3772,-0.15,6.47,2,-0.15,6.22,0.099,56.5,1.0095,,,1028890810.18195,4,,6.22,56.5,0.099,-0.15,REARM,,,,,,,,False,,,,,,,14137.5,500000.0,False,,0.6579,,,,,,,,,2.54475,6.289484186746988,8.834234186746988,-169.7027080823296,-1.2003728246318628,0.9883530311722986,-1.2003728246318628,1.0568,1.0458,0.0,,,,,,NEVER,1,0.4,,True,,-0.0096,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.7565,0.1008,True,,,,,1.0436,1.0111,2026-09-21T14:50:19.654460,2026-09-21T15:22:04.691564,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,-1.2104,-0.9523,-0.5315,-1.1148,-1.9372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T14:29:13,2026-09-21T14:44:17.910499,BR_STOP_LOSS,MAKER,TAKER,True,
2,,,XRPUSDT,LONG,CLOSED,1.4907000000000001,1.4998,1.5006,706.8750000000001,20.0,14137.500000000002,9483.79955725498,STRONG_BUY,0.0668,0.0516,0.0197,57.01142764539808,48.23,13.931185683271961,14.4784,0.239,0.2396,BULLISH,0.048,0.1279,31.7352,31.4741,69.0,68.9,65.1,0.3167,86.1,85.3,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,,,,1.513,0.9364734866197901,43.5,45.7,73.8,-0.5472,1.0,STRONG_BULL,STRONG_BULL,,0.584,25.21437813158794,21.995608328713985,0.4638989128384006,0.07,,0.1871,0.3111,0.3772,-0.15,6.47,2,-0.15,6.22,0.099,56.5,1.0095,,,1537794061.5049,2,,6.22,56.5,0.099,-0.15,REARM,,,,,,,,False,,,,,,,14137.5,500000.0,False,,0.7182,,,,,,,,,2.54475,6.400711159186959,8.945461159186959,77.35711481183228,0.5471767625947463,1.0165435030522425,-0.21051526128665737,1.5068,1.4907000000000001,0.0,,,,,,NEVER,1,0.4,,True,,-0.0067,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.0257,0.5207,True,,,,,1.5084,1.4873,2026-09-21T15:08:45.621652,2026-09-21T15:22:04.691564,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,0.259,0.3194,0.5475,0.7353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T14:29:10,2026-09-21T14:57:27.343198,BR_TRAILING_STOP,MAKER,TAKER,True,
1,,,SOLUSDT,LONG,CLOSED,118.55,117.69,117.8,706.875,20.0,14137.5,119.253479544496,STRONG_BUY,0.5152,0.1334,0.1816,72.3691069591139,67.9,35.21094023228285,34.6074,0.2486,0.2492,BULLISH,0.2179,0.1279,31.7352,31.4741,69.0,68.9,65.1,0.3167,86.1,85.3,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,,,,1.513,0.8398836818767906,43.5,45.7,86.7,0.6036,1.0,STRONG_BULL,STRONG_BULL,,0.584,29.375807710702162,11.692695037454703,0.522205871885112,0.5745,,0.923,0.5652,0.3772,-0.15,6.47,2,-0.15,6.22,0.099,56.5,1.0095,,,3367792478.0376,1,,6.22,56.5,0.099,-0.15,REARM,,,,,,,,False,,,,,,,14137.5,500000.0,False,,0.628,,,,,,,,,2.54475,6.315723903416281,8.860473903416281,-111.41846631168278,-0.7881058625052716,0.15621805145508658,-0.7881058625052716,118.81,118.55,0.0,,,,,,NEVER,1,0.4,,True,,-0.0084,False,,,,1.0,1.0,BULLRUN,False,,,0,,-0.6241,0.259,True,,,,,119.12,117.54,2026-09-21T15:08:37.281476,2026-09-21T15:22:08.810474,,,,,,,,,,,,,,,,,,,,,,BULLRUN_LONG,,,,,,-0.5016,-0.5269,-0.6956,-0.2233,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-09-21T14:29:00,2026-09-21T14:40:34.741359,BR_STOP_LOSS,MAKER,TAKER,True,
