id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_pair_age_days,spike_rsi_max,spike_armed,belock_t15_min,belock_tr15,belock_t20_min,belock_tr20,belock_t30_min,belock_tr30,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,hard_tp_shadow_leash_pnl,hard_tp_shadow_leash_fired,hard_tp_shadow_ladder_pnl,hard_tp_shadow_ladder_fired,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,entry_strategy,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,shadow_peak_stretch_at_close,shadow_atr05_pnl,shadow_atr05_min,shadow_atr10_pnl,shadow_atr10_min,shadow_atr15_pnl,shadow_atr15_min,shadow_cap025_pnl,shadow_cap025_min,shadow_cap035_pnl,shadow_cap035_min,shadow_cap050_pnl,shadow_cap050_min,shadow_arm035_pnl,shadow_arm035_min,shadow_arm040_pnl,shadow_arm040_min,runner_peak_stretch,runner_trail_bound,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes,cf_pnl_current_stack,cf_reprice_note
268,,AINUSDT,SHORT,CLOSED,0.07275,0.0732,0.07316,108.5475707585,20.0,2170.95141517,29841.256565910655,STRONG_BUY,0.0833,0.1784,0.0351,65.06,35.71,32.3581,33.0535,1.4576,1.4791,BEARISH,0.0135,,27.839191682043158,26.85451091546042,33.26545400299173,31.866903075172686,34.74862419627152,0.0961,31.6,34.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,,2.4336,15.9,70.5,87.6,-0.6954,1.0,HEALTHY_BEAR,STRONG_BEAR,,-0.1552,31.87698868887895,19.822033516577548,0.7703,-0.7749,,-1.0843,1.6959,-0.1184,,,,2170951.41517,204,386.1,,False,,,,,,,13994.053203962494,2170.95141517,True,,-0.162,,,,,,,,,0.9769281368264999,0.9829709912810969,1.9598991281075968,-15.38846458276757,-0.7088350515464,0.14378213058417816,-0.7088350515464,0.07275,0.07258,0.0,,,2026-07-31T12:45:04.155105,2026-07-31T12:45:54.166649,,NEVER,1,0.45,,False,,0.0,False,,,,2.0,1.0,SPIKE_FADE,False,,,0,,6.6478,-1.8026,True,,,,,0.0738,0.07269,2026-07-31T13:11:29.785307,2026-07-31T13:28:43.974995,-0.0075,-1.5333,42.82,25.59,0.02,-0.5161,-0.2412,0.0,,,,,,,,,,,,,,SPIKE_FADE,2026-07-31T12:56:24.419447,-0.2687,,,,-1.1484,-0.9147,-0.5711,-0.8873,-0.6536,,,,,,,,,,,,,,,,,,,,,-0.2412,window,,,,,,,,,,,-0.2412,window,,,,,,,,-0.2412,window,,,,,,,-0.2412,,-0.2412,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-07-31T12:44:38,2026-07-31T12:45:54.169669,STOP_LOSS L1,TAKER,TAKER,True,,-15.3885,
267,,PUMPUSDT,LONG,CLOSED,0.002022,0.002009,0.00201,179.69212982715888,1.0,179.69212982715888,88868.51128939609,VERY_STRONG,0.2786,0.0371,0.095,61.53,52.47,22.401,21.9129,0.2664,0.2671,BULLISH,0.0767,0.0308,27.9436,29.2624,61.2,57.2,67.2,0.0893,38.5,37.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.9038,0.7651,34.1,31.8,83.7,0.4882,2.0,HEALTHY_BULL,HEALTHY_BULL,,-0.0258,30.006424035834634,16.606583773158274,0.4715,0.3239,0.0001,0.4261,0.3996,0.0929,-0.2107,,,71410485.019403,27,386.2,,False,,,,,,,179.69212982715888,71410.485019403,False,,-0.0229,2026-07-31T11:26:51.280757,-0.3866,,,2026-07-31T11:27:01.065463,-0.5349,,,0.08086145842222149,0.08034157763117854,0.16120303605340003,-1.3164936828155485,-0.732638476755687,0.00886745796242659,-0.732638476755687,0.002024,0.002022,0.0,0.2664,-0.0096,2026-07-31T11:25:03.640108,2026-07-31T11:32:09.872984,-0.3121,ENDED_NEG,1,0.45,,False,,-0.0988,False,,,,0.5,0.05,GAPMIN_PROBE,False,-0.38660237388723684,,0,,-0.3121,-0.0318,True,,,,,0.002018,0.002007,2026-07-31T11:54:27.763708,2026-07-31T12:12:09.954250,-0.2878,-0.8318,22.29,39.99,0.01,-0.7329,-0.5846,0.0,0.01,-0.7329,,,,,0.01,-0.7329,-0.6832047477744738,2026-07-31T11:31:57.607860,,,False,MOMENTUM,2026-07-31T11:34:57.259587,-0.6835,,,,-0.634,-0.7329,-0.6835,-0.6835,-0.634,,,,,,,,,,,,,,,,,,,,,-0.5846,window,,,,,,,,,,,-0.5846,window,,,,,,,,-0.5846,window,,,,,,,-0.5846,,-0.5846,,,,,,,,,,,,,,0.2664172227610513,,False,,,,False,,,,,,,,,-0.6338,7.24,-0.6338,7.24,2026-07-31T11:24:40,2026-07-31T11:32:09.875870,STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,,-1.3165,
263,,SNXUSDT,SHORT,CLOSED,0.2125,0.2138,0.2134,183.6963308225,20.0,3673.9266164499995,17289.06643035294,STRONG_BUY,0.0646,0.1218,0.0211,66.34,42.03,25.0475,24.6083,0.7663,0.7722,BEARISH,0.0405,,49.35702556006429,48.62494233026185,36.14515473311222,28.966210186619293,29.71770144012956,0.0992,28.1,28.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,,,,,1.6391,18.2,72.7,94.7,0.4393,2.0,STRONG_BEAR,STRONG_BULL,,-0.3237,36.131639110514115,19.133214821330384,0.3783,-0.2472,,-0.2243,0.9163,-0.0536,,,,3673926.61645,150,2177.1,,False,,,,,,,14764.970289308412,3673.92661645,True,,-0.2237,,,,,,,,,1.6532669774024997,1.6633810812642564,3.316648058666756,-25.792434418125506,-0.702039999999998,0.19247999999999502,-0.702039999999998,0.2125,0.2119,0.0,,,2026-07-31T10:10:15.296418,2026-07-31T10:30:45.253861,,NEVER,1,0.45,,True,,0.0,False,,,,2.0,1.0,SPIKE_FADE,False,,,0,,2.374,0.0321,True,,,,,0.2151,0.2133,2026-07-31T11:12:48.021788,2026-07-31T10:30:49.479173,-0.4665,-1.3135,0.06,42.04,,,-1.1253,,0.01,-0.6076,,,,,,,,,,,,SPIKE_FADE,2026-07-31T10:30:46.459858,-0.6076,,,,-0.89,-0.7959,-1.0312,-1.1724,-1.0782,,,,,2026-07-31T10:30:31.344933,-0.09,,,,,,,,,,,,,,,-1.1253,window,,,,,,,,,,,-1.1253,window,,,,,,,,-1.1253,window,,,,,,,-1.1253,,-1.1253,,,,,,,,,,,,,,,,False,,,,False,,,2026-07-31T10:21:30.393748,-0.4196,,,2026-07-31T10:30:31.344722,-0.09,,,,,2026-07-31T10:09:34,2026-07-31T10:30:45.256518,STOP_LOSS L1,TAKER,TAKER,True,,-25.7924,
262,,TLMUSDT,SHORT,CLOSED,0.001532,0.001513,0.001509,446.63760626205004,20.0,8932.752125241,5830778.149635118,STRONG_BUY,1.8635,1.0248,0.6758,88.69,45.65,25.5898,21.4051,5.6869,6.0298,BEARISH,0.8496,,44.86816077807579,44.080748206437,27.915057789884926,27.67702122856052,35.45263390412275,0.1035,28.3,30.7,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,,,,,4.5836,11.4,86.4,70.9,4.1847,3.0,BEAR_EXHAUSTED,BEAR_EXHAUSTED,,-0.3596,71.66859916784317,7.967238369389099,1.3291,-0.2452,,0.1374,7.8403,-0.1608,,2026-07-31T09:27:54.646497,,8932752.125241,93,1220.4,,False,,,,,,,13878.69201056388,8932.752125241,True,,-0.3617,,,,,,,,,4.01973845635845,3.9698853031790704,7.989623759537521,102.79516108352927,1.1507669712793684,1.6731951697127871,-0.09,0.001532,0.001505,0.0,,,2026-07-31T09:28:57.979798,,,NEVER,1,0.45,,False,,0.0,False,,,,2.0,1.0,SPIKE_FADE,False,,,0,,12.9023,0.1754,False,1.4232,True,1.2,True,0.001539,0.001479,2026-07-31T10:03:38.556423,2026-07-31T09:40:35.385744,3.3695,-0.5469,11.38,34.43,0.01,1.6724,1.2155,0.0,,,,,,,,,,,,,,SPIKE_FADE,,,,,,1.2155,0.4975,1.9335,1.6071,2.3904,2026-07-31T09:28:16.109077,,2026-07-31T09:28:20.463998,,,,2026-07-31T09:29:36.457459,1.0197,2026-07-31T09:29:43.487904,1.0849,2026-07-31T09:29:43.487904,1.0849,2026-07-31T09:30:24.800447,1.1502,2026-07-31T09:30:24.800447,1.1502,2026-07-31T09:30:24.800447,1.1502,2026-07-31T09:30:13.747739,1.2808,0.2477,trailing,0.33,,,,,,,,,,1.6724,signal_lost,1.42,,,,,,,1.6724,signal_lost,1.42,,,,15.4978,,1.6724,1.42,1.6724,1.42,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-07-31T09:27:41,2026-07-31T09:29:12.202642,HARD_TP_LADDER L2,TAKER,TAKER,True,,102.7952,
261,,ONDOUSDT,SHORT,CLOSED,0.40590000000000004,0.4074,0.4073,173.54778456832648,1.0,173.54778456832648,427.56290852014405,VERY_STRONG,0.3424,0.0982,0.1035,32.8,39.07,34.3317,32.9652,0.227,-0.2265,BEARISH,-0.1534,-0.018,18.0168,18.1075,41.6,45.8,43.6,0.1446,42.1,43.7,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,C1,,-0.7,0.828,0.6783,31.8,50.0,12.2,1.3665,3.0,CHOPPY_FLAT,CHOPPY_WEAK,,-0.2418,8.57686314790051,27.2323174452547,0.3645,-0.4338,5e-05,-0.7514,-0.4277,-0.0919,-0.12,2026-07-31T04:23:11.708565,0.0848861788617997,109846414.67699,16,922.6,,False,3.38,-0.5313,3.38,-0.5313,3.71,-0.5313,173.54778456832648,109846.41467699001,False,,-0.2007,2026-07-31T04:30:25.498712,-0.3834,,,2026-07-31T04:34:36.585474,-0.5313,,,0.031238601222298767,0.07838510801899799,0.10962370924129676,-0.7509680720214896,-0.4327154471544582,0.3806585365853717,-0.53130623306232,0.40590000000000004,0.4041,0.0,0.5726,-0.3219,2026-07-31T04:24:06.596631,2026-07-31T04:34:36.585660,-0.2173,ENDED_NEG,1,0.45,,False,,-0.0246,False,,,,0.5,0.05,SLOPEGATE_PROBE,False,-0.38342005420053404,,0,,-0.1643,0.0836,True,,,,,0.4083,0.4045,2026-07-31T05:03:49.369416,2026-07-31T05:34:31.612371,0.2819,-0.6543,32.92,2.22,0.0,-0.4325,0.1095,0.0,0.0,-0.4325,,,,,0.0,-0.4325,,,,,False,MOMENTUM,,,,,,-0.3586,-0.5311,-0.4572,-0.4572,0.0848,,,,,,,,,,,,,,,,,,,,,0.1095,window,,,,,,,,,,,0.1095,window,,,,,,,,0.1095,window,,,,,,,0.1095,,0.1095,,,,,,,,,,,,,,0.5726414822773558,,False,,,,False,,,2026-07-31T04:19:49.818410,-0.063,2026-07-31T04:21:04.466417,-0.1862,,,-0.4574,10.92,-0.4574,10.92,2026-07-31T04:19:49,2026-07-31T05:01:35.545507,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,,-0.751,
260,,ZAMAUSDT,SHORT,CLOSED,0.05231,0.05279,0.05275,173.70717941849068,1.0,173.70717941849068,3320.726045086803,VERY_STRONG,0.5018,0.0857,0.1613,35.25,38.56,31.299,30.8118,0.1326,-0.1324,BEARISH,-0.1948,-0.0906,30.4018,29.7031,32.1,32.2,34.3,0.1639,40.1,41.1,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,,,,0.8001,0.9396,13.6,81.8,10.9,0.4872,3.0,STRONG_BEAR,STRONG_BEAR,,-0.4169,12.794668269766946,28.235304091512454,0.5058,-0.8222,5e-05,-1.224,-0.3789,-0.1319,-0.1083,,,36961317.38062,39,202.8,,False,,,,,,,173.70717941849068,36961.31738062001,False,,-0.3847,2026-07-31T03:20:07.758138,-0.5299,,,2026-07-31T03:23:16.573177,-0.7403,,,0.0781682307383208,0.07888550756405954,0.15705373830238034,-1.751002239944027,-1.0080194991397329,0.10125406232078543,-1.0080194991397329,0.05231,0.05221,0.0,0.4738,-0.0548,2026-07-31T03:22:00.640774,2026-07-31T03:23:43.573040,-0.6806,ENDED_NEG,1,0.45,,True,,0.0191,False,,,,0.5,0.05,DEEPGAP_PROBE,False,-0.5298843433377958,,0,,-0.6806,-0.1057,True,,,,,0.05311,0.0516,2026-07-31T03:24:53.655813,2026-07-31T04:01:10.427597,1.2673,-1.6193,37.44,1.16,1.21,-1.4664,0.5982,0.0,1.21,-1.4664,43.31,0.3115,,,1.21,-1.4664,,,,,False,MOMENTUM,2026-07-31T03:31:42.262795,-0.1665,,,,-1.1223,-1.562,-0.6062,0.4835,0.4835,,,,,,,2026-07-31T03:41:28.073326,0.2541,2026-07-31T03:41:26.062428,0.235,2026-07-31T03:41:27.067705,0.2541,2026-07-31T03:41:26.062428,0.235,2026-07-31T03:41:27.067705,0.2541,2026-07-31T03:41:26.062428,0.235,2026-07-31T03:41:27.067705,0.2541,0.4644,ema13,20.21,,,,,,,,,,0.4644,ema13,20.21,,,,,,,0.4644,ema13,20.21,,,,0.7574,,0.4644,20.21,0.4644,20.21,,,,,,,,,,,,,0.4545380666553055,,False,,,,False,,,,,,,,,,,,,2026-07-31T03:17:34,2026-07-31T03:23:43.576257,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,,-1.751,
257,,EULUSDT,LONG,CLOSED,1.4721,1.491,1.4932,353.7084459975894,20.0,7074.168919951789,4805.494816895448,VERY_STRONG,0.3922,0.0765,0.1351,57.03,56.81,30.9847,30.5654,0.0454,0.0454,BULLISH,0.1529,0.0601,28.0817,26.726,65.1,70.6,74.4,0.1125,55.8,55.6,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,,,,0.7006,0.6041,63.6,22.7,51.3,0.4193,4.0,STRONG_BULL,BULL_EXHAUSTED,,0.1909,27.633686125673062,12.87439765729968,0.9639,0.2891,-0.000124,0.3801,0.2572,0.0883,0.0693,2026-07-30T09:13:22.096603,0.09332891787243712,77751557.59916,23,289.8,,False,0.85,-0.1172,0.87,-0.1172,5.7,0.297,7074.168919951789,77751.55759916,False,,0.2339,,,,,,,,,3.1833760139783047,3.2242467473960006,6.407622761374306,84.41622927795032,1.1933024251069992,1.7636590584878815,-0.12394979960600126,1.4994,1.4721,0.0,1.4043,0.6524,2026-07-30T09:21:58.428103,2026-07-30T09:12:37.728203,0.1744,NEVER,1,0.45,,True,,0.1633,False,,,,1.0,1.0,NONEXP_CALM3D,False,,,0,,0.8488,0.6524,True,1.5137,True,1.2,True,1.533,1.4863,2026-07-30T09:25:43.030726,2026-07-30T10:00:53.724406,4.0469,0.8746,3.58,38.76,39.32,1.2618,2.7019,4.0469,14.99,2.2943,16.85,1.5132,,,39.35,1.2414,,,,,False,MOMENTUM,,,,,,2.0362,2.3215,2.4506,2.3283,1.9071,2026-07-30T09:18:21.653194,,2026-07-30T09:19:08.020273,,,,2026-07-30T09:25:05.449663,2.2672,2026-07-30T09:25:17.637929,2.2672,2026-07-30T09:25:17.637929,2.2672,2026-07-30T09:26:58.266441,2.831,2026-07-30T09:26:58.266441,2.831,2026-07-30T09:26:59.279105,2.5661,2026-07-30T09:27:18.740047,2.3487,0.8415,trailing,6.88,,,,,,,,,,0.8742,stretch,7.86,,,,,,,1.8188,stretch,22.89,,,,3.0608,1.4043,1.2816,9.59,2.9533,14.11,,,,,,,,,,,,,1.3582271608880936,,False,,,,False,,,,,,,,,,,,,2026-07-30T09:12:30,2026-07-30T09:22:08.055712,HARD_TP_LADDER L2,TAKER_FALLBACK,TAKER,True,,168.8325,calm3d 1x->2x
256,,UNIUSDT,LONG,CLOSED,4.028,4.038,4.039,353.7084459975894,20.0,7074.168919951789,1756.248490554069,VERY_STRONG,0.2385,0.0199,0.0813,55.55,60.2,26.0019,26.1183,0.0481,-0.048,BULLISH,0.1085,0.0601,28.0817,26.726,65.1,70.6,74.4,0.1125,55.8,55.6,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,0.7006,0.3944,63.6,22.7,59.8,-0.1164,2.0,STRONG_BULL,STRONG_BULL,,0.1909,25.787483242106312,15.64208927285304,0.4041,0.3884,-0.000124,0.4389,0.0531,0.0883,0.0693,2026-07-30T10:34:42.353843,,107504652.506,17,2141.1,,False,82.52,0.1333,82.54,0.1333,83.6,0.1582,7074.168919951789,107504.652506,False,,0.3179,2026-07-30T09:13:51.045632,-0.2637,2026-07-30T09:34:17.054541,-0.3878,2026-07-30T09:29:19.265037,-0.3382,2026-07-30T09:46:35.611407,-0.487,3.1833760139783047,3.191279132185799,6.374655146164104,11.187829759377772,0.1581504468719135,0.5800062065541247,-0.6359309831181568,4.055,4.028,0.0,0.6151,0.3007,2026-07-30T10:35:46.326314,2026-07-30T09:32:22.104263,-0.3296,RECOVERED,1,0.45,,True,,0.0994,False,,,,1.0,1.0,NONEXP_CALM3D,False,-0.2637053128103196,,0,,0.1174,0.2636,True,,,,,4.104,4.034,2026-07-30T11:19:12.965604,2026-07-30T10:40:19.955328,1.7968,0.059,41.6,2.72,,,1.6727,,,,,,,,,,-0.2885203574975176,2026-07-30T09:29:49.161455,,,False,MOMENTUM,2026-07-30T10:55:13.420762,0.63,,,,0.1334,0.1086,0.481,0.6548,0.8286,2026-07-30T10:35:46.303772,0.18296549155908942,,,,,2026-07-30T10:49:14.468890,0.5058,2026-07-30T10:46:11.248600,0.5555,2026-07-30T10:46:24.315522,0.5803,2026-07-30T10:46:11.248600,0.5555,2026-07-30T10:46:14.261812,0.5555,2026-07-30T10:49:14.468890,0.5058,2026-07-30T10:46:13.257055,0.5555,0.3052,trailing,83.58,,,,,,,,,,0.2326,stretch,83.58,,,,,,,1.6727,window,,,,,0.6983,0.6151,0.2326,83.58,0.1582,85.42,,,,,,,,,,,,,0.5660949944902485,atr,False,,,,False,,,,,,,,,-0.1148,4.42,-0.487,21.23,2026-07-30T09:12:10,2026-07-30T10:37:36.582867,RUNNER_TRAIL,TAKER_FALLBACK,TAKER,True,,22.3757,calm3d 1x->2x
255,,ONDOUSDT,LONG,CLOSED,0.4128,0.4155,0.4158,356.2778279231825,20.0,7125.55655846365,17261.522670696824,VERY_STRONG,0.5608,0.136,0.2036,64.49,73.33,27.8839,27.0378,0.0006,0.0006,BULLISH,0.2539,0.0915,23.5967,21.9979,69.6,70.4,68.7,0.1226,55.9,49.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.766,1.1224,59.1,29.5,79.5,0.8461,3.0,HEALTHY_BULL,BULL_EXHAUSTED,,0.1554,30.131200770936033,13.259564129249757,0.4331,0.5168,4.7e-05,0.782,0.3404,0.1781,0.0278,2026-07-30T08:56:58.358286,0.08228343023255556,96298895.15364,19,921.8,,False,3.61,0.0339,3.77,0.0339,5.92,0.1307,7125.55655846365,96298.89515364,False,,0.2339,,,,,,,,,1.282600180523457,3.227473201353538,4.510073381876995,42.09603782900409,0.5907754360465068,1.0266257267441872,-0.13564171511628453,0.4173,0.4128,0.0,0.3942,0.3565,2026-07-30T09:19:08.590945,2026-07-30T08:53:13.121699,-0.0964,ENDED_NEG,1,0.45,,True,,-0.0242,False,,,,1.0,1.0,UNMATCHED,False,,,0,,-0.0837,0.3124,True,,,,,0.4234,0.4134,2026-07-30T10:02:08.359974,2026-07-30T09:42:08.441018,2.5048,0.0823,39.76,19.76,20.33,0.2277,1.4389,0.8333,1.69,0.6153,,,,,20.33,0.2277,,,,,True,MOMENTUM,,,,,,0.5911,0.5911,0.6637,0.3488,1.5116,2026-07-30T09:02:51.402555,,2026-07-30T09:18:51.833417,,,,2026-07-30T09:30:11.523027,0.373,2026-07-30T09:22:35.648245,0.5668,2026-07-30T09:22:36.665427,0.5426,2026-07-30T09:22:35.648245,0.5668,2026-07-30T09:22:37.689080,0.5426,2026-07-30T09:25:14.594433,0.4457,2026-07-30T09:22:37.689080,0.5426,0.4618,trailing,14.42,,,,,,,,,,0.4697,stretch,11.84,,,,,,,0.2277,ema13,49.5,,,,1.0021,0.4392,0.4939,14.36,0.5908,29.16,,,,,,,,,,,,,0.4391671797186347,atr,False,,,,False,,,,,,,,,0.1791,3.74,,,2026-07-30T08:53:12,2026-07-30T09:22:22.514881,RUNNER_TRAIL,MAKER,TAKER,True,,42.096,
253,,MIRAUSDT,SHORT,CLOSED,0.0415,0.04132,0.04126,418.13706835100004,20.0,8362.74136702,201511.8401691566,STRONG_BUY,0.4382,0.2492,0.1443,78.39,31.54,27.0318,24.3491,1.8089,1.8422,NEUTRAL,0.1738,,13.538993283432445,13.39841791936267,43.8125557743633,45.56684674415512,42.16436355327828,0.1068,49.2,49.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,,,,4.4943,18.2,54.5,76.3,2.6827,2.0,CHOPPY_WEAK,CHOPPY_WEAK,,-0.0398,62.106227509323155,14.61216522554854,0.5081,-0.1063,,-0.1222,2.2434,-0.0501,,2026-07-30T08:02:36.721674,,8362741.36702,101,306.8,,False,,,,,,,13960.936067083714,8362.74136702,True,,-0.0398,,,,,,,,,3.7632336151590002,3.746911156105298,7.510144771264298,28.761986459183813,0.3439301204819267,0.6091096385542301,-0.09,0.0415,0.04121,0.0,,,2026-07-30T08:02:36.886446,,,NEVER,1,0.45,,True,,0.0,False,,,,2.0,1.0,SPIKE_FADE,False,,,0,,8.1586,-0.7192,False,,,,,0.04244,0.04127,2026-07-30T08:28:33.675381,2026-07-30T08:03:02.480090,0.4642,-2.3551,0.32,25.84,,,-0.4755,,,,,,,,,,,,,,,SPIKE_FADE,,,,,,-0.2346,-0.3069,-0.1141,-1.102,-1.8008,2026-07-30T08:02:36.721644,,,,,,2026-07-30T08:03:22.598069,0.0787,2026-07-30T08:03:07.515660,0.2955,2026-07-30T08:03:07.515660,0.2955,2026-07-30T08:03:22.598069,0.0787,2026-07-30T08:03:22.598069,0.0787,2026-07-30T08:03:22.598069,0.0787,,,0.3591,trailing,0.1,,,,,,,,,,-0.7,hard_sl,12.71,,,,,,,-0.7,hard_sl,12.71,,,,8.2896,,0.3439,0.1,0.0787,0.75,,,,,,,,,,,,,,atr,False,,,,False,,,2026-07-30T08:02:30.190845,-0.09,,,,,,,,,2026-07-30T08:02:29,2026-07-30T08:02:42.902283,RUNNER_TRAIL,TAKER_FALLBACK,TAKER,True,,28.762,
