id,binance_order_id,backstop_algo_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_pair_age_days,entry_br_r72,entry_br_above,entry_br_eff,entry_br_off24h,entry_br_door,spike_rsi_max,spike_armed,belock_t15_min,belock_tr15,belock_t20_min,belock_tr20,belock_t30_min,belock_tr30,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,hard_tp_shadow_leash_pnl,hard_tp_shadow_leash_fired,hard_tp_shadow_ladder_pnl,hard_tp_shadow_ladder_fired,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,entry_strategy,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,shadow_peak_stretch_at_close,shadow_atr05_pnl,shadow_atr05_min,shadow_atr10_pnl,shadow_atr10_min,shadow_atr15_pnl,shadow_atr15_min,shadow_cap025_pnl,shadow_cap025_min,shadow_cap035_pnl,shadow_cap035_min,shadow_cap050_pnl,shadow_cap050_min,shadow_arm035_pnl,shadow_arm035_min,shadow_arm040_pnl,shadow_arm040_min,runner_peak_stretch,runner_trail_bound,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
107,,,STXUSDT,LONG,CLOSED,0.2336,0.2344,0.2345,580.9638091078971,20.0,11619.27618215794,49740.05214964872,VERY_STRONG,0.2957,0.0642,0.078,53.0,48.94,22.7374,22.9306,0.0454,-0.0454,BULLISH,0.1091,0.1148,21.4502,19.3927,65.2,74.8,66.9,0.1729,56.5,54.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,1.7192,0.932,80.0,17.8,38.8,-0.1932,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.2325,28.277317523637958,18.76300816550113,0.913,0.4985,-4.8e-05,0.9012,0.0968,0.2131,0.0711,2026-08-24T07:21:54.363918,0.06536686643835389,88417624.6416,34,1281.0,,,,,,,False,2.12,-0.2769,2.16,-0.2769,4.5,0.2793,11619.27618215794,88417.6246416,False,,0.2538,2026-08-24T07:20:00.729860,-0.1486,,,2026-08-24T07:20:34.680957,-0.2769,,,2.0914697127884296,5.246580700744946,7.3380504135333755,32.45399130618536,0.27931164383561435,1.2206686643835627,-0.3197337328767078,0.2366,0.2336,0.0,1.0643,0.4029,2026-08-24T07:25:39.187810,2026-08-24T07:20:34.688855,-0.3459,ENDED_NEG,1,0.4,,True,,-0.0428,False,,,,1.0,1.0,UNMATCHED,False,-0.14857791095890654,,0,,-0.1181,0.3484,True,,,,,0.2347,0.231,2026-08-24T07:32:18.395464,2026-08-24T07:44:07.009739,0.4079,-1.176,4.3,16.11,10.31,-0.3198,-0.6623,0.4079,3.57,0.2367,3.57,0.2367,,,10.31,-0.3198,,,,,True,MOMENTUM,2026-08-24T07:41:07.923057,-0.5339,,,,0.0654,0.0226,0.1938,-0.9192,-0.7907,2026-08-24T07:25:09.478692,,2026-08-24T07:25:36.818494,0.4932564212328749,,,,,2026-08-24T07:34:05.995670,0.1082,,,2026-08-24T07:28:53.416137,0.0654,2026-08-24T07:28:53.416137,0.0654,,,,,0.9707,trailing,5.83,,,,,,,,,,0.6644,stretch,5.94,,,,,,,-0.3198,ema13,18.44,,,,1.0643,1.0643,0.75,5.94,0.2793,8.12,,,,,,,,,,,,,1.022491248527369,atr,False,,,,False,,,,,,,,,0.0654,1.7,,,2026-08-24T07:19:45,2026-08-24T07:27:59.705334,RUNNER_TRAIL,MAKER,TAKER,True,
106,,,LINKUSDT,SHORT,CLOSED,11.337,11.407,11.403,579.0268127888074,20.0,11580.53625577615,1021.481543245669,STRONG_BUY,0.571,0.1736,0.2044,31.2,34.45,29.5079,28.0016,0.2659,-0.2652,BEARISH,-0.246,-0.079,20.1373,19.2952,35.2,38.8,38.5,0.2067,46.9,59.6,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,C1,,-0.7,0.6909,0.9327,11.1,88.9,10.1,1.5063,4.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.196,11.14794993514562,32.64646260724601,0.456,-0.3231,-4.8e-05,-0.5934,-0.6418,-0.2337,0.0897,2026-08-24T01:58:22.958909,0.09531754432388656,223928235.479,17,2410.7,,,,,,,False,1.53,-0.6989,1.53,-0.6989,6.31,-0.6989,11580.53625577615,223928.235479,False,,-0.2407,2026-08-24T02:12:05.201373,-0.6107,,,,,,,5.211241315099267,5.243417983711505,10.454659298810771,-81.95836732600789,-0.7077251477463199,0.35123224839021727,-0.7077251477463199,11.337,11.287,0.0,0.5847,-0.4171,2026-08-24T02:03:09.683276,2026-08-24T02:12:31.957661,-0.3413,ENDED_NEG,1,0.4,,True,,0.0353,False,,,,1.0,1.0,C1,False,-0.6106540531004767,,0,,-0.3501,0.0227,True,,,,,11.509,11.398,2026-08-24T02:33:41.515102,2026-08-24T02:12:44.536741,-0.6281,-1.6072,0.2,21.15,1.86,-1.0338,-1.0779,0.0,0.13,-0.681,3.63,-1.1926,,,3.63,-1.1926,,,,,False,MOMENTUM,2026-08-24T02:15:33.019831,-1.1573,,,,-0.928,-1.0603,-1.2631,-1.219,-1.3514,,,,,,,,,,,,,,,,,,,,,-1.0779,window,,,,,,,,,,,-1.0779,window,,,,,,,,-1.0779,window,,,,,,,-1.0779,,-1.0779,,,,,,,,,,,,,,0.531797543459833,,False,,,,False,,,,,,,,,,,,,2026-08-24T01:56:51,2026-08-24T02:12:32.310005,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
105,,,ACEUSDT,LONG,CLOSED,0.23003,0.23054,0.23082,1132.9352932063919,20.0,22658.705864127838,98503.26420087744,STRONG_BUY,0.4628,0.1283,0.1714,63.61,64.78,19.8551,19.1877,0.211,0.2114,BULLISH,0.2337,0.0214,21.2967,22.6463,56.0,54.3,52.4,0.1835,62.1,64.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,1.1034,0.8642,26.7,64.4,83.6,0.6674,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.2496,25.545812830306254,14.204574578650647,0.5876,0.1933,0.0001,0.1773,0.512,0.0363,0.1936,2026-08-23T22:22:10.165309,,74335981.935662,34,979.5,,,,,,,False,10.37,0.1316,10.39,0.1316,10.52,0.1316,22658.705864127838,74335.981935662,False,,0.2186,,,,,,,,,10.196417638857527,10.219024137991628,20.415441776849157,29.821222965596633,0.13161044211623818,0.7225716210928935,-0.5679833065252435,0.2319,0.23003,0.0,0.9158,0.3149,2026-08-23T22:25:14.493292,2026-08-23T22:18:54.927938,-0.0835,RECOVERED,1,0.4,,True,,0.1088,False,,,,2.0,1.0,UNMATCHED,False,,,0,,0.0738,0.5678,True,,,,,0.23587,0.23054,2026-08-23T22:44:43.446523,2026-08-23T22:28:33.113242,2.4488,0.1317,16.17,0.0,42.35,0.7447,0.8012,2.4488,23.19,1.6576,26.64,1.0664,,,42.43,0.7099,,,,,False,MOMENTUM,2026-08-23T22:30:16.550047,0.2795,,,,0.3708,0.3534,0.6795,1.6272,1.0055,2026-08-23T22:22:49.706038,0.19678998391513886,,,,,2026-08-23T22:45:30.891818,2.0967,2026-08-23T22:38:25.725135,1.1272,2026-08-23T22:38:42.808156,1.0794,2026-08-23T22:38:25.725135,1.1272,2026-08-23T22:38:42.808156,1.0794,2026-08-23T22:28:33.715915,0.1448,2026-08-23T22:28:33.715915,0.1448,0.1945,trailing,10.62,,,,,,,,,,0.5314,stretch,13.86,,,,,,,0.7447,signal_lost,59.09,,,,1.5413,0.9158,0.4271,13.96,0.1316,16.74,,,,,,,,,,,,,0.88583381720759,atr,False,,,,False,,,2026-08-23T22:12:56.580522,-0.3681,2026-08-23T22:23:20.585679,0.3445,,,-0.3203,1.75,,,2026-08-23T22:11:47,2026-08-23T22:28:32.755889,RUNNER_TRAIL,TAKER_FALLBACK,TAKER,True,
104,,,XMRUSDT,LONG,CLOSED,426.74,427.43,427.94,1114.9082349942248,20.0,22298.164699884495,52.25234264396235,VERY_STRONG,0.5244,0.1535,0.1912,63.2,65.6,22.5688,22.3921,0.1297,0.1299,BULLISH,0.2539,0.0214,24.5917,25.589,54.6,53.7,45.4,0.1331,55.5,52.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.3797,0.7716,60.0,28.9,88.3,0.1768,4.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0068,26.29263941512195,15.82049927367171,0.4903,0.1422,5e-05,0.2522,0.4754,0.0626,0.1049,2026-08-23T18:25:55.908676,0.0986181984346435,66078410.78,37,2393.4,,,,,,,False,0.56,-0.0466,4.75,-0.0466,5.0,-0.0466,22298.164699884495,66078.41078,False,,0.0194,,,,,,,,,4.01366964597921,10.050398467338972,14.064068113318182,21.990048311015723,0.0986181984346435,0.4780696208464176,-0.07705375638562176,429.05,426.74,0.0,0.1718,0.1873,2026-08-23T18:45:44.788315,2026-08-23T18:21:13.143847,0.1133,ENDED_NEG,1,0.4,,True,,-0.0023,False,,,,2.0,1.0,UNMATCHED,False,,,0,,-0.2412,0.0844,True,,,,,429.0,424.83,2026-08-23T19:41:55.903616,2026-08-23T19:13:39.066548,0.4666,-0.5106,43.88,15.6,8.66,0.0565,0.4314,0.2205,0.01,0.0143,8.66,0.0565,,,8.69,0.012,,,,,True,MOMENTUM,2026-08-23T18:58:03.510855,0.0143,,,,0.1737,0.0917,0.0331,-0.3091,0.176,,,,,,,2026-08-23T18:58:16.586017,0.0331,2026-08-23T18:58:16.586017,0.0331,2026-08-23T18:58:16.586017,0.0331,2026-08-23T18:58:16.586017,0.0331,2026-08-23T18:58:16.586017,0.0331,2026-08-23T18:58:16.586017,0.0331,2026-08-23T18:58:16.586017,0.0331,0.2164,trailing,15.69,,,,,,,,,,0.3328,stretch,12.52,,,,,,,0.0565,signal_lost,45.49,,,,0.372,0.372,0.2204,15.69,-0.0138,36.89,,,,,,,,,,,,,0.4598422997705645,lock,False,,,,False,,,2026-08-23T18:25:50.310605,0.122,2026-08-23T18:27:35.173855,0.2649,,,-0.063,0.02,0.3891,31.51,2026-08-23T18:21:11,2026-08-23T18:58:02.801812,RUNNER_TRAIL,MAKER,TAKER,True,
103,,,LTCUSDT,LONG,CLOSED,52.449,52.71,52.72,1062.0574659403926,20.0,21241.149318807853,404.98673604468826,VERY_STRONG,0.2071,0.0473,0.0716,58.66,62.57,25.2736,24.8553,0.0063,-0.0063,BULLISH,0.0895,0.0501,29.4542,29.2277,64.7,59.9,60.4,0.1213,58.6,56.5,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,,,,0.4865,0.984,68.2,22.7,66.2,0.4183,2.0,STRONG_BULL,BULL_EXHAUSTED,,0.3101,31.08926407333781,16.479795428225803,0.2529,0.3031,0.0001,0.4821,0.1127,0.1754,0.1657,2026-08-23T13:17:45.878808,,74088618.06,32,2418.2,,,,,,,False,4.1,0.1104,4.16,0.1104,4.79,0.301,21241.149318807853,74088.61806000001,False,,0.3577,,,,,,,,,3.823406877385414,9.606082885611984,13.429489762997399,92.27204834466735,0.4344023336955953,0.7012081831874837,-0.11826692596616972,52.85,52.449,0.0,0.6098,0.172,2026-08-23T13:19:24.160347,2026-08-23T13:13:41.391969,-0.0635,RECOVERED,1,0.4,,True,,-0.0019,False,,,,2.0,1.0,NONEXP_CALM3D,False,,,0,,0.3458,0.172,True,,,,,53.17,52.53,2026-08-23T14:02:18.380349,2026-08-23T13:21:08.806065,1.3117,0.0914,41.89,0.73,,,1.0447,,25.17,0.5872,,,,,,,,,,,False,MOMENTUM,2026-08-23T13:39:35.918057,0.5681,,,,0.1868,0.3202,0.2249,0.2249,0.8731,2026-08-23T13:19:09.254582,,,,,,,,2026-08-23T13:43:23.084583,0.4728,,,2026-08-23T13:43:23.084583,0.4728,,,2026-08-23T13:43:24.093217,0.4728,2026-08-23T13:43:39.166957,0.53,0.4516,trailing,4.56,,,,,,,,,,0.6253,stretch,2.63,,,,,,,1.0447,window,,,,,0.4159,0.6098,1.0447,,1.0447,,,,,,,,,,,,,,0.6097512696634977,atr,False,,,,False,,,,,,,,,-0.063,0.02,,,2026-08-23T13:13:36,2026-08-23T13:20:25.080890,RUNNER_TRAIL,MAKER,TAKER,True,
102,,,PENGUUSDT,LONG,CLOSED,0.008316,0.008406,0.008408,493.2145008136108,20.0,9864.290016272216,1186182.0606387947,VERY_STRONG,0.2736,0.067,0.0854,59.34,55.39,26.818,25.9215,0.1446,0.1448,BULLISH,0.1178,0.0464,26.8548,26.3874,66.2,63.1,59.8,0.1319,47.2,44.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.5903,0.9027,81.8,13.6,80.7,0.8966,3.0,HEALTHY_BULL,BULL_EXHAUSTED,,0.1366,26.80621681901954,11.910609561918205,0.4812,0.2825,0.0001,0.4756,0.2975,0.1498,-0.0922,2026-08-23T10:15:12.191319,,69493600.941081,38,613.7,,,,,,,False,4.15,0.1023,4.3,0.1384,4.47,0.1384,9864.290016272216,69493.60094108101,False,,0.2006,,,,,,,,,4.438930507322497,4.486970880778369,8.925901388100865,97.83048406939042,0.9917640692640669,1.4364892977393025,-0.282313612313617,0.008443,0.008316,0.0,0.9982,0.6314,2026-08-23T10:25:20.390194,2026-08-23T10:13:46.348661,-0.096,RECOVERED,1,0.4,,True,,-0.0961,False,,,,1.0,1.0,UNMATCHED,False,,,0,,0.3036,0.7977,True,1.1865,True,1.0,True,0.008443,0.00838,2026-08-23T10:50:02.924913,2026-08-23T10:32:11.910869,1.4372,0.6796,21.86,4.01,,,0.9562,,4.06,0.7157,4.06,0.7157,,,,,,,,,False,MOMENTUM,,,,,,0.9802,0.9081,0.9081,1.0885,1.1125,2026-08-23T10:20:17.926770,,2026-08-23T10:21:38.689195,,,,2026-08-23T10:42:38.528202,1.0524,2026-08-23T10:31:49.667986,0.7638,2026-08-23T10:37:46.322543,1.1005,2026-08-23T10:29:34.565461,0.872,2026-08-23T10:37:46.322543,1.1005,2026-08-23T10:29:34.565461,0.872,2026-08-23T10:32:10.904206,0.7157,0.1889,trailing,8.3,,,,,,,,,,0.2225,stretch,8.3,,,,,,,0.9562,window,,,,,1.0618,1.0618,0.1865,8.3,0.9442,18.34,,,,,,,,,,,,,1.0383813659066656,,False,,,,False,,,,,,,,,,,,,2026-08-23T10:10:54,2026-08-23T10:28:10.977874,HARD_TP_LADDER L1,TAKER_FALLBACK,TAKER,True,
101,,,PENGUUSDT,LONG,CLOSED,0.008324,0.008264,0.008264,803.4573069135308,20.0,16069.146138270617,1930459.6514020443,STRONG_BUY,0.4884,0.1241,0.1772,64.07,59.94,21.4193,20.4825,0.2085,0.209,BULLISH,0.189,0.0711,27.4314,27.1355,62.2,63.3,57.4,0.1546,42.6,42.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.5989,0.7021,86.4,9.1,91.8,0.9368,4.0,HEALTHY_BULL,STRONG_BULL,,0.0082,29.182661654312035,14.504853691314318,0.5066,0.2836,5e-05,0.4068,0.5111,0.1245,-0.1995,,,73071507.357517,38,613.7,,,,,,,False,,,,,,,16069.146138270617,73071.50735751701,False,,0.0894,2026-08-23T09:17:00.983193,-0.6063,,,2026-08-23T09:21:39.253990,-0.7745,,,7.231115762221777,7.178993351633922,14.4101091138557,-130.237688197977,-0.8104829408937926,0.12614488226814824,-0.8104829408937926,0.008342,0.008324,0.0,0.4728,0.2896,2026-08-23T09:09:27.863774,2026-08-23T09:21:40.339616,-0.3689,ENDED_NEG,1,0.4,,False,,0.1805,False,,,,2.0,1.0,UNMATCHED,True,-0.606346107640553,,0,,-0.272,-0.1358,True,,,,,0.008355,0.008247,2026-08-23T10:16:00.737401,2026-08-23T09:35:56.120301,0.2824,-1.015,42.96,2.88,0.0,-0.8348,0.0902,0.0,3.52,-0.8949,41.43,-0.2342,,,0.0,-0.8348,,,,,False,MOMENTUM,,,,,,-0.6666,-0.6546,-0.7507,-0.7027,-0.3423,,,,,,,,,2026-08-23T10:16:26.063646,0.0782,,,,,,,,,,,0.0902,window,,,,,,,,,,,0.0902,window,,,,,,,,0.0902,window,,,,,,,0.0902,,0.0902,,,,,,,,,,,,,,0.4728001059088552,,False,,,,False,,,,,,,,,-0.4743,14.4,-0.4743,14.4,2026-08-23T09:02:30,2026-08-23T09:33:00.297845,STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
100,,,ONDOUSDT,LONG,CLOSED,0.3611,0.3617,0.3618,1339.095511522551,20.0,26781.910230451023,74167.57194807817,STRONG_BUY,0.3546,0.0713,0.1218,63.8,58.77,21.4767,21.0801,0.1303,0.1305,BULLISH,0.1285,0.0711,27.4314,27.1355,62.2,63.3,57.4,0.1546,42.6,42.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.5989,0.6611,86.4,9.1,82.5,0.3966,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.0082,22.141916433660118,12.828417851926845,0.4249,0.3299,5e-05,0.4624,0.324,0.1245,-0.1995,2026-08-23T09:52:10.466550,0.07608418720577263,118473046.53389,27,945.8,,,,,,,False,50.01,-0.2007,50.01,-0.2007,63.68,0.0761,26781.910230451023,118473.04653389,False,,0.1389,2026-08-23T09:10:55.945829,-0.5329,,,2026-08-23T09:17:05.624307,-0.6713,,,12.05185960370296,12.071884848128944,24.123744451831904,20.376798717018332,0.07608418720577263,0.46361395735253447,-0.8373788424259152,0.3631,0.3611,0.0,0.4173,0.3522,2026-08-23T10:07:33.494882,2026-08-23T09:21:33.866096,-0.3229,RECOVERED,1,0.4,,True,,0.1664,False,,,,2.5,1.0,UNMATCHED,False,-0.5328911658820245,,0,,0.0059,0.3146,True,,,,,0.3681,0.3617,2026-08-23T10:59:11.922302,2026-08-23T10:14:18.040188,1.8485,0.0762,44.9,0.0,,,1.7931,,17.95,0.6577,17.95,0.6577,,,,,-0.754336748823029,2026-08-23T09:18:41.768206,,,False,MOMENTUM,,,,,,0.3254,0.2977,0.2423,0.8239,1.2947,,,,,,,2026-08-23T10:28:08.001876,0.8239,2026-08-23T10:19:22.271533,0.2146,2026-08-23T10:28:10.019136,0.8239,2026-08-23T10:28:08.001876,0.8239,2026-08-23T10:28:10.019136,0.8239,2026-08-23T10:28:09.010700,0.8239,2026-08-23T10:28:10.019136,0.8239,0.2136,trailing,66.81,,,,,,,,,,0.2975,stretch,64.85,,,,,,,1.7931,window,,,,,0.7599,0.5252,0.1868,64.87,0.7685,87.44,,,,,,,,,,,,,0.5252150832130993,lock,False,,,,False,,,,,,,,,-0.4775,9.34,-0.4775,9.34,2026-08-23T09:02:10,2026-08-23T10:14:17.677179,RUNNER_TRAIL,TAKER_FALLBACK,TAKER,True,
99,,,DOTUSDT,LONG,CLOSED,0.8978,0.8995,0.8999,521.1513858925491,20.0,10423.027717850982,11609.520737192004,STRONG_BUY,0.3678,0.1061,0.1324,62.37,63.57,19.2657,18.3352,0.1267,0.1269,BULLISH,0.1844,0.0228,29.1147,31.0877,52.6,51.6,43.4,0.1656,36.8,30.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.763,1.1377,88.6,11.4,87.4,0.9305,3.0,STRONG_BULL,HEALTHY_BULL,,-0.2344,28.210880046095188,14.740609836418676,0.3535,0.0735,0.0001,0.1038,0.3659,0.0872,-0.3016,2026-08-23T08:39:24.902231,0.09926654043215903,49310658.447475,50,2192.1,,,,,,,False,20.73,0.0993,20.73,0.0993,22.55,0.0993,10423.027717850982,49310.658447475005,False,,-0.0436,,,,,,,,,4.690362473032942,4.699243756396893,9.389606229429834,10.346579023795687,0.09926654043215903,0.3998663399420761,-0.2569998886166247,0.9022,0.8978,0.0,0.3896,0.1946,2026-08-23T08:41:14.775258,2026-08-23T08:23:28.750695,-0.0022,ENDED_NEG,1,0.4,,True,,0.0892,False,,,,1.0,1.0,UNMATCHED,False,,,0,,-0.0174,0.2741,True,,,,,0.9012,0.8953,2026-08-23T09:03:18.020712,2026-08-23T09:31:57.485584,0.2887,-0.3685,16.26,44.92,,,-0.3462,,,,,,,,,,,,,,False,MOMENTUM,,,,,,0.1216,0.0771,-0.0232,0.2219,-0.1234,,,,,,,,,,,,,,,,,,,,,-0.3462,window,,,,,,,,,,,-0.3462,window,,,,,,,,-0.3462,window,,,,,,,-0.3462,,-0.3462,,,,,,,,,,,,,,0.3565153010522972,lock,False,,,,False,,,,,,,,,-0.1679,1.83,-0.2236,9.03,2026-08-23T08:18:41,2026-08-23T08:47:02.034967,RUNNER_TRAIL,TAKER_FALLBACK,TAKER,True,
98,,,WLDUSDT,LONG,CLOSED,0.3795,0.3802,0.3803,521.151385892549,20.0,10423.02771785098,27465.15867681418,STRONG_BUY,0.4736,0.1401,0.1717,62.34,63.39,16.782,16.633,0.1799,0.1803,BULLISH,0.243,0.0228,29.1147,31.0877,52.6,51.6,43.4,0.1656,36.8,30.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.763,1.4007,88.6,11.4,85.0,0.149,3.0,STRONG_BULL,HEALTHY_BULL,,-0.2344,22.61061073509017,15.480511424664826,0.5834,0.0657,0.0001,0.1044,0.4928,0.0872,-0.3016,2026-08-23T08:41:14.022001,0.09437022397891395,189120940.6446,19,1125.8,,,,,,,False,22.9,0.0944,22.9,0.0944,22.9,0.0944,10423.02771785098,189120.94064460002,False,,-0.0788,,,,,,,,,4.690362473032941,4.699013998016137,9.38937647104908,9.836234602720253,0.09437022397891395,0.4104334650856424,-0.45874044795784247,0.3814,0.3795,0.0,0.6093,0.2161,2026-08-23T08:41:14.615360,2026-08-23T08:34:08.633588,-0.136,RECOVERED,1,0.4,,True,,0.2907,False,,,,1.0,1.0,UNMATCHED,False,,,0,,0.2956,0.2161,True,,,,,0.382,0.3783,2026-08-23T09:15:42.949666,2026-08-23T09:00:08.805910,0.5688,-0.4062,34.15,18.58,,,0.437,,29.94,0.1999,7.7,0.1208,,,,,,,,,False,MOMENTUM,,,,,,0.0154,0.1735,0.1735,0.0154,0.2262,,,,,,,2026-08-23T09:03:57.594620,0.1472,2026-08-23T08:46:54.088812,0.1208,2026-08-23T08:46:54.088812,0.1208,2026-08-23T08:46:32.829550,0.1472,2026-08-23T08:53:41.503349,0.1208,2026-08-23T08:48:45.408373,0.0681,2026-08-23T08:53:52.591568,0.1208,0.1604,trailing,22.96,,,,,,,,,,0.0944,stretch,23.21,,,,,,,0.0154,stretch,23.74,,,,0.6093,0.6093,0.0944,23.21,-0.1954,39.74,,,,,,,,,,,,,0.4788119400855708,lock,False,,,,False,,,,,,,,,-0.3534,12.98,,,2026-08-23T08:18:20,2026-08-23T08:41:33.364436,RUNNER_TRAIL,TAKER_FALLBACK,TAKER,True,
