window,pair,entry_ts_ms,entry_price,atr_pct,peak_pnl_pct,pnl_pct,exit_reason,close_ts_ms,coin_universe
02-24 13:30,SOLUSDT,1771940400000,76.44,0.32,1.071,0.432,TRAILING_STOP,1771943700000,True
02-24 13:30,XAGUSDT,1771941300000,86.25,0.454,0.939,-0.7,STOP_LOSS,1771943700000,False
02-24 13:30,XRPUSDT,1771940700000,1.3307,0.273,1.206,0.659,TRAILING_STOP,1771943700000,True
02-24 13:30,HYPEUSDT,1771943400000,26.393,0.398,0.0,-0.7,STOP_LOSS,1771943700000,True
03-28 10:40,SOLUSDT,1774695900000,82.93,0.156,0.405,-0.7,STOP_LOSS,1774705200000,True
03-28 10:40,XRPUSDT,1774699200000,1.3381,0.101,0.122,-0.7,STOP_LOSS,1774705200000,True
03-28 10:40,DOGEUSDT,1774694400000,0.09118,0.229,0.151,-0.7,STOP_LOSS,1774704900000,True
03-28 10:40,ZECUSDT,1774696200000,217.91,0.365,0.049,-0.7,STOP_LOSS,1774700100000,True
03-28 12:50,SOLUSDT,1774703700000,82.8,0.157,0.029,-0.7,STOP_LOSS,1774705200000,True
03-28 12:50,XRPUSDT,1774702200000,1.3379,0.115,0.0,-0.7,STOP_LOSS,1774705200000,True
03-28 12:50,DOGEUSDT,1774703700000,0.09118,0.175,0.0,-0.7,STOP_LOSS,1774704900000,True
03-28 12:50,BNBUSDT,1774702200000,612.28,0.078,0.0,-0.7,STOP_LOSS,1774705200000,True
03-28 23:10,SOLUSDT,1774745400000,82.02,0.225,0.042,-0.7,STOP_LOSS,1774749900000,True
03-28 23:10,XRPUSDT,1774748100000,1.3325,0.155,0.0,-0.7,STOP_LOSS,1774754100000,True
03-28 23:10,DOGEUSDT,1774745400000,0.09069,0.206,0.0,-0.7,STOP_LOSS,1774751700000,True
03-28 23:10,BNBUSDT,1774748100000,611.23,0.124,0.0,-0.7,STOP_LOSS,1774754100000,True
05-18 00:05,SOLUSDT,1779066600000,85.13,0.382,0.701,-0.009,MAX_HOLD,1779077400000,True
05-18 00:05,SOLUSDT,1779078000000,84.63,0.245,0.026,-0.7,STOP_LOSS,1779079500000,True
05-18 00:05,XRPUSDT,1779071700000,1.394,0.306,0.475,0.013,MAX_HOLD,1779082500000,True
05-18 00:05,DOGEUSDT,1779069300000,0.10667,0.479,0.628,-0.192,MAX_HOLD,1779080100000,True
05-18 00:05,DOGEUSDT,1779081300000,0.10659,0.276,1.959,1.407,TRAILING_STOP,1779084900000,True
05-18 00:05,BNBUSDT,1779081300000,642.96,0.173,0.835,0.318,MAX_HOLD,1779092100000,True
05-18 07:15,SOLUSDT,1779090000000,84.5,0.265,0.336,0.181,MAX_HOLD,1779100800000,True
05-18 07:15,XRPUSDT,1779089700000,1.3851,0.251,0.559,0.341,MAX_HOLD,1779100500000,True
05-18 07:15,BNBUSDT,1779090000000,640.8,0.179,0.423,0.235,MAX_HOLD,1779100800000,True
05-18 07:15,SUIUSDT,1779090000000,1.0318,0.359,0.0,-0.7,STOP_LOSS,1779091200000,True
05-28 05:25,SOLUSDT,1779947100000,80.69,0.301,0.206,-0.7,STOP_LOSS,1779953700000,True
05-28 05:25,XAUUSDT,1779948300000,4383.61,0.126,0.035,-0.291,MAX_HOLD,1779959100000,False
05-28 05:25,CLUSDT,1779949800000,91.09,0.214,0.974,0.372,MAX_HOLD,1779960600000,False
05-28 05:25,NEARUSDT,1779948000000,2.401,0.69,1.528,0.2,BREAKEVEN_EXIT,1779952800000,True
05-28 13:40,SOLUSDT,1779976200000,80.75,0.259,0.959,-0.7,STOP_LOSS,1779977700000,True
05-28 13:40,SOLUSDT,1779984000000,80.89,0.344,0.0,-0.7,STOP_LOSS,1779984600000,True
05-28 13:40,HYPEUSDT,1779975600000,56.859,0.545,0.0,-0.818,STOP_LOSS,1779976200000,True
05-28 13:40,HYPEUSDT,1779984000000,57.45,0.63,0.002,-0.945,STOP_LOSS,1779984900000,True
06-02 09:25,HYPEUSDT,1780393200000,71.26,0.51,0.826,-0.765,STOP_LOSS,1780395300000,True
06-02 12:15,HYPEUSDT,1780412400000,71.25,0.758,0.841,-1.137,STOP_LOSS,1780414800000,True
06-02 12:15,HYPEUSDT,1780420500000,71.707,0.673,0.0,-1.009,STOP_LOSS,1780421700000,True
06-02 12:15,HYPEUSDT,1780427700000,70.547,0.584,2.103,0.935,TRAILING_STOP,1780428900000,True
06-02 12:15,HYPEUSDT,1780434900000,69.422,0.763,2.309,0.784,TRAILING_STOP,1780440900000,True
06-02 12:15,HYPEUSDT,1780442400000,68.625,0.712,0.467,-1.068,STOP_LOSS,1780443300000,True
06-02 12:15,HYPEUSDT,1780449900000,69.774,0.64,1.918,0.639,TRAILING_STOP,1780451400000,True
06-02 12:15,HYPEUSDT,1780457700000,69.81,0.647,0.723,-0.971,STOP_LOSS,1780458600000,True
06-02 12:15,HYPEUSDT,1780537500000,72.321,0.748,2.628,1.133,TRAILING_STOP,1780538700000,True
06-02 12:15,BNBUSDT,1780453200000,647.25,0.291,2.494,1.911,TRAILING_STOP,1780458600000,True
06-02 12:15,BNBUSDT,1780469700000,641.06,0.278,0.015,-0.7,STOP_LOSS,1780470900000,True
06-02 12:15,BNBUSDT,1780478100000,643.3,0.241,1.406,1.233,MAX_HOLD,1780488900000,True
06-02 12:15,BNBUSDT,1780489200000,634.65,0.27,0.61,-0.466,MAX_HOLD,1780500000000,True
06-02 12:15,BNBUSDT,1780500900000,635.79,0.339,2.422,1.744,TRAILING_STOP,1780504500000,True
06-02 12:15,BNBUSDT,1780508700000,626.84,0.373,1.331,1.155,MAX_HOLD,1780519500000,True
06-02 12:15,BNBUSDT,1780519800000,618.43,0.339,0.261,-0.7,STOP_LOSS,1780520400000,True
06-02 12:15,BNBUSDT,1780527000000,626.37,0.289,2.136,1.558,TRAILING_STOP,1780533000000,True
06-02 12:15,BNBUSDT,1780534200000,614.96,0.501,1.399,0.397,TRAILING_STOP,1780536900000,True
06-02 12:15,SOLUSDT,1780530600000,71.7,0.437,1.709,0.835,TRAILING_STOP,1780533000000,True
06-02 12:15,SOLUSDT,1780537800000,68.44,0.806,2.698,1.085,TRAILING_STOP,1780538700000,True
06-04 08:00,SOLUSDT,1780568700000,68.31,0.535,1.391,0.321,TRAILING_STOP,1780571700000,True
06-04 08:00,ZECUSDT,1780574400000,536.85,1.072,2.647,0.502,TRAILING_STOP,1780575600000,True
06-04 08:00,HYPEUSDT,1780574700000,65.476,0.998,0.0,-1.2,STOP_LOSS,1780575300000,True
06-04 08:00,MRVLUSDT,1780568700000,281.14,0.878,0.959,-1.2,STOP_LOSS,1780570800000,False
06-25 13:40,SOLUSDT,1782399600000,66.1,0.915,1.316,0.2,BREAKEVEN_EXIT,1782400800000,True
06-25 13:40,MUUSDT,1782395400000,1151.01,1.385,0.0,-1.2,STOP_LOSS,1782395700000,False
06-25 13:40,XAGUSDT,1782397200000,57.65,0.563,0.0,-0.845,STOP_LOSS,1782397500000,False
06-25 13:40,XAUUSDT,1782395400000,4010.26,0.249,0.126,-0.7,STOP_LOSS,1782400800000,False
