win,pair,rank,bucket,pnl,why,tag
0,1000BONKUSDT,42,21-50,-0.7,STOP,signal
0,FHEUSDT,16,11-20,-1.2,STOP,signal
0,FOGOUSDT,30,21-50,0.5169170922710244,TRAIL,signal
0,LTCUSDT,19,11-20,0.26055399375278726,TRAIL,signal
0,ASTERUSDT,18,11-20,0.6718073410629121,TRAIL,signal
0,LITUSDT,49,21-50,0.382313810110979,TRAIL,signal
0,币安人生USDT,34,21-50,0.31637278073051883,TRAIL,signal
0,WLDUSDT,38,21-50,1.7890609659982293,TRAIL,signal
0,HYPEUSDT,20,11-20,0.32584464310854944,TRAIL,signal
0,SUIUSDT,10,1-10,2.806862356794065,TRAIL,signal
0,XRPUSDT,3,1-10,0.8894557053344386,TRAIL,signal
0,1000BONKUSDT,42,21-50,2.0344139814811713,TRAIL,signal
0,ADAUSDT,15,11-20,-0.7,STOP,signal
0,1000PEPEUSDT,9,1-10,0.3441719445818867,TRAIL,signal
0,AAVEUSDT,43,21-50,0.27144923857868075,TRAIL,signal
0,APTUSDT,45,21-50,0.2739270084806119,TRAIL,signal
0,ARBUSDT,36,21-50,0.4398570646221293,TRAIL,signal
0,ENAUSDT,21,21-50,0.33828135405105075,TRAIL,signal
0,LINKUSDT,23,21-50,-0.7,STOP,signal
1,ENSOUSDT,21,21-50,0.5915000000000014,TRAIL,signal
1,HYPEUSDT,2,1-10,0.48950654704920205,TRAIL,signal
1,JTOUSDT,10,1-10,-1.2,STOP,signal
1,1000PEPEUSDT,14,11-20,0.32468294032519346,TRAIL,signal
1,AAVEUSDT,31,21-50,0.5700926827618885,TRAIL,signal
1,ACUUSDT,38,21-50,-1.2,STOP,signal
1,ASTERUSDT,16,11-20,0.882879435905,TRAIL,signal
1,AXLUSDT,50,21-50,0.5457496679946933,TRAIL,signal
1,CRVUSDT,44,21-50,0.7415000000000006,TRAIL,signal
1,DASHUSDT,23,21-50,0.6024769384419856,TRAIL,signal
1,AVNTUSDT,34,21-50,-1.2,STOP,signal
1,BTRUSDT,43,21-50,-1.2,STOP,signal
1,ROSEUSDT,35,21-50,-1.2,STOP,signal
1,PIPPINUSDT,5,1-10,0.27597684391080207,TRAIL,signal
1,PTBUSDT,25,21-50,0.6266940584571119,TRAIL,signal
1,QUSDT,37,21-50,-1.2,STOP,signal
1,FARTCOINUSDT,33,21-50,0.8198783783783739,TRAIL,signal
1,NOMUSDT,30,21-50,0.33920831015686725,TRAIL,signal
1,AXLUSDT,50,21-50,-0.959499268156355,STOP,signal
1,FOGOUSDT,19,11-20,0.27154231311706556,TRAIL,signal
1,WIFUSDT,42,21-50,1.6676550216274002,TRAIL,signal
1,1000PEPEUSDT,14,11-20,0.5461253626898726,TRAIL,signal
1,AAVEUSDT,31,21-50,0.2860783132530167,TRAIL,signal
1,ADAUSDT,17,11-20,0.39288888888888285,TRAIL,signal
1,ASTERUSDT,16,11-20,-0.9479430626520687,STOP,signal
1,AVAXUSDT,24,21-50,0.7477920735567207,TRAIL,signal
1,BNBUSDT,13,11-20,0.5038617124059426,TRAIL,signal
1,DASHUSDT,23,21-50,0.3710942720763717,TRAIL,signal
1,DOGEUSDT,8,1-10,0.5038318612842815,TRAIL,signal
1,BCHUSDT,29,21-50,-0.7,STOP,signal
1,PLAYUSDT,18,11-20,-1.2,STOP,signal
1,HYPEUSDT,2,1-10,0.40351328054368774,TRAIL,signal
1,ZECUSDT,6,1-10,0.32291809290952866,TRAIL,signal
1,AXLUSDT,50,21-50,-0.9177044788679785,STOP,signal
1,DASHUSDT,23,21-50,-0.8703199950085314,STOP,signal
1,PIPPINUSDT,5,1-10,0.5634062489618272,TRAIL,signal
1,ENSOUSDT,21,21-50,0.26317235494880703,TRAIL,signal
1,KITEUSDT,32,21-50,0.426020851521053,TRAIL,signal
1,HYPEUSDT,2,1-10,0.33932178839333416,TRAIL,signal
1,PTBUSDT,25,21-50,0.2631229589312091,TRAIL,signal
1,JTOUSDT,10,1-10,0.5155264516813911,TRAIL,signal
1,LITUSDT,36,21-50,-1.2,STOP,signal
1,FRAXUSDT,26,21-50,0.30102231301068183,TRAIL,signal
1,PUMPUSDT,12,11-20,0.3131940671908495,TRAIL,signal
1,XPLUSDT,22,21-50,0.3008996840442228,TRAIL,signal
1,PLAYUSDT,18,11-20,0.3154085772984111,TRAIL,signal
1,FOGOUSDT,19,11-20,0.3082136812411953,TRAIL,signal
1,SOMIUSDT,7,1-10,-0.8905772227964404,STOP,signal
1,ENSOUSDT,21,21-50,0.4275752965446068,TRAIL,signal
1,FARTCOINUSDT,33,21-50,0.7957642546483423,TRAIL,signal
1,PENGUUSDT,39,21-50,0.3003780918727893,TRAIL,signal
1,KITEUSDT,32,21-50,-1.0761275379946373,STOP,signal
1,PTBUSDT,25,21-50,-1.2,STOP,signal
1,HYPEUSDT,2,1-10,0.320877431906614,TRAIL,signal
1,AXSUSDT,11,11-20,0.5656426611796956,TRAIL,signal
1,WLFIUSDT,48,21-50,-0.7,STOP,signal
1,PIPPINUSDT,5,1-10,0.894240323338038,TRAIL,signal
1,VIRTUALUSDT,41,21-50,-1.1280639043454304,STOP,signal
1,XPLUSDT,22,21-50,0.7885829369375387,TRAIL,signal
1,WLDUSDT,9,1-10,-0.9436086673221191,STOP,signal
1,XMRUSDT,46,21-50,0.901661049402917,TRAIL,signal
1,AXLUSDT,50,21-50,2.9175177474235983,TRAIL,signal
1,FARTCOINUSDT,33,21-50,5.9915235690835225,TRAIL,signal
