key,era,actual,A_jun_arm070_nolock,B_base_arm045_nolock,C_arm045_lock010,D_today_arm040_lock010,E_arm040_nolock,F_arm050_lock010,G_arm060_lock010
9,BASE,0.552865680837955,0.5233287122612497,0.5233287122612497,0.5233287122612497,0.5233287122612497,0.5233287122612497,0.5233287122612497,0.5233287122612497
10,BASE,0.8370220666619222,0.91,0.91,0.91,0.91,0.91,0.91,0.91
15,BASE,0.742958333333334,0.91,0.91,0.91,0.05126666666666517,0.05126666666666517,0.91,0.91
16,BASE,1.4549718969555203,0.91,0.91,0.91,0.91,0.91,0.91,0.91
18,BASE,0.0583715641903068,-0.85,0.066276045921193,0.066276045921193,0.066276045921193,0.066276045921193,0.066276045921193,-0.85
19,BASE,-0.6900564604886652,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
26,BASE,0.7531408847980922,0.91,0.91,0.91,0.91,0.91,0.91,0.91
27,BASE,0.756587134773068,0.91,0.91,0.91,0.91,0.91,0.91,0.91
33,BASE,0.4167614229918641,-0.85,0.20470384923063084,0.20470384923063084,0.20470384923063084,0.20470384923063084,0.20470384923063084,0.20470384923063084
36,BASE,0.1111167002012169,0.91,-0.1828538373095574,-0.009999999999999995,-0.009999999999999995,-0.1828538373095574,-0.009999999999999995,0.91
37,BASE,0.7307877608221763,0.91,0.91,0.91,0.91,0.91,0.91,0.91
38,BASE,0.5747392598894093,0.91,0.91,0.91,0.91,0.91,0.91,0.91
39,BASE,0.2688926397343605,-0.85,0.02510343110126255,0.02510343110126255,0.02510343110126255,0.02510343110126255,0.02510343110126255,-0.85
40,BASE,0.380751387347389,0.38440843507215167,0.38440843507215167,0.38440843507215167,0.38440843507215167,0.38440843507215167,0.38440843507215167,0.38440843507215167
41,BASE,1.5828013172338036,0.91,0.91,0.91,0.91,0.91,0.91,0.91
43,BASE,0.251960612198955,0.91,0.91,0.91,-0.009999999999999995,-0.15746101733062395,0.91,0.91
48,BASE,0.0219943977591068,-0.85,-0.19633109243697722,-0.009999999999999995,-0.009999999999999995,-0.19633109243697722,-0.009999999999999995,-0.009999999999999995
50,BASE,1.366834008097163,0.91,0.91,0.91,0.91,0.91,0.91,0.91
51,BASE,0.3558058659217997,0.32482122905028743,0.32482122905028743,0.32482122905028743,0.32482122905028743,0.32482122905028743,0.32482122905028743,0.32482122905028743
55,BASE,0.2233385579937379,-0.85,0.2052804472933108,0.2052804472933108,0.2052804472933108,0.2052804472933108,0.2052804472933108,0.2052804472933108
56,BASE,0.0952687606452305,0.91,0.12355650736398892,0.12355650736398892,0.12355650736398892,0.12355650736398892,0.12355650736398892,0.91
57,BASE,-1.114037861915362,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
58,BASE,0.4668518864982958,0.43977190520736553,0.43977190520736553,0.43977190520736553,0.43977190520736553,0.43977190520736553,0.43977190520736553,0.43977190520736553
59,BASE,0.3097134097573983,0.32210362569981654,0.32210362569981654,0.32210362569981654,0.32210362569981654,0.32210362569981654,0.32210362569981654,0.32210362569981654
60,BASE,0.4304240846489608,0.4435704400402981,0.4435704400402981,0.4435704400402981,0.4435704400402981,0.4435704400402981,0.4435704400402981,0.4435704400402981
61,BASE,0.068519736842109,-0.85,0.050705263157893796,0.050705263157893796,0.050705263157893796,0.050705263157893796,0.050705263157893796,-0.85
67,BASE,0.8801005199306797,0.91,0.91,0.91,-0.009999999999999995,0.91,0.91,0.91
68,BASE,0.9292989165073268,0.91,0.91,0.91,0.91,0.91,0.91,0.91
69,BASE,1.3075139268159488,0.91,0.91,0.91,0.91,0.91,0.91,0.91
75,BASE,0.0308645707376015,0.91,0.013993461073387323,0.013993461073387323,0.013993461073387323,0.013993461073387323,0.013993461073387323,0.013993461073387323
76,BASE,0.1810644067796552,0.91,0.16927175141243528,0.16927175141243528,0.16927175141243528,0.16927175141243528,0.16927175141243528,0.91
77,BASE,0.2531865788128675,0.20785862307129632,0.20785862307129632,0.20785862307129632,0.20785862307129632,0.20785862307129632,0.20785862307129632,0.20785862307129632
78,BASE,0.1214255794914359,0.2516495863830363,0.08058200246827278,0.08058200246827278,0.08058200246827278,0.08058200246827278,0.08058200246827278,0.12945845501532588
