ts,pair,ms,gate,covered
2026-08-19 23:01:04,HEMIUSDT,1787180464000,DEADBAND5M,True
2026-08-19 23:09:32,BCHUSDT,1787180972000,DEADBAND5M,True
2026-08-19 23:17:55,INJUSDT,1787181475000,1H_SLOPEMAX,True
2026-08-19 23:21:14,KAITOUSDT,1787181674000,1H_SLOPEMAX,True
2026-08-19 23:25:45,WLDUSDT,1787181945000,1H_SLOPEMAX,True
2026-08-19 23:35:47,1000PEPEUSDT,1787182547000,DEADBAND5M,False
2026-08-19 23:40:51,LITUSDT,1787182851000,DEADBAND5M,True
2026-08-19 23:45:30,DOGEUSDT,1787183130000,DEADBAND5M,False
2026-08-19 23:52:32,ASTERUSDT,1787183552000,DEADBAND5M,False
2026-08-19 23:55:41,BCHUSDT,1787183741000,DEADBAND5M,False
2026-08-20 00:00:36,TAOUSDT,1787184036000,1H_SLOPEMAX,False
2026-08-20 00:03:54,ONDOUSDT,1787184234000,1H_SLOPEMAX,False
2026-08-20 00:05:34,LTCUSDT,1787184334000,1H_SLOPEMAX,False
2026-08-20 00:05:35,XLMUSDT,1787184335000,1H_SLOPEMAX,False
2026-08-20 00:05:42,PENGUUSDT,1787184342000,1H_SLOPEMAX,False
2026-08-20 00:10:13,BTCUSDT,1787184613000,1H_SLOPEMAX,False
2026-08-20 00:10:23,ADAUSDT,1787184623000,1H_SLOPEMAX,False
2026-08-20 00:10:24,UNIUSDT,1787184624000,1H_SLOPEMAX,False
2026-08-20 00:11:55,WLDUSDT,1787184715000,1H_SLOPEMAX,False
2026-08-20 00:13:34,HEMIUSDT,1787184814000,1H_SLOPEMAX,False
2026-08-20 00:13:57,1000SHIBUSDT,1787184837000,1H_SLOPEMAX,False
2026-08-20 00:15:12,ACEUSDT,1787184912000,1H_SLOPEMAX,False
2026-08-20 00:17:22,ETCUSDT,1787185042000,1H_SLOPEMAX,False
2026-08-20 00:18:29,XRPUSDT,1787185109000,1H_SLOPEMAX,False
2026-08-20 00:18:38,NEARUSDT,1787185118000,1H_SLOPEMAX,False
2026-08-20 00:20:16,SUIUSDT,1787185216000,1H_SLOPEMAX,True
2026-08-20 00:21:55,1000PEPEUSDT,1787185315000,1H_SLOPEMAX,True
2026-08-20 00:22:14,KAITOUSDT,1787185334000,1H_SLOPEMAX,True
2026-08-20 00:26:54,AVAXUSDT,1787185614000,1H_SLOPEMAX,True
2026-08-20 00:28:40,AAVEUSDT,1787185720000,1H_SLOPEMAX,True
2026-08-20 00:30:05,LINKUSDT,1787185805000,1H_SLOPEMAX,True
2026-08-20 00:35:02,DOGEUSDT,1787186102000,1H_SLOPEMAX,True
2026-08-20 00:35:26,INJUSDT,1787186126000,1H_SLOPEMAX,True
2026-08-20 00:35:28,EDENUSDT,1787186128000,1H_SLOPEMAX,True
2026-08-20 00:36:41,HYPEUSDT,1787186201000,1H_SLOPEMAX,True
