era,keep,day,pair,atr,peak,actual,usd,lockless_1xATR,lockless_1xATR_tp1,lock0,lockless_1xATR_why,lockless_1xATR_tp1_why,lock0_why,lockless_1xATR_min,lockless_1xATR_tp1_min,lock0_min,newpeak
B1,True,2026-07-27,ONDOUSDT,0.5771,0.4730823988298342,0.0832042905899535,24.8,-0.12401760117016573,-0.12401760117016573,-0.02,floor,floor,floor,1,1,0,0.4730823988298342
B1,False,2026-07-24,LAUSDT,1.4438,0.9975856491692466,0.0863652404058154,0.26,-0.46621435083075335,-0.46621435083075335,-0.02,floor,floor,floor,0,0,0,0.9975856491692466
B1,False,2026-07-24,KAITOUSDT,0.5875,0.6085574488802462,0.0927234664070151,0.28,0.0010574488802461875,0.0010574488802461875,0.0010574488802461875,floor,floor,floor,0,0,0,0.6085574488802462
B1,False,2026-07-23,IDOLUSDT,0.6746,0.5057582781456941,0.0423907284768158,0.13,-0.1888417218543059,-0.1888417218543059,-0.02,floor,floor,floor,0,0,0,0.5057582781456941
B1,False,2026-07-23,WLFIUSDT,0.9991,0.6727726550079622,0.0848020667726534,0.26,-0.34632734499203777,-0.34632734499203777,-0.02,floor,floor,floor,3,3,0,0.6727726550079622
B1,False,2026-07-22,LITUSDT,0.5323,0.5952894992922791,0.0956913481953282,0.27,0.5844657466383685,0.98,0.5844657466383685,floor,tp,floor,20,1,20,1.1367657466383685
B1,True,2026-07-22,ONDOUSDT,0.4446,0.5103079800498675,0.0865586034912691,9.88,0.04570798004986755,0.04570798004986755,0.04570798004986755,floor,floor,floor,0,0,0,0.5103079800498675
B1,False,2026-07-20,SKLUSDT,0.4706,0.5558325049701786,0.0838779821073574,0.24,0.06523250497017853,0.06523250497017853,0.06523250497017853,floor,floor,floor,0,0,0,0.5558325049701786
B1,False,2026-07-20,PROMUSDT,1.5021,0.8568312883435523,0.0596441717791275,0.17,1.3613355828220914,0.98,-0.02,floor,tp,floor,20,6,0,2.8834355828220914
B1,False,2026-07-17,KAITOUSDT,0.8594,0.4998096846846852,0.0945867117117068,0.28,-0.3795903153153149,-0.3795903153153149,-0.02,floor,floor,floor,3,3,0,0.4998096846846852
B1,False,2026-07-17,LDOUSDT,0.5447,0.4982851792402299,0.097181647940069,0.29,0.07735457463883956,0.07735457463883956,0.07735457463883956,floor,floor,floor,12,12,12,0.6420545746388395
B1,False,2026-07-17,KAITOUSDT,0.9348,0.5314258920402541,0.0970377401646793,0.29,1.5497745654162842,0.98,-0.02,floor,tp,floor,19,18,2,2.5045745654162843
B1,False,2026-07-17,EVAAUSDT,0.8407,0.5679034949476319,0.0953249281542599,0.28,-0.2927965050523681,-0.2927965050523681,-0.02,floor,floor,floor,6,6,0,0.5679034949476319
B1,False,2026-07-16,ONDOUSDT,0.5978,0.5276553854418424,0.0980878323932284,0.32,0.5640426000537174,0.98,0.5640426000537174,floor,tp,floor,11,7,11,1.1818426000537174
B1,False,2026-07-16,DODOXUSDT,1.4676,1.414698924731183,0.0990139043381496,0.32,-0.07290107526881705,-0.07290107526881705,-0.02,floor,floor,floor,5,5,5,1.414698924731183
B2,True,2026-08-07,1000BONKUSDT,0.4848,0.4699719887955231,0.0699919967987233,16.78,-0.034828011204476914,-0.034828011204476914,-0.02,floor,floor,floor,3,3,3,0.4699719887955231
B2,False,2026-08-05,BICOUSDT,1.5216,0.8264300847457705,0.0640614406779756,0.0,0.4499254237288237,0.98,0.4499254237288237,floor,tp,floor,4,1,4,1.9915254237288238
B3,True,2026-08-23,XMRUSDT,0.4903,0.4780696208464176,0.0986181984346435,21.99,-0.03223037915358244,-0.03223037915358244,-0.02,floor,floor,floor,9,9,5,0.4780696208464176
B3,True,2026-08-23,ONDOUSDT,0.4249,0.4636139573525344,0.0760841872057726,20.38,0.8843716698975359,0.98,0.8843716698975359,floor,tp,floor,13,8,13,1.329271669897536
B3,True,2026-08-23,DOTUSDT,0.3535,0.3998663399420761,0.099266540432159,10.35,0.026366339942076118,0.026366339942076118,0.026366339942076118,floor,floor,floor,2,2,2,0.3998663399420761
B3,True,2026-08-23,WLDUSDT,0.5834,0.4104334650856424,0.0943702239789139,10.42,-0.12909169960474584,-0.12909169960474584,-0.02,floor,floor,floor,16,16,0,0.4743083003952542
B3,True,2026-08-23,ADAUSDT,0.4868,0.4562021857923528,0.0920673952641217,9.6,-0.0058892531876003455,-0.0058892531876003455,-0.0058892531876003455,floor,floor,floor,8,8,8,0.5009107468123997
B3,True,2026-08-22,BBUSDT,0.8918,0.4488409703504136,0.0896136567834764,17.82,-0.46295902964958646,-0.46295902964958646,-0.02,floor,floor,floor,7,7,0,0.4488409703504136
B3,True,2026-08-21,ASTERUSDT,0.4878,0.4443683173888612,0.092810213843552,13.44,-0.06343168261113884,-0.06343168261113884,-0.02,floor,floor,floor,0,0,0,0.4443683173888612
B3,True,2026-08-21,CRVUSDT,0.8891,0.5291504739336498,0.0850376184834124,12.98,2.17146872037914,0.98,-0.02,floor,tp,floor,22,8,0,3.08056872037914
B3,True,2026-08-11,GIGGLEUSDT,0.924,1.0109387807377044,0.0892225922131154,15.52,0.06693878073770433,0.06693878073770433,0.06693878073770433,floor,floor,floor,0,0,0,1.0109387807377044
B4,True,2026-08-25,TAOUSDT,0.4864,0.4308165523436256,0.1165696553976915,9.26,-0.07558344765637441,-0.07558344765637441,-0.02,floor,floor,floor,2,2,1,0.4308165523436256
B5,True,2026-08-27,LITUSDT,0.6195,0.5719754887741495,0.0608144214480463,2.52,-0.06752451122585056,-0.06752451122585056,-0.02,floor,floor,floor,0,0,0,0.5719754887741495
B5,True,2026-08-26,FARTCOINUSDT,0.789,0.7780475643428938,0.0468406550417602,12.82,-0.03095243565710624,-0.03095243565710624,-0.02,floor,floor,floor,6,6,6,0.7780475643428938
B6,True,2026-09-11,HYPEUSDT,0.602,0.5780301407772847,0.0993622307784924,28.09,-0.04396985922271533,-0.04396985922271533,-0.02,floor,floor,floor,3,3,3,0.5780301407772847
B7,True,2026-09-14,BCHUSDT,0.366,0.4471571454154667,0.0981022564469847,14.14,0.0611571454154667,0.0611571454154667,0.0611571454154667,floor,floor,floor,0,0,0,0.4471571454154667
CUR,True,2026-09-17,DASHUSDT,0.9227,0.5160899437639122,0.0915371990689632,22.62487918525914,-0.2784005725547415,-0.2784005725547415,-0.02,floor,floor,floor,6,6,3,0.6642994274452585
