binance_order_id,cell_lev_multiplier,cell_multiplier,cell_multiplier_capped,cell_multiplier_source,close_initiated_at,close_reason,closed_at,closing_in_progress,confidence,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,current_price,current_tp_level,direction,dynamic_tp_target,ema13_strict_held_pnl_pct,ema5_went_negative,entry_adx,entry_adx_delta,entry_adx_prev,entry_atr_pct,entry_bear_pct,entry_btc_1h_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_atr_pct,entry_btc_dist_from_ema13_pct,entry_btc_ema20_slope,entry_btc_regime,entry_btc_regime_started_at,entry_btc_rsi,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_trend_gap_pct,entry_bull_pct,entry_dist_from_ema13_pct,entry_ema20_slope,entry_ema50_slope,entry_ema5_stretch,entry_ema_gap_5_8,entry_fee,entry_funding_rate,entry_gap,entry_global_volume_ratio,entry_macro_trend,entry_neg_di,entry_order_type,entry_pair_ema20_ema50_gap_pct,entry_pair_volume_24h_usd,entry_pair_volume_ratio,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,entry_pos_di,entry_price,entry_price_vs_ema5_pct,entry_quality_score,entry_range_position,entry_rsi,entry_rsi_prev,exit_btc_regime,exit_btc_trend_gap_pct,exit_ema5_crossed,exit_ema5_slope_pct,exit_fee,exit_order_type,exit_pair_ema20_ema50_gap_pct,exit_price,exit_price_vs_ema5_pct,exit_slippage_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,first_rsi2_minutes,first_rsi2_pnl,first_rsi3_minutes,first_rsi3_pnl,fl1_origin,fl2_flag_pnl,fl2_flagged,fl2_flagged_at,high_price_since_entry,id,investment,is_paper,leverage,low_price_since_entry,no_expansion_last_check,notes,notional_value,opened_at,pair,pattern_cell_source,pattern_fixed_sl_pct,pattern_fixed_tp_pct,peak_ema5_dist_pct,peak_ema5_gap,peak_ema5_slope_pct,peak_pnl,peak_reached_at,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_tick_a_pnl,phantom_tick_a_triggered_at,phantom_tick_b_pnl,phantom_tick_b_triggered_at,phantom_tick_c_pnl,phantom_tick_c_triggered_at,phantom_tick_d_pnl,phantom_tick_d_triggered_at,phantom_tick_e_pnl,phantom_tick_e_triggered_at,phantom_tick_f_pnl,phantom_tick_f_triggered_at,phantom_tick_g_pnl,phantom_tick_g_triggered_at,pnl,pnl_percentage,post_arm_min_pnl_at,post_arm_min_pnl_pct,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_final_pnl,post_exit_floor_before_signal_regain,post_exit_peak_before_signal_lost,post_exit_peak_minutes,post_exit_peak_pnl,post_exit_pnl_at_15min,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_30min,post_exit_pnl_at_5min,post_exit_pnl_at_signal_lost,post_exit_pnl_at_signal_regained,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_signal_lost_minutes,post_exit_signal_regained_minutes,post_exit_trough_minutes,post_exit_trough_pnl,protective_sl_order_id,protective_tp_order_id,quantity,regime_comeback_at,regime_comeback_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_opposite_at,regime_opposite_pnl,signal_active_at_close,signal_lost_flag_pnl,signal_lost_flagged,signal_lost_flagged_at,status,total_fee,trailing_confirmed_at,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trough_ema5_dist_pct,trough_pnl,trough_reached_at
,,,,,,FL_STOP_LOSS L1,2026-05-04T10:03:03.501481,False,STRONG_BUY,,,,,0.2398,1,LONG,0.5,,ENDED_NEG,15.5946,1.2955,14.2991,0.2556,22.9,,21.9385,22.0435,,,0.0459,HEALTHY_BULL,,68.4,,,64.2,,,68.8,,0.1177,-0.0025,0.1699,0.09,0.08938705159404585,9.7e-05,0.202,0.7778,BULLISH,14.122211416314467,TAKER_FALLBACK,,,0.865,,,,,,,,,,,,,,,,,,27.68202507605524,0.2418,0.1702,2.0,100.0,63.55,,CHOPPY_FLAT,,True,0.0901,0.08864770459988502,TAKER,,0.2398,-0.5808,,,,,,,,6.87,-0.6274,SIGNAL_LOST,-0.8341,True,2026-05-04T10:03:02.224067,0.2423,340,198.637892431213,True,1.0,,,,198.637892431213,2026-05-04T09:56:01,WLDUSDT,,,,0.3209,0.0,0.3558,0.11668941273780002,2026-05-04T09:57:20.913673,,,,,,,,,,,,,,,,,,,,,,,-1.8210280765513374,-0.9167576509511886,,,,,-2.0751,,0.0,0.56,-0.5863,,,,,,-0.9171,,,,3.43,-2.1165,2.29,-1.6615,,,,,0.0,,8.02,-3.1504,,,821.4966601787139,,,2026-05-04T10:02:17.550386,-0.4207,,,False,-0.6274,True,2026-05-04T10:02:52.971958,CLOSED,0.1780347561939309,,,,-0.7488,-1.0821091811414332,2026-05-04T10:03:02.435160
,,,,,,FL_REGIME_CHANGE L1,2026-05-04T10:04:44.064791,False,STRONG_BUY,,,,,0.12879,1,LONG,0.5,,ENDED_NEG,16.4208,0.2583,16.1625,1.1986,16.7,,21.5873,22.0435,,,0.0422,HEALTHY_BULL,,65.9,,,64.2,,,70.8,,0.2429,0.8133,0.2577,0.1156,0.03575482063761834,9.7e-05,0.6238,0.6392,BULLISH,12.595744280162632,MAKER,,,0.7771,,,,,,,,,,,,,,,,,,18.80693606707967,0.1295,0.2584,4.0,70.4,58.24,,HEALTHY_BEAR,,True,-0.0987,0.08889697586715957,TAKER,,0.12879,-0.2337,,,,,,,,10.95,-0.665,WIDE_SL,,False,,0.12994,339,198.637892431213,True,1.0,,,,198.637892431213,2026-05-04T09:51:56,NAORISUSDT,,,,0.4811,0.0,0.1756,0.27661544401544086,2026-05-04T09:59:32.380877,,,,,,,,,0.3926,2026-05-04T10:14:21.574600,0.3926,2026-05-04T10:14:20.561533,0.3926,2026-05-04T10:14:21.574600,0.3926,2026-05-04T10:14:20.561533,0.3926,2026-05-04T10:14:21.574600,0.5084,2026-05-04T10:14:18.534576,0.0606,2026-05-04T10:16:31.685412,-1.2137089673631907,-0.6110158301158426,,,,,0.2922,,1.0876,33.81,2.1995,,,,,,-0.4105,,,,37.24,0.3849,16.64,-1.2213,,,,,14.38,,17.01,-2.1788,,,1533.883339237166,,,2026-05-04T10:02:17.546758,-0.3872,2026-05-04T10:04:44.063972,-0.611,True,-0.8966,True,2026-05-04T09:53:01.514201,CLOSED,0.12465179650477791,,,,-0.8383,-0.9815054054054027,2026-05-04T09:53:01.528786
,,,,,,FL_DEEP_STOP L1,2026-05-04T10:02:19.608169,False,STRONG_BUY,,,,,0.3101,1,LONG,0.5,,ENDED_NEG,16.3209,0.0463,16.2746,0.8,16.7,,21.5873,22.0435,,,0.0422,HEALTHY_BULL,,65.9,,,64.2,,,70.8,,0.1796,0.5813,0.1471,0.066,0.03575482063761834,9.7e-05,0.2599,0.6392,BULLISH,19.74864259583981,MAKER,,,0.8427,,,,,,,,,,,,,,,,,,27.793908447774875,0.31320000000000003,0.1473,5.0,54.9,55.6,,CHOPPY_FLAT,,True,-0.2263,0.08850231385476888,TAKER,,0.3101,-0.6135,,,,,,3.5,-0.1268,3.5,-0.1268,SIGNAL_LOST,-0.8289,True,2026-05-04T10:02:04.169291,0.3137,338,198.637892431213,True,1.0,,,,198.637892431213,2026-05-04T09:51:52,ONDOUSDT,,,,0.2426,0.0,0.5656,0.09657056194123403,2026-05-04T09:52:33.270470,,,,,,,,,,,,,,,,,,,,,,,-2.0903409995523154,-1.0523374840357747,,,,,-2.9366,,0.0,0.17,-0.8612,,,,,,-1.0528,,,,3.02,-2.8727,0.0,-1.0528,,,,,0.0,,4.87,-4.086,,,634.2206016322253,,,2026-05-04T10:02:17.543503,-0.9247,,,False,-0.5417,True,2026-05-04T09:59:27.069782,CLOSED,0.12425713449238722,,,,-0.6135,-1.0523374840357747,2026-05-04T10:02:19.309005
,,,,,,TRAILING_STOP L2,2026-05-04T10:02:18.711070,False,STRONG_BUY,,,,,292.38,2,LONG,1.0,,NEVER,20.7863,1.0983,19.688,0.2783,20.8,,22.1797,22.9212,,,0.0296,HEALTHY_BULL,,57.7,,,62.5,,,70.8,,0.1504,0.1259,0.1615,0.1133,0.08938705159404585,9.7e-05,0.335,0.7505,BULLISH,17.57093746559942,TAKER_FALLBACK,,,1.6714,,,,,,,,,,,,,,,,,,36.546677453715596,291.05,0.1618,5.0,79.9,66.22,,CHOPPY_FLAT,,False,0.5481,0.08979244897629679,TAKER,,292.37,0.1595,,,,,,,,,,,,False,,292.96,337,198.637892431213,True,1.0,,,,198.637892431213,2026-05-04T09:50:33,TAOUSDT,,,,0.381,0.0,0.5276,0.565949321422425,2026-05-04T10:01:24.629924,,,2026-05-04T10:01:06.957966,,,,,,0.2398,2026-05-04T10:02:26.172261,0.2914,2026-05-04T10:02:24.122228,0.2914,2026-05-04T10:02:24.122228,0.2914,2026-05-04T10:02:24.122228,0.2398,2026-05-04T10:02:26.172261,0.2845,2026-05-04T10:02:38.446404,0.2879,2026-05-04T10:02:39.465842,0.7217035710984421,0.36332623260607905,,,,,-1.7323,,0.336,0.0,0.3635,,,,,,-0.5057,,,,3.04,-0.5023,4.18,-0.5057,,,,,4.18,,21.57,-3.677,,,0.6824871755066586,,,2026-05-04T10:02:17.540059,0.4148,,,True,,False,,CLOSED,0.17917950057034265,,,,,-0.09,
,,,,,,FL_REGIME_CHANGE L1,2026-05-04T10:04:43.219444,False,VERY_STRONG,,,,,84.38,1,LONG,0.5,,ENDED_NEG,23.1188,0.1533,22.9655,0.1377,29.2,,21.6876,23.2843,,,0.0207,HEALTHY_BULL,,57.1,,,57.9,,,58.3,,0.0656,-0.0445,0.1166,0.0528,0.03575482063761834,9.7e-05,0.1104,0.5518,BULLISH,16.93601717389696,MAKER,,,0.9503,,,,,,,,,,,,,,,,,,28.293796324453325,85.018,0.1167,3.0,97.8,68.41,,HEALTHY_BEAR,,True,-0.1383,0.08871626494984107,TAKER,,84.38,-0.6056,,,,,,19.36,-0.1077,15.93,-0.0959,SIGNAL_LOST,-0.8013,True,2026-05-04T10:04:04.927587,85.16,335,198.637892431213,True,1.0,,,,198.637892431213,2026-05-04T09:42:23,SOLUSDT,,,,0.1383,0.0,0.201,0.10394829330258994,2026-05-04T09:53:50.131953,,,,,,,,,,,,,,,,,,,,,,,-1.6151080727091855,-0.8130916276553262,,,,,-1.1192,,0.0,0.01,-0.7781,,,,,,-0.7781,,,,2.9,-1.2251,0.01,-0.7781,,,,,0.01,,20.37,-2.1896,,,2.336421609908643,,,2026-05-04T10:02:17.536635,-0.3193,2026-05-04T10:04:43.218333,-0.8131,False,-0.5074,True,2026-05-04T10:02:56.024820,CLOSED,0.12447108558745941,,,,-0.8878,-1.0012023806723302,2026-05-04T10:04:09.093871
,,,,,,REGIME_CHANGE L1,2026-05-04T09:41:47.218185,False,STRONG_BUY,,,,,93.53,1,SHORT,0.5,,ENDED_NEG,26.8758,1.3504,25.5255,0.2408,72.9,,27.3294,26.5201,,,-0.0657,HEALTHY_BEAR,,31.8,,,33.6,,,25.0,,-0.1422,-0.1574,0.2396,0.0978,0.03580656019191166,0.0001,0.3046,0.7637,BEARISH,36.40440968985567,MAKER,,,1.0673,,,,,,,,,,,,,,,,,,14.006465352417624,93.242,-0.239,4.0,7.7,28.3,,HEALTHY_BULL,,True,0.2924,0.08979289308330735,TAKER,,93.53,-0.2674,,,,,,5.83,-0.2433,4.68,-0.2433,,,False,,,334,198.9253343995092,True,1.0,92.83,,,198.9253343995092,2026-05-04T08:06:16,AAVEUSDT,,,,0.2201,0.0,-0.0701,0.3790598013770684,2026-05-04T09:01:10.206980,,,,,,,,,1.5371,2026-05-04T10:07:33.733291,1.5264,2026-05-04T10:07:43.880857,1.6015,2026-05-04T10:07:44.893961,1.5371,2026-05-04T10:09:31.369347,1.5371,2026-05-04T10:09:31.369347,1.5371,2026-05-04T10:09:31.369347,1.5264,2026-05-04T10:09:52.685235,-0.7400274611156556,-0.3720126766907581,,,,,1.9876,,0.0,12.62,2.3844,,,,,,-0.3719,,,,2.89,-0.6293,0.0,-0.3719,,,,,0.0,,38.98,-0.8545,,,2.1334305827793183,2026-05-04T08:17:12.813447,-0.1145,2026-05-04T08:16:04.553383,-0.3291,2026-05-04T09:41:47.217322,-0.372,False,,False,,CLOSED,0.12559945327521901,,,,-0.2887,-0.3934718903498345,2026-05-04T09:41:37.646240
,,,,,,TRAILING_STOP L1,2026-05-04T07:46:08.692276,False,VERY_STRONG,,,,,1.944,1,SHORT,0.5,,NEVER,32.344,0.7128,31.6312,0.4303,68.8,,27.0216,26.1895,,,-0.037,HEALTHY_BEAR,,33.9,,,39.0,,,20.8,,-0.2143,-0.5251,0.1695,0.1187,0.03571488953089809,-0.000341,0.527,0.955,BEARISH,26.80471081466034,MAKER,,,0.8131,,,,,,,,,,,,,,,,,,11.052138617006785,1.948,-0.1692,2.0,0.0,29.71,,HEALTHY_BEAR,,True,-0.2284,0.08905804717471123,TAKER,,1.943,0.1803,,,,,,,,,,,,False,,,333,198.41605294943383,True,1.0,1.941,,,198.41605294943383,2026-05-04T07:38:41,ORCAUSDT,,,,0.8551,0.0,-0.2284,0.29650462012319795,2026-05-04T07:46:08.685623,,,2026-05-04T07:46:08.660037,0.19378901437371118,,,,,0.091,2026-05-04T07:49:53.754003,0.1937,2026-05-04T07:47:21.823919,0.091,2026-05-04T07:49:55.782835,0.091,2026-05-04T07:49:54.769459,0.0397,2026-05-04T07:49:58.830688,0.0397,2026-05-04T07:49:58.830688,0.0397,2026-05-04T07:49:58.830688,0.38450851336992875,0.19378901437371118,,,,,1.1177,,,4.31,1.2204,,,,,,,,,,23.64,0.8097,7.36,0.0397,,,,,,,44.44,-0.063,,,101.85629001510978,,,,,,,True,,False,,CLOSED,0.12477293670560932,,,,0.0153,-0.11435780287474906,2026-05-04T07:39:01.674500
,,,,,,REGIME_CHANGE L1,2026-05-04T09:41:46.887380,False,VERY_STRONG,,,,,631.12,1,SHORT,0.5,,ENDED_NEG,30.3494,0.3089,30.0405,0.2081,72.9,,28.4949,26.4811,,,-0.1114,BEAR_EXHAUSTED,,25.9,,,27.2,,,22.9,,-0.1325,0.2186,0.2108,0.1136,0.03583503212655881,0.0001,0.251,0.9346,BEARISH,41.81516648255916,MAKER,,,1.8269,,,,,,,,,,,,,,,,,,20.426074018255683,629.39,-0.2104,4.0,25.9,31.78,,HEALTHY_BULL,,True,0.1582,0.08983382908734565,TAKER,,631.12,-0.135,,,,,,19.81,-0.1043,17.53,-0.1488,,,False,,,332,199.08351181421557,True,1.0,627.93,,,199.08351181421557,2026-05-04T06:31:33,BNBUSDT,,,,0.1141,0.0,-0.0489,0.1690750250242356,2026-05-04T08:23:40.071576,,,,,,,,,,,,,,,,,,,0.9332,2026-05-04T10:13:34.387282,0.8712,2026-05-04T10:13:52.635449,-0.6728883522108962,-0.3379930091040561,,,,,1.2827,,0.0,9.19,1.3733,,,,,,-0.3379,,,,9.92,-0.3474,0.01,-0.3379,,,,,0.01,,42.51,-0.3887,,,0.31631184450692823,2026-05-04T07:34:29.254703,0.0991,2026-05-04T06:55:24.390505,-0.0566,2026-05-04T09:41:46.886537,-0.338,False,,False,,CLOSED,0.12566886121390447,,,,-0.1366,-0.33958256406997395,2026-05-04T09:41:34.210306
,,,,,,FL_DEEP_STOP L1,2026-05-04T09:39:51.085879,False,STRONG_BUY,,,,,1.4167,1,SHORT,0.5,,ENDED_NEG,29.8243,1.4716,28.3527,0.1858,68.8,,26.4549,24.2855,,,-0.1146,HEALTHY_BEAR,,24.6,,,27.6,,,31.2,,-0.1022,0.0254,0.2694,0.0837,0.089587580316397,0.0001,0.2396,1.2247,BEARISH,35.616290508326095,TAKER_FALLBACK,,,2.0205,,,,,,,,,,,,,,,,,,12.205011400769259,1.4039,-0.2687,4.0,14.6,26.49,,CHOPPY_FLAT,,True,0.1017,0.09040439136280337,TAKER,,1.4167,-0.1687,,,,,,7.26,-0.261,3.76,-0.1613,SIGNAL_LOST,-0.8026,True,2026-05-04T09:10:29.461959,,331,199.08351181421557,True,1.0,1.4038,,,199.08351181421557,2026-05-04T06:30:17,XRPUSDT,,,,,0.0,,0.0,,,,,,,,,,0.4157,2026-05-04T10:07:30.686936,0.3516,2026-05-04T10:07:39.817600,0.3516,2026-05-04T10:07:39.817600,0.6508,2026-05-04T10:13:21.194227,,,0.5938,2026-05-04T10:13:34.387282,,,-1.9951276303600096,-1.0021561364769673,,,,,1.1352,,0.0,11.09,1.2206,,,,,,-1.0017,,,,11.85,-1.13,0.0,-1.0017,,,,,0.0,,44.45,-1.1727,,,141.80747333443662,2026-05-04T07:34:29.252786,-0.4962,2026-05-04T06:55:24.388842,-0.4962,,,False,-0.5033,True,2026-05-04T06:52:31.572040,CLOSED,0.1799919716792004,,,,-0.1687,-1.0021561364769673,2026-05-04T09:39:49.138907
,,,,,,FL_RECOVERED L1,2026-05-04T06:59:37.163309,False,STRONG_BUY,,,,,287.31,1,SHORT,0.5,,RECOVERED,29.6275,0.384,29.2435,0.3373,68.8,,24.1345,22.9261,,,-0.0902,HEALTHY_BEAR,,27.8,,,31.4,,,27.1,,-0.1719,-0.3564,0.2195,0.0908,0.03583503212655881,0.0001,0.4102,1.1298,BEARISH,26.4028174617605,MAKER,,,1.0094,,,,,,,,,,,,,,,,,,12.82309582287024,286.34000000000003,-0.219,3.0,4.6,29.87,,CHOPPY_FLAT,,True,0.243,0.08988793680554884,TAKER,,287.3,0.0427,,,,,,21.62,-0.3041,7.68,-0.1643,SIGNAL_LOST,-0.8002,True,2026-05-04T06:53:10.945296,,329,199.08351181421557,True,1.0,285.53,,,199.08351181421557,2026-05-04T06:25:08,TAOUSDT,,,,0.4968,0.0,-0.2666,0.22000778794442244,2026-05-04T06:26:00.561285,,,,,,,,,,,,,,,,,,,,,,,-0.7931818337139853,-0.39841663756372825,,,,,-0.9745,,0.0,45.01,-0.3598,,,,,,-0.3983,,,,41.37,-0.7929,6.76,-0.5799,,,,,0.01,,25.67,-0.9745,,,0.6952696508144707,,,2026-05-04T06:55:24.386100,-0.636,,,False,-0.5347,True,2026-05-04T06:50:13.359916,CLOSED,0.12572296893210766,,,,-0.4892,-0.9120233638331877,2026-05-04T06:53:29.327802
