id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,entry_strategy,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,runner_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
24,,BANANAS31USDT,SHORT,CLOSED,0.010459,0.010434,0.010434,567.3051482343122,20.0,11346.102964686244,1084817.1875596372,STRONG_BUY,,,,58.81262273043804,,20.542259839597445,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,,HEALTHY_BULL,,0.3077,,,,,,,,,,,,,,11346.102964686244,500000.0,False,,0.2997,,,,,,,,,5.10574633410881,5.093542140748765,10.199288474857575,16.921141214132252,0.14913615068361202,0.516301749689265,-0.36332345348503525,0.010459,0.010405,0.0,,,,,,NEVER,1,0.45,,False,,-0.0096,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.1311,0.6897,True,0.010521,0.010384,2026-06-15T02:34:30.072797,2026-06-15T02:40:30.511812,,,,,,,,,,,,,,,,,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-0.3003,0.0056,-0.5011,-0.1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T02:17:52,2026-06-15T02:22:49.396485,FLIP_TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
23,,SUIUSDT,SHORT,CLOSED,0.7967000000000001,0.7942,0.7942,567.3051482343122,20.0,11346.102964686244,14241.37437515532,STRONG_BUY,,,,60.674422435578016,,20.19962739971798,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,,CHOPPY_WEAK,,0.3077,,,,,,,,,,,,,,11346.102964686244,500000.0,False,,0.2742,,,,,,,,,2.042298533643524,5.08972478793676,7.132023321580284,28.47141261630884,0.25093560938873577,0.5899334755868002,-0.1506213129157749,0.7967000000000001,0.792,0.0,,,,,,NEVER,1,0.45,,False,,-0.0126,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.073,-0.0816,True,0.7943,0.7921,2026-06-15T02:37:41.347096,2026-06-15T02:39:17.037451,,,,,,,,,,,,,,,,,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.4391,0.4391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T02:17:32,2026-06-15T02:37:38.975975,FLIP_TRAILING_STOP L1,MAKER,TAKER,True,
21,,NEARUSDT,SHORT,CLOSED,2.257,2.251,2.251,567.3051482343122,20.0,11346.102964686244,5027.0726471804355,STRONG_BUY,,,,63.405122958364736,,23.696063993844152,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,,HEALTHY_BULL,,0.3077,,,,,,,,,,,,,,11346.102964686244,500000.0,False,,0.2935,,,,,,,,,2.042298533643524,5.092173237961422,7.134471771604947,23.02796411147881,0.2029592379264611,0.5316792202038109,-0.08861320336729196,2.257,2.245,0.0,,,,,,NEVER,1,0.45,,False,,-0.0443,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.2878,0.1398,True,2.275,2.247,2026-06-15T02:38:34.273136,2026-06-15T02:24:15.832019,,,,,,,,,,,,,,,,,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.2028,-0.0187,0.2028,-0.2845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T02:17:10,2026-06-15T02:20:01.814766,FLIP_TRAILING_STOP L1,MAKER,TAKER,True,
20,,FETUSDT,SHORT,CLOSED,0.2115,0.213,0.213,575.3270448497286,20.0,11506.540896994573,54404.448685553536,STRONG_BUY,,,,58.46890224393495,,20.838224245642746,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,,HEALTHY_BULL,,0.2794,,,,,,,,,,,,,,11506.540896994573,500000.0,False,,0.2882,,,,,,,,,5.177943403647558,5.214666406510306,10.392609810157865,-91.99928283848824,-0.7995390070921992,0.0,-0.7995390070921992,0.2115,0.2115,0.0,,,,,,NEVER,1,0.45,,False,,0.2829,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.37,0.3577,True,0.2146,0.2128,2026-06-15T02:36:23.644878,2026-06-15T02:15:45.026179,,,,,,,,,,,,,,,,,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-0.8465,-1.0829,-0.8465,-1.2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T02:04:34,2026-06-15T02:14:06.660046,FLIP_STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
19,,ONDOUSDT,SHORT,CLOSED,0.36760000000000004,0.3666,0.3666,551.713785649748,20.0,11034.27571299496,30017.072124578237,STRONG_BUY,,,,56.8290915355889,,17.86383879536914,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,,HEALTHY_BEAR,,0.3436,,,,,,,,,,,,,,11034.27571299496,500000.0,False,,0.2728,,,,,,,,,1.986169628339093,4.9519163883916715,6.9380860167307645,23.078986107849165,0.2091572361262395,0.5440696409140525,-0.40805223068551294,0.36760000000000004,0.3655,0.0,,,,,,NEVER,1,0.45,,False,,-0.0272,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,0.0101,-0.0069,True,0.3728,0.3658,2026-06-15T02:22:56.901407,2026-06-15T02:04:29.371651,,,,,,,,,,,,,,,,,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.1274,0.2906,0.073,-1.2055,-1.1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T01:46:20,2026-06-15T02:02:23.069572,FLIP_TRAILING_STOP L1,MAKER,TAKER,True,
18,,XRPUSDT,SHORT,CLOSED,1.189,1.1827,1.1827,551.713785649748,20.0,11034.27571299496,9280.299169886426,STRONG_BUY,,,,63.182734690449664,,23.81628706286369,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,,CHOPPY_FLAT,,0.3436,,,,,,,,,,,,,,11034.27571299496,500000.0,False,,0.2794,,,,,,,,,1.986169628339093,4.939114422701104,6.925284051040197,51.540600719244026,0.4670954583683744,0.782169890664431,-0.17661900756938526,1.189,1.1797,0.0,,,,,,NEVER,1,0.45,,True,,-0.101,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,0.0134,-0.1608,True,1.1931,1.1816,2026-06-15T02:18:30.642829,2026-06-15T02:04:11.077830,,,,,,,,,,,,,,,,,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.4837,0.3575,0.1893,-0.3321,0.1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T01:46:16,2026-06-15T02:03:50.361102,FLIP_TRAILING_STOP L1,MAKER,TAKER,True,
17,,SOLUSDT,SHORT,CLOSED,71.241,71.05,71.05,551.713785649748,20.0,11034.27571299496,154.88659217297567,STRONG_BUY,,,,59.719131061626335,,26.83627267496629,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,,HEALTHY_BEAR,,0.3436,,,,,,,,,,,,,,11034.27571299496,500000.0,False,,0.2756,,,,,,,,,1.986169628339093,4.952111568250464,6.938281196589557,22.645057908449182,0.20522468803077232,0.5207675355483431,-0.0968543394955189,71.241,70.87,0.0,,,,,,NEVER,1,0.45,,False,,-0.0014,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.0296,-0.1196,True,71.55,70.99,2026-06-15T02:17:19.947394,2026-06-15T02:04:13.112874,,,,,,,,,,,,,,,,,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.2613,0.0788,0.0507,-0.4266,0.0226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T01:46:14,2026-06-15T02:03:19.532220,FLIP_TRAILING_STOP L1,MAKER,TAKER,True,
16,,HYPEUSDT,SHORT,CLOSED,63.817,63.577,63.577,551.713785649748,20.0,11034.27571299496,172.9049581301998,STRONG_BUY,,,,57.94185478945884,,20.263058182268516,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,,CHOPPY_FLAT,,0.3336,,,,,,,,,,,,,,11034.27571299496,500000.0,False,,0.2727,,,,,,,,,4.965424070847732,4.94675033536967,9.912174406217401,31.585015545030892,0.28624457432972716,0.6299261952144429,-0.24131501010701906,63.817,63.414,0.0,,,,,,NEVER,1,0.45,,True,,0.1018,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,0.0614,-0.1416,True,64.909,63.585,2026-06-15T02:40:41.699174,2026-06-15T02:05:40.092889,,,,,,,,,,,,,,,,,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.1858,-0.079,0.109,-0.6181,-0.8939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T01:45:05,2026-06-15T02:05:07.099705,FLIP_TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
15,,TONUSDT,SHORT,CLOSED,1.7491,1.7464,1.7464,545.6770297206738,20.0,10913.540594413476,6239.517805965054,STRONG_BUY,,,,56.03507045950139,,17.89005465669502,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,,HEALTHY_BULL,,0.3344,,,,,,,,,,,,,,10913.540594413476,500000.0,False,,0.2999,,,,,,,,,4.911093267486065,4.903512253351817,9.814605520837882,7.032092555268681,0.06443456634841614,0.1943856840660951,-0.5145503401749412,1.7491,1.7456,0.0,,,,,,NEVER,1,0.45,,True,,0.1313,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,0.1252,-0.1341,True,1.752,1.7445,2026-06-15T02:37:29.829370,2026-06-15T02:29:46.645464,,,,,,,,,,,,,,,,,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.0815,0.0815,-0.1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T01:41:24,2026-06-15T02:26:24.481109,FLIP_NO_EXPANSION,TAKER_FALLBACK,TAKER,True,
14,,ESPORTSUSDT,SHORT,CLOSED,0.06389,0.06367,0.06367,538.2631685788767,20.0,10765.263371577534,168496.8441317504,STRONG_BUY,,,,57.43616411063149,,17.42388950098817,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,,CHOPPY_FLAT,,0.2904,,,,,,,,,,,,,,10765.263371577534,500000.0,False,,0.3025,,,,,,,,,4.84436851720989,4.827687329640847,9.672055846850737,27.39724986213401,0.2544967913601471,0.5947722648301852,-0.10956331194240196,0.06389,0.0635,0.0,,,,,,NEVER,1,0.45,,False,,0.5448,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.5295,0.9406,False,0.064,0.0622,2026-06-15T02:23:52.081317,2026-06-15T01:53:04.096288,2.5552,-0.2622,44.73,13.93,0.0,0.2543,-0.0274,0.0,43.23,0.1291,10.58,1.5691,,,0.0,0.2543,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.8178,1.2717,1.2561,2.2108,0.2387,,,,,,,2026-06-15T01:40:44.099589,0.6926,2026-06-15T01:43:15.021115,1.3343,2026-06-15T01:43:56.717867,1.1778,2026-06-15T01:43:55.703716,1.1622,2026-06-15T01:43:55.703716,1.1622,2026-06-15T01:43:55.703716,1.1622,2026-06-15T01:44:00.115525,1.1778,0.4578,ema13,0.08,0.4578,ema13,0.08,0.4578,ema13,0.08,0.4578,ema13,0.08,0.4578,ema13,0.08,0.4578,ema13,0.08,0.4578,ema13,0.08,0.4578,ema13,0.08,0.4578,ema13,0.08,1.1955,,False,,,,False,,,,,,,,,,,,,2026-06-15T01:37:43,2026-06-15T01:39:07.894673,FLIP_TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
