id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,entry_strategy,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,runner_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
28,,TONUSDT,SHORT,CLOSED,1.778,1.791,1.791,482.8705883144672,20.0,9657.411766289344,5431.6151666419255,STRONG_BUY,,,,55.19364636758979,,23.51892192268264,,,,BULLISH,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,STRONG_BULL,BULL_EXHAUSTED,,0.1343,,,,,,,,,,,,,,9657.411766289344,500000.0,False,,0.2846,,,,,,,,,4.345835294830205,4.3776102435550595,8.723445538385263,-79.33444270472975,-0.821487626546676,0.0,-0.821487626546676,1.778,1.778,0.0,,,,,,NEVER,1,0.45,,False,,-0.0225,False,,,,2.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.4597,0.5086,True,1.7932,1.7767,2026-06-15T11:27:24.867108,2026-06-15T12:09:38.132156,-0.0169,-0.9449,0.15,42.37,0.0,-0.8268,-0.1237,0.0,0.0,-0.8268,13.21,-0.7593,,,0.0,-0.8268,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-0.7087,-0.6243,-0.7874,-0.8099,-0.5849,,,,,,,,,,,,,,,,,,,,,-0.1237,window,,-0.1237,window,,-0.1237,window,,-0.1237,window,,-0.1237,window,,-0.1237,window,,-0.1237,window,,-0.1237,window,,-0.1237,window,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T11:16:48,2026-06-15T11:27:15.446881,FLIP_STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
27,,ONDOUSDT,SHORT,CLOSED,0.3821,0.3812,0.3812,274.5803851443767,20.0,5491.607702887533,14372.174045766902,STRONG_BUY,,,,61.42676694988178,,17.640586742296897,,,,BULLISH,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,HEALTHY_BULL,BULL_EXHAUSTED,,0.0415,,,,,,,,,,,,,,5491.607702887533,500000.0,False,,0.1269,,,,,,,,,0.988489386519756,2.4654027358108546,3.4538921223306107,9.481064518859771,0.1726464276367474,0.4972520282648555,-0.23554043444124886,0.3821,0.3802,0.0,,,,,,NEVER,1,0.45,,False,,-0.0262,False,,,,2.0,1.0,FLIP:FAN_RATIO_GATE,True,,,0,,-0.0336,0.0667,True,0.3859,0.3811,2026-06-15T11:23:32.193666,2026-06-15T11:10:50.414811,0.1987,-1.0575,12.73,0.03,0.0,0.1725,-0.2724,0.0,6.02,-0.3771,3.45,-0.063,,,0.0,0.1725,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.0679,0.0155,-0.2985,-0.8743,-0.7696,,,,,,,,,,,,,,,,,,,,,-0.2724,window,,-0.2724,window,,-0.2724,window,,-0.2724,window,,-0.2724,window,,-0.2724,window,,-0.2724,window,,-0.2724,window,,-0.2724,window,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T10:58:31,2026-06-15T11:10:48.059078,FLIP_TRAILING_STOP L1,MAKER,TAKER,True,
26,,TAOUSDT,SHORT,CLOSED,272.09,274.15,274.15,549.1607702887532,20.0,10983.215405775063,40.366111969477245,STRONG_BUY,,,,54.637716162750145,,26.944179603964272,,,,BULLISH,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,HEALTHY_BULL,BULL_EXHAUSTED,,0.0415,,,,,,,,,,,,,,10983.215405775063,500000.0,False,,0.1263,,,,,,,,,4.942446932598778,4.979866318394484,9.922313250993263,-93.07650390811648,-0.8474431254364373,0.35282443309198414,-0.8474431254364373,272.09,259.19,0.0,,,,,,NEVER,1,0.45,,False,,0.0331,False,,,,2.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.6316,0.4033,True,279.72,274.05,2026-06-15T11:30:06.396228,2026-06-15T11:12:37.239112,-0.8103,-2.8942,17.54,0.05,0.0,-0.8471,-2.3282,0.0,0.0,-0.8471,6.49,-1.6446,,,0.0,-0.8471,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-1.1521,-1.0897,-1.233,-1.8541,-2.5818,,,,,,,,,,,,,,,,,,,,,-2.3282,window,,-2.3282,window,,-2.3282,window,,-2.3282,window,,-2.3282,window,,-2.3282,window,,-2.3282,window,,-2.3282,window,,-2.3282,window,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T10:58:29,2026-06-15T11:12:33.787345,FLIP_STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
25,,HOMEUSDT,SHORT,CLOSED,0.02645,0.02668,0.02668,549.1607702887532,20.0,10983.215405775063,415244.4387816659,STRONG_BUY,,,,59.59610000487737,,24.00754723362007,,,,BULLISH,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,HEALTHY_BULL,HEALTHY_BULL,,0.0164,,,,,,,,,,,,,,10983.215405775063,500000.0,False,,0.072,,,,,,,,,4.942446932598778,4.98542473201268,9.927871664611459,-105.4340925843936,-0.9599565217391212,0.189035916824202,-0.9599565217391212,0.02645,0.0263,0.0,,,,,,NEVER,1,0.45,,False,,0.0378,False,,,,2.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.8878,0.4681,True,0.02692,0.02649,2026-06-15T11:04:47.146740,2026-06-15T11:32:21.606374,-0.2412,-1.8669,0.54,28.11,0.0,-1.0352,-1.1864,0.0,0.0,-1.0352,15.93,-1.262,,,0.0,-1.0352,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-1.4133,-1.2242,-0.9974,-1.1864,-0.8461,,,,,,,,,,,,,,,,,,,,,-1.1864,window,,-1.1864,window,,-1.1864,window,,-1.1864,window,,-1.1864,window,,-1.1864,window,,-1.1864,window,,-1.1864,window,,-1.1864,window,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T10:55:55,2026-06-15T11:04:14.456574,FLIP_STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
24,,XLMUSDT,SHORT,CLOSED,0.1905,0.19005,0.19005,668.7740078699329,20.0,13375.480157398659,70212.4942645599,STRONG_BUY,,,,59.915952344218994,,17.936330042191226,,,,BEARISH,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,HEALTHY_BEAR,CHOPPY_WEAK,,-0.0591,,,,,,,,,,,,,,13375.480157398659,500000.0,False,,-0.0636,,,,,,,,,2.4075864283317587,6.0047480407408225,8.412334469072581,23.183287949979785,0.1733267716535464,0.49343832020997186,-0.3307086614173184,0.1905,0.18956,0.0,,,,,,NEVER,1,0.45,,True,,-0.0525,False,,,,2.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,0.0028,-0.0316,True,0.19059,0.18863,2026-06-15T09:17:35.008598,2026-06-15T09:39:07.912602,0.9186,-0.1102,3.35,24.9,0.79,0.1207,0.3622,0.1942,1.89,0.0997,36.54,0.4357,,,0.79,0.1207,,,,,,FLIP:FAN_RATIO_GATE,2026-06-15T09:14:13.977670,0.1732,,,,0.1155,0.0682,-0.0315,0.189,0.5827,,,,,,,,,2026-06-15T09:41:19.652368,0.5144,,,2026-06-15T09:41:19.652368,0.5144,,,2026-06-15T09:41:02.560659,0.5669,2026-06-15T09:41:10.599476,0.5249,0.4672,ema13,16.66,0.4672,ema13,16.66,0.4672,ema13,16.66,0.4672,ema13,16.66,0.4672,ema13,16.66,0.4672,ema13,16.66,0.4672,ema13,16.66,0.4672,ema13,16.66,0.4672,ema13,16.66,0.509,,False,,,,False,,,,,,,,,,,,,2026-06-15T08:30:13,2026-06-15T09:14:13.636921,FLIP_TRAILING_STOP L1,MAKER,TAKER,True,
23,,WLDUSDT,SHORT,CLOSED,0.5905,0.5841,0.5841,615.4138252254872,20.0,12308.276504509744,20843.82134548644,STRONG_BUY,,,,55.1002099562245,,15.387030016504848,,,,BEARISH,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,HEALTHY_BEAR,HEALTHY_BEAR,,-0.0454,,,,,,,,,,,,,,12308.276504509744,500000.0,False,,-0.0654,,,,,,,,,5.5387244270293845,5.478694221554383,11.017418648583767,122.38303796253095,0.9943149872989113,1.354784081287046,-0.016934801016086194,0.5905,0.5818,0.0,,,,,,NEVER,1,0.45,,True,,0.2197,False,,,,2.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,0.534,-0.4121,False,0.5913,0.5823,2026-06-15T08:48:49.204586,2026-06-15T08:41:26.873462,1.2987,-0.2255,22.9,15.53,21.11,0.2318,0.7567,1.2987,9.91,0.6721,8.8,0.7398,,,23.34,-0.09,,,,,,FLIP:FAN_RATIO_GATE,2026-06-15T08:37:29.458733,0.7906,,,,0.7906,0.7906,1.197,1.1124,0.3503,,,,,,,2026-06-15T08:27:31.565922,0.6721,2026-06-15T08:26:37.308110,0.8583,2026-06-15T08:26:55.393142,0.7906,2026-06-15T08:26:40.319597,0.9092,2026-06-15T08:26:55.393142,0.7906,2026-06-15T08:26:57.408176,0.7906,2026-06-15T08:26:55.393142,0.7906,0.8116,trailing,0.99,0.6648,trailing,8.55,0.4987,trailing,20.09,0.2987,trailing,20.22,0.689,stretch,1.07,0.6721,stretch,1.58,0.9261,stretch,5.94,0.2318,signal_lost,21.11,0.6043,ema5_cross,8.56,0.793,,False,,,,False,,,,,,,,,,,,,2026-06-15T08:21:14,2026-06-15T08:25:54.659392,FLIP_TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
22,,EVAAUSDT,SHORT,CLOSED,0.8807,0.887,0.887,698.2794411831055,20.0,13965.58882366211,15857.373479802554,STRONG_BUY,,,,53.11761654047358,,20.701916204526277,,,,NEUTRAL,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,CHOPPY_FLAT,CHOPPY_FLAT,,0.0811,,,,,,,,,,,,,,13965.58882366211,500000.0,False,,0.0811,,,,,,,,,6.284514970647949,6.329470624463189,12.613985595111139,-112.51543851786678,-0.8056619734302227,0.0,-0.8056619734302227,0.8807,0.8803,0.0,,,,,,NEVER,1,0.45,,False,,0.7662,False,,,,2.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-1.3328,1.1357,False,1.0346,0.8796,2026-06-15T07:34:38.649468,2026-06-15T07:12:33.347043,0.0349,-17.5647,22.91,0.82,0.0,-0.7486,-10.6725,0.0,0.0,-0.7486,5.34,-5.2563,,,0.0,-0.7486,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-0.8053,-0.987,-4.5637,-4.6205,-14.6012,,,,,,,,,,,,,,,,,,,,,-10.6725,window,,-10.6725,window,,-10.6725,window,,-10.6725,window,,-10.6725,window,,-10.6725,window,,-10.6725,window,,-10.6725,window,,-10.6725,window,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T07:11:29,2026-06-15T07:11:43.882073,FLIP_STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
21,,HOMEUSDT,SHORT,CLOSED,0.02604,0.02624,0.02624,698.2794411831055,20.0,13965.58882366211,536312.9348564559,STRONG_BUY,,,,54.568276405228964,,22.76368111332962,,,,NEUTRAL,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,CHOPPY_FLAT,CHOPPY_WEAK,,0.093,,,,,,,,,,,,,,13965.58882366211,500000.0,False,,0.0957,,,,,,,,,6.284514970647949,6.332783134785031,12.61729810543298,-119.87988507672351,-0.8583947772657403,0.34562211981566743,-0.8583947772657403,0.02604,0.02595,0.0,,,,,,NEVER,1,0.45,,False,,0.1916,False,,,,2.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.6328,0.2853,True,0.02656,0.02603,2026-06-15T07:44:12.422872,2026-06-15T08:05:00.452661,-0.0516,-2.0869,20.67,41.47,0.0,-0.858,-0.1668,0.0,0.0,-0.858,31.64,-1.0117,,,0.0,-0.858,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-0.6276,-0.666,-0.5892,-1.5109,-0.858,,,,,,,,,,,,,,,,,,,,,-0.1668,window,,-0.1668,window,,-0.1668,window,,-0.1668,window,,-0.1668,window,,-0.1668,window,,-0.1668,window,,-0.1668,window,,-0.1668,window,,,,False,,,,False,,,,,,,,,,,,,2026-06-15T07:04:23,2026-06-15T07:23:32.071201,FLIP_STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
20,,WLDUSDT,SHORT,CLOSED,0.5935,0.5915,0.5915,673.1137747644507,20.0,13462.275495289014,22682.856773865227,STRONG_BUY,,,,57.88071125059264,,16.878955883590635,,,,NEUTRAL,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,CHOPPY_FLAT,CHOPPY_FLAT,,0.131,,,,,,,,,,,,,,13462.275495289014,500000.0,False,,0.1279,,,,,,,,,6.058023972880056,6.037609401783577,12.095633374663633,33.27008017306686,0.24713563605728756,0.6065711878685842,0.0,0.5935,0.5899,0.0,,,,,,NEVER,1,0.45,,False,,0.3359,False,,,,2.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,0.0332,0.5043,False,0.5941,0.5811,2026-06-15T06:56:08.799999,2026-06-15T07:33:25.840278,1.9993,-0.1911,3.29,40.58,0.0,0.2301,1.359,0.0,34.3,1.3759,30.94,0.921,,,0.0,0.2301,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.247,0.1122,0.3818,0.803,1.1737,,,,,,,2026-06-15T06:54:06.475577,0.0616,2026-06-15T06:54:06.475577,0.0616,2026-06-15T06:54:06.475577,0.0616,2026-06-15T06:54:07.492790,0.0616,2026-06-15T06:54:10.535604,0.0616,2026-06-15T06:54:21.710592,0.0785,2026-06-15T06:54:10.535604,0.0616,0.466,ema13,5.05,0.466,ema13,5.05,0.466,ema13,5.05,0.466,ema13,5.05,0.466,ema13,5.05,0.466,ema13,5.05,0.466,ema13,5.05,0.466,ema13,5.05,0.466,ema13,5.05,1.1301,,False,,,,False,,,,,,,,,,,,,2026-06-15T06:50:38,2026-06-15T06:52:50.941954,FLIP_TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
19,,INJUSDT,SHORT,CLOSED,5.266,5.254,5.254,673.1137747644507,20.0,13462.275495289014,2556.4518601004584,STRONG_BUY,,,,59.35643574106294,,24.514132223067357,,,,NEUTRAL,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,,,,,,,,CHOPPY_FLAT,CHOPPY_FLAT,,0.1177,,,,,,,,,,,,,,13462.275495289014,500000.0,False,,0.1267,,,,,,,,,6.058023972880056,6.044219132835513,12.10224310571557,18.575179215491094,0.13797949107482824,0.493733383972651,-0.20888720091151008,5.266,5.24,0.0,,,,,,NEVER,1,0.45,,False,,0.0,False,,,,2.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.0811,0.3784,True,5.297,5.223,2026-06-15T07:24:16.118212,2026-06-15T07:02:04.262647,0.7266,-0.6787,29.26,7.06,0.0,0.1379,-0.2039,0.0,20.97,-0.147,16.5,0.3278,,,0.0,0.1379,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.1569,0.3278,0.4227,0.5746,-0.6027,,,,,,,2026-06-15T07:04:56.454150,0.3278,2026-06-15T07:03:06.035912,0.4987,2026-06-15T07:03:21.183192,0.4987,2026-06-15T07:03:15.121264,0.5177,2026-06-15T07:11:31.687698,0.3278,2026-06-15T07:03:32.293870,0.4227,2026-06-15T07:03:36.335535,0.4227,0.4797,ema13,5.62,0.4797,ema13,5.62,0.4797,ema13,5.62,0.4797,ema13,5.62,0.4797,ema13,5.62,0.4797,ema13,5.62,0.4797,ema13,5.62,0.4797,ema13,5.62,0.4797,ema13,5.62,0.4902,,False,,,,False,,,,,,,,,,,,,2026-06-15T06:48:03,2026-06-15T06:55:00.234885,FLIP_TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
