id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,entry_strategy,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,runner_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
80,,XPLUSDT,SHORT,CLOSED,0.09619,0.09725,0.09722,261.05916209189945,20.0,5221.183241837989,54279.89647404085,STRONG_BUY,0.0766,0.0666,0.032,51.12,48.05,17.6594,17.4287,0.0568,0.0569,NEUTRAL,0.0403,-0.0091,18.0717,18.8627,46.4,50.4,50.9,0.1463,55.4,54.7,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,C4,,,0.4342,0.508,51.2,27.9,52.6,0.2307,0.0,CHOPPY_FLAT,CHOPPY_WEAK,,0.144,23.440108437390148,15.41356224682188,0.9484,-0.0035,,0.1413,0.1555,-0.0802,0.1771,,,70531415.89091,38,5221.183241837989,70531.41589091001,False,,0.1161,2026-06-16T10:47:39.564730,-0.09,2026-06-16T10:52:40.122858,-0.6932,2026-06-16T10:47:39.564730,-0.09,2026-06-16T10:52:40.122858,-0.6932,2.349532458827095,2.3754239694452126,4.724956428272307,-62.261646690755896,-1.1924815469383567,0.0,-1.1924815469383567,0.09619,0.09613,0.0,,,,2026-06-16T10:57:54.591247,-0.733,ENDED_NEG,1,0.45,,False,,0.0,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.733,0.4446,True,0.09783,0.09543,2026-06-16T10:59:36.924033,2026-06-16T11:42:55.848200,0.7001,-1.795,1.7,45.02,0.0,-1.1816,0.7001,0.0,0.0,-1.1816,23.29,-1.6598,,,0.0,-1.1816,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-1.3583,-1.5662,-1.244,-0.3811,-1.5351,,,,,,,,,,,,,,,,,,,,,0.4922,ema13,55.1,0.4922,ema13,55.1,0.4922,ema13,55.1,0.4922,ema13,55.1,0.4922,ema13,55.1,0.4922,ema13,55.1,0.4922,ema13,55.1,0.4922,ema13,55.1,0.4922,ema13,55.1,1.181,,False,,,,False,,,,,,,,,,,,,2026-06-16T10:47:37,2026-06-16T10:57:54.594467,FLIP_STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
79,,ASTERUSDT,SHORT,CLOSED,0.6626000000000001,0.6668,0.6667,267.85041932810844,20.0,5357.008386562169,8084.830043106201,STRONG_BUY,0.1735,0.0677,0.0553,58.06,64.0,19.6686,19.1862,0.0433,0.0434,NEUTRAL,0.108,0.0027,18.9983,19.5208,48.3,50.0,47.2,0.1475,55.8,54.7,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,C4,,,0.4171,0.804,58.1,23.3,68.7,0.4824,1.0,CHOPPY_FLAT,CHOPPY_FLAT,,0.1565,34.44740772734269,20.257139645063294,0.2862,0.1362,,0.2866,0.1665,-0.0497,0.1806,,,73450225.0208,36,5357.008386562169,73450.22502079999,False,,0.1535,2026-06-16T10:41:42.321566,-0.0781,,,2026-06-16T10:41:42.321566,-0.0781,,,0.9642615095811905,2.4259341027344465,3.390195612315637,-37.34648179336063,-0.697151826139431,0.0,-0.697151826139431,0.6626000000000001,0.6626000000000001,0.0,,,,2026-06-16T10:45:48.804655,-0.528,ENDED_NEG,1,0.45,,False,,-0.0151,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.528,0.4408,True,0.6709,0.6615,2026-06-16T11:02:07.380959,2026-06-16T11:27:07.821906,0.103,-1.3156,16.3,41.31,0.0,-0.7572,-0.063,0.0,0.36,-0.8327,5.16,-0.8478,,,0.0,-0.7572,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-0.7572,-0.712,-0.878,-1.1798,-0.4856,,,,,,,,,,,,,,,,,,,,,-0.063,window,,-0.063,window,,-0.063,window,,-0.063,window,,-0.063,window,,-0.063,window,,-0.063,window,,-0.063,window,,-0.063,window,,,,False,,,,False,,,,,,,,,,,,,2026-06-16T10:41:41,2026-06-16T10:45:48.807991,FLIP_STOP_LOSS L1,MAKER,TAKER,True,
78,,FETUSDT,SHORT,CLOSED,0.215,0.2145,0.2144,257.48867538236055,20.0,5149.773507647211,23952.434919289353,STRONG_BUY,0.1694,0.0657,0.0482,53.71,57.23,15.3828,15.369,0.005,0.005,BULLISH,0.1086,0.0203,19.4246,19.6611,48.3,54.4,45.7,0.1613,55.7,54.7,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,,,0.4713,0.5506,53.5,20.9,37.2,0.0138,1.0,HEALTHY_BULL,CHOPPY_FLAT,,0.1559,23.173809275239908,16.932357497940213,0.4538,0.1798,,0.3949,0.119,-0.057,0.1796,2026-06-16T10:41:14.756540,0.0765976744186022,55669448.8994,43,5149.773507647211,55669.448899400006,False,,0.1565,2026-06-16T10:31:22.976657,-0.063,2026-06-16T10:36:23.679748,-0.3422,2026-06-16T10:31:22.976657,-0.063,2026-06-16T10:36:23.679748,-0.3422,0.926959231376498,2.3120087805844047,3.238968011960903,8.737249447683784,0.16966279069767462,0.44885813953487896,-0.48179302325581946,0.215,0.2139,0.0,0.5726,0.112,2026-06-16T10:41:14.827214,2026-06-16T10:35:03.184250,-0.3601,RECOVERED,1,0.45,,False,,-0.0465,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,0.16966279069767462,0,,0.2913,0.112,True,0.215,0.2113,2026-06-16T10:42:24.498724,2026-06-16T11:10:58.663351,1.6579,-0.063,1.07,29.64,0.0,0.1696,1.4254,0.0,10.75,0.0765,11.87,0.0765,,,0.73,-0.0165,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-0.0165,-0.0165,0.2626,0.6347,1.5184,,,,,,,2026-06-16T11:15:14.999107,1.1928,2026-06-16T10:51:46.976025,0.0765,2026-06-16T11:09:33.607635,1.3789,2026-06-16T10:51:44.953743,0.0765,2026-06-16T11:15:14.999107,1.1928,2026-06-16T10:51:47.990384,0.0765,2026-06-16T10:51:46.976025,0.0765,0.5417,ema13,24.03,0.5417,ema13,24.03,0.5417,ema13,24.03,0.5417,ema13,24.03,0.5417,ema13,24.03,0.5417,ema13,24.03,0.5417,ema13,24.03,0.5417,ema13,24.03,0.5417,ema13,24.03,0.8372,,False,,,,False,,,,,,,,,,,,,2026-06-16T10:31:20,2026-06-16T10:41:19.943924,FLIP_TRAILING_STOP L1,MAKER,TAKER,True,
77,,BABYUSDT,SHORT,CLOSED,0.0181,0.01796,0.01795,257.4886753823606,20.0,5149.773507647213,284517.8733506747,STRONG_BUY,0.4172,0.1186,0.093,58.43,48.61,28.4715,28.9107,0.8956,0.9037,BEARISH,0.2468,-0.0224,19.3407,20.8096,47.2,49.4,55.6,0.1595,55.2,54.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.4867,0.4509,34.9,53.5,64.2,-0.4393,2.0,HEALTHY_BEAR,HEALTHY_BULL,,0.1522,32.42404064192062,20.400525118550732,1.3746,0.4865,,0.5487,1.1172,-0.0746,0.1747,2026-06-16T10:17:57.963801,,45148116.14368,49,5149.773507647213,45148.11614368,False,,0.1559,2026-06-16T10:15:38.218014,-0.1453,2026-06-16T10:20:38.223888,0.8496,2026-06-16T10:15:38.218014,-0.1453,2026-06-16T10:20:38.223888,0.8496,2.317398078441246,2.2994734524201528,4.616871530861399,35.215630738233415,0.6838287292817747,1.4023839779005685,-0.3110939226519247,0.0181,0.01783,0.0,0.3452,-0.0904,2026-06-16T10:30:31.557365,2026-06-16T10:16:35.616177,-1.0048,ENDED_NEG,4,0.45,,False,,0.1104,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,0.6838287292817747,0,,-0.2698,0.0214,True,0.01797,0.01755,2026-06-16T10:31:30.668557,2026-06-16T11:15:58.436447,2.9487,0.6282,0.05,44.51,0.01,0.6835,2.7829,0.0,,,18.4,1.236,,,0.01,0.6835,,,,,,FLIP:FAN_RATIO_GATE,2026-06-16T10:31:28.645689,0.6835,,,,0.9597,0.9597,1.236,1.5122,2.4514,2026-06-16T10:18:15.674514,0.18636740331492502,2026-06-16T10:22:33.957394,0.46273480662985006,,,2026-06-16T10:34:49.312225,0.8492,2026-06-16T10:34:49.312225,0.8492,2026-06-16T10:34:49.312225,0.8492,2026-06-16T10:40:23.758976,0.794,2026-06-16T10:40:23.758976,0.794,2026-06-16T10:40:25.778972,0.794,2026-06-16T10:40:23.758976,0.794,0.268,trailing,2.73,0.4707,trailing,8.3,0.268,trailing,2.73,0.218,trailing,3.08,0.8496,stretch,5.84,0.8496,stretch,5.84,0.8496,stretch,5.84,0.4627,stretch,2.62,0.8496,ema5_cross,5.84,0.8583,,False,,,,False,,,,,,,,,,,,,2026-06-16T10:15:38,2026-06-16T10:31:27.525970,FLIP_TRAILING_STOP L4,TAKER_FALLBACK,TAKER,True,
76,,XLMUSDT,SHORT,CLOSED,0.22326,0.2218,0.22177,279.13371427374074,20.0,5582.6742854748145,25005.259721736158,STRONG_BUY,0.4384,0.1011,0.1137,58.62,52.86,27.3458,27.3138,0.3891,0.3907,BEARISH,0.2215,-0.0355,22.4643,23.5505,45.4,45.0,56.7,0.1668,54.8,54.7,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,0.517,0.5497,30.2,51.2,63.9,0.032,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,0.1766,22.487259394043523,12.714727848477313,0.8136,0.8532,,1.2372,0.6064,-0.1293,0.1711,2026-06-16T10:02:42.014266,,398192114.61889,12,5582.6742854748145,398192.11461889,False,,0.1648,2026-06-16T10:01:53.014248,-0.09,,,2026-06-16T10:01:53.014248,-0.09,,,2.5122034284636663,2.495774972826486,5.007978401290153,31.499700792444365,0.5642403475768114,1.01235017468422,-0.16617867060826097,0.22326,0.2208,0.0,0.4588,0.2831,2026-06-16T10:06:44.283761,2026-06-16T10:02:03.203496,-0.4516,ENDED_NEG,3,0.45,,False,,0.0134,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,0.5642403475768114,0,,-0.0408,0.2367,True,0.22657,0.22139,2026-06-16T10:36:48.077175,2026-06-16T10:10:26.547264,0.7476,-1.5726,27.08,0.72,0.0,0.5595,0.5908,0.0,2.22,0.6401,3.33,0.0712,,,1.28,0.5326,,,,,,FLIP:FAN_RATIO_GATE,2026-06-16T10:10:15.437522,0.6087,,,,0.7252,0.5908,0.1653,-0.9724,-0.7887,2026-06-16T10:03:44.975588,,2026-06-16T10:06:44.273379,,,,2026-06-16T10:11:06.964578,0.4923,2026-06-16T10:11:07.975645,0.4475,2026-06-16T10:11:12.014296,0.4744,2026-06-16T10:12:28.725138,0.3086,2026-06-16T10:12:28.725138,0.3086,2026-06-16T10:12:28.725138,0.3086,2026-06-16T10:12:28.725138,0.3086,0.4039,trailing,2.44,0.5595,signal_lost,7.84,0.4039,trailing,2.44,0.3539,trailing,2.6,0.5463,stretch,2.24,0.5463,stretch,2.24,0.5149,stretch,2.28,0.4522,stretch,1.87,0.4119,ema5_cross,2.43,0.8402,,False,,,,False,,,,,,,,,,,,,2026-06-16T10:01:52,2026-06-16T10:09:42.832556,FLIP_TRAILING_STOP L3,TAKER_FALLBACK,TAKER,True,
75,,AAVEUSDT,LONG,CLOSED,74.819,75.23,75.24,279.13371427374074,20.0,5582.6742854748145,74.6157297675031,STRONG_BUY,0.3,0.1549,0.1264,38.98,45.39,31.1427,30.9086,0.312,-0.311,BULLISH,-0.1573,0.0309,33.1541,35.1529,53.5,51.8,80.1,0.1677,57.1,62.3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,W2,,,1.112,0.9352,79.1,11.6,10.0,0.2341,3.0,STRONG_BULL,CHOPPY_WEAK,,0.3389,14.1787532245873,28.908318473509244,0.3968,0.3277,,0.4215,-0.5912,-0.0325,0.1859,2026-06-16T09:24:38.199842,0.09865085071973043,97798313.673,28,5582.6742854748145,97798.313673,False,,0.0673,2026-06-16T09:22:22.141243,-0.0884,2026-06-16T09:27:22.146758,0.2189,2026-06-16T09:22:22.141243,-0.0884,2026-06-16T09:27:22.146758,0.2189,1.0048813713854667,2.5260036076841663,3.530884979069633,27.136179955374242,0.4860785094695215,0.953663614857183,-0.24869808471109714,75.58,74.819,0.0,0.2624,0.2997,2026-06-16T11:05:36.908115,2026-06-16T10:02:57.734995,-0.2148,ENDED_NEG,3,0.45,,True,,-0.0013,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,0.4860785094695215,0,,-0.1352,0.2336,True,75.62,75.0,2026-06-16T11:19:52.640392,2026-06-16T11:49:16.041427,1.0076,0.1789,8.93,38.32,22.58,0.2992,0.4997,1.0076,0.18,0.5532,21.46,0.4863,,,22.58,0.2992,,,,,,FLIP:FAN_RATIO_GATE,2026-06-16T11:10:57.644379,0.4863,,,,0.6467,0.7135,0.8071,0.62,0.3527,2026-06-16T10:51:27.923065,,,,,,2026-06-16T11:49:07.002459,0.2457,2026-06-16T11:26:01.218539,0.62,2026-06-16T11:26:09.363339,0.5933,2026-06-16T11:31:35.210350,0.4061,2026-06-16T11:31:38.232308,0.4462,2026-06-16T11:10:58.663351,0.473,2026-06-16T11:10:58.663351,0.473,0.3964,trailing,93.78,0.4076,trailing,129.22,0.3964,trailing,93.78,0.3464,trailing,94.71,0.3658,stretch,85.85,0.3525,stretch,85.85,0.3258,stretch,85.89,0.2992,ema13,131.17,0.4594,ema5_cross,93.16,0.3849,,False,,,,False,,,,,,,,,,,,,2026-06-16T09:22:20,2026-06-16T11:10:56.781131,FLIP_TRAILING_STOP L3,MAKER,TAKER,True,
74,,UNIUSDT,SHORT,CLOSED,3.015,3.005,3.009,263.7124509499584,20.0,5274.249018999168,1749.3363247095083,STRONG_BUY,0.5587,0.1422,0.1647,61.44,58.41,20.4177,20.0798,0.5388,0.5417,BULLISH,0.2889,0.1682,36.9582,36.4751,66.2,72.4,71.9,0.1728,60.9,62.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6+!W1,,,1.8327,1.214,83.7,4.7,85.7,0.3378,1.0,STRONG_BULL,STRONG_BULL,,0.3749,27.330978984167448,16.465260607085213,0.8421,0.8764,,1.2717,0.8505,0.2537,0.2128,2026-06-16T09:06:36.353148,,145031434.003,21,5274.249018999168,145031.434003,False,,0.3904,2026-06-16T09:05:34.741322,-0.063,,,2026-06-16T09:05:34.741322,-0.063,,,0.9493648234198503,2.3655400450884323,3.3149048685082825,14.178458378587205,0.2688242122719811,0.733378109452737,-0.06299999999999999,3.015,2.991,0.0,0.2261,0.7194,2026-06-16T09:06:38.708436,2026-06-16T09:05:34.741376,-0.5718,ENDED_NEG,2,0.45,,False,,-0.0332,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,0.2688242122719811,0,,-0.2409,0.7194,False,3.01,2.931,2026-06-16T09:06:52.786368,2026-06-16T09:50:55.721420,2.7231,0.1028,0.23,44.28,0.01,0.3018,2.5572,0.0,19.07,1.131,8.97,1.3632,,,0.01,0.3018,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.4345,0.7662,1.6949,1.9602,2.0597,2026-06-16T09:06:38.679841,,,,,,2026-06-16T09:11:49.085092,1.529,2026-06-16T09:12:03.951313,1.529,2026-06-16T09:12:03.951313,1.529,2026-06-16T09:13:41.791391,1.131,2026-06-16T09:13:42.807663,1.1642,2026-06-16T09:12:42.610320,1.3964,2026-06-16T09:13:41.791391,1.131,0.4834,trailing,1.07,0.3018,ema13,1.08,0.4834,trailing,1.07,0.4334,trailing,1.07,0.5343,stretch,1.07,0.5343,stretch,1.07,0.5343,stretch,1.07,0.3018,ema13,1.08,0.2688,ema5_cross,1.07,1.3188,,False,,,,False,,,,,,,,,,,,,2026-06-16T09:05:32,2026-06-16T09:06:38.716761,FLIP_TRAILING_STOP L2,MAKER,TAKER,True,
73,,FETUSDT,SHORT,CLOSED,0.2142,0.2156,0.2154,288.0647799870821,20.0,5761.295599741642,26896.80485406929,STRONG_BUY,0.251,0.0805,0.085,59.73,60.93,19.1529,18.9775,0.183,0.1834,BULLISH,0.131,0.0698,32.7056,32.5704,67.4,66.3,62.7,0.1443,58.7,54.4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,,,,1.0357,1.1299,83.7,11.6,89.2,0.1755,3.0,STRONG_BULL,BULL_EXHAUSTED,,0.257,25.451405777869397,16.466701082465953,0.4638,0.1961,,0.3183,0.3492,0.193,0.135,,,55499831.9957,43,5761.295599741642,55499.831995700006,False,,0.2863,2026-06-16T08:50:50.125663,-0.2031,,,2026-06-16T08:50:50.125663,-0.2031,,,1.0370332079534956,2.6095280069418028,3.646561214895298,-41.30208801059264,-0.7168888888888947,0.0,-0.7168888888888947,0.2142,0.2141,0.0,,,,2026-06-16T08:51:33.830542,-0.8775,ENDED_NEG,1,0.45,,False,,-0.0467,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.8775,0.2951,False,0.2176,0.2141,2026-06-16T08:54:59.352595,2026-06-16T09:20:49.635340,-0.0163,-1.6503,3.42,29.26,0.0,-0.9033,-0.4365,0.0,13.99,-1.2768,2.62,-1.2768,,,0.0,-0.9033,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-1.2301,-1.1834,-1.5102,-1.2301,-0.3431,,,,,,,,,,,,,,,,,,,,,-0.4365,window,,-0.4365,window,,-0.4365,window,,-0.4365,window,,-0.4365,window,,-0.4365,window,,-0.4365,window,,-0.4365,window,,-0.4365,window,,,,False,,,,False,,,,,,,,,,,,,2026-06-16T08:50:49,2026-06-16T08:51:33.833044,FLIP_STOP_LOSS L1,MAKER,TAKER,True,
72,,ZROUSDT,SHORT,CLOSED,1.1420000000000001,1.1371,1.1367,296.8421870056235,20.0,5936.84374011247,5198.637250536313,STRONG_BUY,0.4825,0.1648,0.1711,62.62,62.41,17.7648,16.6905,0.253,0.2536,BULLISH,0.2599,0.0698,32.7056,32.5704,67.4,66.3,62.7,0.1443,58.7,54.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6+!W1,,,1.0357,1.2115,83.7,11.6,66.4,1.0743,2.0,STRONG_BULL,STRONG_BULL,,0.257,31.955150820202533,16.56070064416741,0.6262,0.2931,,0.535,0.5906,0.193,0.135,2026-06-16T08:55:05.791742,0.09468914185639438,66859299.39265,40,5936.84374011247,66859.29939265,False,,0.3914,2026-06-16T08:50:47.894380,-0.0455,2026-06-16T08:55:50.106851,0.1911,2026-06-16T08:50:47.894380,-0.0455,2026-06-16T08:55:50.106851,0.1911,1.0686318732202447,2.660116687913179,3.7287485611334237,21.744573966495167,0.3662648861646345,0.7166852014010622,-0.15060507880909718,1.1420000000000001,1.1331,0.0,0.2634,-0.1112,2026-06-16T09:06:58.528144,2026-06-16T08:53:00.701406,-0.4303,ENDED_NEG,2,0.45,,False,,-0.1315,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,0.3662648861646345,0,,-0.0395,-0.0613,True,1.1562,1.1325,2026-06-16T09:28:43.142147,2026-06-16T09:11:36.862827,0.7689,-1.3064,20.82,3.72,0.01,0.3923,0.4274,0.0,11.07,0.0158,17.82,-1.1138,,,0.01,0.3923,,,,,,FLIP:FAN_RATIO_GATE,,,,,,0.7076,0.4799,0.55,-0.2732,-0.3432,2026-06-16T09:01:26.996684,,,,,,2026-06-16T09:13:47.888638,0.3486,2026-06-16T09:09:48.264659,0.4887,2026-06-16T09:09:48.264659,0.4887,2026-06-16T09:12:52.776989,0.5587,2026-06-16T09:12:55.826435,0.55,2026-06-16T09:12:58.875345,0.585,2026-06-16T09:07:56.428956,0.3923,0.309,trailing,12.08,0.3923,ema13,17.11,0.309,trailing,12.08,0.259,trailing,12.13,0.4013,stretch,8.35,0.3838,stretch,8.35,0.3838,stretch,8.35,0.4539,stretch,8.35,0.34,ema5_cross,8.48,0.7829,,False,,,,False,,,,,,,,,,,,,2026-06-16T08:50:47,2026-06-16T09:07:53.485656,FLIP_TRAILING_STOP L2,MAKER,TAKER,True,
71,,BABYUSDT,SHORT,CLOSED,0.0178,0.01801,0.01788,197.57387886636434,20.0,3951.477577327287,221993.1223217577,STRONG_BUY,0.4294,0.2134,0.1817,58.89,48.96,18.7831,17.2771,0.9244,0.933,BULLISH,0.2069,0.0742,32.5832,32.7249,66.3,60.5,62.0,0.1455,58.4,54.4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,,,,0.8919,1.5948,88.4,11.6,61.6,1.5059,2.0,STRONG_BULL,BULL_EXHAUSTED,,0.2456,34.085935407992736,15.185336348758986,1.3036,-0.6283,,-1.0174,1.3322,0.1956,0.1321,,,43738298.85127,50,3951.477577327287,43738.298851269996,False,,0.3576,2026-06-16T08:46:01.884591,-0.2878,2026-06-16T08:51:01.964237,-0.2878,2026-06-16T08:46:01.884591,-0.2878,2026-06-16T08:51:01.964237,-0.2878,0.7112659639189116,1.7991432598566854,2.5104092237755973,-49.12896491134512,-1.2433061797752913,0.049410112359545996,-1.2433061797752913,0.0178,0.01778,0.0,-0.9973,0.9013,2026-06-16T08:49:33.601373,2026-06-16T08:58:17.268468,-1.3651,ENDED_NEG,1,0.45,,False,,-0.3382,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-1.3651,1.5207,True,0.01849,0.0178,2026-06-16T08:59:49.951927,2026-06-16T09:05:22.302818,-0.063,-3.9394,1.54,7.08,0.0,-2.6473,-1.9731,0.0,0.0,-2.6473,40.88,-2.5349,,,0.0,-2.6473,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-3.8832,-0.5686,-1.9169,-1.9169,-2.4226,,,,,,,,,,,,,,,,,,,,,-1.9731,window,,-1.9731,window,,-1.9731,window,,-1.9731,window,,-1.9731,window,,-1.9731,window,,-1.9731,window,,-1.9731,window,,-1.9731,window,,,,False,,,,False,,,,,,,,,,,,,2026-06-16T08:46:01,2026-06-16T08:58:17.271795,FLIP_STOP_LOSS L1,MAKER,TAKER,True,
