id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
340,,WLDUSDT,LONG,CLOSED,0.2418,0.2398,0.2398,198.637892431213,1.0,198.637892431213,821.4966601787139,STRONG_BUY,0.202,0.09,63.55,15.5946,14.2991,0.1699,0.1702,BULLISH,0.1177,0.0459,21.9385,22.0435,68.4,64.2,0.7778,0.865,68.8,22.9,100.0,1.2955,2.0,HEALTHY_BULL,CHOPPY_FLAT,27.68202507605524,14.122211416314467,0.2556,-0.0025,9.7e-05,0.08938705159404585,0.08864770459988502,0.1780347561939309,-1.8210280765513374,-0.9167576509511886,0.11668941273780002,-1.0821091811414332,0.2423,,0.0,0.3209,0.3558,2026-05-04T09:57:20.913673,2026-05-04T10:03:02.435160,-0.7488,ENDED_NEG,1,0.5,,False,,False,,,,-0.5808,0.0901,True,-0.5863,-3.1504,0.56,8.02,0.0,-0.9171,-2.0751,0.0,2.29,-1.6615,3.43,-2.1165,,,,,,,,,,,,,,,,,,,,,,True,-0.6274,2026-05-04T10:02:52.971958,SIGNAL_LOST,True,2026-05-04T10:03:02.224067,-0.8341,2026-05-04T10:02:17.550386,-0.4207,,,,,,,-0.6274,6.87,2026-05-04T09:56:01,2026-05-04T10:03:03.501481,FL_STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
339,,NAORISUSDT,LONG,CLOSED,0.1295,0.12879,0.12879,198.637892431213,1.0,198.637892431213,1533.883339237166,STRONG_BUY,0.6238,0.1156,58.24,16.4208,16.1625,0.2577,0.2584,BULLISH,0.2429,0.0422,21.5873,22.0435,65.9,64.2,0.6392,0.7771,70.8,16.7,70.4,0.2583,4.0,HEALTHY_BULL,HEALTHY_BEAR,18.80693606707967,12.595744280162632,1.1986,0.8133,9.7e-05,0.03575482063761834,0.08889697586715957,0.12465179650477791,-1.2137089673631907,-0.6110158301158426,0.27661544401544086,-0.9815054054054027,0.12994,,0.0,0.4811,0.1756,2026-05-04T09:59:32.380877,2026-05-04T09:53:01.528786,-0.8383,ENDED_NEG,1,0.5,,True,,False,,,,-0.2337,-0.0987,True,2.1995,-2.1788,33.81,17.01,14.38,-0.4105,0.2922,1.0876,16.64,-1.2213,37.24,0.3849,,,,,,,,2026-05-04T10:14:21.574600,0.3926,2026-05-04T10:14:20.561533,0.3926,2026-05-04T10:14:21.574600,0.3926,2026-05-04T10:14:20.561533,0.3926,2026-05-04T10:14:21.574600,0.3926,2026-05-04T10:14:18.534576,0.5084,2026-05-04T10:16:31.685412,0.0606,True,-0.8966,2026-05-04T09:53:01.514201,WIDE_SL,False,,,2026-05-04T10:02:17.546758,-0.3872,,,2026-05-04T10:04:44.063972,-0.611,,,-0.665,10.95,2026-05-04T09:51:56,2026-05-04T10:04:44.064791,FL_REGIME_CHANGE L1,MAKER,TAKER,True,
338,,ONDOUSDT,LONG,CLOSED,0.31320000000000003,0.3101,0.3101,198.637892431213,1.0,198.637892431213,634.2206016322253,STRONG_BUY,0.2599,0.066,55.6,16.3209,16.2746,0.1471,0.1473,BULLISH,0.1796,0.0422,21.5873,22.0435,65.9,64.2,0.6392,0.8427,70.8,16.7,54.9,0.0463,5.0,HEALTHY_BULL,CHOPPY_FLAT,27.793908447774875,19.74864259583981,0.8,0.5813,9.7e-05,0.03575482063761834,0.08850231385476888,0.12425713449238722,-2.0903409995523154,-1.0523374840357747,0.09657056194123403,-1.0523374840357747,0.3137,,0.0,0.2426,0.5656,2026-05-04T09:52:33.270470,2026-05-04T10:02:19.309005,-0.6135,ENDED_NEG,1,0.5,,False,,False,,,,-0.6135,-0.2263,True,-0.8612,-4.086,0.17,4.87,0.0,-1.0528,-2.9366,0.0,0.0,-1.0528,3.02,-2.8727,,,,,,,,,,,,,,,,,,,,,,True,-0.5417,2026-05-04T09:59:27.069782,SIGNAL_LOST,True,2026-05-04T10:02:04.169291,-0.8289,2026-05-04T10:02:17.543503,-0.9247,,,,,-0.1268,3.5,-0.1268,3.5,2026-05-04T09:51:52,2026-05-04T10:02:19.608169,FL_DEEP_STOP L1,MAKER,TAKER,True,
337,,TAOUSDT,LONG,CLOSED,291.05,292.37,292.38,198.637892431213,1.0,198.637892431213,0.6824871755066586,STRONG_BUY,0.335,0.1133,66.22,20.7863,19.688,0.1615,0.1618,BULLISH,0.1504,0.0296,22.1797,22.9212,57.7,62.5,0.7505,1.6714,70.8,20.8,79.9,1.0983,5.0,HEALTHY_BULL,CHOPPY_FLAT,36.546677453715596,17.57093746559942,0.2783,0.1259,9.7e-05,0.08938705159404585,0.08979244897629679,0.17917950057034265,0.7217035710984421,0.36332623260607905,0.565949321422425,-0.09,292.96,,0.0,0.381,0.5276,2026-05-04T10:01:24.629924,,,NEVER,2,1.0,,True,,False,,,,0.1595,0.5481,False,0.3635,-3.677,0.0,21.57,4.18,-0.5057,-1.7323,0.336,4.18,-0.5057,3.04,-0.5023,,,,2026-05-04T10:01:06.957966,,,,2026-05-04T10:02:26.172261,0.2398,2026-05-04T10:02:24.122228,0.2914,2026-05-04T10:02:24.122228,0.2914,2026-05-04T10:02:24.122228,0.2914,2026-05-04T10:02:26.172261,0.2398,2026-05-04T10:02:38.446404,0.2845,2026-05-04T10:02:39.465842,0.2879,False,,,,False,,,2026-05-04T10:02:17.540059,0.4148,,,,,,,,,2026-05-04T09:50:33,2026-05-04T10:02:18.711070,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
336,,UNIUSDT,LONG,SIGNAL_EXPIRED,3.403,3.403,3.403,0.0,1.0,0.0,0.0,STRONG_BUY,0.3504,0.1601,64.27,15.6428,13.6756,0.243,0.2436,,0.2152,0.0289,22.1797,22.9212,56.9,62.5,0.65,1.5272,66.7,20.8,75.5,1.9672,4.0,HEALTHY_BULL,,33.896818525724846,14.109967650055294,0.3287,0.0403,9.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,1,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-04T09:48:05.171273,2026-05-04T09:48:45.171273,SIGNAL_EXPIRED:signal_flipped_LONG_to_NOTHING,SIGNAL_EXPIRED,TAKER,True,
335,,SOLUSDT,LONG,CLOSED,85.018,84.38,84.38,198.637892431213,1.0,198.637892431213,2.336421609908643,VERY_STRONG,0.1104,0.0528,68.41,23.1188,22.9655,0.1166,0.1167,BULLISH,0.0656,0.0207,21.6876,23.2843,57.1,57.9,0.5518,0.9503,58.3,29.2,97.8,0.1533,3.0,HEALTHY_BULL,HEALTHY_BEAR,28.293796324453325,16.93601717389696,0.1377,-0.0445,9.7e-05,0.03575482063761834,0.08871626494984107,0.12447108558745941,-1.6151080727091855,-0.8130916276553262,0.10394829330258994,-1.0012023806723302,85.16,,0.0,0.1383,0.201,2026-05-04T09:53:50.131953,2026-05-04T10:04:09.093871,-0.8878,ENDED_NEG,1,0.5,,False,,False,,,,-0.6056,-0.1383,True,-0.7781,-2.1896,0.01,20.37,0.01,-0.7781,-1.1192,0.0,0.01,-0.7781,2.9,-1.2251,,,,,,,,,,,,,,,,,,,,,,True,-0.5074,2026-05-04T10:02:56.024820,SIGNAL_LOST,True,2026-05-04T10:04:04.927587,-0.8013,2026-05-04T10:02:17.536635,-0.3193,,,2026-05-04T10:04:43.218333,-0.8131,-0.1077,19.36,-0.0959,15.93,2026-05-04T09:42:23,2026-05-04T10:04:43.219444,FL_REGIME_CHANGE L1,MAKER,TAKER,True,
334,,AAVEUSDT,SHORT,CLOSED,93.242,93.53,93.53,198.9253343995092,1.0,198.9253343995092,2.1334305827793183,STRONG_BUY,0.3046,0.0978,28.3,26.8758,25.5255,0.2396,-0.239,BEARISH,-0.1422,-0.0657,27.3294,26.5201,31.8,33.6,0.7637,1.0673,25.0,72.9,7.7,1.3504,4.0,HEALTHY_BEAR,HEALTHY_BULL,14.006465352417624,36.40440968985567,0.2408,-0.1574,0.0001,0.03580656019191166,0.08979289308330735,0.12559945327521901,-0.7400274611156556,-0.3720126766907581,0.3790598013770684,-0.3934718903498345,,92.83,0.0,0.2201,-0.0701,2026-05-04T09:01:10.206980,2026-05-04T09:41:37.646240,-0.2887,ENDED_NEG,1,0.5,,False,,False,,,,-0.2674,0.2924,True,2.3844,-0.8545,12.62,38.98,0.0,-0.3719,1.9876,0.0,0.0,-0.3719,2.89,-0.6293,,,,,,,,2026-05-04T10:07:33.733291,1.5371,2026-05-04T10:07:43.880857,1.5264,2026-05-04T10:07:44.893961,1.6015,2026-05-04T10:09:31.369347,1.5371,2026-05-04T10:09:31.369347,1.5371,2026-05-04T10:09:31.369347,1.5371,2026-05-04T10:09:52.685235,1.5264,False,,,,False,,,2026-05-04T08:16:04.553383,-0.3291,2026-05-04T08:17:12.813447,-0.1145,2026-05-04T09:41:47.217322,-0.372,-0.2433,5.83,-0.2433,4.68,2026-05-04T08:06:16,2026-05-04T09:41:47.218185,REGIME_CHANGE L1,MAKER,TAKER,True,
333,,ORCAUSDT,SHORT,CLOSED,1.948,1.943,1.944,198.41605294943383,1.0,198.41605294943383,101.85629001510978,VERY_STRONG,0.527,0.1187,29.71,32.344,31.6312,0.1695,-0.1692,BEARISH,-0.2143,-0.037,27.0216,26.1895,33.9,39.0,0.955,0.8131,20.8,68.8,0.0,0.7128,2.0,HEALTHY_BEAR,HEALTHY_BEAR,11.052138617006785,26.80471081466034,0.4303,-0.5251,-0.000341,0.03571488953089809,0.08905804717471123,0.12477293670560932,0.38450851336992875,0.19378901437371118,0.29650462012319795,-0.11435780287474906,,1.941,0.0,0.8551,-0.2284,2026-05-04T07:46:08.685623,2026-05-04T07:39:01.674500,0.0153,NEVER,1,0.5,,True,,False,,,,0.1803,-0.2284,True,1.2204,-0.063,4.31,44.44,,,1.1177,,7.36,0.0397,23.64,0.8097,,,,2026-05-04T07:46:08.660037,0.19378901437371118,,,2026-05-04T07:49:53.754003,0.091,2026-05-04T07:47:21.823919,0.1937,2026-05-04T07:49:55.782835,0.091,2026-05-04T07:49:54.769459,0.091,2026-05-04T07:49:58.830688,0.0397,2026-05-04T07:49:58.830688,0.0397,2026-05-04T07:49:58.830688,0.0397,False,,,,False,,,,,,,,,,,,,2026-05-04T07:38:41,2026-05-04T07:46:08.692276,TRAILING_STOP L1,MAKER,TAKER,True,
332,,BNBUSDT,SHORT,CLOSED,629.39,631.12,631.12,199.08351181421557,1.0,199.08351181421557,0.31631184450692823,VERY_STRONG,0.251,0.1136,31.78,30.3494,30.0405,0.2108,-0.2104,BEARISH,-0.1325,-0.1114,28.4949,26.4811,25.9,27.2,0.9346,1.8269,22.9,72.9,25.9,0.3089,4.0,BEAR_EXHAUSTED,HEALTHY_BULL,20.426074018255683,41.81516648255916,0.2081,0.2186,0.0001,0.03583503212655881,0.08983382908734565,0.12566886121390447,-0.6728883522108962,-0.3379930091040561,0.1690750250242356,-0.33958256406997395,,627.93,0.0,0.1141,-0.0489,2026-05-04T08:23:40.071576,2026-05-04T09:41:34.210306,-0.1366,ENDED_NEG,1,0.5,,False,,False,,,,-0.135,0.1582,True,1.3733,-0.3887,9.19,42.51,0.01,-0.3379,1.2827,0.0,0.01,-0.3379,9.92,-0.3474,,,,,,,,,,,,,,,,,,2026-05-04T10:13:34.387282,0.9332,2026-05-04T10:13:52.635449,0.8712,False,,,,False,,,2026-05-04T06:55:24.390505,-0.0566,2026-05-04T07:34:29.254703,0.0991,2026-05-04T09:41:46.886537,-0.338,-0.1043,19.81,-0.1488,17.53,2026-05-04T06:31:33,2026-05-04T09:41:46.887380,REGIME_CHANGE L1,MAKER,TAKER,True,
331,,XRPUSDT,SHORT,CLOSED,1.4039,1.4167,1.4167,199.08351181421557,1.0,199.08351181421557,141.80747333443662,STRONG_BUY,0.2396,0.0837,26.49,29.8243,28.3527,0.2694,-0.2687,BEARISH,-0.1022,-0.1146,26.4549,24.2855,24.6,27.6,1.2247,2.0205,31.2,68.8,14.6,1.4716,4.0,HEALTHY_BEAR,CHOPPY_FLAT,12.205011400769259,35.616290508326095,0.1858,0.0254,0.0001,0.089587580316397,0.09040439136280337,0.1799919716792004,-1.9951276303600096,-1.0021561364769673,0.0,-1.0021561364769673,,1.4038,0.0,,,,2026-05-04T09:39:49.138907,-0.1687,ENDED_NEG,1,0.5,,False,,False,,,,-0.1687,0.1017,True,1.2206,-1.1727,11.09,44.45,0.0,-1.0017,1.1352,0.0,0.0,-1.0017,11.85,-1.13,,,,,,,,2026-05-04T10:07:30.686936,0.4157,2026-05-04T10:07:39.817600,0.3516,2026-05-04T10:07:39.817600,0.3516,2026-05-04T10:13:21.194227,0.6508,,,2026-05-04T10:13:34.387282,0.5938,,,True,-0.5033,2026-05-04T06:52:31.572040,SIGNAL_LOST,True,2026-05-04T09:10:29.461959,-0.8026,2026-05-04T06:55:24.388842,-0.4962,2026-05-04T07:34:29.252786,-0.4962,,,-0.261,7.26,-0.1613,3.76,2026-05-04T06:30:17,2026-05-04T09:39:51.085879,FL_DEEP_STOP L1,TAKER_FALLBACK,TAKER,True,
