id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
53,,DOGSUSDT,LONG,CLOSED,7.935e-05,7.871e-05,7.878e-05,229.16768119128835,20.0,4583.3536238257675,57761230.29396052,STRONG_BUY,0.3067,0.0629,59.02,21.4654,20.3578,0.1179,0.118,BULLISH,0.1245,0.0226,23.3883,23.3845,55.3,66.5,0.4737,0.7953,45.5,27.3,78.0,1.1077,5.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0317,23.822761227559017,11.24545178126361,0.6552,0.1699,-0.00013,0.1561,,0.027,2026-05-09T12:35:57.472870,-0.5309,,,2026-05-09T12:36:16.078792,-0.6443,,,2.0625091307215953,2.0458738963969343,4.1083830271185295,-41.07557041525369,-0.8961902961562789,0.14933774417138812,-0.8961902961562789,7.954e-05,7.935e-05,0.0,0.482,0.1919,2026-05-09T12:33:33.529995,2026-05-09T12:36:54.530410,-0.4389,ENDED_NEG,1,0.5,,True,,False,,,,1.0,,False,-0.5308853182104707,-0.4389,0.0957,True,7.88e-05,7.787e-05,2026-05-09T12:37:30.677195,2026-05-09T13:06:02.847089,-0.7831,-1.9552,0.6,29.13,0.71,-0.8335,-1.8795,0.0,0.0,-0.8587,2.96,-0.9722,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-09T12:33:39.724192,0.1115,2026-05-09T12:34:46.832588,-0.2538,,,-0.4805,2.26,,,2026-05-09T12:33:06,2026-05-09T12:36:54.532570,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
52,,BIOUSDT,LONG,CLOSED,0.0504,0.05056,0.05057,471.0299752932584,20.0,9420.599505865168,186916.6568624041,VERY_STRONG,0.1503,0.0697,55.74,23.3746,22.3505,0.1942,0.1946,BULLISH,0.1101,0.025,23.8553,23.3845,59.5,66.5,0.4563,1.0214,50.0,27.3,65.6,1.0241,3.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0344,23.664352331720583,10.960969341224377,0.6231,-0.214,-0.00013,-0.3778,,0.0286,,,,,,,,,1.6957079110557303,4.252727776933418,5.948435687989148,23.95822940999559,0.25431746031746116,0.5716349206349223,-0.14232936507936184,0.05072,0.0504,0.0,0.5867,0.3134,2026-05-09T12:39:14.804359,2026-05-09T12:35:22.839028,0.0018,NEVER,2,1.0,,True,,False,,,,2.0,PAIR_55-60_22-25,False,,0.2721,0.3134,True,0.05082,0.04951,2026-05-09T12:43:23.878045,2026-05-09T13:21:58.551892,0.7703,-1.8289,4.02,42.59,22.97,-0.3408,-1.4717,0.7703,22.97,-0.3408,18.46,0.2941,,,,2026-05-09T12:39:09.270061,,,,2026-05-09T12:40:14.915672,0.1156,2026-05-09T12:40:13.904726,0.1156,2026-05-09T12:40:14.915672,0.1156,2026-05-09T12:40:14.915672,0.1156,2026-05-09T12:40:14.915672,0.1156,2026-05-09T12:40:16.939231,0.0759,2026-05-09T12:40:19.970453,0.0759,False,,,,False,,,2026-05-09T12:33:39.721559,0.0362,2026-05-09T12:34:46.830061,-0.0233,,,-0.063,1.15,,,2026-05-09T12:31:38,2026-05-09T12:39:22.599269,TRAILING_STOP L2,MAKER,TAKER,True,
51,,JUPUSDT,LONG,CLOSED,0.2474,0.2453,0.2456,235.51498764662915,20.0,4710.299752932583,19039.20676205571,STRONG_BUY,0.5574,0.1509,63.74,21.1581,19.789,0.2197,0.2201,BULLISH,0.2784,0.025,23.8553,23.3845,59.5,66.5,0.4563,0.7215,50.0,27.3,86.6,1.3691,3.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0344,29.297719780461485,12.870558552760315,0.5966,0.3479,-0.00013,0.5574,,0.0286,2026-05-09T12:37:54.766397,-0.5478,,,2026-05-09T12:38:14.313775,-0.7902,,,0.847853955527865,2.1016428384295196,2.9494967939573846,-42.93183099427473,-0.9114458367017051,0.26021746160064474,-0.9114458367017051,0.2482,0.2474,0.0,0.5279,0.496,2026-05-09T12:34:00.820740,2026-05-09T12:38:17.031986,-0.654,ENDED_NEG,1,0.5,,True,,False,,,,1.0,,False,-0.5478261924009729,-0.654,0.2136,True,0.2525,0.2449,2026-05-09T13:18:37.912951,2026-05-09T12:39:45.546803,1.9984,-1.0735,40.34,1.47,0.47,-0.8714,0.9071,0.0,43.15,0.6646,44.27,0.6646,,,,,,,,2026-05-09T12:59:04.606671,0.1391,2026-05-09T12:59:04.606671,0.1391,2026-05-09T12:59:04.606671,0.1391,2026-05-09T13:03:50.746343,0.3816,2026-05-09T13:19:41.413248,1.5942,2026-05-09T13:03:50.746343,0.3816,2026-05-09T13:03:50.746343,0.3816,False,,,,False,,,2026-05-09T12:33:39.718635,0.0178,2026-05-09T12:34:46.828151,0.1794,,,,,-0.3458,6.03,2026-05-09T12:31:36,2026-05-09T12:38:17.034255,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
50,,VIRTUALUSDT,LONG,CLOSED,0.9373,0.9419,0.942,241.86229410196995,20.0,4837.245882039399,5160.829917891175,STRONG_BUY,0.3469,0.1202,64.55,16.4952,15.8755,0.2888,0.2897,BULLISH,0.1681,0.0232,20.9605,20.6507,63.1,58.7,0.4965,0.8268,56.8,29.5,90.2,0.6198,4.0,HEALTHY_BULL,CHOPPY_FLAT,,-0.0018,29.68336780141187,17.980710231191622,0.3791,0.0756,5e-05,0.064,,0.027,2026-05-09T11:26:43.769870,-0.5962,,,2026-05-09T11:41:02.092837,-0.6389,,,0.8707042587670918,2.1874435648477637,3.0581478236148554,20.681669798684226,0.4275505174437146,0.7368106262669316,-0.7774974927984677,0.9448,0.9373,0.0,1.0972,0.1172,2026-05-09T12:32:27.365675,2026-05-09T11:50:01.617827,-0.412,RECOVERED,2,1.0,,True,,False,,,,2.0,BTC_60-65_20-25,True,-0.5962070841779584,0.7927,0.1172,True,0.9433,0.9344,2026-05-09T12:54:53.991404,2026-05-09T13:21:08.194421,0.5771,-0.3724,18.78,45.02,,,-0.3724,,0.0,0.4171,,,,,,2026-05-09T12:26:27.951984,,,,,,2026-05-09T12:36:40.969576,0.2891,2026-05-09T12:36:41.988788,0.2891,2026-05-09T12:36:40.969576,0.2891,2026-05-09T12:36:41.988788,0.2891,2026-05-09T12:36:30.809569,0.4064,2026-05-09T12:36:34.874506,0.3958,False,,,,False,,,2026-05-09T11:30:10.382619,-0.2869,2026-05-09T12:25:21.023613,0.2463,,,-0.255,2.27,-0.4682,3.39,2026-05-09T11:22:52,2026-05-09T12:36:06.896527,TRAILING_STOP L2,MAKER,TAKER,True,
49,,TRUMPUSDT,LONG,CLOSED,2.48,2.474,2.474,483.7245882039397,20.0,9674.491764078793,3901.004743580159,VERY_STRONG,0.2348,0.0725,62.9,26.4602,25.4476,0.1342,0.1344,BULLISH,0.0948,0.0204,20.2833,20.6507,60.3,58.7,0.4721,0.7284,56.8,27.3,93.3,1.0126,2.0,HEALTHY_BULL,CHOPPY_FLAT,,-0.0048,25.663975317084503,11.097488626435656,0.2507,0.0304,5e-05,0.0148,,0.0129,2026-05-09T11:49:59.088841,-0.2242,,,2026-05-09T11:53:41.270103,-0.3048,,,1.741408517534183,4.342988581027791,6.084397098561974,-29.490425560042084,-0.3048266129032171,0.017608870967750972,-0.3451310483871015,2.482,2.48,0.0,0.1041,0.1064,2026-05-09T11:45:28.757014,2026-05-09T12:15:28.634197,-0.1918,ENDED_NEG,1,0.5,,False,,False,,,,2.0,BTC_60-65_20-25,False,-0.224217741935484,-0.0829,-0.0857,True,2.474,2.465,2026-05-09T12:15:51.559555,2026-05-09T12:36:31.825589,-0.3049,-0.6678,0.0,20.67,0.0,-0.3049,-0.5469,0.0,0.0,-0.3049,10.06,-0.5469,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-09T11:30:10.379811,-0.1033,,,,,-0.3048,5.87,-0.2242,4.74,2026-05-09T11:21:31,2026-05-09T12:15:51.221520,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
48,,LINKUSDT,LONG,CLOSED,10.452,10.443,10.442,483.7245882039397,20.0,9674.491764078793,925.6115350247602,STRONG_BUY,0.1064,0.0456,62.03,18.9872,18.1887,0.084,0.0841,BULLISH,0.0519,0.0204,20.2833,20.6507,60.3,58.7,0.4721,0.5817,56.8,27.3,100.0,0.7984,2.0,HEALTHY_BULL,CHOPPY_FLAT,,-0.0048,26.364780388671864,14.395013086883457,0.1436,-0.0815,5e-05,-0.1158,,0.011,2026-05-09T12:08:23.784779,-0.0152,,,2026-05-09T12:15:57.353345,-0.063,,,1.741408517534183,4.349772567118607,6.09118108465279,-14.421684899875947,-0.14906917336395276,0.19520752009184122,-0.18732213930348166,10.479,10.452,0.0,0.1501,0.007,2026-05-09T12:05:40.868534,2026-05-09T12:16:26.349328,-0.1993,ENDED_NEG,1,0.5,,False,,False,,,,2.0,BTC_60-65_20-25,False,-0.015183792575576147,-0.1163,-0.0905,True,10.472,10.415,2026-05-09T12:25:26.074405,2026-05-09T12:57:02.341767,0.1284,-0.417,8.46,40.07,0.01,-0.1874,-0.3596,0.0,14.61,-0.0247,15.81,-0.1682,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-09T11:30:10.377493,0.0518,,,,,,,0.0518,17.21,2026-05-09T11:21:29,2026-05-09T12:16:58.074914,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
47,,ORDIUSDT,LONG,CLOSED,5.607,5.639,5.644,255.10283636174478,20.0,5102.056727234895,909.9441282744597,STRONG_BUY,0.2381,0.1377,56.63,16.614,16.3578,0.2663,0.267,BULLISH,0.1497,0.0221,27.5626,28.9981,56.6,58.0,1.2838,0.6222,40.9,31.8,64.0,0.2562,2.0,HEALTHY_BULL,CHOPPY_FLAT,,-0.0348,23.526698496633866,15.702709276840107,0.6589,-0.0921,2.1e-05,-0.0633,,-0.0365,,,,,,,,,2.2959255272557026,2.3090287227028554,4.604954249958558,24.513257854824175,0.4804583556268954,0.7835143570536737,-0.1434804708400234,5.656,5.607,0.0,0.5442,0.5773,2026-05-09T11:00:15.802691,2026-05-09T10:46:56.596865,0.2841,NEVER,2,1.0,,True,,False,,,,1.0,,False,,0.2443,0.5773,False,5.917,5.63,2026-05-09T11:42:29.421434,2026-05-09T11:01:06.624904,5.4388,0.3202,42.16,0.78,,,4.7967,,,,27.05,2.4604,,,,2026-05-09T10:55:45.341912,,,,2026-05-09T11:01:10.664843,0.445,2026-05-09T11:01:09.655220,0.4272,2026-05-09T11:01:10.664843,0.445,2026-05-09T11:01:07.637309,0.338,2026-05-09T11:18:46.955021,2.1572,2026-05-09T11:02:13.230195,0.3202,2026-05-09T11:06:34.626456,0.5699,False,,,,False,,,2026-05-09T10:48:10.540822,-0.0365,,,,,,,,,2026-05-09T10:46:30,2026-05-09T11:00:19.449932,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
46,,TAOUSDT,SHORT,CLOSED,309.46,308.25,308.89,280.90787734407786,20.0,5618.157546881557,18.154713200030884,STRONG_BUY,0.4151,0.122,31.38,26.0448,24.5798,0.1762,-0.1759,BEARISH,-0.1648,-0.0332,27.1176,26.0557,36.3,34.6,1.3911,0.8267,11.4,84.1,5.7,1.465,4.0,HEALTHY_BEAR,STRONG_BEAR,,-0.0473,11.784800247777588,31.13911816547612,0.3041,-0.182,2.1e-05,-0.3052,,-0.0629,,,,,,,,,1.0112683584386803,2.518285654759284,3.529554013197964,18.437648958839034,0.32817963549407986,0.5350845666645013,-0.3992205131519487,309.46,307.61,0.0,0.6347,-0.1819,2026-05-09T10:09:11.400145,2026-05-09T10:00:19.113520,-0.118,RECOVERED,1,0.5,,True,,False,,,,2.0,PAIR_30-35_25-28,True,,0.4257,-0.1819,True,311.24,308.25,2026-05-09T10:53:28.406486,2026-05-09T10:09:11.767825,0.328,-0.6382,44.28,0.0,17.89,-0.2795,-0.6123,0.1826,2.16,-0.0533,6.65,-0.2989,,,,2026-05-09T10:09:11.385539,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,-0.2117,3.4,2026-05-09T09:52:14,2026-05-09T10:09:11.428661,TRAILING_STOP L1,MAKER,TAKER,True,
45,,BIOUSDT,SHORT,CLOSED,0.0505,0.05022,0.0502,252.8671623150787,20.0,5057.343246301574,100145.41081785294,VERY_STRONG,0.5434,0.1512,37.82,31.8926,30.5012,0.2033,-0.2029,BEARISH,-0.2793,-0.0305,22.6101,21.7249,38.2,44.2,1.6462,1.2298,11.4,86.4,35.4,1.3914,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,0.0015,8.947120201985793,26.827769812176548,0.698,-0.6656,2.8e-05,-1.158,,-0.0499,,,,,,,,,0.9103217843342835,2.263186139072659,3.1735079234069423,24.86720710559213,0.4917049504950543,0.8086792079207976,-0.37997425742572966,0.0505,0.05006,0.0,0.6179,-0.2848,2026-05-09T09:50:38.649077,2026-05-09T09:29:43.768198,-0.2714,RECOVERED,2,1.0,,True,,False,,,,1.0,,False,,0.2974,-0.2848,True,0.05064,0.05012,2026-05-09T10:12:39.671978,2026-05-09T09:52:46.061403,0.6895,-0.3402,21.98,2.09,21.79,-0.3006,0.1746,0.6895,7.19,0.0954,6.07,0.135,,,,2026-05-09T09:49:45.390501,,,,2026-05-09T09:54:19.749474,0.333,2026-05-09T09:54:17.717799,0.4122,2026-05-09T09:54:19.749474,0.333,2026-05-09T09:54:15.684521,0.3924,2026-05-09T09:54:16.704336,0.4122,2026-05-09T09:54:15.684521,0.3924,2026-05-09T09:54:19.749474,0.333,False,,,,False,,,,,,,,,-0.1621,11.26,-0.1621,11.26,2026-05-09T09:29:37,2026-05-09T09:50:40.358560,TRAILING_STOP L2,MAKER,TAKER,True,
44,,LTCUSDT,SHORT,CLOSED,58.281,58.29,58.3,252.8671623150787,20.0,5057.343246301574,86.7751625109654,STRONG_BUY,0.2506,0.1012,29.62,25.021,23.0072,0.1873,-0.1869,BEARISH,-0.1328,-0.0305,22.6101,21.7249,38.2,44.2,1.6462,1.5871,11.4,86.4,9.6,2.0138,4.0,HEALTHY_BEAR,CHOPPY_FLAT,,0.0015,11.120663491847715,34.45626562110406,0.154,-0.0485,2.8e-05,-0.1461,,-0.0628,2026-05-09T10:31:47.370754,-0.027,,,2026-05-09T10:35:32.164621,-0.1299,,,0.9103217843342835,2.276155900243878,3.1864776845781613,-3.9674541471768796,-0.07844937458176823,0.19620617353853956,-0.23294312039945053,58.281,58.13,0.0,0.1376,-0.1439,2026-05-09T10:03:31.867996,2026-05-09T09:35:16.982665,-0.0355,ENDED_NEG,1,0.5,,False,,False,,,,1.0,,False,-0.026951459309207473,-0.0672,0.0696,True,58.35,58.21,2026-05-09T10:40:05.008732,2026-05-09T11:00:37.999239,0.0588,-0.1814,3.87,24.42,0.01,-0.0784,-0.1642,0.0,0.01,-0.0784,29.49,-0.0098,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-09T10:25:22.562053,0.0589,,,,,-0.1643,7.9,-0.2158,5.65,2026-05-09T09:29:35,2026-05-09T10:36:12.372332,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
