id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
38,,ICPUSDT,LONG,CLOSED,3.45,3.428,3.428,294.5207862650278,20.0,5890.415725300556,1707.3668768987118,STRONG_BUY,0.1952,0.1125,59.44,18.9367,18.8948,0.1688,0.1691,BULLISH,0.1097,0.0341,18.5987,17.2555,64.2,66.3,0.5832,0.8258,45.5,36.4,83.3,0.0419,1.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0473,27.076885522864423,18.247160265668754,0.3512,-0.1971,-3.2e-05,-0.2197,,0.0412,2026-05-10T11:19:55.768332,-0.4087,,,2026-05-10T11:19:55.837826,-0.4377,,,2.65068707638525,2.6337841443039527,5.284471220689203,-42.846542512461276,-0.7273942028985577,0.0,-0.8722565217391343,3.453,3.45,0.0,,,,2026-05-10T11:23:07.770883,-0.4567,ENDED_NEG,1,0.5,,False,,False,,,,2.0,STRETCH_0.16-0.20,True,-0.4086971014492789,,0,,-0.2421,-0.2389,True,3.435,3.402,2026-05-10T11:23:51.677720,2026-05-10T11:50:23.955664,-0.5248,-1.4813,0.6,27.14,0.01,-0.7567,-1.0465,0.0,0.01,-0.7567,8.92,-1.0465,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-10T11:20:26.493495,-0.4666,,,,,-0.2349,8.93,-0.3218,12.27,2026-05-10T11:07:38,2026-05-10T11:23:15.335488,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
37,,TAOUSDT,LONG,CLOSED,314.0,314.19,314.19,589.0415725300556,20.0,11780.831450601112,37.518571498729656,STRONG_BUY,0.1199,0.0873,62.07,18.0188,17.8849,0.2321,0.2327,BULLISH,0.0787,0.028,16.1284,15.8328,62.7,60.2,0.6678,0.6333,38.6,43.2,92.1,0.1339,0.0,CHOPPY_WEAK,CHOPPY_WEAK,,0.0325,28.423162445815013,19.043935401557107,0.2736,-0.0953,-3.2e-05,-0.0196,,0.02,2026-05-10T11:37:09.629260,-0.0168,,,2026-05-10T11:51:28.645946,-0.0391,,,5.3013741527705,5.3045819906336416,10.605956143404143,-3.4774275586455934,-0.0295176751592364,0.4766238853503098,-0.11864952229298567,315.78,314.0,0.0,0.217,0.1812,2026-05-10T11:32:17.071894,2026-05-10T11:58:23.339811,-0.288,ENDED_NEG,1,0.5,,False,,False,,,,2.0,PAIR_60-65_18-22,False,-0.016784554140121588,,0,,-0.1009,-0.1357,True,314.94,312.73,2026-05-10T12:21:51.816882,2026-05-10T12:43:23.562419,0.2094,-0.4945,20.63,42.16,0.0,-0.0295,-0.1664,0.0,2.22,-0.2715,27.88,-0.1824,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-10T11:20:26.491691,0.3111,,,,,0.2824,23.77,0.0628,20.44,2026-05-10T11:02:49,2026-05-10T12:01:13.753598,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
36,,MITOUSDT,LONG,CLOSED,0.0693,0.06965,0.06965,589.0415725300556,20.0,11780.831450601112,169997.56782974186,STRONG_BUY,0.626,0.1697,62.64,15.9936,15.2882,0.4016,0.4032,BULLISH,0.246,0.0262,15.9368,15.8328,60.9,60.2,0.5848,0.9908,36.4,40.9,94.2,0.7054,1.0,CHOPPY_WEAK,HEALTHY_BULL,,0.0306,23.784533581153802,14.220869405104864,0.8083,0.1279,-3.2e-05,0.1128,,0.0443,,,,,,,,,2.1205496611081998,5.3281487697036845,7.448698430811884,52.05045030959829,0.4418232323232367,0.9322229437229381,-0.6110937950938027,0.06999,0.0693,0.0,1.1067,0.4871,2026-05-10T11:09:11.834447,2026-05-10T11:05:54.540439,-0.181,RECOVERED,2,1.0,,True,,False,,,,2.0,PAIR_60-65_15-18,False,,0.6293290043289961,1,,0.423,0.688,True,0.07102,0.06866,2026-05-10T11:30:56.166004,2026-05-10T11:14:10.089594,2.419,-0.9865,20.53,3.77,3.92,-0.8999,0.5431,0.6441,30.68,1.2068,2.8,-0.4093,,,,2026-05-10T11:08:50.797278,,,,2026-05-10T11:10:24.084727,0.6441,2026-05-10T11:10:24.084727,0.6441,2026-05-10T11:10:24.084727,0.6441,2026-05-10T11:10:36.235385,0.4421,2026-05-10T11:10:37.245973,0.4421,2026-05-10T11:10:37.245973,0.4421,2026-05-10T11:11:01.534223,0.1246,False,,,,False,,,,,,,,,,,-0.438,4.82,2026-05-10T11:01:22,2026-05-10T11:10:21.778482,TRAILING_STOP L2,MAKER,TAKER,True,
35,,STRKUSDT,LONG,CLOSED,0.05332,0.05289,0.05291,323.91176099396523,20.0,6478.235219879305,121497.28469391045,STRONG_BUY,0.2777,0.1341,59.76,20.13,20.0898,0.3732,0.3746,BULLISH,0.1611,0.0205,25.2241,23.9454,57.9,66.7,0.657,0.6802,70.5,20.5,65.5,0.0403,5.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0655,28.283886867966984,18.60066170141677,0.6103,-0.1506,5e-05,-0.0897,,0.0524,2026-05-10T09:25:08.104397,-0.5587,,,2026-05-10T09:30:44.548579,-0.6336,,,2.9152058489456874,2.8916961243574155,5.806901973303103,-58.05073439168458,-0.896088709677419,0.09746249062266103,-0.896088709677419,0.05342,0.05332,0.0,0.5286,0.5587,2026-05-10T09:16:14.437963,2026-05-10T09:31:12.382749,-0.4664,ENDED_NEG,1,0.5,,True,,False,,,,1.0,,False,-0.5586562265566397,,0,,-0.4664,-0.0723,True,0.05332,0.05263,2026-05-10T09:40:10.663036,2026-05-10T10:16:11.920288,-0.09,-1.3841,8.97,44.99,0.91,-0.8777,-1.3653,0.0,0.91,-0.8777,20.99,-0.7652,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-10T09:12:28.117144,-0.0525,2026-05-10T09:13:34.962791,-0.0525,,,-0.315,13.51,-0.09,7.84,2026-05-10T09:10:47,2026-05-10T09:31:12.385060,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
34,,WLFIUSDT,LONG,CLOSED,0.0684,0.0679,0.0679,647.8235219879305,20.0,12956.47043975861,189422.08245261124,VERY_STRONG,0.4054,0.1599,64.66,23.164,23.103,0.2218,0.2223,BULLISH,0.192,0.0213,25.2241,23.9454,59.1,66.7,0.85,1.1728,70.5,22.7,77.8,0.061,4.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0663,26.1874304901244,16.064796036201113,0.5138,-0.1055,5e-05,-0.0844,,0.0544,2026-05-10T09:24:09.923154,-0.6745,,,2026-05-10T09:28:15.438934,-0.8207,,,5.830411697891375,5.787791729339537,11.618203427230911,-106.32924465353662,-0.8206652046783632,0.2022660818713331,-0.8206652046783632,0.0686,0.0684,0.0,0.6581,0.4179,2026-05-10T09:09:21.976940,2026-05-10T09:28:15.439119,-0.2959,ENDED_NEG,1,0.5,,False,,False,,,,2.0,STRETCH_0.20-0.25,False,-0.6745321637426865,,0,,-0.1646,-0.2432,True,0.068,0.0674,2026-05-10T09:32:16.518726,2026-05-10T09:57:21.056596,-0.6748,-1.552,0.14,25.21,0.0,-0.821,-1.4058,0.0,24.53,-1.4058,25.63,-1.4058,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-10T09:12:28.115488,-0.3823,2026-05-10T09:13:34.961115,-0.6745,,,-0.3823,2.59,-0.3823,4.84,2026-05-10T09:09:19,2026-05-10T09:32:07.840677,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
33,,JUPUSDT,LONG,CLOSED,0.2511,0.2529,0.2529,642.1396121014413,20.0,12842.792242028827,51146.12601365523,STRONG_BUY,0.3112,0.092,64.28,16.8247,15.997,0.6141,0.6179,BULLISH,0.091,0.0301,22.1126,20.4648,62.3,62.5,0.812,1.2821,56.8,29.5,96.0,0.8277,3.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0469,29.403178071184083,16.688833360056627,0.5545,0.3124,5e-05,0.5223,,0.0561,,,,,,,,,2.3117026035651884,5.820684870984034,8.132387474549223,83.93063935003141,0.653523297491049,0.9719780963759423,-0.6202958980485802,0.2537,0.2511,0.0,0.7802,0.7402,2026-05-10T08:50:05.716111,2026-05-10T08:44:07.588149,-0.1221,RECOVERED,2,1.0,,True,,False,,,,2.0,PAIR_60-65_15-18,False,,0.653523297491049,0,,0.4004,0.8059,True,0.2561,0.2518,2026-05-10T09:19:09.715293,2026-05-10T09:32:05.423536,1.9282,0.2158,27.42,40.35,43.73,0.3352,0.5344,1.9282,7.22,0.4547,2.77,0.4945,,,,2026-05-10T08:49:42.926848,,,,2026-05-10T08:53:52.280033,0.3751,2026-05-10T08:53:04.926662,0.5742,2026-05-10T08:53:08.956504,0.614,2026-05-10T08:51:44.220880,0.6538,2026-05-10T08:51:44.220880,0.6538,2026-05-10T08:53:48.244073,0.4945,2026-05-10T08:53:28.093414,0.5742,False,,,,False,,,2026-05-10T08:46:07.716659,-0.2222,2026-05-10T08:48:20.960838,0.136,,,,,-0.3815,5.58,2026-05-10T08:38:52,2026-05-10T08:51:43.813982,TRAILING_STOP L2,MAKER,TAKER,True,
32,,BANANAUSDT,LONG,CLOSED,4.289,4.263,4.263,642.1396121014413,20.0,12842.792242028827,2994.35585032148,STRONG_BUY,0.2885,0.0912,64.17,17.8247,17.7467,0.2204,0.2209,BULLISH,0.138,0.0311,20.5155,18.6145,62.5,67.4,0.9523,0.5586,65.9,27.3,92.2,0.078,4.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0413,21.80288042423527,14.890339537209469,0.4423,0.107,5e-05,0.1699,,0.0543,2026-05-10T08:41:34.427435,-0.3893,,,2026-05-10T08:41:53.006022,-0.5058,,,2.3117026035651884,5.74422254546421,8.055925149029399,-85.90917725738728,-0.6689291210072232,0.0,-0.7155390533923893,4.291,4.289,0.0,,,,2026-05-10T08:55:13.131559,-0.4003,ENDED_NEG,1,0.5,,False,,False,,,,2.0,PAIR_60-65_15-18,False,-0.3892695266961843,,0,,-0.1782,-0.1999,True,4.281,4.25,2026-05-10T09:03:25.049960,2026-05-10T09:22:56.136962,-0.2495,-0.9723,7.75,27.27,0.02,-0.6226,-0.6459,0.0,1.06,-0.6925,12.21,-0.6459,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-10T08:46:07.713766,-0.296,2026-05-10T08:48:20.958054,-0.3427,,,-0.366,5.93,-0.366,5.93,2026-05-10T08:35:11,2026-05-10T08:55:39.821103,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
31,,TAOUSDT,LONG,CLOSED,313.14,312.43,312.43,328.14415877525323,20.0,6562.883175505065,20.958303555933657,VERY_STRONG,0.209,0.0522,62.52,26.0871,25.9039,0.195,0.1954,BULLISH,0.0885,0.0258,29.8358,28.9961,58.5,58.0,0.9251,0.74,72.7,15.9,65.8,0.1832,1.0,STRONG_BULL,CHOPPY_FLAT,,0.0568,22.971326392848887,12.79042462122843,0.3423,0.2947,-2e-05,0.4977,,0.0411,2026-05-10T04:04:33.902267,-0.2481,,,2026-05-10T04:05:11.010918,-0.3567,,,1.1813189715909118,2.9466012509911588,4.127920222582071,-19.00831574729454,-0.2896336143577887,0.29131452385514905,-0.38539429648080437,314.25,313.14,0.0,0.4333,0.2091,2026-05-10T03:59:08.796914,2026-05-10T04:05:16.003059,-0.2125,ENDED_NEG,1,0.5,,False,,False,,,,2.0,STRETCH_0.16-0.20,True,-0.24813731877115164,,0,,-0.0713,-0.0588,True,313.09,311.03,2026-05-10T04:57:59.337589,2026-05-10T04:46:20.399908,-0.079,-0.7368,30.21,18.56,0.01,-0.3121,-0.5229,0.0,3.3,-0.4079,7.78,-0.4845,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-10T03:51:05.484930,0.1732,2026-05-10T03:53:20.181227,0.0998,,,-0.2034,32.66,-0.3758,15.8,2026-05-10T03:49:24,2026-05-10T04:27:46.382668,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
30,,PENGUUSDT,LONG,CLOSED,0.010623,0.010587,0.010587,640.7318537270871,20.0,12814.637074541743,1206310.5595916165,VERY_STRONG,0.2923,0.0818,64.45,23.2218,22.2984,0.1617,0.162,BULLISH,0.1461,0.029,29.8358,28.9961,61.6,58.0,0.8237,0.8856,79.5,15.9,84.9,0.9234,4.0,STRONG_BULL,CHOPPY_FLAT,,0.0603,27.71301068399715,13.274589597994584,0.2919,0.0462,-2e-05,0.0386,,0.0418,2026-05-10T04:04:26.500024,-0.2876,,,2026-05-10T04:04:49.688106,-0.3911,,,5.766586683543784,5.7470444524783995,11.513631136022184,-54.940811281321956,-0.4287348206721388,0.0511395086133803,-0.4475534218205765,0.010638,0.010623,0.0,0.1867,0.1217,2026-05-10T04:00:29.085982,2026-05-10T04:11:55.901918,-0.1969,ENDED_NEG,1,0.5,,False,,False,,,,2.0,STRETCH_0.16-0.20,False,-0.2875953120587422,,0,,-0.1496,-0.138,True,0.010613,0.01054,2026-05-10T04:56:20.872805,2026-05-10T04:45:45.218833,-0.1841,-0.8713,44.33,33.73,0.01,-0.4195,-0.3348,0.0,3.3,-0.4665,3.3,-0.4665,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-10T03:51:05.483003,-0.1465,2026-05-10T03:53:20.178546,-0.09,,,-0.1935,1.17,,,2026-05-10T03:48:15,2026-05-10T04:12:00.834137,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
29,,BIOUSDT,LONG,CLOSED,0.05859,0.05877,0.05877,316.4768109076887,20.0,6329.536218153773,108030.9987737459,STRONG_BUY,0.2586,0.1388,63.17,21.4926,21.2943,1.4305,1.4513,BULLISH,0.0991,0.0252,29.0099,28.1062,60.9,67.4,0.9811,0.9451,75.0,15.9,81.1,0.1983,3.0,STRONG_BULL,STRONG_BULL,,0.0564,28.08354560289443,17.186779485517967,1.1526,0.1321,-0.000319,0.2136,,0.0542,,,,,,,,,2.848291298169198,2.8570418090698713,5.705333107239069,13.74024667203515,0.21708141321044477,0.5924031404676524,-0.24354070660522237,0.05899,0.05859,0.0,1.5691,1.6396,2026-05-10T03:45:48.579602,2026-05-10T03:44:38.820429,1.4474,NEVER,2,1.0,,True,,False,,,,1.0,,False,,0.23414149172212959,1,,1.2006,1.6396,False,0.06036,0.05803,2026-05-10T04:01:34.541081,2026-05-10T04:30:42.813146,2.931,-1.0458,15.5,44.63,39.38,-0.5338,-0.8239,2.931,24.74,0.7975,10.08,1.1901,,,,2026-05-10T03:45:42.202237,,,,2026-05-10T03:46:45.211463,0.0807,2026-05-10T03:46:44.196778,0.0636,2026-05-10T03:46:44.196778,0.0636,2026-05-10T03:52:47.802937,1.3096,2026-05-10T03:53:36.369491,1.412,2026-05-10T03:53:36.369491,1.412,2026-05-10T03:53:57.606436,1.1901,False,,,,False,,,,,,,,,,,,,2026-05-10T03:44:27,2026-05-10T03:46:04.374704,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
