id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
33,,VVVUSDT,LONG,CLOSED,14.693,14.676,14.701,181.01969853543233,40.0,7240.787941417293,492.80527743941286,STRONG_BUY,0.28,0.0776,59.24,16.164,15.9221,0.2119,0.2123,BULLISH,0.1415,0.1503,32.0541,31.5761,69.2,63.0,0.9243,0.6861,86.0,4.7,80.8,0.2418,4.0,STRONG_BULL,STRONG_BULL,,0.0385,21.56924878366643,14.588063534734221,0.5789,0.1189,-0.001383,0.1346,64956650.98508,,0.0385,,,,,,,,,1.3033418294551127,3.2545846132653704,4.557926442720483,-12.935616159190236,-0.17864928877696495,0.12067828217519241,-0.17864928877696495,14.72,14.693,0.0,0.3881,0.3253,2026-05-10T22:31:11.752005,2026-05-10T22:31:53.194816,0.0895,NEVER,1,0.5,,True,,False,,,,2.0,STRETCH_0.20-0.25,False,,,0,,0.0895,0.3253,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-10T22:30:13,2026-05-10T22:32:00.865705,MANUAL,MAKER,TAKER,True,
32,,SKYAIUSDT,LONG,CLOSED,0.55415,0.55216,0.55167,181.01969853543233,20.0,3620.3939707086465,6533.238240022821,VERY_STRONG,0.7715,0.1196,58.88,27.2278,27.0021,0.6528,0.6571,BULLISH,0.2248,0.1503,32.0541,31.5761,69.2,63.0,0.9243,1.1987,86.0,4.7,73.7,0.2257,3.0,STRONG_BULL,STRONG_BULL,,0.0385,26.01818467907315,13.96015935319109,1.4044,0.8544,-0.001383,1.1218,88873192.91518,,0.0385,,,,,,,,,1.629177286818891,1.6233267719749502,3.252504058793841,-16.253648156439564,-0.4489469457728137,0.003795181809972915,-0.6672011188306379,0.55467,0.55415,0.0,1.0468,0.0196,2026-05-10T22:30:15.704721,2026-05-10T22:31:04.304765,0.3787,NEVER,1,0.5,,True,,False,,,,1.0,,False,,,0,,0.597,0.0196,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-10T22:30:07,2026-05-10T22:32:04.479766,MANUAL,TAKER_FALLBACK,TAKER,True,
31,,LAYERUSDT,SHORT,CLOSED,0.12184,0.12108,0.12108,296.96202018136273,20.0,5939.240403627255,48746.22786956053,STRONG_BUY,0.771,0.2719,34.41,28.9396,27.3794,0.7,-0.6952,BEARISH,-0.3275,-0.0929,38.5187,38.0362,41.7,39.7,1.5337,1.1075,7.0,93.0,13.5,1.5602,4.0,STRONG_BEAR,STRONG_BEAR,,-0.3049,9.600715604023915,28.213792819992683,1.0189,-0.4281,-0.001383,-0.9564,605166058.557373,,-0.3239,,,,,,,,,2.6726581816322645,2.6559869717008744,5.328645153333139,31.718488027533386,0.5340495732107771,0.8378631812212788,-0.6237266086671026,0.12184,0.12071,0.0,1.9815,-0.8058,2026-05-10T21:12:04.219848,2026-05-10T21:11:02.760574,0.7969,NEVER,2,1.0,,True,,False,,,,1.0,,False,,0.5340495732107771,1,,1.6699,-0.8058,False,0.12276,0.12056,2026-05-10T21:46:01.344092,2026-05-10T21:12:36.220356,0.9606,-0.8451,33.91,0.49,,,-0.1475,,18.8,-0.1885,5.37,-0.1639,,,,2026-05-10T21:12:03.811634,,,,2026-05-10T21:13:50.543195,0.4845,2026-05-10T21:13:36.260426,0.6323,2026-05-10T21:13:49.517963,0.4845,2026-05-10T21:13:57.758060,0.3286,2026-05-10T21:13:59.806738,0.4024,2026-05-10T21:13:59.806738,0.4024,2026-05-10T21:14:04.334082,0.4189,False,,,,False,,,,,,,,,,,,,2026-05-10T21:08:03,2026-05-10T21:12:06.242581,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
30,,BNBUSDT,SHORT,CLOSED,651.5,654.7,654.69,296.96202018136273,20.0,5939.240403627255,9.116255416158488,VERY_STRONG,0.6805,0.2384,25.25,30.6895,27.4791,0.3052,-0.3042,BEARISH,-0.3228,-0.2125,34.8821,31.4138,31.3,17.5,2.6104,2.2835,4.7,95.3,18.2,3.2104,3.0,STRONG_BEAR,STRONG_BEAR,,-0.2793,7.768561773392585,48.57492500199692,0.2751,-0.1202,-0.001383,-0.2768,205314721.498,,-0.2865,2026-05-10T21:29:40.170705,-0.45,,,,,,,1.0690632726529057,2.685785589431533,3.7548488620844385,-32.926866193792016,-0.5543952417498152,0.0014956254796560347,-0.5590020721412153,651.5,651.08,0.0,0.2238,-0.069,2026-05-10T21:14:57.836207,2026-05-10T21:31:04.877019,-0.1939,ENDED_NEG,1,0.5,,False,,False,,,,1.0,,False,-0.44997375287797114,,0,,-0.1588,0.1605,True,656.78,652.09,2026-05-10T22:18:06.411203,2026-05-10T22:00:06.102652,-0.1536,-0.8734,44.96,26.96,0.01,-0.5542,-0.8473,0.0,0.01,-0.5542,30.02,-0.4575,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.0999,2.33,-0.2365,6.96,2026-05-10T20:54:20,2026-05-10T21:33:08.197416,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
29,,ETHUSDT,SHORT,CLOSED,2322.1,2335.03,2335.04,296.96202018136273,20.0,5939.240403627255,2.5577022538337086,VERY_STRONG,0.7359,0.2607,27.69,37.9754,35.322,0.3134,-0.3124,BEARISH,-0.3554,-0.2125,34.8821,31.4138,31.3,17.5,2.6104,2.4561,4.7,95.3,22.4,2.6533,3.0,STRONG_BEAR,STRONG_BEAR,,-0.2793,7.527234535741127,47.154119638865716,0.3437,-0.1371,-0.001383,-0.3236,5712245379.38,,-0.2816,2026-05-10T21:32:36.778410,-0.6307,,,,,,,2.6726581816322645,2.6875401721961962,5.36019835382846,-38.431288495899054,-0.6470741354808273,0.0,-0.6612918048318426,2322.1,2322.09,0.0,,,,2026-05-10T21:32:55.284629,-0.1373,ENDED_NEG,1,0.5,,False,,False,,,,1.0,,False,-0.6307022738038922,,0,,-0.1032,0.1449,True,2351.54,2326.58,2026-05-10T22:18:32.541219,2026-05-10T22:00:05.074780,-0.2829,-1.3578,44.27,25.81,0.01,-0.6464,-1.3427,0.0,0.01,-0.6464,11.11,-0.6404,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.2029,2.4,-0.5195,14.93,2026-05-10T20:54:16,2026-05-10T21:34:15.948969,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
28,,BCHUSDT,SHORT,CLOSED,458.05,461.52,461.51,266.1099897861433,20.0,5322.199795722865,11.619255093816975,STRONG_BUY,0.1784,0.0967,30.37,26.1766,25.449,0.49,-0.4876,BEARISH,-0.0795,-0.1466,30.9507,27.6636,23.0,26.0,1.8365,2.4215,2.3,93.0,4.7,0.7277,4.0,BEAR_EXHAUSTED,STRONG_BEAR,,-0.1934,18.630005506844054,39.259616464137444,0.2452,0.1668,-0.001383,0.2238,55087313.23,,-0.2938,2026-05-10T20:51:31.860798,-0.7182,,,2026-05-10T20:51:34.755721,-0.7313,,,0.9579959632301156,2.4131333749042843,3.3711293381344,-43.68994451367896,-0.8209001200742213,0.004708656260234094,-0.8296367208819979,458.05,457.74,0.0,0.3862,-0.1899,2026-05-10T21:13:05.086980,2026-05-10T21:30:48.171179,-0.3804,ENDED_NEG,1,0.5,,False,,False,,,,1.0,,False,-0.7182450605829058,,0,,-0.2657,0.1742,True,461.8,459.5,2026-05-10T21:31:19.354173,2026-05-10T22:00:05.074780,-0.3796,-0.8817,0.39,29.16,0.0,-0.8293,-0.7136,0.0,0.0,-0.8293,16.67,-0.7049,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.609,5.33,-0.5566,16.45,2026-05-10T20:50:09,2026-05-10T21:30:55.380333,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
27,,TAOUSDT,SHORT,CLOSED,322.92,320.55,320.55,235.29625871734933,40.0,9411.850348693974,29.14607441067129,STRONG_BUY,0.7549,0.3118,33.08,25.9211,25.4341,0.7012,-0.6963,BEARISH,-0.3654,-0.092,22.1053,19.2612,29.1,38.0,1.4256,1.0442,9.3,86.0,4.4,0.487,4.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.0687,15.56015482109887,30.375531690249563,0.6645,0.1907,5e-05,0.1233,229972228.88,,-0.1245,,,,,,,,,1.6941330627649152,4.204248368553307,5.898381431318222,63.177814921972875,0.6712581753994812,1.1855487117552426,-0.8158469899665571,322.92,318.89,0.0,1.7438,-0.5719,2026-05-10T20:45:30.135193,2026-05-10T20:38:39.899469,-0.0207,RECOVERED,2,1.0,,True,,False,,,,2.0,BTC_25-30_20-25,False,,0.860244456831419,1,2026-05-10T20:45:49.844966,1.2169,-0.5719,True,320.55,314.66,2026-05-10T20:45:50.557844,2026-05-10T20:50:07.312375,2.4949,0.6709,0.0,4.28,,,1.0116,,10.82,1.6433,23.37,1.1014,,,,2026-05-10T20:44:53.942656,,2026-05-10T20:45:29.263930,,2026-05-10T20:51:28.519943,1.504,2026-05-10T20:50:44.382625,1.891,2026-05-10T20:50:44.382625,1.891,2026-05-10T20:51:26.421939,1.795,2026-05-10T20:51:28.519943,1.504,2026-05-10T20:51:26.421939,1.795,2026-05-10T20:51:28.519943,1.504,False,,,,False,,,,,,,,,,,,,2026-05-10T20:34:13,2026-05-10T20:45:50.234906,TRAILING_STOP L2,MAKER,TAKER,True,
26,,XRPUSDT,SHORT,CLOSED,1.466,1.4557,1.4557,235.29625871734933,40.0,9411.850348693974,6420.08891452522,STRONG_BUY,0.5402,0.1978,29.93,27.8288,25.7049,0.5959,-0.5924,BEARISH,-0.2282,-0.092,22.1053,19.2612,29.1,38.0,1.4256,1.3446,9.3,86.0,9.1,2.1239,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.0687,12.365366514796635,43.13306434651597,0.3925,0.1058,5e-05,0.0843,818690869.8587,,-0.1245,,,,,,,,,1.6941330627649152,4.205575544793463,5.899708607558378,60.22720721205124,0.6399082537517037,0.9401797407912643,-0.35644713506138953,1.466,1.4513,0.0,1.3215,-0.511,2026-05-10T20:45:31.018860,2026-05-10T20:39:04.013265,0.1487,NEVER,2,1.0,,True,,False,,,,2.0,BTC_25-30_20-25,False,,0.6399082537517037,0,,1.0153,-0.511,True,1.4592,1.4363,2026-05-10T21:30:31.156747,2026-05-10T20:49:34.356357,1.9629,0.4008,44.68,3.74,,,0.4486,,0.01,0.5782,15.44,0.9875,,,,2026-05-10T20:45:27.581285,,,,2026-05-10T20:51:31.620750,1.0216,2026-05-10T20:50:44.382625,1.3558,2026-05-10T20:50:44.382625,1.3558,2026-05-10T20:51:04.774221,1.2194,2026-05-10T20:51:26.421939,1.1853,2026-05-10T20:51:04.774221,1.2194,2026-05-10T20:51:27.470472,1.0489,False,,,,False,,,,,,,,,-0.1722,7.2,-0.2814,3.75,2026-05-10T20:34:11,2026-05-10T20:45:46.059149,TRAILING_STOP L2,MAKER,TAKER,True,
25,,ETHUSDT,SHORT,CLOSED,2343.93,2322.29,2320.02,235.29625871734933,40.0,9411.850348693974,4.015414431614414,STRONG_BUY,0.2601,0.1146,31.42,29.1072,27.6691,0.3102,-0.3092,BEARISH,-0.1207,-0.092,22.1053,19.2612,29.1,38.0,1.4256,1.5308,9.3,86.0,7.9,1.4381,5.0,HEALTHY_BEAR,BEAR_EXHAUSTED,,-0.0687,15.025800291539799,42.54750662977181,0.2295,0.0888,5e-05,0.0745,5052046573.03,,-0.2999,,,,,,,,,1.6941330627649152,4.196230551177226,5.890363613942141,81.00320468619327,0.8606512182530994,1.3506473358845992,-0.22348653330091847,2343.93,2310.81,0.0,1.5216,-0.3774,2026-05-10T20:49:32.040972,2026-05-10T20:34:39.214638,0.1491,NEVER,3,1.5,,True,,False,,,,2.0,BTC_25-30_20-25,False,,0.9477236990865698,1,2026-05-10T20:51:19.817928,0.7294,-0.5332,True,2335.36,2320.59,2026-05-10T21:32:57.901721,2026-05-10T20:54:05.333596,0.9328,0.3026,41.63,2.75,42.93,0.3163,0.3176,0.9328,5.33,0.7566,17.86,0.4434,,,,2026-05-10T20:45:27.795280,,2026-05-10T20:49:27.725976,,2026-05-10T20:51:40.932782,0.6619,2026-05-10T20:51:24.324373,0.8248,2026-05-10T20:51:26.421939,0.8248,2026-05-10T20:51:24.324373,0.8248,2026-05-10T20:51:26.421939,0.8248,2026-05-10T20:51:21.158120,0.8248,2026-05-10T20:51:27.470472,0.7045,False,,,,False,,,,,,,,,,,,,2026-05-10T20:34:09,2026-05-10T20:51:19.824031,TRAILING_STOP L3,MAKER,TAKER,True,
24,,TRUMPUSDT,SHORT,CLOSED,2.5,2.49,2.49,231.59080582416283,20.0,4631.816116483256,1852.7264465933026,VERY_STRONG,0.5469,0.1819,27.45,37.5051,36.0409,0.2431,-0.2425,BEARISH,-0.2384,-0.071,21.1253,19.2612,36.2,38.0,0.7261,0.9447,16.3,83.7,16.7,1.4642,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.0458,10.034317581639813,36.14239540613598,0.3441,0.0565,5e-05,0.0486,47456944.33848,,-0.0503,,,,,,,,,2.084317252417465,2.0759799834077954,4.160297235825261,14.36696723010737,0.3101799999999915,0.510270000000005,-0.2100540000000046,2.5,2.485,0.0,1.0902,-0.367,2026-05-10T20:33:14.720639,2026-05-10T20:32:03.782182,0.3633,NEVER,1,0.5,,True,,False,,,,1.0,,False,,0.3101799999999915,0,,0.8873,-0.367,False,2.499,2.415,2026-05-10T20:37:20.669452,2026-05-10T20:49:32.312868,3.31,-0.05,3.99,16.18,,,2.03,,24.44,2.31,5.71,-0.05,,,,2026-05-10T20:33:14.720662,,,,2026-05-10T20:51:21.158120,2.31,2026-05-10T20:34:05.392695,0.15,2026-05-10T20:34:07.427462,0.15,2026-05-10T20:34:28.278934,0.07,2026-05-10T20:51:04.774221,2.47,2026-05-10T20:51:04.774221,2.47,2026-05-10T20:51:27.470472,2.15,False,,,,False,,,,,,,,,,,,,2026-05-10T20:31:53,2026-05-10T20:33:21.019094,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
