id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
46,,BUSDT,LONG,CLOSED,0.474,0.4702,0.4712,256.0274915181792,20.0,5120.549830363584,10802.847743383089,VERY_STRONG,0.6199,0.2147,59.13,22.0922,20.4898,0.2593,0.2599,BULLISH,0.25,0.0228,18.1558,18.1815,52.1,58.8,0.9388,0.845,52.3,34.1,69.6,1.6024,4.0,HEALTHY_BULL,CHOPPY_WEAK,,0.159,26.497021197130927,10.581604858933986,1.4249,0.6963,0.000199,1.1854,155598600.6081,,0.1233,,,,,,,,,2.304247423663613,2.285774554022428,4.590021977686041,-45.640843402541456,-0.891327004219403,0.20522573839662708,-0.891327004219403,0.4754,0.474,0.0,0.7981,0.4369,2026-05-11T12:47:40.266543,2026-05-11T12:52:32.070573,-0.3459,ENDED_NEG,1,0.5,,True,,False,,,,2.0,STRETCH_0.25-0.30,True,,,0,,-0.3459,0.31,True,0.4822,0.4686,2026-05-11T13:17:20.669911,2026-05-11T12:58:36.005619,1.64,-1.2292,24.8,6.06,,,0.9016,,5.52,-0.744,,,,,,,,,,2026-05-11T13:19:19.524252,0.564,2026-05-11T13:19:24.597284,0.4374,2026-05-11T13:19:30.669692,0.4163,2026-05-11T13:19:30.669692,0.4163,2026-05-11T13:19:30.669692,0.4163,2026-05-11T13:19:30.669692,0.4163,2026-05-11T13:19:31.681988,0.3741,False,,,,False,,,2026-05-11T12:46:18.513469,-0.322,,,,,,,-0.3431,5.61,2026-05-11T12:45:44,2026-05-11T12:52:32.073076,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
45,,SUIUSDT,LONG,CLOSED,1.2824,1.2721,1.2734,563.2102913737568,20.0,11264.205827475136,8783.691381374872,STRONG_BUY,0.4662,0.1671,64.8,15.338,14.2176,0.2566,0.2573,BULLISH,0.228,0.0313,18.7843,18.1815,59.5,58.8,0.6984,1.054,56.8,20.5,91.9,1.1204,3.0,HEALTHY_BULL,CHOPPY_WEAK,,0.1683,27.7240482058953,14.960235532109555,0.5017,0.1208,-0.00068,0.3047,1814975171.95374,,0.1127,2026-05-11T12:51:37.208494,-0.5187,,,2026-05-11T13:14:56.231287,-0.6512,,,5.068892622363811,5.028180212811138,10.097072835174949,-100.56909406333591,-0.8928201029320005,0.4478115252651206,-0.8928201029320005,1.2893,1.2824,0.0,0.6776,0.0537,2026-05-11T13:07:12.340286,2026-05-11T13:35:04.222172,-0.6653,ENDED_NEG,1,0.5,,True,,False,,,,2.0,PAIR_60-65_15-18,False,-0.5186903462258313,,0,,-0.6653,0.0537,True,1.2875,1.2657,2026-05-11T14:11:04.555131,2026-05-11T13:55:11.009281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-11T12:46:18.510322,0.0893,,,2026-05-11T12:55:15.148172,-0.3004,-0.4252,10.45,,,2026-05-11T12:42:01,2026-05-11T13:35:04.224580,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
44,,BUSDT,LONG,CLOSED,0.47500000000000003,0.471,0.4721,603.8936532788596,20.0,12077.87306557719,25427.10119068882,STRONG_BUY,0.7346,0.2934,62.84,20.3002,18.5914,0.7794,0.7856,BULLISH,0.3083,0.0497,18.8444,17.5508,63.0,59.9,0.8425,0.832,56.8,18.2,81.2,1.7089,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.1752,26.489940408599438,10.684901270282648,1.4347,0.6657,-0.00068,1.2074,154966936.67,,0.1667,,,,,,,,,2.1740171518038944,5.389274097366495,7.563291249170389,-109.27169601192718,-0.904726315789486,0.0,-0.904726315789486,0.47500000000000003,0.47500000000000003,0.0,,,,2026-05-11T12:40:00.444588,0.0219,NEVER,1,0.5,,True,,False,,,,2.0,PAIR_60-65_18-22,False,,,0,,0.0219,0.4449,False,0.4822,0.4686,2026-05-11T13:17:20.669911,2026-05-11T12:58:36.005619,1.4528,-1.4104,37.31,18.56,,,0.2107,,18.02,-0.9262,11.3,-0.5262,,,,,,,,2026-05-11T13:19:19.524252,0.3791,2026-05-11T13:19:24.597284,0.2528,2026-05-11T13:19:30.669692,0.2317,2026-05-11T13:19:30.669692,0.2317,2026-05-11T13:19:30.669692,0.2317,2026-05-11T13:19:30.669692,0.2317,2026-05-11T13:19:31.681988,0.1896,False,,,,False,,,,,,,,,,,,,2026-05-11T12:38:19,2026-05-11T12:40:00.447258,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
43,,BUSDT,LONG,CLOSED,0.4723,0.4747,0.4747,295.9316999829895,20.0,5918.633999659791,12531.513867583719,STRONG_BUY,0.6027,0.2299,59.38,20.1565,18.5914,0.4029,0.4045,BULLISH,0.2532,0.0497,18.8444,17.5508,63.0,59.9,0.7921,0.7661,59.1,18.2,70.4,1.5651,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.1751,25.55374902990027,10.820979413969264,1.4247,0.6426,-0.00068,1.1473,154890856.9047,,0.1752,,,,,,,,,1.0653541199387624,2.6769193348238964,3.7422734547626586,26.333359827438436,0.44492293034088787,0.9316824052508961,-0.10532691086173575,0.477,0.4723,0.0,1.3633,0.3602,2026-05-11T12:38:05.117775,2026-05-11T12:37:15.300538,0.3396,NEVER,2,1.0,,True,,False,,,,1.0,,False,,0.48724984120262343,1,,0.8854,0.3602,False,0.4822,0.4686,2026-05-11T13:17:20.669911,2026-05-11T12:58:36.005619,2.0331,-0.8464,39.2,20.45,,,0.911,,19.91,-0.3594,13.19,0.0429,,,,2026-05-11T12:37:40.952434,,,,2026-05-11T12:38:35.183056,0.2969,2026-05-11T12:38:50.421863,0.3181,2026-05-11T12:38:50.421863,0.3181,2026-05-11T12:39:11.855779,0.1276,2026-05-11T12:39:12.872352,0.1699,2026-05-11T12:39:11.855779,0.1276,2026-05-11T12:39:45.321679,0.1064,False,,,,False,,,,,,,,,,,,,2026-05-11T12:37:10,2026-05-11T12:38:08.435923,TRAILING_STOP L2,MAKER,TAKER,True,
42,,TAOUSDT,LONG,CLOSED,324.69,322.09,322.11,588.787945542456,20.0,11775.75891084912,36.267698145459114,STRONG_BUY,0.2027,0.1251,62.1,16.729,16.3807,0.3527,0.354,BULLISH,0.1569,0.062,17.5458,15.9333,63.5,67.4,0.9513,1.2131,61.4,18.2,91.5,0.3482,2.0,CHOPPY_WEAK,CHOPPY_WEAK,,0.1746,29.29442374825876,19.02382783865986,0.3906,0.005,-0.00068,0.1187,298429846.98,,0.133,2026-05-11T12:48:03.389237,-0.5733,,,2026-05-11T12:48:04.948734,-0.6503,,,5.299091509882103,5.256658303051917,10.555749812934021,-104.85176499112855,-0.8904034617635355,0.0,-0.8904034617635355,324.97,324.69,0.0,,,,2026-05-11T12:51:15.524788,-0.4349,ENDED_NEG,1,0.5,,True,,False,,,,2.0,PAIR_60-65_15-18,False,-0.5733205519110515,,0,,-0.4349,0.1435,True,324.37,317.49,2026-05-11T13:04:51.056811,2026-05-11T13:36:16.063158,-0.1886,-2.3075,13.59,45.0,0.07,-0.9493,-2.3075,0.0,0.07,-0.9493,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-11T12:46:18.508179,-0.2039,,,,,-0.2624,4.85,-0.2624,4.85,2026-05-11T12:35:45,2026-05-11T12:51:15.527351,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
41,,BUSDT,LONG,CLOSED,0.47140000000000004,0.472,0.472,302.0352531768775,20.0,6040.705063537551,12814.393431348219,STRONG_BUY,0.584,0.2785,58.78,17.1201,15.4088,0.3815,0.3829,BULLISH,0.3843,0.0465,15.9541,14.651,63.9,68.0,1.102,0.9309,40.9,38.6,66.8,1.7113,2.0,CHOPPY_WEAK,HEALTHY_BULL,,0.1651,27.138828162374786,11.806898046283996,1.4618,0.5411,-0.00068,1.0914,154252784.8702,,0.1751,,,,,,,,,1.0873269114367592,2.7217771648183615,3.809104076255121,3.8795319825529635,0.06422316504029144,0.530708103521419,-0.7627274077216853,0.4742,0.47140000000000004,0.0,0.9675,0.5981,2026-05-11T12:35:46.718690,2026-05-11T12:32:36.702114,-0.2732,RECOVERED,1,0.5,,True,,False,,,,1.0,,False,,0.08542702588035181,0,,0.5059,0.5981,True,0.4823,0.4686,2026-05-11T13:17:20.669911,2026-05-11T12:58:36.005619,2.2493,-0.657,40.95,22.2,,,1.2734,,0.0,0.0855,14.94,0.234,,,,2026-05-11T12:35:46.716269,0.19144633008060644,,,2026-05-11T12:38:35.183056,0.4885,2026-05-11T12:36:26.898382,0.1703,2026-05-11T12:36:26.898382,0.1703,2026-05-11T12:39:10.837282,0.3188,2026-05-11T12:39:10.837282,0.3188,2026-05-11T12:39:10.837282,0.3188,2026-05-11T12:39:45.321679,0.2976,False,,,,False,,,,,,,,,-0.5931,3.38,,,2026-05-11T12:28:41,2026-05-11T12:36:23.525513,TRAILING_STOP L1,MAKER,TAKER,True,
40,,LDOUSDT,LONG,CLOSED,0.44270000000000004,0.4399,0.4398,302.0352531768775,20.0,6040.705063537551,13645.143581516943,STRONG_BUY,0.2631,0.0593,56.4,15.9254,15.5905,0.3692,0.3706,BULLISH,0.1294,0.0477,15.9541,14.651,65.0,68.0,1.0573,1.3505,40.9,40.9,74.2,0.3348,3.0,CHOPPY_WEAK,CHOPPY_WEAK,,0.1664,24.993299981237616,16.565822364177986,1.0771,0.6946,-0.00068,1.0459,85518318.7627,,0.1811,2026-05-11T12:30:20.377656,-0.6049,,,2026-05-11T12:30:31.263514,-0.7178,,,1.0873269114367592,2.701124397679186,3.7884513091159455,-41.99485333736372,-0.6951978766659193,0.004735486785626157,-0.7855118590467667,0.443,0.44270000000000004,0.0,0.4142,0.3022,2026-05-11T12:27:45.262447,2026-05-11T12:30:32.290508,-0.2499,ENDED_NEG,1,0.5,,False,,False,,,,1.0,,False,-0.6048838942850718,,0,,-0.1185,-0.0454,True,0.4464,0.4363,2026-05-11T13:08:53.764254,2026-05-11T12:48:02.282081,0.7728,-1.5087,37.92,17.06,0.01,-0.6955,-0.4018,0.0,9.62,-0.9665,12.19,-0.9665,,,,,,,,,,2026-05-11T13:05:16.187930,0.0725,2026-05-11T13:09:36.599153,0.3662,2026-05-11T13:10:05.424711,0.0499,2026-05-11T13:10:05.424711,0.0499,2026-05-11T13:05:47.645985,0.0499,2026-05-11T13:10:05.424711,0.0499,False,,,,False,,,,,,,,,,,-0.7178,3.4,2026-05-11T12:27:32,2026-05-11T12:30:58.158133,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
39,,SAHARAUSDT,LONG,CLOSED,0.03667,0.03637,0.03643,646.3748312807763,20.0,12927.496625615528,352536.0410585091,STRONG_BUY,0.319,0.1221,60.68,16.4994,14.6463,0.1935,0.1938,BULLISH,0.1833,0.0425,16.6299,16.7789,62.1,61.5,0.6292,1.0208,52.3,22.7,74.1,1.8532,3.0,CHOPPY_WEAK,CHOPPY_WEAK,,0.1469,21.902419449600202,9.25527828183174,0.4909,0.0379,7.8e-05,0.1144,114737703.1772,,0.1487,2026-05-11T11:46:32.437308,-0.6079,,,2026-05-11T11:46:40.161430,-0.6897,,,5.817373481526987,5.769781115984089,11.587154597511077,-117.34796691506438,-0.9077392964276019,0.0,-0.9077392964276019,0.0367,0.03667,0.0,,,,2026-05-11T11:47:00.786484,-0.4658,ENDED_NEG,1,0.5,,True,,False,,,,2.0,PAIR_60-65_15-18,False,-0.6079015544041522,,0,,-0.4658,0.1202,True,0.03747,0.03636,2026-05-11T12:09:31.841409,2026-05-11T11:59:50.704461,2.0916,-0.9354,22.51,12.83,0.27,-0.799,1.4371,0.0,0.0,-0.8263,4.75,-0.799,,,,,,,,2026-05-11T12:10:07.119299,1.4371,2026-05-11T12:10:15.155014,1.5462,2026-05-11T12:10:22.185977,1.6008,2026-05-11T12:11:04.372170,1.3008,2026-05-11T12:11:04.372170,1.3008,2026-05-11T12:11:03.367898,1.3281,2026-05-11T12:11:03.367898,1.3281,False,,,,False,,,,,,,,,-0.2535,2.25,-0.3898,3.37,2026-05-11T11:41:41,2026-05-11T11:47:00.788766,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
38,,1000LUNCUSDT,LONG,CLOSED,0.1027,0.10315,0.10315,624.4844324791693,20.0,12489.688649583386,121613.32667559285,STRONG_BUY,0.6803,0.2408,62.06,17.0132,16.0613,0.265,0.2657,BULLISH,0.325,0.0239,22.0067,22.8496,56.1,58.7,0.954,1.2531,36.4,31.8,85.8,0.9519,2.0,HEALTHY_BULL,CHOPPY_FLAT,,0.1366,27.19395489155783,14.840625745530946,0.6893,0.2767,7.8e-05,0.6083,82757436.12334,,0.0945,,,,,,,,,2.2481439569250097,5.644986590964331,7.89313054788934,46.832866456128166,0.3749722492697234,0.7642809152872478,-0.4231105160662077,0.10355,0.1027,0.0,0.6035,0.3247,2026-05-11T11:10:44.269410,2026-05-11T10:59:04.673630,-0.222,RECOVERED,2,1.0,,True,,False,,,,2.0,PAIR_60-65_15-18,False,,0.4528339824732255,1,,0.2181,0.3247,True,0.10351,0.10079,2026-05-11T11:13:27.045322,2026-05-11T11:51:12.862470,0.7257,-1.9228,2.56,40.32,26.01,-0.2383,-1.4944,0.7257,10.4,0.1512,11.53,0.0928,,,,2026-05-11T11:08:56.433626,,,,2026-05-11T11:10:54.575602,0.4141,2026-05-11T11:10:54.575602,0.4141,2026-05-11T11:10:55.589233,0.4141,2026-05-11T11:10:54.575602,0.4141,2026-05-11T11:10:55.589233,0.4141,2026-05-11T11:10:54.575602,0.4141,2026-05-11T11:11:00.632292,0.2486,False,,,,False,,,2026-05-11T10:56:06.324080,0.1317,,,,,0.083,2.26,,,2026-05-11T10:53:18,2026-05-11T11:10:53.238221,TRAILING_STOP L2,MAKER,TAKER,True,
37,,1000LUNCUSDT,LONG,CLOSED,0.10250000000000001,0.10288,0.10288,606.4966299897185,20.0,12129.93259979437,118340.80585165239,STRONG_BUY,0.4924,0.2023,60.96,15.2293,15.0305,0.4093,0.411,BULLISH,0.2447,0.0245,23.7806,24.3884,57.7,54.6,1.275,1.202,47.7,34.1,96.2,0.1988,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.1394,24.139735395922383,16.83993547849261,0.7068,0.1698,7.8e-05,0.4046,83435597.12371,,0.1401,,,,,,,,,2.183387867962987,5.478705947708099,7.662093815671087,37.30741240795581,0.30756487804877214,0.6878814634146272,-0.1702687804878174,0.10327,0.10250000000000001,0.0,0.838,0.6779,2026-05-11T10:50:44.298392,2026-05-11T10:44:34.538434,0.244,NEVER,2,1.0,,True,,False,,,,2.0,PAIR_60-65_15-18,False,,0.38557853658535435,0,,0.2228,0.7019,False,0.10351,0.10234,2026-05-11T11:13:27.045322,2026-05-11T10:59:04.714318,0.9224,-0.2191,20.96,6.59,44.41,-0.0435,-0.0532,0.9224,3.07,0.2785,29.93,0.2882,,,,2026-05-11T10:47:00.709348,,,,2026-05-11T10:52:33.565082,0.3175,2026-05-11T10:52:30.534858,0.3077,2026-05-11T10:52:33.565082,0.3175,2026-05-11T10:52:30.534858,0.3077,2026-05-11T10:52:33.565082,0.3175,2026-05-11T10:52:30.534858,0.3077,2026-05-11T10:52:29.525971,0.3077,False,,,,False,,,2026-05-11T10:47:08.271996,0.4733,2026-05-11T10:50:28.779396,0.6099,,,,,,,2026-05-11T10:44:19,2026-05-11T10:52:29.189998,TRAILING_STOP L2,MAKER,TAKER,True,
