id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
27,,PARTIUSDT,SHORT,CLOSED,0.06356,0.06333,0.06333,274.04288052471793,20.0,5480.857610494359,86231.2399385519,STRONG_BUY,0.7679,0.1597,34.38,28.1828,26.7725,0.8247,-0.818,BEARISH,-0.2654,-0.0399,38.5252,37.0123,34.4,38.1,0.5266,0.9501,11.4,81.8,8.8,1.4102,4.0,STRONG_BEAR,STRONG_BEAR,,-0.1792,10.012801461523809,27.429374192238225,0.9423,-0.7795,-2.6e-05,-1.0755,57769496.4279,,-0.178,,,,,,,,,2.466385924722461,2.457460991388821,4.923846916111282,14.909338269756342,0.2720256450597986,0.555350062932674,-0.12148049087475181,0.06356,0.06315,0.0,1.3995,-0.342,2026-05-12T11:05:12.867340,2026-05-12T11:04:32.690033,0.7137,NEVER,1,0.5,,True,,False,,,,1.0,,False,,0.2720256450597986,1,,1.1113,-0.342,False,0.06437,0.06315,2026-05-12T11:47:22.803754,2026-05-12T11:09:39.097436,0.5551,-1.3644,42.15,4.42,25.02,-1.0025,-0.5148,0.5551,11.62,-0.6721,3.75,0.1145,,,,2026-05-12T11:05:12.860894,,,,,,2026-05-12T11:11:40.500359,0.1775,2026-05-12T11:11:40.500359,0.1775,2026-05-12T11:11:40.500359,0.1775,2026-05-12T11:06:46.217603,0.0988,2026-05-12T11:11:40.500359,0.1775,2026-05-12T11:11:41.516898,0.1775,2026-05-12T11:11:40.500359,0.1775,False,,,,False,,,,,,,,,,,,,2026-05-12T11:04:30,2026-05-12T11:05:13.609328,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
26,,SOLUSDT,SHORT,CLOSED,95.151,94.81,94.81,255.5369213432009,20.0,5110.738426864018,53.711872989921474,STRONG_BUY,0.2905,0.0971,31.85,25.3947,24.046,0.1015,-0.1013,BEARISH,-0.1413,-0.047,33.1765,32.0719,39.3,38.3,0.4802,0.8347,9.1,88.6,13.7,1.3487,6.0,STRONG_BEAR,CHOPPY_FLAT,,-0.1589,13.862732176493397,34.71664915691936,0.2236,-0.179,-2.6e-05,-0.3373,2641923856.2869,,-0.1576,,,,,,,,,0.9199329168355233,2.291590205178505,3.2115231220140283,15.10422556754887,0.295539006421366,0.6004548769850031,-0.08297724669210566,95.151,94.52,0.0,0.3404,-0.1651,2026-05-12T11:16:50.146300,2026-05-12T10:42:13.524900,0.0804,ENDED_NEG,2,1.0,,True,,False,,,,1.0,,False,,0.295539006421366,1,,-0.067,0.0061,True,95.17,94.7,2026-05-12T12:19:41.460072,2026-05-12T12:08:09.886517,0.411,-0.083,37.33,25.81,14.82,0.2323,0.3059,0.3584,14.82,0.2323,2.51,0.2428,,,,2026-05-12T11:16:48.581714,,,,,,,,2026-05-12T12:09:16.411468,0.2008,,,2026-05-12T12:09:26.467684,0.2008,,,,,2026-05-12T12:09:55.617267,0.1482,False,,,,False,,,2026-05-12T11:35:16.261752,0.3586,,,,,0.3481,49.65,0.1273,12.35,2026-05-12T10:41:43,2026-05-12T11:42:21.094893,TRAILING_STOP L2,MAKER,TAKER,True,
25,,WLDUSDT,SHORT,CLOSED,0.27030000000000004,0.269,0.269,302.6958821927548,20.0,6053.917643855097,22397.03160878689,VERY_STRONG,0.4845,0.1725,26.32,36.0633,34.0904,0.5297,-0.5269,BEARISH,-0.2263,-0.0426,30.404,29.5531,34.6,37.8,0.649,2.0313,11.4,81.8,14.6,1.9729,3.0,STRONG_BEAR,STRONG_BEAR,,-0.1428,8.382348398225837,35.402550565136394,0.4185,-0.3214,-2.6e-05,-0.6262,76227116.9415,,-0.2083,2026-05-12T11:10:06.660802,-0.3961,,,,,,,1.0897051758939176,2.711160676243653,3.8008658521375707,25.31527523928591,0.4181635220125873,0.7512767295597613,-0.4331257861635017,0.27030000000000004,0.2681,0.0,0.701,-0.2644,2026-05-12T11:18:44.172054,2026-05-12T11:10:06.800414,-0.2843,RECOVERED,2,1.0,,True,,False,,,,1.0,,False,-0.3961132075471536,0.4181635220125873,0,,0.1312,-0.4737,True,0.2699,0.2679,2026-05-12T11:39:02.512869,2026-05-12T12:07:20.555271,0.8249,0.085,16.68,44.99,,,0.7879,,9.01,0.233,9.01,0.233,,,,2026-05-12T11:16:46.203495,,,,,,,,2026-05-12T11:22:21.428038,0.4179,2026-05-12T11:25:33.892103,0.4549,2026-05-12T11:22:21.428038,0.4179,2026-05-12T11:25:38.972462,0.4549,2026-05-12T11:22:21.428038,0.4179,2026-05-12T11:22:21.428038,0.4179,False,,,,False,,,,,,,,,-0.063,8.02,-0.174,4.58,2026-05-12T10:33:43,2026-05-12T11:22:21.088077,TRAILING_STOP L2,MAKER,TAKER,True,
24,,CRVUSDT,SHORT,CLOSED,0.2796,0.282,0.2818,302.6958821927548,20.0,6053.917643855097,21652.065965146983,STRONG_BUY,0.6366,0.1768,29.95,23.4852,21.9713,0.542,-0.5391,BEARISH,-0.2407,-0.0426,30.404,29.5531,34.6,37.8,0.649,0.984,11.4,81.8,1.5,1.5139,3.0,STRONG_BEAR,STRONG_BEAR,,-0.1428,13.459795835589656,33.90587345655799,0.5848,-0.3335,-2.6e-05,-0.5082,76630556.747599,,-0.1545,,,,,,,,,1.0897051758939176,2.7476471709771517,3.8373523468710693,-55.80231066322292,-0.9217553648068519,0.0,-0.9217553648068519,0.2796,0.2795,0.0,,,,2026-05-12T10:40:45.643454,-0.2564,ENDED_NEG,1,0.5,,True,,False,,,,1.0,,False,,,0,,-0.2564,-0.1761,True,0.2838,0.2794,2026-05-12T10:52:08.870389,2026-05-12T11:06:41.101220,0.0085,-1.5651,11.38,25.92,5.45,-1.279,-1.0287,0.0,0.97,-0.9571,5.45,-1.279,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,-0.7786,6.04,2026-05-12T10:33:23,2026-05-12T10:40:45.646149,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
23,,AVAXUSDT,SHORT,CLOSED,9.859,9.848,9.848,332.7019864875242,20.0,6654.039729750484,674.920349908762,STRONG_BUY,0.302,0.084,25.63,29.8691,28.4823,0.2861,-0.2853,BEARISH,-0.1282,-0.0426,30.404,29.5531,34.6,37.8,0.649,0.9208,11.4,81.8,0.0,1.3868,5.0,STRONG_BEAR,CHOPPY_FLAT,,-0.1428,12.315910499321832,34.960055141184995,0.216,-0.2999,-2.6e-05,-0.4894,133931524.48,,-0.1264,2026-05-12T11:10:06.504631,-0.1442,,,,,,,1.1977271513550873,2.99097702265567,4.188704174010757,3.2354196749851063,0.04862338979611757,0.44437904452784976,-0.19491855157723809,9.859,9.809,0.0,0.3836,-0.0798,2026-05-12T11:19:00.951941,2026-05-12T11:10:06.970236,-0.2298,ENDED_NEG,1,0.5,,False,,False,,,,2.0,STRETCH_0.25-0.30,True,-0.1441806471244639,,0,,-0.0527,0.0567,True,9.913,9.813,2026-05-12T12:39:30.958276,2026-05-12T12:08:01.815017,0.4036,-0.6107,44.55,13.07,0.01,0.0486,-0.5904,0.0,1.09,0.0283,,,,,,,,,,,,,,2026-05-12T12:09:21.441823,0.1906,,,2026-05-12T12:09:23.451532,0.1804,,,2026-05-12T12:09:25.461568,0.1804,2026-05-12T12:09:49.583479,0.1297,False,,,,False,,,2026-05-12T11:35:16.258749,0.0283,,,,,-0.0427,8.38,0.0588,18.49,2026-05-12T10:33:21,2026-05-12T11:54:57.573928,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
22,,SUIUSDT,SHORT,CLOSED,1.2499,1.2599,1.2593,570.5796626239423,20.0,11411.593252478848,9130.005002383268,VERY_STRONG,0.7412,0.2309,27.48,32.7191,30.5916,0.421,-0.4193,BEARISH,-0.3219,-0.0402,30.404,29.5531,36.0,37.8,0.6014,1.0516,13.6,81.8,1.4,2.1275,3.0,STRONG_BEAR,STRONG_BEAR,,-0.1402,8.579659744407927,34.7258624456658,0.4791,-0.4132,-2.6e-05,-0.7678,611770704.52735,,-0.1723,2026-05-12T10:56:28.377633,-0.7223,,,,,,,5.135216963615481,5.176301986126206,10.311518949741687,-101.61156897357445,-0.8904240339227145,0.14212296983757922,-0.8904240339227145,1.2499,1.247,0.0,0.8022,-0.5615,2026-05-12T10:35:17.804708,2026-05-12T10:57:09.217699,-0.4541,ENDED_NEG,1,0.5,,True,,False,,,,2.0,PAIR_25-50_30-33,False,-0.7223349867989453,,0,,-0.4541,0.008,True,1.2609,1.231,2026-05-12T11:10:22.682034,2026-05-12T11:24:58.221113,1.4221,-0.9701,13.22,27.81,3.67,-0.8181,0.5981,0.0,0.0,-0.8741,14.09,-0.8421,,,,,,,,,,2026-05-12T11:25:29.834667,1.0061,2026-05-12T11:25:21.707532,1.0381,2026-05-12T11:25:29.834667,1.0061,2026-05-12T11:25:37.956799,0.8941,2026-05-12T11:25:37.956799,0.8941,2026-05-12T11:25:37.956799,0.8941,2026-05-12T11:25:51.155664,0.8141,False,,,,False,,,,,,,,,-0.4182,9.53,-0.3942,21.87,2026-05-12T10:32:12,2026-05-12T10:57:09.220067,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
21,,FARTCOINUSDT,SHORT,CLOSED,0.24480000000000002,0.2435,0.2435,551.6115661057779,20.0,11032.231322115558,45066.30442040669,VERY_STRONG,0.4033,0.0987,32.43,31.1669,30.3218,0.3203,-0.3193,BEARISH,-0.1538,-0.0313,29.6868,28.7775,35.5,41.0,0.544,0.7616,9.1,77.3,10.9,0.8451,3.0,STRONG_BEAR,STRONG_BEAR,,-0.1397,13.174028137102676,32.373979051136324,0.4669,-0.4487,-2.6e-05,-0.7551,54787766.99462,,-0.1428,,,,,,,,,1.9858016379808006,4.938140306866063,6.923941944846863,51.66225380168288,0.46828472222223166,0.7952291666666743,-0.34907638888888004,0.24480000000000002,0.2427,0.0,1.0714,-0.3111,2026-05-12T10:33:02.107127,2026-05-12T10:28:13.849868,-0.0066,RECOVERED,2,1.0,,True,,False,,,,2.0,PAIR_25-50_30-33,False,,0.46828472222223166,1,,0.7393,-0.3111,True,0.244,0.2413,2026-05-12T11:10:07.231376,2026-05-12T11:16:49.055092,1.3667,0.2638,36.77,43.47,,,1.3667,,12.86,0.6723,20.72,0.754,,,,2026-05-12T10:32:25.024571,,,,,,2026-05-12T10:36:21.526687,0.5497,2026-05-12T10:35:56.871096,0.6723,2026-05-12T10:36:19.491154,0.5497,2026-05-12T10:36:18.472409,0.5497,2026-05-12T10:36:19.491154,0.5497,2026-05-12T10:36:22.541724,0.5906,2026-05-12T10:36:21.526687,0.5497,False,,,,False,,,,,,,,,,,,,2026-05-12T10:27:14,2026-05-12T10:33:20.802115,TRAILING_STOP L2,MAKER,TAKER,True,
20,,WLDUSDT,SHORT,CLOSED,0.2715,0.2701,0.2701,275.805783052889,20.0,5516.11566105778,20317.184755277274,VERY_STRONG,0.3338,0.113,32.12,34.1215,33.0295,0.3366,-0.3355,BEARISH,-0.1535,-0.0313,29.6868,28.7775,35.5,41.0,0.544,0.7579,9.1,77.3,3.0,1.092,4.0,STRONG_BEAR,STRONG_BEAR,,-0.1397,9.731219652055826,27.926476762912444,0.3864,-0.2882,-2.6e-05,-0.56,74947252.7757,,-0.1402,,,,,,,,,0.9929008189904005,2.4694522210801764,3.462353040070577,24.981705617317857,0.4528858195211831,0.673979742173113,-0.17354696132595468,0.2715,0.2695,0.0,0.9145,-0.4379,2026-05-12T10:32:24.121629,2026-05-12T10:27:03.407624,0.1889,NEVER,1,0.5,,True,,False,,,,1.0,,False,,0.4528858195211831,1,,0.6903,-0.4379,True,0.2712,0.2687,2026-05-12T11:03:51.188949,2026-05-12T11:16:50.477698,0.9683,0.0475,31.45,44.43,,,0.7105,,9.33,0.379,5.89,0.2685,,,,2026-05-12T10:32:24.081410,,,,,,2026-05-12T11:10:09.322981,0.0843,2026-05-12T10:37:51.395754,0.2317,2026-05-12T10:50:46.538600,0.3053,2026-05-12T10:37:03.444424,0.379,2026-05-12T10:52:45.547575,0.1948,2026-05-12T10:37:02.402115,0.3422,2026-05-12T10:37:45.263664,0.2685,False,,,,False,,,,,,,,,,,,,2026-05-12T10:26:54,2026-05-12T10:32:24.138103,TRAILING_STOP L1,MAKER,TAKER,True,
19,,SUIUSDT,SHORT,CLOSED,1.2563,1.2509,1.2509,551.611566105778,20.0,11032.23132211556,8781.526165816731,VERY_STRONG,0.6067,0.1866,32.08,30.5924,28.6385,0.2443,-0.2437,BEARISH,-0.263,-0.0313,29.6868,28.7775,35.5,41.0,0.544,0.9244,9.1,77.3,8.2,1.9539,3.0,STRONG_BEAR,STRONG_BEAR,,-0.1397,9.099217282826377,32.25477836940893,0.4839,-0.3462,-2.6e-05,-0.6796,612530914.3147,,-0.1402,,,,,,,,,4.964504094952002,4.943164986369066,9.907669081321067,37.51257221408991,0.34002706359946444,0.5550405953991879,-0.1855615696887758,1.2563,1.2482,0.0,0.7987,-0.4682,2026-05-12T10:31:40.076891,2026-05-12T10:27:24.828691,0.2284,NEVER,1,0.5,,True,,False,,,,2.0,PAIR_25-50_30-33,False,,0.34002706359946444,1,,0.5812,-0.4682,False,1.2609,1.2475,2026-05-12T11:10:22.682034,2026-05-12T10:35:16.970055,0.6105,-0.4562,38.7,3.61,29.15,-0.3049,0.1647,0.6105,10.06,0.0931,22.4,0.117,,,,2026-05-12T10:31:39.908515,,,,,,,,2026-05-12T10:33:45.701600,0.3478,2026-05-12T10:34:04.308497,0.2762,2026-05-12T10:33:59.006722,0.3,2026-05-12T10:34:04.308497,0.2762,2026-05-12T10:34:04.308497,0.2762,2026-05-12T10:33:59.006722,0.3,False,,,,False,,,,,,,,,,,,,2026-05-12T10:26:52,2026-05-12T10:31:40.127953,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
18,,TONUSDT,LONG,CLOSED,2.4589,2.4392,2.4392,613.0278137861354,20.0,12260.556275722709,4986.195565383997,STRONG_BUY,0.304,0.1759,61.7,16.8588,16.2184,0.626,0.6299,BULLISH,0.201,0.0252,33.6731,36.024,53.4,56.2,0.5269,1.035,50.0,36.4,88.6,0.6404,2.0,STRONG_BULL,CHOPPY_FLAT,,-0.1319,28.505049828669637,17.036058996154498,0.7261,0.07,-2.6e-05,0.155,362852934.58562,,-0.1057,2026-05-12T09:54:03.036273,-0.8705,,,,,,,5.517250324075219,5.47304770038809,10.990298024463309,-109.2183506625272,-0.8908107283744695,0.20268209361910183,-0.8908107283744695,2.4661,2.4589,0.0,0.6933,0.8087,2026-05-12T09:47:47.833395,2026-05-12T09:54:03.092720,-0.3773,ENDED_NEG,1,0.5,,True,,False,,,,2.0,PAIR_60-65_15-18,False,-0.8704855829842477,,0,,-0.3773,0.6073,True,2.4559,2.4171,2026-05-12T10:01:10.659185,2026-05-12T10:33:54.907510,-0.212,-1.7899,7.12,39.86,18.99,-1.0132,-0.7814,0.0,0.01,-0.9318,11.19,-0.9562,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-12T09:46:45.767286,0.0685,,,,,-0.5819,6.75,-0.3298,7.87,2026-05-12T09:43:58,2026-05-12T09:54:03.104665,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
