id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
21,,GTCUSDT,LONG,CLOSED,0.13761,0.13832,0.13832,510.36037031866954,20.0,10207.20740637339,74174.89576610268,STRONG_BUY,0.4086,0.0547,61.86,20.6612,20.199,0.458,0.4601,BULLISH,0.124,0.0395,22.3108,22.2933,63.2,59.6,0.7444,0.4813,77.5,20.0,82.5,0.4622,5.0,HEALTHY_BULL,HEALTHY_BULL,,0.1793,24.860898480749913,14.392227246239026,0.86,0.3617,6.1e-05,0.3591,274405365.156163,,0.1879,,,,,,,,,4.593243332868026,4.616942212065295,9.21018554493332,43.453990448998724,0.4257186977690491,0.7598463047743452,-0.4531821815275056,0.13878,0.13761,0.0,0.9468,0.5032,2026-05-12T20:05:02.601285,2026-05-12T19:55:43.053223,0.1243,RECOVERED,2,1.0,,True,,False,,,,2.0,PAIR_60-65_18-22,False,,0.45477327229125836,1,,0.6173,0.5032,True,0.13835,0.13482,2026-05-12T20:05:25.429852,2026-05-12T20:42:28.641385,0.4478,-2.1175,0.02,37.07,13.84,-0.6641,-0.2571,0.4478,6.13,-0.4243,6.13,-0.4243,,,,0.2297,0.2733,-0.3225,-0.9184,-1.4634,2026-05-12T20:05:02.575036,,,,,,,,2026-05-12T20:05:44.662364,0.2515,,,,,,,,,,,False,,,,False,,,,,,,,,-0.2353,6.08,-0.2353,6.08,2026-05-12T19:50:14,2026-05-12T20:05:24.086637,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
20,,INJUSDT,LONG,CLOSED,4.815,4.834,4.834,255.18018515933477,20.0,5103.603703186695,1059.9384637978599,STRONG_BUY,0.1325,0.0827,58.52,20.4255,19.9589,0.4526,0.4546,BULLISH,0.1132,0.0469,22.4798,22.2707,63.4,63.4,0.6272,0.9729,77.5,22.5,45.0,0.4665,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.1811,21.99289486874094,12.781158416852065,0.7566,0.1757,6.1e-05,0.3884,116483237.2335,,0.1879,2026-05-12T19:56:23.801300,-0.4367,,,2026-05-12T19:56:23.825371,-0.5197,,,0.9186486665736052,2.3056841402994843,3.2243328068730897,16.91449800528544,0.3314226375908461,0.6635680166147301,-0.5404589823468448,4.85,4.815,0.0,0.6664,0.3272,2026-05-12T20:04:59.157077,2026-05-12T19:56:23.831465,-0.289,RECOVERED,2,1.0,,True,,False,,,,1.0,,False,-0.43666355140188323,0.3521817237798457,0,,0.3376,0.3272,True,4.836,4.698,2026-05-12T20:05:36.550138,2026-05-12T20:33:21.948614,0.3731,-2.4929,0.21,27.96,9.36,-0.4161,-1.6206,0.3731,6.14,-0.2707,7.16,-0.3122,,,,0.0616,0.1655,0.0408,-0.8937,-2.2645,2026-05-12T20:04:17.960781,,,,,,2026-05-12T20:06:30.148056,0.0408,2026-05-12T20:05:24.420805,0.3316,2026-05-12T20:06:06.946214,0.207,2026-05-12T20:05:48.700578,0.2693,2026-05-12T20:06:06.946214,0.207,2026-05-12T20:05:48.700578,0.2693,2026-05-12T20:06:17.031164,0.0824,False,,,,False,,,,,,,,,-0.2913,16.53,-0.2913,16.53,2026-05-12T19:40:48,2026-05-12T20:05:23.745483,TRAILING_STOP L2,MAKER,TAKER,True,
19,,VVVUSDT,LONG,CLOSED,16.306,16.405,16.405,249.12993049982714,20.0,4982.598609996543,305.5684171468504,STRONG_BUY,0.4346,0.248,63.33,15.1061,14.9589,0.5829,0.5863,BULLISH,0.2631,0.0601,22.5753,22.1423,63.4,65.3,0.8886,1.0737,80.0,17.5,87.6,0.1472,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.1732,23.704877535035358,16.809424480850286,0.8227,-0.5604,6.1e-05,-0.7725,228182024.63244,,0.1767,,,,,,,,,0.8968677497993778,2.255782447482336,3.152650197281714,27.098623100256532,0.5438652643198834,0.8564928247270854,-0.06912995216485479,16.456,16.306,0.0,1.1622,0.9813,2026-05-12T19:25:59.206482,2026-05-12T19:23:36.123496,0.5707,NEVER,2,1.0,,True,,False,,,,1.0,,False,,0.5499952164847164,1,,0.7107,1.1251,False,16.453,16.124,2026-05-12T19:34:48.245911,2026-05-12T20:08:54.193089,0.8385,-1.1792,8.15,42.25,24.6,-0.5291,-1.0013,0.8385,24.6,-0.5291,21.24,-0.3144,,,,0.5625,0.5073,0.5748,0.2068,-0.9952,2026-05-12T19:25:53.147403,,,,,,2026-05-12T19:27:15.346834,0.4521,2026-05-12T19:27:15.346834,0.4521,2026-05-12T19:27:15.346834,0.4521,2026-05-12T19:27:26.435284,0.354,2026-05-12T19:27:26.435284,0.354,2026-05-12T19:27:28.451577,0.354,2026-05-12T19:35:24.484339,0.3479,False,,,,False,,,,,,,,,,,,,2026-05-12T19:23:35,2026-05-12T19:26:38.654909,TRAILING_STOP L2,MAKER,TAKER,True,
18,,CRVUSDT,LONG,CLOSED,0.2784,0.2796,0.2796,481.65119896633195,20.0,9633.02397932664,34601.379236087065,STRONG_BUY,0.3411,0.0666,60.58,18.644,18.0106,0.1757,0.176,BULLISH,0.115,0.0583,19.9726,19.1355,65.0,67.0,1.0173,0.7183,70.0,20.0,84.9,0.6334,2.0,HEALTHY_BULL,HEALTHY_BULL,,0.1382,20.660400409326414,11.906810998379374,0.4991,0.0664,6.1e-05,0.0207,77756556.165172,,0.1631,,,,,,,,,4.334860790696988,4.353545535484475,8.688406326181463,32.8332487571242,0.3408405172413917,0.5562607758620777,-0.34132363505746355,0.2802,0.2784,0.0,0.6199,0.4175,2026-05-12T19:13:24.182053,2026-05-12T19:07:44.549663,0.0319,NEVER,1,0.5,,True,,False,,,,2.0,PAIR_60-65_18-22,False,,0.3408405172413917,1,,0.4066,0.4175,True,0.2806,0.2775,2026-05-12T19:53:43.929935,2026-05-12T19:23:26.817192,0.7002,-0.4133,40.25,9.97,,,0.6643,,12.14,-0.1618,8.94,-0.09,,,,-0.0541,0.0896,-0.1259,-0.3055,0.1614,2026-05-12T19:13:22.045332,,,,,,2026-05-12T19:54:19.469029,0.377,2026-05-12T19:14:01.079037,0.1974,2026-05-12T19:14:16.205153,0.1614,2026-05-12T19:14:09.164680,0.1614,2026-05-12T19:14:16.205153,0.1614,2026-05-12T19:14:18.217081,0.1614,2026-05-12T19:14:25.256078,0.0537,False,,,,False,,,,,,,,,,,,,2026-05-12T19:07:14,2026-05-12T19:13:28.520239,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
17,,SUIUSDT,LONG,CLOSED,1.25,1.2437,1.2437,245.7805350701808,20.0,4915.610701403616,3932.488561122893,STRONG_BUY,0.1986,0.0519,58.47,15.3831,15.2043,0.3559,0.3572,BULLISH,0.0964,0.044,19.1287,19.7316,59.6,61.3,0.3664,0.614,77.5,20.0,64.1,0.1788,2.0,HEALTHY_BULL,CHOPPY_WEAK,,0.0232,29.045425668108614,20.30635907228895,0.529,0.1887,6.1e-05,0.2076,578992418.14259,,0.0322,2026-05-12T18:24:43.652645,-0.4548,,,2026-05-12T18:27:28.858709,-0.5508,,,0.884809926252651,2.200876210560844,3.0856861368134947,-27.86036407188761,-0.5667731999999978,0.0009711999999929567,-0.6867192000000023,1.2508,1.25,0.0,0.3639,0.3207,2026-05-12T18:20:30.486590,2026-05-12T18:30:12.523290,-0.2608,ENDED_NEG,1,0.5,,False,,False,,,,1.0,,False,-0.45482359999999233,,0,,-0.0441,-0.1178,True,1.2664,1.2399,2026-05-12T19:15:29.709391,2026-05-12T18:35:07.106996,1.249,-0.871,44.98,4.6,0.01,-0.551,1.225,0.0,0.01,-0.551,23.24,-0.175,,,,-0.631,-0.583,-0.751,-0.183,-0.351,,,,,,,,,2026-05-12T19:09:47.547836,0.689,2026-05-12T19:09:52.583762,0.673,2026-05-12T19:09:45.530798,0.713,2026-05-12T19:09:54.597505,0.673,2026-05-12T19:09:55.604648,0.681,,,False,,,,False,,,,,,,,,-0.4788,8.13,-0.3109,3.06,2026-05-12T18:20:22,2026-05-12T18:30:30.765518,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
16,,TONUSDT,SHORT,CLOSED,2.299,2.3181,2.3177,276.49435202223276,20.0,5529.887040444655,2405.344515199937,VERY_STRONG,0.7826,0.2505,28.09,32.1109,30.0415,0.4324,-0.4306,BEARISH,-0.3758,-0.1076,35.6089,35.0301,31.7,28.4,0.7009,1.637,15.0,75.0,14.6,2.0694,2.0,STRONG_BEAR,STRONG_BEAR,,-0.3229,8.714572597943238,33.80875562818758,0.6549,-0.53,1.7e-05,-0.9112,394348560.29087,,-0.274,2026-05-12T17:13:55.087547,-0.8245,,,,,,,0.995379667280038,2.509123104308238,3.504502771588276,-49.446583011906824,-0.8941698564593257,0.0,-0.8941698564593257,2.299,2.2984,0.0,,,,2026-05-12T17:16:37.694400,-0.3141,ENDED_NEG,1,0.5,,True,,False,,,,2.0,PAIR_25-50_30-33,True,-0.8245430622009602,,0,,-0.3141,0.0165,True,2.3496,2.313,2026-05-12T17:44:48.495185,2026-05-12T17:27:27.255108,-0.672,-2.264,28.18,10.83,39.97,-1.3157,-1.7594,0.0,,,,,,,,-0.9895,-0.9155,-1.0243,-1.6028,-1.9899,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.3502,3.09,-0.7767,14.23,2026-05-12T17:02:11,2026-05-12T17:16:37.696598,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
15,,TRUMPUSDT,SHORT,CLOSED,2.299,2.314,2.315,552.9887040444656,20.0,11059.774080889312,4810.689030399875,VERY_STRONG,0.3074,0.1227,37.05,32.7272,31.613,0.2349,-0.2344,BEARISH,-0.1713,-0.1222,35.0266,34.403,31.5,25.9,0.784,1.2864,15.0,82.5,17.2,1.1142,3.0,STRONG_BEAR,STRONG_BEAR,,-0.3097,10.17432252255381,28.37341292228753,0.3718,-0.2046,1.7e-05,-0.4343,66722724.52424,,-0.2981,2026-05-12T17:06:07.824933,-0.5687,,,2026-05-12T17:07:46.912752,-0.6557,,,4.976898336400191,5.00937048735539,9.98626882375558,-82.14660427975431,-0.7427511961722543,0.0,-0.7862679425837328,2.299,2.298,0.0,,,,2026-05-12T17:15:04.412460,-0.2796,ENDED_NEG,1,0.5,,False,,False,,,,2.0,PAIR_25-50_30-33,False,-0.5686842105263211,,0,,-0.1481,0.2007,True,2.328,2.313,2026-05-12T18:00:12.223217,2026-05-12T17:15:41.002664,-0.699,-1.3514,44.77,0.25,41.18,-1.2644,-1.3514,0.0,,,,,,,,-0.9164,-0.9599,-1.0469,-1.0904,-1.2209,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-12T17:00:26.792497,-0.177,2026-05-12T17:00:40.909032,-0.2206,,,-0.3076,2.11,-0.3946,4.17,2026-05-12T16:59:02,2026-05-12T17:15:25.932559,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
14,,BCHUSDT,SHORT,CLOSED,436.57,437.97,437.95,552.9887040444656,20.0,11059.774080889312,25.33333504567266,VERY_STRONG,0.2105,0.0873,31.57,30.2936,27.7957,0.2014,-0.201,BEARISH,-0.1144,-0.1222,35.0266,34.403,31.5,25.9,0.784,2.3349,15.0,82.5,43.8,2.4979,4.0,STRONG_BEAR,HEALTHY_BULL,,-0.3097,10.003611851624033,43.7297325925502,0.2306,-0.0946,1.7e-05,-0.2049,87870679.4,,-0.1941,2026-05-12T17:18:50.081835,-0.3856,,,2026-05-12T17:19:59.953197,-0.4521,,,4.976898336400191,4.992858337478965,9.969756673879155,-45.43642573782174,-0.41082598437822904,0.0039561811393289,-0.5162402363882111,436.57,436.16,0.0,,,,2026-05-12T17:20:10.611209,-0.224,ENDED_NEG,1,0.5,,False,,False,,,,2.0,PAIR_25-50_30-33,False,-0.3879098426369222,,0,,-0.0257,0.1349,True,438.94,437.84,2026-05-12T17:44:21.319690,2026-05-12T18:02:51.068610,-0.3809,-0.6329,18.37,36.86,30.74,-0.5,-0.4909,0.0,,,,,,,,-0.4794,-0.5092,-0.4863,-0.5458,-0.4886,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-12T17:18:02.155343,-0.3925,2026-05-12T17:18:18.309470,-0.3925,2026-05-12T17:20:19.684881,-0.4727,-0.239,7.57,-0.2115,4.51,2026-05-12T16:58:42,2026-05-12T17:25:59.365813,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
13,,TAOUSDT,SHORT,CLOSED,305.95,307.5,307.51,295.1806101668396,20.0,5903.612203336792,19.296003279414258,VERY_STRONG,0.4237,0.0839,35.9,39.3266,38.9832,0.1897,-0.1893,BEARISH,-0.1743,-0.0578,28.3018,27.7281,38.5,41.8,0.7166,0.3576,12.2,78.0,8.2,0.3434,2.0,STRONG_BEAR,STRONG_BEAR,,-0.2337,13.10436749156842,33.52273042033818,0.4295,-0.5465,-7e-06,-0.8227,188939509.31,,-0.2216,2026-05-12T16:03:06.352446,-0.5208,,,,,,,1.0626501966006225,2.670084453788948,3.7327346503895704,-33.64153973348189,-0.5698467069782682,0.0,-0.7006458571661999,305.95,305.95,0.0,,,,2026-05-12T16:03:38.292213,-0.3009,ENDED_NEG,1,0.5,,False,,False,,,,1.0,,False,-0.5207970256577984,,0,,-0.0919,0.127,True,308.37,304.37,2026-05-12T16:45:13.080755,2026-05-12T16:51:44.181025,0.4534,-0.854,27.3,33.82,,,0.0252,,,,,,,,,-0.5239,-0.6383,-0.4552,-0.4454,-0.1839,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.3835,6.63,-0.4521,3.32,2026-05-12T16:01:22,2026-05-12T16:17:55.095295,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
12,,SKYAIUSDT,SHORT,CLOSED,0.5556,0.56021,0.55903,310.57366362238423,20.0,6211.473272447684,11179.757509805047,VERY_STRONG,0.4289,0.1161,45.49,37.771,37.2792,0.5556,-0.5526,BEARISH,-0.0663,-0.0555,27.9665,28.0838,41.6,42.2,0.783,1.0198,16.7,73.8,48.5,0.4917,1.0,HEALTHY_BEAR,STRONG_BEAR,,-0.2061,12.2929024811559,31.73901252962825,1.7202,-0.038,-0.0004,-0.0075,221172970.26656,,-0.2143,,,,,,,,,1.1180651890405833,2.8183553795555483,3.9364205685961315,-55.475102688797435,-0.8931070014398853,0.018029967602582866,-0.8931070014398853,0.5556,0.55515,0.0,0.6245,0.041,2026-05-12T15:41:34.091775,2026-05-12T15:42:43.557257,-0.1505,ENDED_NEG,1,0.5,,True,,False,,,,1.0,,False,,,0,,-0.1505,0.175,False,0.58933,0.55931,2026-05-12T15:47:42.160588,2026-05-12T15:43:05.356312,,,,,,,,,,,,,,,,-1.6307,-1.8377,-5.522,-2.491,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-12T15:41:30,2026-05-12T15:42:43.559765,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
