id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
17,,FARTCOINUSDT,SHORT,CLOSED,0.1845,0.1859,0.1858,261.2672105968522,20.0,5225.344211937044,28321.64884518723,STRONG_BUY,0.5258,0.159,25.29,33.72,24.7582,23.1894,0.3893,-0.3878,BEARISH,-0.2167,-0.1079,24.7602,23.2488,27.1,30.9,36.8,0.1531,41.6,43.3,0.8227,1.1717,2.6,92.1,2.4,1.5688,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1815,11.887268422514435,31.4592090939719,0.3781,-0.1463,8.8e-05,-0.2039,-0.7415,-0.3394,-0.0738,,,37026032.71257,,-0.1779,2026-05-19T02:24:09.650324,-0.7137,,,2026-05-19T02:24:11.169364,-0.7679,,,0.9405619581486679,2.3692475341441375,3.309809492292805,-42.96011787555528,-0.8221490514905215,0.0,-0.8221490514905215,0.1845,0.1845,0.0,,,,2026-05-19T02:24:27.997003,-0.3386,ENDED_NEG,1,0.5,,True,,False,,,,1.0,,False,-0.6052493224932254,,0,,-0.3386,0.1456,True,0.1863,0.1844,2026-05-19T02:24:52.654204,2026-05-19T02:36:39.673805,,,,,,,,,,,,,,,,,,,,-0.876,-0.7134,-0.605,-0.1714,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-19T02:24:10.073016,-0.7137,2026-05-19T02:24:22.190766,-0.7137,,,-0.2799,6.06,-0.4968,15.13,2026-05-19T02:05:04,2026-05-19T02:24:27.999960,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
16,,1000PEPEUSDT,SHORT,CLOSED,0.0036644,0.0036901,0.0036898,522.5344211937044,20.0,10450.688423874088,2851950.7760817837,STRONG_BUY,0.3317,0.0971,29.64,37.2,20.7393,20.0354,0.2281,-0.2275,BEARISH,-0.135,-0.1079,24.7602,23.2488,27.1,30.9,36.8,0.1531,41.6,43.3,0.8227,0.7728,2.6,92.1,2.9,0.7039,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1815,15.856661815104347,29.376913708602885,0.2723,-0.118,8.8e-05,-0.1618,-0.449,-0.3394,-0.0738,,,229052023.9290858,,-0.1779,2026-05-19T02:24:06.243639,-0.636,,,2026-05-19T02:24:10.897585,-0.6442,,,4.7028097907433395,4.735792601468725,9.438602392212065,-82.73373733751399,-0.7916582523741957,0.0,-0.7916582523741957,0.0036644,0.0036635,0.0,,,,2026-05-19T02:24:35.682842,-0.3146,ENDED_NEG,1,0.5,,True,,False,,,,2.0,SCORE_3-4,False,-0.521369664883742,,0,,-0.3146,0.1385,True,0.0036956,0.0036676,2026-05-19T02:24:55.684620,2026-05-19T02:36:40.686095,,,,,,,,,,,,,,,,,,,,-0.7859,-0.6958,-0.5867,-0.3793,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-19T02:24:07.048192,-0.6388,2026-05-19T02:24:22.188990,-0.6606,,,-0.3111,6.11,-0.3111,6.11,2026-05-19T02:05:01,2026-05-19T02:24:35.685106,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
15,,BTCUSDT,SHORT,CLOSED,76723.6,76591.2,76583.2,512.4176090125407,20.0,10248.352180250813,0.13357496494234905,STRONG_BUY,0.2056,0.084,25.51,31.65,20.5501,19.4978,0.1517,-0.1514,BEARISH,-0.1048,-0.1064,20.5501,19.4978,25.0,26.0,45.1,0.1381,44.8,51.9,1.221,1.519,0.0,92.1,11.4,1.0523,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.0445,18.77813292637477,38.32415819003373,0.138,0.0008,8.6e-05,-0.0428,-0.3108,-0.325,-0.0109,2026-05-19T02:04:30.530074,,13108437480.37,,-0.2141,,,,,,,,,1.8447033924451464,4.6038000847016,6.448503477146747,11.236821881221434,0.1096451574222387,0.2920700631878625,-0.29966990991037956,76723.6,76451.3,0.0,0.3297,-0.111,2026-05-19T02:04:41.274358,2026-05-19T01:36:33.862458,-0.0472,RECOVERED,1,0.5,,True,,False,,,,2.0,SCORE_3-4,False,,,0,,0.021,-0.207,True,76969.7,76591.2,2026-05-19T02:24:51.638432,2026-05-19T02:06:32.753524,,,,,,,,,,,,,0.1096451574222387,2026-05-19T02:06:32.412262,,,,,,0.0842,0.0544,0.0683,-0.1321,-0.0453,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.2324,4.04,-0.2124,3.03,2026-05-19T01:32:15,2026-05-19T02:06:32.415014,BREAKEVEN_EXIT_L1,MAKER,TAKER,True,
14,,FARTCOINUSDT,SHORT,CLOSED,0.18530000000000002,0.185,0.1849,256.2088045062703,20.0,5124.1760901254065,27653.40577509663,STRONG_BUY,0.4388,0.1801,28.74,36.71,22.0061,21.1176,0.3737,-0.3723,BEARISH,-0.2123,-0.1077,20.5115,19.4978,24.6,26.0,45.1,0.1358,44.3,51.9,1.1406,1.2093,2.6,94.7,7.7,0.8885,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.046,13.790461255414243,27.720341247361063,0.3812,0.125,8.6e-05,0.0923,-0.7161,-0.3373,-0.0149,2026-05-19T02:00:20.579972,,37901548.33618,,-0.146,,,,,,,,,0.9223516962225732,2.3021460307767945,3.2244977269993678,5.071524005530242,0.09897247706423228,0.2609449541284496,-0.6029082568807194,0.18530000000000002,0.1847,0.0,0.4386,-0.2622,2026-05-19T02:00:22.317924,2026-05-19T01:44:05.982379,-0.1629,RECOVERED,1,0.5,,True,,False,,,,1.0,,False,,,0,,0.1177,-0.313,True,0.1863,0.1842,2026-05-19T02:24:52.654204,2026-05-19T02:04:41.504698,0.5306,-0.6027,24.18,4.0,24.15,-0.5487,0.2608,0.0,,,,,0.09897247706423228,2026-05-19T02:00:41.743659,24.15,-0.5487,,,,-0.063,0.0449,0.2608,0.2068,0.0989,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.3869,6.11,-0.333,3.08,2026-05-19T01:31:12,2026-05-19T02:00:41.746037,BREAKEVEN_EXIT_L1,MAKER,TAKER,True,
13,,SOLUSDT,SHORT,CLOSED,85.021,84.88,84.86,512.4176090125407,20.0,10248.352180250813,120.53906893885997,STRONG_BUY,0.2494,0.1021,27.87,33.6,20.3699,19.5603,0.1823,-0.182,BEARISH,-0.1267,-0.1077,20.5115,19.4978,24.6,26.0,45.1,0.1358,44.3,51.9,1.1406,1.0459,2.6,94.7,6.1,0.8097,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.046,17.820477225126048,33.75495448754479,0.1783,0.0339,8.6e-05,0.0055,-0.3767,-0.3373,-0.0149,2026-05-19T02:00:06.451200,,1664638139.3757,,-0.1686,,,,,,,,,1.8447033924451464,4.604110277188695,6.448813669633841,10.54719505074606,0.10291600898602153,0.22058693734489085,-0.40306898295715354,85.021,84.78,0.0,0.2872,-0.2054,2026-05-19T02:00:06.472827,2026-05-19T01:36:33.960516,-0.0873,RECOVERED,1,0.5,,True,,False,,,,2.0,SCORE_3-4,False,,,0,,0.1377,-0.2368,True,85.26,84.56,2026-05-19T02:24:57.703402,2026-05-19T02:04:47.747476,0.4792,-0.3441,23.65,3.48,24.54,-0.2853,0.044,0.0,23.08,-0.1324,,,0.10291600898602153,2026-05-19T02:01:18.677548,24.54,-0.2853,,,,0.0911,0.1499,0.2675,0.2557,-0.0148,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.3207,5.12,-0.2736,3.11,2026-05-19T01:31:10,2026-05-19T02:01:18.680581,BREAKEVEN_EXIT_L1,MAKER,TAKER,True,
12,,HYPERUSDT,LONG,CLOSED,0.11306,0.11226,0.11251,579.7844857260296,20.0,11595.689714520593,102562.26529736948,STRONG_BUY,0.3285,0.0843,58.03,50.78,18.4364,18.1857,0.1819,0.1822,BULLISH,0.1088,0.0289,22.7867,21.9029,58.1,58.1,62.2,0.1152,53.0,49.2,0.7842,0.5898,78.9,13.2,70.1,0.2507,4.0,HEALTHY_BULL,CHOPPY_FLAT,,0.1424,31.85422052541939,20.496227249296044,0.5436,0.128,8.6e-05,0.2298,0.3908,0.0414,0.0381,,,54027608.58223,,0.1192,2026-05-19T01:00:28.215583,-0.4613,,,2026-05-19T01:00:29.106783,-0.5762,,,5.218060371534267,5.1811379560272135,10.39919832756148,-92.44901056545656,-0.7972704758535247,0.14870378560057168,-0.7972704758535247,0.11333,0.11306,0.0,0.3757,0.083,2026-05-19T00:56:45.381568,2026-05-19T01:00:31.957322,-0.5293,ENDED_NEG,1,0.5,,True,,False,,,,2.0,SCORE_4-5,True,-0.46131699982309377,,0,,-0.5293,0.0387,True,0.11229,0.11005,2026-05-19T01:09:05.452667,2026-05-19T01:26:10.872137,-0.7711,-2.7523,8.55,25.64,0.43,-1.1425,-0.9214,0.0,0.43,-1.1425,16.55,-1.744,,,0.43,-1.1425,,,,-1.3813,-1.0718,-1.0983,-1.4433,-2.257,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-19T01:00:30.784564,-0.5939,,,,,,,-0.1872,4.03,2026-05-19T00:55:56,2026-05-19T01:00:31.959916,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
11,,TONUSDT,LONG,CLOSED,2.0254,2.0112,2.0114,586.5229904840197,20.0,11730.459809680395,5791.675624410188,STRONG_BUY,0.3841,0.1386,60.31,50.67,17.8839,17.6855,0.298,0.2989,BULLISH,0.1565,0.0345,21.9078,20.9566,62.7,61.8,66.2,0.1193,53.8,49.2,1.006,1.0523,78.9,10.5,92.8,0.1984,4.0,HEALTHY_BULL,CHOPPY_FLAT,,0.1482,28.240147817461764,18.645921912916222,0.6009,0.3508,8.6e-05,0.6263,0.5787,0.0905,0.0435,,,282108536.40165,,0.1194,,,,,,,,,5.278706914356177,5.241698107116196,10.520405021472374,-92.7621988880957,-0.7907805865507933,0.0,-0.7907805865507933,2.0263,2.0254,0.0,,,,2026-05-19T01:01:31.709464,-0.165,ENDED_NEG,1,0.5,,True,,False,,,,2.0,SCORE_4-5,False,,,0,,-0.165,0.1958,True,2.0137,1.9689,2026-05-19T01:02:46.425783,2026-05-19T01:26:12.897669,-0.6677,-2.8796,1.24,24.68,2.44,-1.0725,-2.1933,0.0,0.0,-0.8207,10.49,-1.5119,,,6.47,-1.2503,,,,-0.7467,-1.038,-1.1021,-2.2278,-2.608,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-19T01:00:30.781157,-0.6082,,,,,-0.3516,2.04,,,2026-05-19T00:53:35,2026-05-19T01:01:31.712341,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
10,,CHZUSDT,LONG,CLOSED,0.04914,0.04929,0.04923,289.72396212690734,20.0,5794.4792425381465,117917.77050342178,STRONG_BUY,0.5265,0.1974,64.14,60.05,15.7501,14.8279,0.2848,0.2856,BULLISH,0.2311,0.0311,20.627,20.6681,56.8,57.7,57.2,0.1206,52.5,49.2,1.025,1.3465,71.1,15.8,91.9,0.9222,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.1401,22.410021318441743,12.67734452517813,0.5471,0.0522,8.6e-05,0.2029,0.6882,0.039,0.0344,,,59543718.87205,,0.1421,,,,,,,,,2.607515659142166,2.6154751086511467,5.222990767793313,12.464674807719643,0.2151129426129372,0.2151129426129372,-0.09,0.04929,0.04914,0.0,0.5883,0.3823,2026-05-19T00:45:00.698679,2026-05-19T00:44:13.859062,0.3051,NEVER,1,0.5,,True,,False,,,,1.0,,False,,,0,,0.6085,0.3823,False,0.04949,0.04857,2026-05-19T00:51:05.652755,2026-05-19T01:06:22.011021,0.6223,-1.25,6.07,21.35,20.97,-0.8226,-0.9651,0.6223,10.6,-0.3139,9.6,-0.2121,,,20.97,-0.8226,,,,0.0525,0.2356,0.4188,-0.3953,-1.0872,,,,,,,2026-05-19T00:46:11.172060,0.0321,2026-05-19T00:46:11.172060,0.0321,2026-05-19T00:46:24.336371,0.0728,2026-05-19T00:51:34.040138,0.2967,2026-05-19T00:51:37.080858,0.256,2026-05-19T00:51:48.230221,0.2763,2026-05-19T00:51:49.245824,0.2763,False,,,,False,,,,,,,,,,,,,2026-05-19T00:44:13,2026-05-19T00:45:00.706299,FAST_EXIT L1,TAKER_FALLBACK,TAKER,True,
9,,CHZUSDT,LONG,CLOSED,0.04905,0.0492,0.04919,294.68866359899494,20.0,5893.773271979899,120158.47649296428,STRONG_BUY,0.5217,0.1952,63.91,60.05,15.63,14.8279,0.2713,0.272,BULLISH,0.2292,0.0314,21.1997,20.6681,57.1,57.7,57.2,0.115,52.6,49.2,0.8216,1.1451,71.1,21.1,93.5,0.8022,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.1404,22.324698949285448,13.09497771930466,0.5297,0.0514,8.6e-05,0.2008,0.6707,0.0416,0.035,,,59596013.38336,,0.1373,,,,,,,,,2.6521979723909546,2.660308669554229,5.312506641945184,12.711264831999141,0.2156727828746123,0.2156727828746123,-0.13075637104996152,0.0492,0.04905,0.0,0.4267,0.362,2026-05-19T00:42:46.863856,2026-05-19T00:41:07.316254,0.0882,NEVER,1,0.5,,True,,False,,,,1.0,,False,,,0,,0.447,0.362,False,0.04949,0.04857,2026-05-19T00:51:05.652755,2026-05-19T01:06:22.011021,0.807,-1.0686,8.28,23.55,23.17,-0.6405,-0.8239,0.807,12.8,-0.1308,11.8,-0.0288,,,23.17,-0.6405,,,,0.0731,0.277,0.4808,-0.3754,-0.7628,,,,,,,2026-05-19T00:46:07.123043,0.175,2026-05-19T00:46:07.123043,0.175,2026-05-19T00:46:07.123043,0.175,2026-05-19T00:51:34.040138,0.4808,2026-05-19T00:51:37.080858,0.4401,2026-05-19T00:51:48.230221,0.4605,2026-05-19T00:51:49.245824,0.4605,False,,,,False,,,,,,,,,,,,,2026-05-19T00:40:53,2026-05-19T00:42:48.713490,FAST_EXIT L1,TAKER_FALLBACK,TAKER,True,
8,,HYPERUSDT,LONG,CLOSED,0.11334,0.11254,0.11263,303.5194114430582,20.0,6070.388228861164,53559.09854297833,STRONG_BUY,0.5397,0.2386,63.29,62.37,18.3567,17.0326,0.3868,0.3883,BULLISH,0.326,0.0531,19.6035,18.182,62.3,62.2,44.0,0.1187,53.3,49.2,1.1077,1.4328,84.2,13.2,79.9,1.3241,2.0,HEALTHY_BULL,HEALTHY_BULL,,0.1307,35.78993394656578,17.009190587786314,0.5334,-0.0048,8.6e-05,0.1342,0.8144,0.1115,0.0401,,,53706035.69942,,0.1404,2026-05-19T00:41:07.955469,-0.7073,,,,,,,2.7316747029875237,2.7123934275120516,5.444068130499575,-48.29134696488198,-0.795523204517377,0.1304760014116819,-0.795523204517377,0.11359,0.11334,0.0,0.4482,0.7277,2026-05-19T00:37:17.421041,2026-05-19T00:41:12.191841,-0.4567,ENDED_NEG,1,0.5,,True,,False,,,,1.0,PAIR_60-65_18-22,False,-0.7073328039527018,,0,,-0.4567,0.2759,True,0.11333,0.11005,2026-05-19T00:56:46.377183,2026-05-19T01:26:07.827589,-0.0988,-2.9928,15.56,44.92,0.68,-1.0694,-2.9928,0.0,0.68,-1.0694,18.75,-0.4341,,,19.76,-1.387,,,,-0.9547,-0.8311,-0.9635,-0.1606,-1.3693,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-19T00:31:29,2026-05-19T00:41:12.194073,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
