id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
68,,INJUSDT,SHORT,CLOSED,4.876,4.853,4.848,252.81134780540896,20.0,5056.226956108179,1036.9620500632032,STRONG_BUY,0.5991,0.1909,28.72,39.6,25.5657,23.6529,0.6208,-0.617,BEARISH,-0.2382,-0.0475,28.5206,28.7725,35.4,32.2,34.9,0.0848,50.1,49.5,False,False,False,False,False,False,False,False,False,False,0.871,1.5994,26.3,71.1,3.4,1.9127,3.0,STRONG_BEAR,HEALTHY_BEAR,,-0.1151,10.507087129829781,31.886807667136434,0.4968,-0.2277,-0.000934,-0.3263,-1.0293,-0.0838,0.0207,2026-05-21T10:25:28.986297,,73994736.303,,-0.1175,,,,,,,,,2.2753021302486807,2.264569573030526,4.539871703279207,19.310255448175063,0.38191037735850236,0.7922672272354419,-0.43880332239539505,4.876,4.833,0.0,1.1107,-0.7519,2026-05-21T10:26:05.661143,2026-05-21T10:21:55.960195,0.1333,NEVER,2,1.0,,True,,False,,,,1.0,,False,,0.38191037735850236,0,,0.694,-0.7519,True,4.895,4.834,2026-05-21T11:09:38.869511,2026-05-21T10:26:59.232934,0.7714,-0.4797,43.45,0.79,43.66,-0.3566,-0.3566,0.7714,9.52,-0.1105,8.51,-0.008,0.38191037735850236,2026-05-21T10:26:11.477664,43.66,-0.3566,,,,0.4637,0.5663,0.3817,0.2792,0.1356,2026-05-21T10:26:00.787230,,,,,,2026-05-21T10:27:32.548912,0.3202,2026-05-21T10:32:21.927306,0.4022,2026-05-21T10:32:25.946758,0.4022,2026-05-21T10:33:12.276092,0.2997,2026-05-21T10:33:12.276092,0.2997,2026-05-21T10:33:07.246905,0.3202,2026-05-21T10:33:15.304230,0.2381,False,,,,False,,,,,,,,,,,,,2026-05-21T10:19:37,2026-05-21T10:26:11.484428,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
67,,UNIUSDT,SHORT,CLOSED,3.615,3.602,3.6,252.81134780540896,20.0,5056.226956108179,1398.67965590821,STRONG_BUY,0.4634,0.1401,27.62,31.05,23.7567,21.9273,0.1906,-0.1902,BEARISH,-0.1941,-0.0645,28.4759,28.239,29.8,31.1,53.8,0.0944,49.6,58.1,False,False,False,False,False,False,False,False,False,False,0.7297,1.1022,23.7,71.1,3.4,1.8294,2.0,BEAR_EXHAUSTED,HEALTHY_BEAR,,-0.0744,11.352763581764263,31.927787521537454,0.2714,-0.2057,-0.000934,-0.3615,-0.5066,-0.1846,0.054,2026-05-21T10:25:15.518939,,56167039.428,,-0.1175,,,,,,,,,0.9101208520994724,2.2671198542616176,3.17724070636109,15.00559482044612,0.2967745504841035,0.6011991701244819,-0.2567247579529647,3.615,3.591,0.0,0.7294,-0.0127,2026-05-21T10:25:31.787538,2026-05-21T10:01:31.146734,-0.0511,RECOVERED,1,0.5,,True,,False,,,,1.0,,False,,0.2967745504841035,0,,0.3028,-0.1254,True,3.602,3.568,2026-05-21T10:25:47.367589,2026-05-21T10:27:02.268883,1.2371,0.2966,0.0,1.25,,,0.7392,,9.93,0.3519,7.92,0.4349,0.2967745504841035,2026-05-21T10:25:47.030965,,,,,,0.8775,0.8499,1.0435,0.6286,0.6009,2026-05-21T10:25:31.770141,,,,,,2026-05-21T10:27:33.559471,0.7392,2026-05-21T10:32:06.841467,0.8222,2026-05-21T10:32:17.903262,0.7945,2026-05-21T10:32:05.836578,0.8499,2026-05-21T10:32:06.841467,0.8222,2026-05-21T10:32:06.841467,0.8222,2026-05-21T10:32:12.876335,0.7945,False,,,,False,,,,,,,,,-0.2014,15.1,,,2026-05-21T10:00:10,2026-05-21T10:25:47.037653,TRAILING_STOP L1,MAKER,TAKER,True,
66,,ONDOUSDT,LONG,CLOSED,0.40950000000000003,0.4106,0.4095,282.29233183418694,20.0,5645.846636683738,13787.171273952961,STRONG_BUY,0.4005,0.1567,63.25,41.53,17.2654,15.9455,0.669,0.6735,BULLISH,0.1639,0.0206,33.9749,34.2145,54.4,54.6,79.6,0.1153,58.2,57.1,False,False,False,False,False,False,False,False,False,False,0.9233,1.8763,63.2,28.9,83.0,1.3199,3.0,STRONG_BULL,STRONG_BULL,,0.0922,29.47443427809925,14.378512194549245,0.7688,0.1781,5e-05,0.3123,0.9612,0.0002,0.0588,,,197528175.21472,,0.0934,,,,,,,,,1.016252394603073,2.5474556362882885,3.5637080308913616,11.602180370456757,0.205499389499387,0.205499389499387,-0.25827228327228885,0.4106,0.40950000000000003,0.0,0.9274,0.5081,2026-05-21T08:43:44.198398,2026-05-21T08:43:19.234437,0.4502,NEVER,1,0.5,,True,,False,,,,1.0,,False,,,0,,0.9515,0.5081,False,0.4177,0.4066,2026-05-21T09:11:38.144670,2026-05-21T08:59:23.787356,1.9394,-0.7712,27.89,15.65,,,0.6208,,7.89,-0.3316,3.88,-0.0142,,,,,,,,0.1568,0.2056,-0.1851,-0.6979,1.0115,,,,,,,2026-05-21T09:08:34.092318,1.0847,2026-05-21T08:44:45.539599,0.1568,2026-05-21T08:44:45.539599,0.1568,2026-05-21T08:46:20.152659,0.0591,2026-05-21T09:11:58.316571,1.4022,2026-05-21T08:46:36.412727,0.0591,2026-05-21T09:12:23.630344,1.2801,False,,,,False,,,,,,,,,,,,,2026-05-21T08:42:29,2026-05-21T08:43:44.208296,FAST_EXIT L1,MAKER,TAKER,True,
65,,ONDOUSDT,LONG,CLOSED,0.4086,0.4097,0.4093,279.2848590495129,20.0,5585.697180990257,13670.330839427941,STRONG_BUY,0.3489,0.1321,61.14,41.53,17.2654,15.9455,0.5237,0.5264,BULLISH,0.1427,0.0391,34.2378,34.4973,54.0,56.6,78.8,0.1209,58.1,57.1,False,False,False,False,False,False,False,False,False,False,1.0702,1.6859,63.2,28.9,76.3,1.3199,3.0,STRONG_BULL,STRONG_BULL,,0.0959,30.875008003558175,15.061754023751709,0.7356,0.1694,5e-05,0.2893,0.7713,-0.0039,0.0583,,,197754298.72627,,0.0928,,,,,,,,,1.0054254925782464,2.520330545211132,3.5257560377893786,11.511607885581219,0.20609079784630197,0.20609079784630197,-0.20977679882526798,0.4097,0.4086,0.0,0.7015,0.5162,2026-05-21T08:41:30.167539,2026-05-21T08:40:27.277877,0.353,NEVER,1,0.5,,True,,False,,,,1.0,,False,,,0,,0.7258,0.5162,False,0.4177,0.4066,2026-05-21T09:11:38.144670,2026-05-21T08:59:23.787356,2.1641,-0.5525,30.13,17.89,,,1.381,,10.12,-0.1119,6.11,0.2062,,,,,,,,0.0594,0.1328,0.1083,-0.4056,2.1152,,,,,,,2026-05-21T08:46:25.230997,0.1817,2026-05-21T08:42:31.027382,0.0594,2026-05-21T08:42:46.277889,0.0594,2026-05-21T08:46:20.152659,0.2796,2026-05-21T08:46:26.247288,0.1573,2026-05-21T08:46:26.247288,0.1573,2026-05-21T08:46:26.247288,0.1573,False,,,,False,,,,,,,,,,,,,2026-05-21T08:40:26,2026-05-21T08:41:30.172357,FAST_EXIT L1,MAKER,TAKER,True,
64,,ARBUSDT,LONG,CLOSED,0.1119,0.1114,0.1115,279.2848590495129,20.0,5585.697180990257,49916.86488820605,VERY_STRONG,0.2441,0.0821,60.32,54.63,23.8767,23.2764,0.1439,0.1441,BULLISH,0.0873,0.0658,33.908,33.2939,65.7,63.0,67.2,0.1184,60.6,57.1,False,False,False,False,False,False,False,False,False,False,1.3591,1.0238,68.4,26.3,77.8,0.6003,2.0,STRONG_BULL,CHOPPY_FLAT,,0.0994,24.759457168878082,12.84572736586962,0.3703,-0.0021,1.4e-05,0.0001,0.3294,0.1547,0.0728,,,43024247.65584,,0.0883,2026-05-21T08:33:50.741732,-0.331,,,2026-05-21T08:33:50.741732,-0.331,,,1.0054254925782464,2.5023324368457693,3.5077579294240158,-28.466190373527066,-0.5096264521894553,0.026325290437893528,-0.5096264521894553,0.112,0.1119,0.0,0.1439,0.074,2026-05-21T08:30:34.172185,2026-05-21T08:47:16.236784,-0.3283,ENDED_NEG,1,0.5,,False,,False,,,,1.0,,False,-0.33097587131366824,,0,,-0.2983,-0.1135,True,0.1118,0.1109,2026-05-21T09:06:18.690985,2026-05-21T09:31:48.622301,-0.1524,-0.9567,18.63,44.13,0.01,-0.5098,-0.9567,0.0,0.01,-0.5098,40.13,-0.5098,,,0.01,-0.5098,,,,-0.4205,-0.5098,-0.5098,-0.5098,-0.3311,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-21T08:45:09.037514,-0.2417,,,,,-0.063,5.04,-0.1523,10.1,2026-05-21T08:30:21,2026-05-21T08:47:40.633170,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
63,,FILUSDT,LONG,CLOSED,0.9959,0.993,0.992,279.2848590495129,20.0,5585.697180990257,5608.692821558648,VERY_STRONG,0.3071,0.0736,62.03,56.35,28.8805,28.1262,0.1345,0.1347,BULLISH,0.1119,0.0658,33.908,33.2939,65.7,63.0,67.2,0.1184,60.6,57.1,False,False,False,False,False,False,False,False,False,False,1.3591,1.1861,68.4,26.3,86.7,0.7543,2.0,STRONG_BULL,CHOPPY_FLAT,,0.0994,18.924603771059793,8.366519096538275,0.3789,0.2773,1.4e-05,0.4008,0.3207,0.1547,0.0728,,,72295345.706,,0.0883,2026-05-21T08:38:38.428595,-0.3541,,,2026-05-21T08:46:35.284097,-0.4544,,,1.0054254925782464,2.5062443873134814,3.511669879891728,-19.776879062411883,-0.3540628577166396,0.1477696555879095,-0.45442936037754944,0.998,0.9959,0.0,0.2565,0.1963,2026-05-21T08:31:49.135598,2026-05-21T08:46:35.286219,-0.2446,ENDED_NEG,1,0.5,,False,,False,,,,1.0,,False,-0.3540628577166396,,0,,-0.0765,-0.1691,True,0.996,0.99,2026-05-21T09:23:08.319881,2026-05-21T09:32:29.928150,-0.053,-0.6554,35.35,44.71,0.0,-0.3542,-0.555,0.0,2.85,-0.4546,5.85,-0.4546,,,0.0,-0.3542,,,,-0.3542,-0.4546,-0.555,-0.4546,-0.2538,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-21T08:45:09.035938,-0.2537,,,,,,,-0.2537,8.32,2026-05-21T08:30:05,2026-05-21T08:47:47.050075,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
62,,INJUSDT,LONG,CLOSED,4.993,4.963,4.97,279.2848590495129,20.0,5585.697180990257,1118.7056240717518,STRONG_BUY,0.3799,0.167,64.62,63.92,21.7887,21.2883,0.4431,0.4451,BULLISH,0.1951,0.0892,33.3191,32.1726,65.7,65.4,62.0,0.1153,60.3,57.1,False,False,False,False,False,False,False,False,False,False,1.3784,1.4285,73.7,21.1,89.8,0.5004,4.0,STRONG_BULL,CHOPPY_FLAT,,0.0884,22.025462502075406,12.310380625514973,0.5169,0.0745,4.7e-05,0.2065,0.7612,0.1531,0.0707,,,72449342.5359,,0.0771,2026-05-21T08:54:17.263915,-0.5705,,,,,,,2.5135637314456156,2.498461205520647,5.012024936966263,-38.5731936591191,-0.6905707991187713,0.13020929301019896,-0.6905707991187713,5.004,4.993,0.0,0.5987,0.4277,2026-05-21T08:29:20.354154,2026-05-21T08:55:37.885660,-0.2865,ENDED_NEG,1,0.5,,True,,False,,,,1.0,PAIR_60-65_18-22,False,-0.5704566392950133,,0,,-0.2865,-0.0556,True,5.018,4.923,2026-05-21T09:15:27.693386,2026-05-21T09:34:36.554136,0.4107,-1.492,19.82,38.97,7.07,-0.771,-1.3918,0.0,1.03,-0.4505,7.07,-0.771,,,7.07,-0.771,,,,-0.4505,-0.5106,-0.2703,-0.07,-0.4305,,,,,,,,,2026-05-21T09:16:33.300655,0.1303,2026-05-21T09:16:34.309125,0.0903,,,,,,,2026-05-21T09:17:13.653372,0.0903,False,,,,False,,,2026-05-21T08:45:09.033858,-0.1701,,,,,-0.1901,8.47,-0.4103,23.71,2026-05-21T08:24:55,2026-05-21T08:55:37.888428,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
61,,INJUSDT,LONG,CLOSED,4.962,4.985,4.984,274.2009241400241,20.0,5484.018482800482,1105.2032411931646,STRONG_BUY,0.2654,0.1284,58.17,57.12,21.2306,21.2258,0.1374,0.1376,BULLISH,0.151,0.1114,32.1894,30.0993,66.0,79.6,60.6,0.115,60.3,57.1,False,False,False,False,False,False,False,False,False,False,1.5393,1.3727,73.7,21.1,72.4,0.0048,5.0,STRONG_BULL,STRONG_BULL,,0.0736,22.07764588899204,14.326109572136799,0.4809,0.0314,4.7e-05,0.1239,0.3719,0.178,0.0707,2026-05-21T08:22:32.128455,,72330202.7093,,0.0839,,,,,,,,,0.9871233269040869,2.4792471708065666,3.4663704977106535,21.95330404973277,0.40031418782750056,0.40031418782750056,-0.28458504635227977,4.985,4.962,0.0,0.4635,0.3879,2026-05-21T08:22:52.941649,2026-05-21T08:21:11.036955,-0.0922,RECOVERED,1,0.5,,True,,False,,,,1.0,,False,,,0,,0.4835,0.3879,True,5.0,4.957,2026-05-21T08:31:34.075788,2026-05-21T09:02:24.109816,0.7028,-0.1638,8.62,39.46,39.76,-0.1235,0.1587,0.7028,10.45,0.461,25.68,0.2393,,,39.76,-0.1235,,,,0.6424,0.5617,0.4207,0.2191,0.3199,,,,,,,2026-05-21T08:24:13.558931,0.4005,2026-05-21T08:26:41.037779,0.3401,2026-05-21T08:26:42.046336,0.3602,2026-05-21T08:26:41.037779,0.3401,2026-05-21T08:26:42.046336,0.3602,2026-05-21T08:26:41.037779,0.3401,2026-05-21T08:26:41.037779,0.3401,False,,,,False,,,,,,,,,-0.1637,1.03,,,2026-05-21T08:19:33,2026-05-21T08:22:56.309372,FAST_EXIT L2,MAKER,TAKER,True,
60,,CHZUSDT,SHORT,CLOSED,0.04389,0.04381,0.0438,277.3277962431671,20.0,5546.555924863342,126374.02426209483,VERY_STRONG,0.6792,0.2329,30.81,40.08,32.1702,30.9225,0.5921,-0.5887,BEARISH,-0.3395,-0.0558,30.1767,29.5765,30.4,27.5,29.1,0.0977,48.8,50.7,True,False,True,False,False,True,False,False,False,True,0.8136,1.486,26.3,63.2,12.8,1.2477,3.0,STRONG_BEAR,STRONG_BEAR,,-0.1867,13.285772308166457,38.20043369233635,0.5932,-0.4512,4.7e-05,-0.8274,-1.0351,-0.108,0.013,2026-05-21T07:27:44.830391,0.09235588972430335,47400752.0387,,-0.1849,,,,,,,,,2.4959501661885035,2.4914007013150687,4.987350867503572,5.122571073463602,0.09235588972430335,0.20632832080200084,-0.15838345864662165,0.04389,0.04376,0.0,0.6575,-1.0151,2026-05-21T07:27:44.830345,2026-05-21T07:25:37.999467,0.5463,NEVER,1,0.5,,True,,False,,,,1.0,PAIR_25-50_30-33,False,,,0,,0.5427,-1.0151,False,0.04427,0.04377,2026-05-21T08:03:24.491256,2026-05-21T07:30:55.454960,0.1834,-0.9558,35.5,3.02,32.48,-0.7507,-0.5229,0.1834,8.25,-0.2267,8.25,-0.2267,0.09235588972430335,2026-05-21T07:27:53.891969,32.48,-0.7507,,,,0.0011,0.0239,0.0239,-0.4773,-0.7507,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-21T07:25:05,2026-05-21T07:27:53.894443,BREAKEVEN_EXIT_L1,TAKER_FALLBACK,TAKER,True,
59,,CHZUSDT,SHORT,CLOSED,0.04417,0.04404,0.04422,274.10088968585126,20.0,5482.017793717025,124111.79066599558,VERY_STRONG,0.3794,0.1105,34.74,50.59,30.1746,29.6398,0.5512,-0.5482,BEARISH,-0.1449,-0.0541,29.5484,28.8991,28.0,31.9,29.3,0.1009,48.6,50.7,False,False,True,False,False,True,False,False,False,True,0.756,1.1566,28.9,71.1,10.2,0.5349,4.0,BEAR_EXHAUSTED,BEAR_EXHAUSTED,,-0.18,15.67587629422118,34.19027436639683,0.5385,-0.3975,4.7e-05,-0.6777,-0.7677,-0.1391,0.0118,,,46453556.04274,,-0.1821,,,,,,,,,2.4669080071726612,2.4596474674187006,4.926555474591362,11.207977311987834,0.2044498528412908,0.2044498528412908,-0.20324994340050134,0.04417,0.04404,0.0,0.7338,-0.3611,2026-05-21T07:19:25.008577,2026-05-21T07:19:13.380414,0.3466,NEVER,1,0.5,,True,,False,,,,1.0,PAIR_25-50_30-33,False,,,0,,0.7567,-0.3611,False,0.04427,0.04376,2026-05-21T08:03:24.491256,2026-05-21T07:27:45.371090,0.8382,-0.3164,43.99,8.33,40.96,-0.1126,0.3402,0.8382,16.74,0.4081,16.74,0.4081,,,40.96,-0.1126,,,,0.5666,0.6345,0.4986,0.5666,0.1138,,,,,,,2026-05-21T07:37:44.512098,0.1138,2026-05-21T07:22:19.690015,0.4986,2026-05-21T07:22:23.737330,0.4986,2026-05-21T07:22:19.690015,0.4986,2026-05-21T07:22:27.789214,0.4534,2026-05-21T07:22:19.690015,0.4986,2026-05-21T07:22:41.955314,0.4534,False,,,,False,,,,,,,,,,,,,2026-05-21T07:18:43,2026-05-21T07:19:25.012151,FAST_EXIT L1,TAKER_FALLBACK,TAKER,True,
