id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
63,,WLDUSDT,LONG,CLOSED,0.29100000000000004,0.2897,0.2908,265.4294140251837,20.0,5308.588280503674,18242.571410665543,STRONG_BUY,0.38,0.2038,64.84,51.35,16.7443,16.4281,0.9015,0.9097,BULLISH,0.228,0.0232,18.4859,17.7714,64.8,60.4,62.5,0.0813,51.4,48.2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,C4,0.1,-0.5,0.8487,0.6434,67.6,21.6,79.0,0.3162,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.0667,29.99988881616396,19.646010646249014,0.7422,0.1754,5e-05,0.4746,1.2133,0.0888,-0.0222,,,167102112.7737,,0.067,,,,,,,,,0.9555458904906613,2.378192821951414,3.3337387124420754,-27.04908154630771,-0.5095343642611765,0.0,-0.5095343642611765,0.2911,0.29100000000000004,0.0,,,,2026-05-22T12:55:32.881056,0.251,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,0.2165,1.0127,False,0.2902,0.2891,2026-05-22T12:57:43.622201,2026-05-22T12:55:59.269687,,,,,,,,,,,,,,,,,,,,-0.441,-0.5097,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-22T12:54:28,2026-05-22T12:55:32.888388,PATTERN_FIXED_SL L1,MAKER,TAKER,True,
62,,TSTUSDT,LONG,CLOSED,0.018272,0.018197,0.018203,267.84066925418784,20.0,5356.813385083757,293170.60995423363,STRONG_BUY,0.3536,0.1319,58.66,60.2,20.5629,20.1383,0.2017,0.2021,BULLISH,0.1919,0.0531,18.8548,17.3631,64.9,74.4,61.9,0.0836,50.3,48.2,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,C4,0.1,-0.5,1.1471,0.8304,70.3,18.9,85.1,0.4246,5.0,HEALTHY_BULL,HEALTHY_BULL,,0.053,21.32637285548143,12.50287095449551,0.6087,-0.2279,5e-05,-0.3393,0.4766,0.0799,-0.0259,,,40595741.354958,,0.0549,,,,,,,,,2.4105660232876907,2.4006715152017355,4.811237538489426,-26.79903328505656,-0.5002793892294148,0.0,-0.5002793892294148,0.018282,0.018272,0.0,,,,2026-05-22T12:26:01.758676,-0.1142,ENDED_NEG,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,-0.1197,0.1518,True,0.018256,0.018107,2026-05-22T12:47:48.624797,2026-05-22T12:38:53.400440,,,,,,,,,,,,,,,,,,,,-0.6044,-0.7249,-0.6263,-0.6209,-0.5278,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-22T12:23:19,2026-05-22T12:26:01.783454,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
61,,ONDOUSDT,LONG,CLOSED,0.4315,0.4323,0.4322,267.8406692541879,20.0,5356.8133850837585,12414.399501932234,VERY_STRONG,0.5464,0.2012,63.95,57.68,23.347,21.999,0.3545,0.3558,BULLISH,0.2495,0.0531,18.8548,17.3631,64.9,74.4,61.9,0.0836,50.3,48.2,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,C4,0.1,-0.5,1.1471,1.0194,70.3,18.9,88.7,1.3479,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.053,29.77135503415263,12.496430379507911,0.7823,0.4257,5e-05,0.8599,0.7551,0.0799,-0.0259,,,206615324.9723,,0.053,,,,,,,,,0.9642264093150766,2.4150352071083874,3.379261616423464,6.5522579851226075,0.12231633835458237,0.12231633835458237,-0.3178099652375411,0.4323,0.4315,0.0,0.4928,0.5078,2026-05-22T12:23:24.205589,2026-05-22T12:23:05.238748,0.0767,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,0.5158,0.5078,False,0.4493,0.4311,2026-05-22T12:57:34.525235,2026-05-22T12:27:46.931944,,,,,,,,,,,,,,,,,,,,0.1687,0.4468,0.0529,1.9764,3.0888,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-22T12:22:59,2026-05-22T12:23:28.618717,PATTERN_FIXED_TP L1,MAKER,TAKER,True,
60,,TSTUSDT,LONG,CLOSED,0.018253,0.018291,0.018282,261.9285278555716,20.0,5238.570557111432,286997.78431553347,STRONG_BUY,0.3063,0.1239,57.14,48.52,20.1562,19.7018,0.1896,0.1899,BULLISH,0.1235,0.0455,17.2075,15.5874,64.8,74.3,62.6,0.0825,50.1,48.2,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,C4,0.1,-0.5,1.3214,0.9363,67.6,24.3,79.5,0.4544,5.0,CHOPPY_WEAK,HEALTHY_BULL,,0.0398,21.94377391020646,12.869939634858637,0.6377,-0.2966,5e-05,-0.4248,0.4385,0.0955,-0.0266,,,40605678.732669,,0.0567,,,,,,,,,2.3573567507001445,2.3622644128119403,4.719621163512085,6.1862946404791375,0.11809127266752485,0.11809127266752485,-0.12285651673696961,0.018291,0.018253,0.0,0.3108,0.4415,2026-05-22T12:22:03.642095,2026-05-22T12:19:54.574635,0.2115,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,0.3435,0.4415,False,0.018291,0.018107,2026-05-22T12:22:12.344666,2026-05-22T12:38:53.400440,,,,,,,,,,,,,,,,,,,,-0.101,-0.0955,-0.5173,-0.6379,-0.3584,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-22T12:18:58,2026-05-22T12:22:12.017670,PATTERN_FIXED_TP L1,TAKER_FALLBACK,TAKER,True,
59,,ONDOUSDT,LONG,CLOSED,0.4308,0.4316,0.4313,261.92852785557153,20.0,5238.57055711143,12160.098786238232,STRONG_BUY,0.4371,0.1697,62.42,57.15,21.9021,20.4419,0.4088,0.4105,BULLISH,0.1957,0.0455,17.2075,15.5874,64.8,74.3,62.6,0.0825,50.1,48.2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,C4,0.1,-0.5,1.3214,1.0941,67.6,24.3,83.1,1.4601,4.0,CHOPPY_WEAK,CHOPPY_WEAK,,0.0398,31.023714524397395,13.017816243494346,0.81,0.3799,5e-05,0.7911,0.7353,0.0955,-0.0266,,,206294050.72925,,0.0471,,,,,,,,,0.9429427002800576,2.361734386263189,3.3046770865432467,6.423401942446942,0.12261745589599986,0.12261745589599986,-0.3878305478180159,0.4316,0.4308,0.0,0.5473,0.3982,2026-05-22T12:19:38.719620,2026-05-22T12:19:31.040607,0.0609,NEVER,1,0.5,,True,,False,,,,1.0,1.0,PAIR_60-65_18-22,False,,,0,,0.5704,0.3982,False,0.4493,0.4304,2026-05-22T12:57:34.525235,2026-05-22T12:23:05.285162,,,,,,,,,,,,,,,,,,,,0.262,0.2156,0.4941,1.2601,3.4885,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-22T12:18:38,2026-05-22T12:19:39.952227,PATTERN_FIXED_TP L1,MAKER,TAKER,True,
58,,SUIUSDT,LONG,CLOSED,1.115,1.1169,1.1166,261.9285278555716,20.0,5238.570557111432,4698.269557947473,STRONG_BUY,0.433,0.1679,64.9,63.44,15.85,14.9122,0.224,0.2245,BULLISH,0.2247,0.0455,17.2075,15.5874,64.8,74.3,62.6,0.0825,50.1,48.2,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,C4,0.1,-0.5,1.3214,1.0414,67.6,24.3,62.4,0.9377,3.0,CHOPPY_WEAK,CHOPPY_WEAK,,0.0398,29.952605780394464,16.8334944483086,0.4681,0.0669,5e-05,0.2498,0.5487,0.0955,-0.0266,,,389890317.5178,,0.0398,,,,,,,,,0.9429427002800579,2.3613737711721896,3.3043164714522475,5.622395688648011,0.10732690582959754,0.10732690582959754,-0.0719645739910304,1.1169,1.115,0.0,0.3044,0.5354,2026-05-22T12:19:05.855196,2026-05-22T12:18:46.300293,0.1345,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,0.3133,0.5354,False,1.1264,1.1101,2026-05-22T12:54:06.836684,2026-05-22T12:31:00.242585,,,,,,,,,,,,,,,,,,,,0.4213,0.3675,-0.1347,-0.054,0.6724,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-22T12:18:36,2026-05-22T12:19:05.948403,PATTERN_FIXED_TP L1,MAKER,TAKER,True,
57,,TONUSDT,SHORT,CLOSED,1.9787,1.9727,1.9724,511.45011897944397,20.0,10229.00237958888,5169.556971541355,STRONG_BUY,0.395,0.1634,27.78,45.8,26.9445,24.8826,0.803,-0.7966,BEARISH,-0.1767,-0.0316,24.0496,23.4844,40.1,37.6,33.1,0.0967,41.6,42.3,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,W1+W2,,,0.7056,2.0608,29.7,45.9,9.5,2.0618,3.0,HEALTHY_BEAR,CHOPPY_FLAT,,-0.1558,10.66839438219606,35.463686582704085,0.4375,-0.2346,5e-05,-0.3904,-1.0887,-0.0527,-0.0841,2026-05-22T09:47:27.268771,,150979902.85398,,-0.1382,,,,,,,,,4.603051070814995,4.589093266991833,9.192144337806829,21.82519749144133,0.21336584626269803,0.516731692525396,-0.272019507757621,1.9787,1.9667,0.0,1.0233,-0.8669,2026-05-22T09:47:29.748715,2026-05-22T09:40:50.043829,0.6861,NEVER,1,0.5,,True,,False,,,,2.0,1.0,W1+W2,False,,0.21336584626269803,0,,0.7161,-0.8669,False,1.9877,1.9716,2026-05-22T10:30:47.697736,2026-05-22T09:49:00.564512,0.2688,-0.5448,43.02,1.23,,,-0.3579,,11.58,0.0161,4.59,-0.0849,,,,,,,,0.2385,-0.0294,-0.0496,-0.0647,-0.0192,2026-05-22T09:47:29.726998,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-22T09:42:50.833495,-0.1861,,,,,,,-0.1557,4.01,2026-05-22T09:38:17,2026-05-22T09:47:46.266281,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
56,,TONUSDT,SHORT,CLOSED,1.985,1.9797,1.9851,500.7539144590094,20.0,10015.078289180188,5045.379490770875,STRONG_BUY,0.3438,0.14,29.88,45.8,26.9445,24.8826,0.6602,-0.6558,BEARISH,-0.1567,-0.0326,24.0496,23.4844,39.0,37.6,33.1,0.0962,41.4,42.3,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,W1+W2,,,0.6616,1.8259,27.0,45.9,19.4,2.0618,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1569,10.66839438219606,35.463686582704085,0.4366,-0.2264,5e-05,-0.3687,-0.9086,-0.0617,-0.0851,,,150589118.45364,,-0.1569,,,,,,,,,1.802714092052434,4.494752000045596,6.29746609209803,20.443045208988025,0.20412267002519305,0.20412267002519305,-0.08820025188916598,1.985,1.9797,0.0,0.8941,-0.4976,2026-05-22T09:37:00.355705,2026-05-22T09:36:57.420154,0.6044,NEVER,1,0.5,,True,,False,,,,2.0,1.0,W1+W2,False,,,0,,0.8992,-0.4976,False,1.9833,1.9683,2026-05-22T10:13:45.349115,2026-05-22T09:47:34.126019,0.7783,0.0226,36.75,10.56,,,0.2242,,22.35,0.3602,5.28,0.1889,,,,,,,,0.1486,0.1637,0.1536,0.2292,0.1839,,,,,,,2026-05-22T10:01:15.374306,0.2141,2026-05-22T09:49:19.829878,0.3199,2026-05-22T09:49:22.853668,0.3199,2026-05-22T09:49:18.822590,0.3451,2026-05-22T09:49:22.853668,0.3199,2026-05-22T09:49:21.847290,0.34,2026-05-22T09:49:27.894552,0.2846,False,,,,False,,,,,,,,,,,,,2026-05-22T09:36:57,2026-05-22T09:37:00.358485,FAST_EXIT L1,MAKER,TAKER,True,
55,,SWARMSUSDT,SHORT,CLOSED,0.010885,0.010853,0.010859,480.86418418491894,20.0,9617.283683698379,883535.4785207513,VERY_STRONG,0.332,0.0955,36.75,42.36,31.0604,29.7498,0.2412,-0.2406,BEARISH,-0.1429,-0.042,29.939,29.2282,29.5,36.2,31.9,0.0876,44.1,46.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,,,0.9567,1.3769,21.1,73.7,21.7,1.3106,3.0,BEAR_EXHAUSTED,BEAR_EXHAUSTED,,-0.1476,8.931127394773874,25.484229810859155,0.4673,-0.5414,-7.1e-05,-0.9172,-0.4367,-0.154,-0.0557,,,48373288.930376,,-0.1487,,,,,,,,,4.32777765766427,4.315054746773572,8.642832404437842,19.630302908226888,0.20411483693156432,0.20411483693156432,-0.18191088654110785,0.010885,0.010853,0.0,0.503,-0.3235,2026-05-22T07:04:39.463517,2026-05-22T07:02:58.613340,0.1768,NEVER,1,0.5,,True,,False,,,,2.0,1.0,W1,False,,,0,,0.5123,-0.3235,False,0.010895,0.010818,2026-05-22T07:46:31.590265,2026-05-22T07:40:27.503823,0.5255,-0.1819,41.86,35.8,,,-0.0441,,9.24,0.1672,14.26,0.2132,,,,,,,,0.1856,0.3969,0.1948,0.204,0.1856,,,,,,,2026-05-22T07:42:49.925776,0.0386,2026-05-22T07:13:18.807466,0.1764,2026-05-22T07:42:49.925776,0.0386,2026-05-22T07:13:18.807466,0.1764,2026-05-22T07:20:13.394729,0.0386,2026-05-22T07:08:05.004511,0.158,2026-05-22T07:08:09.053123,0.1764,False,,,,False,,,,,,,,,,,,,2026-05-22T07:02:51,2026-05-22T07:04:39.466619,FAST_EXIT L1,TAKER_FALLBACK,TAKER,True,
54,,MITOUSDT,SHORT,CLOSED,0.04035,0.04026,0.04025,480.86418418491894,20.0,9617.283683698379,238346.55969512713,STRONG_BUY,0.4565,0.0984,34.71,39.91,29.5346,28.9608,0.2253,-0.2248,BEARISH,-0.1723,-0.042,29.939,29.2282,29.5,36.2,31.9,0.0876,44.1,46.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,,,0.9567,0.7499,21.1,73.7,6.9,0.5738,4.0,BEAR_EXHAUSTED,BEAR_EXHAUSTED,,-0.1476,11.72282950727327,25.489068359780585,0.5426,-0.6556,-7.1e-05,-1.0469,-0.4696,-0.154,-0.0557,2026-05-22T07:09:53.698468,,58196029.0878,,-0.1637,,,,,,,,,4.32777765766427,4.318124621996618,8.645902279660888,12.805288092900508,0.13314869888475792,0.5546517967781818,-0.11479429987609183,0.04035,0.04009,0.0,0.7694,-0.3745,2026-05-22T07:10:12.349601,2026-05-22T07:03:11.484827,0.2998,NEVER,2,1.0,,True,,False,,,,2.0,1.0,W1,False,,0.13314869888475792,0,,0.3439,-0.3745,False,0.04102,0.04024,2026-05-22T07:46:11.450754,2026-05-22T07:21:34.129712,0.1826,-1.7505,35.76,11.14,17.5,-0.6848,-1.4531,0.1826,5.48,-0.1643,2.48,-0.09,0.13314869888475792,2026-05-22T07:10:23.722887,18.5,-0.8335,,,,0.0091,0.0091,-0.1396,-0.1643,-0.5609,2026-05-22T07:10:10.739517,0.18273729863692442,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-22T07:02:31,2026-05-22T07:10:23.728904,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
