id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
16,,PHAUSDT,LONG,CLOSED,0.04895,0.04841,0.04842,458.2035389665465,20.0,9164.07077933093,187212.88619675036,STRONG_BUY,0.4857,0.208,61.44,58.49,17.4451,17.113,0.5377,0.5406,BULLISH,0.2301,0.0207,23.8251,25.2764,54.8,55.4,48.5,0.0913,50.6,43.8,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,,,,1.192,0.9822,30.8,41.0,85.3,0.3322,3.0,HEALTHY_BULL,CHOPPY_FLAT,,-0.0605,23.056690102759003,14.814693376987842,1.1764,-0.3589,0.0001,-0.4257,0.9528,0.0478,-0.0296,,,130719772.76885,,-0.0633,,,,,,,,,4.1238318506989184,4.078339119353108,8.202170970052027,-109.29712951629699,-1.1926700715015297,0.0,-1.1926700715015297,0.04899,0.04895,0.0,,,,2026-05-25T23:50:06.295349,-0.1191,ENDED_NEG,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,-0.1191,0.388,True,0.04877,0.04826,2026-05-25T23:58:42.179357,2026-05-25T23:51:16.891436,,,,,,,,,,,,,,,,,,,,,,-1.234,-1.2545,-1.1115,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-25T23:48:31.043081,-0.2738,,,,,,,,,2026-05-25T23:47:57,2026-05-25T23:50:06.298278,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
15,,DOTUSDT,SHORT,CLOSED,1.258,1.262,1.262,1006.8461792927043,20.0,20136.923585854085,16007.093470472246,STRONG_BUY,0.4848,0.169,26.03,41.4,26.3161,23.9513,0.5569,-0.5538,BEARISH,-0.1971,-0.0358,28.7299,27.2878,30.0,43.3,43.9,0.1127,43.7,51.6,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,W1+W2,,,1.7687,2.0607,15.0,77.5,4.3,2.3649,3.0,BEAR_EXHAUSTED,CHOPPY_FLAT,,-0.1116,10.09705821732995,36.93070994327647,0.3534,-0.2618,5e-05,-0.4762,-0.8873,-0.2615,-0.0407,2026-05-25T23:00:06.372497,0.09605405405405419,51127505.57,,-0.1086,2026-05-25T23:20:26.291953,-0.3016,,,,,,,3.6246462454537354,9.090428381881189,12.715074627334925,-76.74344850922397,-0.3811081081081084,0.2551081081081084,-0.3811081081081084,1.258,1.254,0.0,0.4134,-0.1736,2026-05-25T23:00:06.372465,2026-05-25T22:50:47.714134,-0.0861,ENDED_NEG,1,0.5,,False,,False,,,,2.0,1.0,W1+W2,False,-0.3015810810810725,,0,,-0.1087,0.1394,True,1.265,1.259,2026-05-25T23:32:38.674179,2026-05-25T23:48:06.794924,,,,,,,,,,,,,,,,,,,,,,-0.4605,-0.5399,-0.381,-0.222,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-25T23:10:48.715625,-0.063,,,,,-0.2221,7.11,-0.2221,11.18,2026-05-25T22:34:47,2026-05-25T23:30:28.299984,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
14,,FILUSDT,SHORT,CLOSED,0.9791000000000001,0.984,0.983,1006.8461792927044,20.0,20136.92358585409,20566.76905919118,STRONG_BUY,0.4576,0.1663,26.74,41.16,21.105,18.5721,0.6088,-0.6051,BEARISH,-0.1794,-0.0358,28.7299,27.2878,30.0,43.3,43.9,0.1127,43.7,51.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,W2,,,1.7687,2.2379,15.0,77.5,10.0,2.5329,2.0,BEAR_EXHAUSTED,CHOPPY_FLAT,,-0.1116,9.681478929201349,32.44202026607435,0.4112,-0.1814,5e-05,-0.369,-0.9275,-0.2615,-0.0407,,,73460128.264,,-0.1086,2026-05-25T23:16:22.706550,-0.5637,,,,,,,3.6246462454537363,9.106965339409854,12.73161158486359,-113.5087799748984,-0.5636848125829745,0.15157920539271796,-0.6658653865795019,0.9791000000000001,0.977,0.0,0.8148,-0.3712,2026-05-25T22:35:08.102268,2026-05-25T22:50:02.561816,-0.2092,ENDED_NEG,1,0.5,,False,,False,,,,2.0,1.0,W2,False,-0.5636848125829745,,0,,-0.0907,0.1648,True,0.986,0.979,2026-05-25T23:32:27.584175,2026-05-25T23:45:17.554297,,,,,,,,,,,,,,,,,,,,,,-0.5635,-0.7677,-0.3592,-0.1549,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-25T23:10:48.713887,-0.3593,,,,,-0.3593,7.15,-0.5637,13.24,2026-05-25T22:34:45,2026-05-25T23:30:27.779884,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
13,,SUIUSDT,SHORT,CLOSED,1.0349,1.0412,1.0408,503.42308964635214,20.0,10068.461792927043,9728.922401127687,VERY_STRONG,0.4039,0.1472,25.37,44.34,30.5388,28.1859,0.7208,-0.7157,BEARISH,-0.1612,-0.0358,28.7299,27.2878,30.0,43.3,43.9,0.1127,43.7,51.6,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,,,,1.7687,3.1684,15.0,77.5,10.3,2.3528,2.0,BEAR_EXHAUSTED,CHOPPY_FLAT,,-0.1116,9.440150837385094,39.127272136389955,0.3727,-0.2527,5e-05,-0.4516,-0.9906,-0.2615,-0.0407,,,195805286.40122,,-0.1221,2026-05-25T23:15:33.263632,-0.5927,,,2026-05-25T23:22:23.830558,-0.6894,,,4.530807806817169,4.558389301824366,9.089197108641535,-70.3814082357457,-0.6990284085418854,0.17101217508937339,-0.6990284085418854,1.0349,1.0322,0.0,0.7106,-0.59,2026-05-25T22:36:35.880559,2026-05-25T23:22:23.837869,-0.2478,ENDED_NEG,1,0.5,,True,,False,,,,1.0,1.0,,False,-0.5926901149869644,,0,,-0.2478,0.0314,True,1.0463,1.0394,2026-05-25T23:33:35.082999,2026-05-25T23:50:39.539581,,,,,,,,,,,,,,,,,,,,,,-0.8147,-0.8727,-0.834,-0.9596,-0.7374,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-25T23:10:48.710808,-0.4864,,,,,-0.3413,7.18,-0.351,5.16,2026-05-25T22:34:43,2026-05-25T23:22:23.840596,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
12,,SUIUSDT,SHORT,CLOSED,1.0435,1.0478,1.0475,1041.1693470339278,20.0,20823.386940678556,19955.330082106902,STRONG_BUY,0.3589,0.1569,28.94,41.47,21.3333,19.1822,0.5697,-0.5665,BEARISH,-0.1834,-0.054,29.5208,27.5381,27.3,34.2,42.8,0.0893,47.4,53.7,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,C8,0.1,-0.5,1.1242,2.8846,5.1,89.7,12.8,2.1511,3.0,BEAR_EXHAUSTED,STRONG_BEAR,,-0.1202,13.632509163504448,40.14153744317323,0.3379,-0.0574,2.3e-05,-0.1699,-0.8388,-0.2115,0.018,,,218369776.02356,,-0.134,,,,,,,,,9.37052412330535,9.409137687014226,18.779661810319574,-104.58758116337867,-0.5022601820795372,0.0,-0.5022601820795372,1.0435,1.041,0.0,,,,2026-05-25T20:55:09.350406,-0.036,ENDED_NEG,1,0.5,,True,,False,,,,2.0,1.0,BTC_25-30_28-30,False,,,0,,-0.0455,-0.4672,True,1.0496,1.0436,2026-05-25T21:07:21.544329,2026-05-25T21:18:28.761982,-0.0996,-0.6746,12.2,23.32,40.45,-0.5692,-0.4829,0.0,12.17,-0.6362,32.38,-0.2433,,,40.45,-0.5692,2026-05-25T21:10:54.538677,-0.4542,,,,-0.55,-0.3296,-0.2242,-0.4637,-0.1667,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-25T20:43:59.817384,-0.09,2026-05-25T20:44:15.928477,-0.09,,,-0.2242,7.04,-0.4447,11.09,2026-05-25T20:43:44,2026-05-25T20:55:09.375952,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
11,,VVVUSDT,SHORT,CLOSED,17.779,17.692,17.711,983.4218679762104,30.0,29502.65603928631,1659.4103177505096,STRONG_BUY,0.4586,0.1778,32.83,42.73,27.3082,26.0724,0.5169,-0.5142,BEARISH,-0.2496,-0.0602,29.3767,27.4093,27.3,27.5,39.2,0.0754,50.9,57.7,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,C1,,,0.8511,1.1412,17.9,71.8,12.5,1.2358,4.0,BEAR_EXHAUSTED,STRONG_BEAR,,-0.0985,12.911476290809384,32.690852464247136,0.5371,-0.4981,1.2e-05,-0.8541,-0.8276,-0.1622,0.0519,2026-05-25T19:46:47.608885,,95261001.35175,,-0.0972,,,,,,,,,5.3104780870715365,13.211229303738907,18.521707390810445,125.84699025348347,0.4265615613926528,0.7248002137353089,-0.4512729624838239,17.779,17.639,0.0,1.1599,-0.7855,2026-05-25T19:46:54.948931,2026-05-25T19:41:44.663800,0.1227,NEVER,1,0.5,,True,,False,,,,2.0,1.5,C1,False,,0.4265615613926528,0,,0.8568,-0.7855,True,17.946,17.643,2026-05-25T20:09:38.257333,2026-05-25T19:57:16.689513,0.7019,-1.0023,22.72,10.36,,,0.072,,,,,,,,,,2026-05-25T20:31:48.527978,0.0551,,,,0.4995,0.3757,0.3476,-0.018,-0.0236,2026-05-25T19:46:54.590727,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-25T19:40:54,2026-05-25T19:46:55.211154,TRAILING_STOP L1,MAKER,TAKER,True,
10,,XANUSDT,LONG,CLOSED,0.01255,0.012411,0.012427,397.8592063990929,20.0,7957.184127981858,634038.5759348094,STRONG_BUY,0.3703,0.193,53.57,56.78,19.0058,18.9612,0.3346,0.3358,BULLISH,0.2553,0.0601,25.2051,23.8369,67.4,77.1,61.1,0.0882,62.4,56.4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,,,,1.057,0.7792,72.5,20.0,51.9,0.0446,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.064,24.886983588411606,16.73510080222996,1.7235,-0.7568,5e-05,-0.8483,0.6871,0.1171,0.0896,,,216138914.150041,,0.0813,2026-05-25T14:35:31.955592,-0.998,,,2026-05-25T14:35:31.963413,-1.0219,,,3.580732857591836,3.5410737446671137,7.12180660225895,-95.25316865719759,-1.1970713147410375,0.0,-1.1970713147410375,0.01255,0.01255,0.0,,,,2026-05-25T14:41:05.219763,-0.7767,ENDED_NEG,1,0.5,,True,,False,,,,1.0,1.0,,False,-0.9979577689243128,,0,,-0.7767,0.4132,True,0.012559,0.012133,2026-05-25T14:50:10.421367,2026-05-25T15:06:32.340661,-0.0183,-3.4127,9.08,25.44,7.16,-1.0701,-2.2573,0.0,0.04,-1.0223,13.32,-0.3848,,,15.35,-1.078,,,,,,-0.5362,-0.8231,-0.6876,-0.9904,-2.7753,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-25T14:35:00,2026-05-25T14:41:05.235276,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
9,,XANUSDT,LONG,CLOSED,0.01264,0.012677,0.012668,503.44298868322346,20.0,10068.85977366447,796587.0074101638,STRONG_BUY,0.2757,0.2115,56.65,45.23,18.6737,18.0571,1.0536,1.0648,BULLISH,0.1209,0.0488,21.9674,20.6389,67.6,72.9,45.3,0.0875,61.6,56.4,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,C4,,-0.5,1.0424,0.8287,72.5,22.5,58.9,0.6167,5.0,HEALTHY_BULL,HEALTHY_BULL,,0.0179,29.358931662683972,16.98847540956512,1.685,-0.6983,-4.7e-05,-1.0733,1.3899,0.1295,0.0853,,,214835648.91133,,0.0179,,,,,,,,,4.530986898149012,4.5442500718223915,9.075236969971403,20.398482304205114,0.202589794303802,0.202589794303802,-0.18489398734177104,0.012677,0.01264,0.0,1.7483,0.6842,2026-05-25T14:25:31.178114,2026-05-25T14:25:27.835228,1.3748,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,1.7561,0.6842,False,0.012695,0.012133,2026-05-25T14:25:52.302178,2026-05-25T15:06:32.340661,0.3451,-4.1011,0.32,40.99,22.7,-1.7751,-3.7372,0.3451,4.95,-1.8622,28.87,-1.0947,,,30.89,-1.783,,,,,,-0.6201,-1.1343,-1.7118,-1.1976,-1.7435,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-25T14:25:23,2026-05-25T14:25:32.587443,FAST_EXIT L1,TAKER_FALLBACK,TAKER,True,
8,,XANUSDT,LONG,CLOSED,0.012626,0.012663,0.012632,497.61008103290897,20.0,9952.20162065818,788230.7635560097,STRONG_BUY,0.2044,0.1776,55.35,45.23,18.2986,18.0571,0.8549,0.8623,BULLISH,0.0918,0.049,21.9674,20.6389,68.0,72.9,45.3,0.0875,61.6,56.4,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,C4,,-0.5,0.9731,0.7088,72.5,22.5,54.8,0.2416,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.0181,27.100220833985812,17.531672932957996,1.6378,-0.7101,-4.7e-05,-1.1048,1.128,0.1318,0.0855,,,214526863.269395,,0.0181,,,,,,,,,4.478490729296181,4.491614771509388,8.97010550080557,20.194432750767245,0.20291422461587655,0.20291422461587655,-0.24041541264058228,0.012663,0.012626,0.0,1.7397,0.5831,2026-05-25T14:24:05.399221,2026-05-25T14:24:02.790224,1.311,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,1.7475,0.5831,False,0.012695,0.012133,2026-05-25T14:25:52.302178,2026-05-25T15:06:32.340661,0.4565,-3.9946,1.78,42.44,24.16,-1.6661,-3.2264,0.4565,6.4,-1.7532,30.32,-0.985,,,32.35,-1.674,,,,,,0.1397,0.1793,-1.4364,-0.9137,-0.9691,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-25T14:24:01,2026-05-25T14:24:05.402531,FAST_EXIT L1,TAKER_FALLBACK,TAKER,True,
7,,XANUSDT,LONG,CLOSED,0.012543,0.012581,0.012568,491.6520871520896,20.0,9833.041743041793,783946.5632657093,STRONG_BUY,0.1403,0.1473,54.12,45.23,18.1182,18.0571,0.6761,0.6807,BULLISH,0.0657,0.0489,21.9674,20.6389,67.8,72.9,45.3,0.0875,61.6,56.4,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,C4,,-0.5,0.9048,0.6438,72.5,22.5,51.1,0.0611,2.0,HEALTHY_BULL,HEALTHY_BULL,,0.018,26.072484644714972,17.77883328018798,1.6194,-0.7206,-4.7e-05,-1.133,0.8935,0.1305,0.0854,,,214365837.380545,,0.0181,,,,,,,,,4.424868784368806,4.43827427060065,8.863143054969456,20.926826349127374,0.21282149406043083,0.21282149406043083,-0.18562784022960901,0.012581,0.012543,0.0,1.1736,0.4924,2026-05-25T14:23:37.192569,2026-05-25T14:22:44.634640,0.8029,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,1.1972,0.4924,False,0.012695,0.012133,2026-05-25T14:25:52.302178,2026-05-25T15:06:32.340661,1.1218,-3.3588,2.24,42.9,24.62,-1.0148,-2.5137,1.1218,6.86,-1.1025,30.78,-0.3292,,,32.81,-1.0228,,,,,,0.2448,0.9624,-0.8793,-0.5205,-0.4328,,,,,,,2026-05-25T14:26:13.591848,0.3565,2026-05-25T14:24:48.498267,0.1332,2026-05-25T14:26:13.591848,0.3565,2026-05-25T14:26:22.698094,0.1571,2026-05-25T14:26:24.720067,0.1571,2026-05-25T14:26:25.730018,0.1173,2026-05-25T14:26:25.730018,0.1173,False,,,,False,,,,,,,,,,,,,2026-05-25T14:22:40,2026-05-25T14:23:37.727452,FAST_EXIT L1,TAKER_FALLBACK,TAKER,True,
