id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
31,,MMTUSDT,SHORT,CLOSED,0.1295,0.1306,0.1305,664.3847326239851,30.0,19931.541978719553,153911.52107119345,STRONG_BUY,0.6498,0.2612,29.69,36.62,21.1639,19.573,0.5609,-0.5577,BEARISH,-0.3365,-0.0561,26.7275,26.3137,36.5,35.3,54.5,0.1405,48.4,53.8,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,C1,,,1.0695,0.9311,17.9,74.4,2.9,1.591,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,0.1523,13.059753661245466,31.85488246916181,0.5752,-0.608,-0.001121,-1.1056,-1.0439,-0.2565,0.0715,,,44165460.6717,,0.1555,,,,,,,,,3.58767755616952,9.045380093354039,12.63305764952356,-181.9357308278348,-0.9128030888030809,0.0,-0.9128030888030809,0.1295,0.1295,0.0,,,,2026-05-26T12:13:02.708597,-0.261,ENDED_NEG,1,0.5,,True,,False,,,,2.0,1.5,C1,False,,,0,,-0.261,-0.8178,False,0.1308,0.1299,2026-05-26T12:13:22.934482,2026-05-26T12:24:21.070282,,,,,,,,,,,,,,,,,,,,,,-0.9124,-0.9124,-0.9124,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-26T12:11:04,2026-05-26T12:13:02.711493,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
30,,GRASSUSDT,LONG,CLOSED,0.5862,0.5893,0.5878,300.4948996798149,20.0,6009.897993596298,10252.299545541278,STRONG_BUY,0.4319,0.1278,59.98,55.04,15.5896,14.8919,0.345,0.3462,BULLISH,0.173,0.0805,18.1293,16.7448,69.3,68.1,44.1,0.1037,49.6,38.1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,C4,,-0.5,1.2547,0.7135,76.9,20.5,84.4,0.6977,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.032,24.833599538157607,15.008630197557846,0.8588,0.0926,-0.001216,0.2499,0.6322,0.2465,-0.0774,2026-05-26T10:27:21.313467,0.09756482429204873,98492849.35246,,0.0555,,,,,,,,,2.704454097118334,2.718756054984364,5.423210152102698,26.35891843907518,0.43859177755032264,0.43859177755032264,-0.14115404298875434,0.5893,0.5862,0.0,1.8334,0.2603,2026-05-26T10:28:05.939307,2026-05-26T10:27:14.246373,1.2805,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,1.8501,0.2603,False,0.5975,0.5795,2026-05-26T10:38:39.692763,2026-05-26T11:12:14.797593,1.8377,-1.233,10.56,44.14,42.6,-0.7894,-0.9941,1.8377,19.39,0.0976,13.31,0.49,,,42.6,-0.7894,,,,,,0.7971,0.0294,0.0465,0.6435,0.4729,,,,,,,2026-05-26T10:29:53.769481,0.0976,2026-05-26T10:29:53.769481,0.0976,2026-05-26T10:29:53.769481,0.0976,2026-05-26T10:29:55.794440,0.0465,2026-05-26T10:29:57.818495,0.0635,2026-05-26T10:29:57.818495,0.0635,2026-05-26T10:30:02.941580,0.0465,False,,,,False,,,,,,,,,,,,,2026-05-26T10:27:14,2026-05-26T10:28:05.946319,FAST_EXIT L1,TAKER_FALLBACK,TAKER,True,
29,,RENDERUSDT,LONG,CLOSED,2.373,2.363,2.365,648.1786217519152,20.0,12963.572435038304,5462.94666457577,STRONG_BUY,0.2909,0.1503,54.17,61.64,19.8085,19.5617,0.1789,0.1792,BULLISH,0.2262,0.0805,18.1293,16.7448,69.3,68.1,44.1,0.1037,49.6,38.1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,C4,,-0.5,1.2547,1.0398,76.9,20.5,65.9,0.2468,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.032,21.860941757823213,13.680333620527405,1.0326,0.3448,-0.001216,0.7902,0.4176,0.2465,-0.0774,,,138409824.5786,,0.0595,,,,,,,,,5.833607595767237,5.809024335776645,11.642631931543882,-66.27209857730284,-0.5112178676780543,0.16273072060681765,-0.5112178676780543,2.379,2.373,0.0,0.9761,0.6697,2026-05-26T10:27:29.244477,2026-05-26T10:28:58.527168,0.1645,NEVER,1,0.5,,True,,False,,,,2.0,1.0,EXT_Ext0.4-0.6_L+Ext_SlowADX_L,False,,,0,,0.221,0.7539,False,2.421,2.353,2026-05-26T10:44:08.192332,2026-05-26T11:10:00.438691,1.9328,-0.9328,14.84,40.71,37.38,-0.0057,-0.4693,1.9328,22.23,0.9214,21.22,1.1321,,,39.4,-0.4693,,,,,,-0.1743,0.0786,0.205,1.6799,1.0478,,,,,,,2026-05-26T10:33:31.410914,0.1207,2026-05-26T10:32:31.652671,0.0786,2026-05-26T10:33:45.548722,0.0786,2026-05-26T10:33:42.519203,0.0786,2026-05-26T10:33:46.557497,0.0786,2026-05-26T10:33:46.557497,0.0786,2026-05-26T10:37:33.754114,0.4157,False,,,,False,,,,,,,,,,,,,2026-05-26T10:26:53,2026-05-26T10:29:17.273427,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
28,,GRASSUSDT,LONG,CLOSED,0.5786,0.5814,0.5812,317.9350208084589,20.0,6358.7004161691775,10989.803691961939,STRONG_BUY,0.3632,0.0952,57.18,55.04,15.5896,14.8919,0.1502,0.1504,BULLISH,0.1448,0.0543,16.7289,15.5803,68.1,64.9,44.2,0.1018,48.9,38.1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,C4,,-0.5,1.144,0.6452,76.9,23.1,72.3,0.6977,4.0,CHOPPY_WEAK,HEALTHY_BULL,,0.0013,25.453681477004697,15.383387811654053,0.8404,0.081,-0.001216,0.2193,0.3797,0.2584,-0.0802,2026-05-26T10:26:12.703166,,98484013.08762,,0.032,,,,,,,,,1.144566074910452,2.875262339928002,4.019828414838454,26.751621922655247,0.4207089526443181,0.4207089526443181,-0.11482595921188507,0.5814,0.5786,0.0,0.5968,0.1625,2026-05-26T10:26:19.995078,2026-05-26T10:25:51.358892,0.0811,NEVER,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,0.6139,0.1625,False,0.5975,0.5814,2026-05-26T10:38:39.692763,2026-05-26T10:26:22.292433,3.2035,0.4209,12.29,0.0,44.33,0.5419,0.6456,3.2035,21.12,1.4406,15.04,1.8381,,,44.33,0.5419,,,,,,1.6135,1.8209,1.3369,1.8209,1.769,,,,,,,2026-05-26T10:29:53.769481,1.4406,2026-05-26T10:29:53.769481,1.4406,2026-05-26T10:29:53.769481,1.4406,2026-05-26T10:29:55.794440,1.3888,2026-05-26T10:29:57.818495,1.4061,2026-05-26T10:29:57.818495,1.4061,2026-05-26T10:30:00.851185,1.3024,False,,,,False,,,,,,,,,,,,,2026-05-26T10:25:33,2026-05-26T10:26:21.963591,FAST_EXIT L1,MAKER,TAKER,True,
27,,INJUSDT,LONG,CLOSED,5.58,5.555,5.558,671.7730329480579,20.0,13435.460658961158,2407.788648559347,STRONG_BUY,0.4321,0.1516,58.02,57.88,20.082,19.3203,0.273,0.2738,BULLISH,0.2751,0.0573,16.7289,15.5803,69.2,64.9,44.2,0.1018,49.1,38.1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,C4,,-0.5,0.8954,0.9093,77.5,20.0,79.4,0.7617,5.0,CHOPPY_WEAK,CHOPPY_WEAK,,0.0046,32.278042068095864,17.386658465009756,0.6725,0.153,5e-05,0.1378,0.5776,0.2853,-0.0792,,,142906389.9146,,-0.0032,,,,,,,,,2.4183829186130086,6.018869674236228,8.437252592849237,-68.63196880683377,-0.510827060931906,0.0,-0.510827060931906,5.582,5.58,0.0,,,,2026-05-26T10:23:56.988947,-0.1337,ENDED_NEG,1,0.5,,True,,False,,,,2.0,1.0,EXT_Ext0.4-0.6_L+Ext_QuietVol_L,False,,,0,,-0.1517,0.8153,False,5.71,5.555,2026-05-26T11:02:25.353772,2026-05-26T10:24:02.407192,2.2667,-0.511,38.38,0.0,,,1.7112,,1.45,-0.3139,,,,,,,,,,,,-0.4035,-0.3677,0.5284,0.851,1.4245,,,,,,,2026-05-26T10:29:17.336772,0.1879,2026-05-26T10:29:16.326180,0.2417,2026-05-26T10:29:17.336772,0.1879,2026-05-26T10:29:18.348072,0.1879,2026-05-26T10:29:26.458723,0.17,2026-05-26T10:32:31.652671,0.7255,2026-05-26T10:29:26.458723,0.17,False,,,,False,,,,,,,,,,,,,2026-05-26T10:22:26,2026-05-26T10:24:01.750927,PATTERN_FIXED_SL L1,MAKER,TAKER,True,
26,,TAOUSDT,LONG,CLOSED,288.59000000000003,287.32,287.5,335.886516474029,20.0,6717.730329480581,23.277765443988287,STRONG_BUY,0.5059,0.1821,61.14,59.15,18.389,17.2312,0.3333,0.3344,BULLISH,0.2933,0.0573,16.7289,15.5803,69.2,64.9,44.2,0.1018,49.1,38.1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,C4,,-0.5,0.8954,1.1006,77.5,20.0,77.6,1.1579,2.0,CHOPPY_WEAK,CHOPPY_WEAK,,0.0046,25.449821566882825,12.693963026884791,0.6729,0.4201,5e-05,0.7223,0.6764,0.2853,-0.0792,,,201551017.67,,-0.0032,,,,,,,,,1.2091914593065045,3.009675405315021,4.218866864621526,-33.781628978487554,-0.5028726567102251,0.0,-0.5028726567102251,288.59000000000003,288.59000000000003,0.0,,,,2026-05-26T10:24:42.056281,0.0087,RECOVERED,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,0.0053,0.7356,False,290.39,286.96,2026-05-26T10:40:24.904434,2026-05-26T10:25:01.230198,0.5607,-0.6278,15.71,0.31,44.98,-0.3471,-0.3437,0.5607,0.79,-0.3991,22.78,0.0444,,,,,,,,,,-0.316,-0.115,0.086,0.3078,-0.1219,,,,,,,2026-05-26T10:40:57.258911,0.3008,2026-05-26T10:28:16.078473,0.0756,2026-05-26T10:41:01.311072,0.235,2026-05-26T10:33:25.349097,0.0479,2026-05-26T10:45:41.158033,0.0895,2026-05-26T10:33:22.318645,0.0375,2026-05-26T10:33:22.318645,0.0375,False,,,,False,,,,,,,,,,,,,2026-05-26T10:22:24,2026-05-26T10:24:42.060570,PATTERN_FIXED_SL L1,MAKER,TAKER,True,
25,,SUIUSDT,LONG,CLOSED,1.039,1.0439,1.0437,671.7730329480579,20.0,13435.460658961158,12931.14596627638,STRONG_BUY,0.2843,0.1284,63.16,53.28,17.9591,17.1726,0.3051,0.306,BULLISH,0.1514,0.0573,16.7289,15.5803,69.2,64.9,44.2,0.1018,49.1,38.1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,C4,,-0.5,0.8954,1.683,77.5,20.0,81.3,0.7865,3.0,CHOPPY_WEAK,HEALTHY_BULL,,0.0046,27.286241912917752,15.287476008590273,0.3694,0.0449,5e-05,0.1333,0.5365,0.2853,-0.0792,2026-05-26T10:26:24.169237,,209253486.66376,,0.032,,,,,,,,,2.4183829186130086,6.0744704733881605,8.49285339200117,54.86976184275473,0.4083950914340834,0.4083950914340834,-0.15920307988449373,1.0439,1.039,0.0,0.6029,0.4623,2026-05-26T10:27:11.621883,2026-05-26T10:22:50.397112,0.1034,NEVER,1,0.5,,True,,False,,,,2.0,1.0,EXT_Ext0.4-0.6_L,False,,,0,,0.6125,0.4623,True,1.0536,1.0439,2026-05-26T10:40:50.184574,2026-05-26T10:27:14.111862,1.3422,0.4086,13.6,0.0,,,0.7455,,20.25,0.8513,17.22,0.9572,,,,,,,,,,0.6492,0.7743,0.7936,1.1978,0.938,,,,,,,,,2026-05-26T10:31:27.959940,0.8032,2026-05-26T10:51:50.858876,0.8995,2026-05-26T10:31:32.000695,0.8513,2026-05-26T10:51:36.726114,0.9476,2026-05-26T10:31:45.134017,0.7936,2026-05-26T10:32:51.855017,0.6877,False,,,,False,,,,,,,,,-0.0149,3.13,,,2026-05-26T10:22:22,2026-05-26T10:27:13.769751,FAST_EXIT L2,MAKER,TAKER,True,
24,,PENGUUSDT,SHORT,CLOSED,0.008599,0.008635,0.008633,791.7650483343782,20.0,15835.300966687564,1841528.1970796096,STRONG_BUY,0.3237,0.091,33.84,41.25,26.6749,26.2136,0.1848,-0.1845,BEARISH,-0.1189,-0.0512,25.3166,24.4652,29.9,32.9,36.2,0.09,37.3,44.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,-0.5,1.0591,1.186,10.5,81.6,14.2,0.4613,5.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.0652,15.37486150332775,30.296751809733568,0.2791,-0.129,-8.1e-05,-0.2354,-0.398,-0.1555,-0.096,,,45710183.174051,,-0.0777,,,,,,,,,7.125885435009404,7.155718191802093,14.281603626811496,-80.57661872167665,-0.5088417257820627,0.0,-0.5088417257820627,0.008599,0.008595,0.0,,,,2026-05-26T07:45:01.972197,-0.1539,ENDED_NEG,1,0.5,,True,,False,,,,2.0,1.0,UNMATCHED,False,,,0,,-0.1655,-0.0993,True,0.008717,0.008628,2026-05-26T08:11:22.706599,2026-05-26T07:46:14.239986,-0.4272,-1.4623,26.34,1.2,4.39,-0.7064,-0.9506,0.0,0.37,-0.5203,4.39,-0.7064,,,5.4,-0.8808,2026-05-26T07:56:02.556393,-0.8226,,,,-0.4854,-0.5203,-0.811,-0.811,-1.218,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,-0.3576,4.05,2026-05-26T07:38:16,2026-05-26T07:45:02.056336,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
23,,SUIUSDT,SHORT,CLOSED,1.024,1.0282,1.028,395.88252416718916,20.0,7917.650483343783,7732.080550140413,STRONG_BUY,0.4844,0.1753,27.15,36.2,27.0186,25.6515,0.349,-0.3478,BEARISH,-0.2093,-0.0512,25.3166,24.4652,29.9,32.9,36.2,0.09,37.3,44.3,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,C8,0.1,-0.5,1.0591,1.44,10.5,81.6,3.8,1.3671,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.0652,14.722705365785952,38.61137182139869,0.3386,-0.0083,-8.1e-05,-0.0967,-0.7093,-0.1555,-0.096,,,205151149.33633,,-0.0749,,,,,,,,,3.5629427175047024,3.5775563497444676,7.14049906724917,-39.61523737783877,-0.5003408203124983,0.0,-0.5003408203124983,1.024,1.0236,0.0,,,,2026-05-26T07:42:30.380476,-0.0188,ENDED_NEG,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,-0.0286,-0.359,False,1.0388,1.0274,2026-05-26T08:11:57.897465,2026-05-26T07:42:51.126789,-0.422,-1.5353,29.45,0.34,11.95,-1.174,-0.9689,0.0,5.91,-0.5002,2.9,-0.5783,,,11.95,-1.174,2026-05-26T07:56:01.534623,-0.9982,,,,-0.4806,-0.4709,-0.5197,-0.8322,-1.4377,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,-0.4222,4.38,2026-05-26T07:37:56,2026-05-26T07:42:30.660156,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
22,,DOTUSDT,LONG,CLOSED,1.26,1.254,1.255,412.57697843468407,20.0,8251.53956869368,6548.840927534668,VERY_STRONG,0.243,0.0731,63.01,59.84,29.2136,29.1739,0.1946,0.195,BULLISH,0.1187,0.0324,23.1985,22.4843,59.8,60.1,57.4,0.0864,45.5,44.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,UNMATCHED,,-0.5,0.7984,0.7135,57.9,34.2,81.2,0.0397,2.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0905,26.4946010928883,14.351117805821573,0.3089,0.2326,-7.3e-05,0.383,0.3421,0.048,-0.0852,,,52154331.276,,0.0745,2026-05-26T07:03:16.991311,-0.4866,,,,,,,3.7131928059121564,3.695510935407813,7.40870374131997,-46.70174930652801,-0.5659761904761909,0.0,-0.5659761904761909,1.261,1.26,0.0,,,,2026-05-26T07:03:16.995410,-0.1434,ENDED_NEG,1,0.5,,True,,False,,,,2.0,1.0,UNMATCHED,True,-0.4866468253968346,,0,,-0.2233,0.1174,True,1.255,1.243,2026-05-26T07:04:18.870112,2026-05-26T07:16:54.874695,-0.4868,-1.4392,0.16,12.76,1.23,-0.5662,-0.8837,0.0,0.01,-0.5662,6.27,-0.8837,,,1.23,-0.5662,2026-05-26T07:04:09.764581,-0.5662,,,,-0.6456,-0.6456,-0.7249,-1.2805,-1.3598,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-26T06:55:49.504282,-0.328,2026-05-26T06:56:50.573827,-0.2487,,,-0.328,10.1,,,2026-05-26T06:52:15,2026-05-26T07:04:08.848819,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
