id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
27,,AAVEUSDT,SHORT,CLOSED,85.65,85.54,85.54,777.5893067509111,20.0,15551.786135018221,181.57368517242523,STRONG_BUY,0.3109,0.0875,28.41,34.46,22.8097,21.258,0.151,-0.1507,BEARISH,-0.1296,-0.0333,26.9994,27.0427,37.7,37.2,32.0,0.1093,32.0,33.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,W2,,,0.6443,0.8818,37.8,48.6,3.2,1.5517,2.0,HEALTHY_BEAR,BEAR_EXHAUSTED,,-0.2124,14.212713046065161,35.641028770457936,0.202,-0.2121,-0.000432,-0.3186,-0.3539,-0.0696,-0.259,,,64493327.962,,-0.211,,,,,,,,,6.9983037607581995,6.989315863342164,13.987619624100365,5.985485744866306,0.03848744892002267,0.14361354349095484,-0.10168067717453695,85.65,85.45,0.0,0.1878,-0.2845,2026-05-26T22:51:33.261957,2026-05-26T22:42:49.156720,0.151,NEVER,1,0.45,,True,,False,,,,2.0,1.0,W2,False,,,0,,0.0823,-0.2845,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-26T22:42:32,2026-05-26T22:59:02.934981,MANUAL,TAKER_FALLBACK,TAKER,True,
26,,PENGUUSDT,SHORT,CLOSED,0.008481,0.008523,0.008523,409.62060874330507,20.0,8192.412174866102,965972.4295326142,STRONG_BUY,0.3433,0.1002,33.63,34.73,27.8715,26.0966,0.1131,-0.113,BEARISH,-0.1531,-0.0456,20.9567,19.5945,35.5,35.5,46.9,0.1091,32.8,33.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.8874,1.2059,10.8,78.4,22.7,1.7749,5.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1608,11.573909314114902,35.61392921779618,0.2888,-0.3294,-0.000467,-0.5582,-0.3349,-0.1279,-0.2527,,,64350182.298271,,-0.1992,2026-05-26T22:22:39.815733,-0.4675,,,2026-05-26T22:30:08.427296,-0.5619,,,3.6865854786897456,3.7048423576079115,7.391427836297657,-47.962269876666134,-0.5854474708171045,0.03976005188068143,-0.5854474708171045,0.008481,0.00847,0.0,,,,2026-05-26T22:30:08.962983,-0.2104,ENDED_NEG,1,0.45,,False,,False,,,,1.0,1.0,,False,-0.46748378728922346,,0,,-0.152,0.1603,True,0.008523,0.008457,2026-05-26T22:30:12.253635,2026-05-26T22:56:30.835244,,,,,,,,,,,,,,,,,,,,,,-0.373,-0.3966,-0.4201,-0.1961,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-26T22:15:26.049973,-0.1608,2026-05-26T22:15:42.181374,-0.0428,,,-0.2669,6.94,-0.3141,7.94,2026-05-26T22:11:12,2026-05-26T22:30:11.919591,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
25,,EIGENUSDT,SHORT,CLOSED,0.2449,0.2468,0.2466,409.62060874330507,20.0,8192.412174866102,33452.070946778695,VERY_STRONG,0.5062,0.1773,34.31,38.14,32.8464,31.9707,0.4323,-0.4305,BEARISH,-0.2632,-0.0363,18.9932,17.4722,41.9,37.4,47.2,0.1042,34.5,33.4,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,,,,0.8163,1.0308,8.1,81.1,4.3,0.8758,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1411,12.576754913756178,32.526872446331446,0.5806,-0.5938,-0.000467,-0.9917,-0.7679,-0.07,-0.2428,,,51818180.3913,,-0.1888,2026-05-26T22:21:06.584779,-0.8253,,,,,,,3.6865854786897456,3.7151869993492412,7.401772478038987,-70.96070727691801,-0.8661759902000756,0.032554103715800226,-0.8661759902000756,0.2449,0.2446,0.0,,,,2026-05-26T22:21:20.571384,-0.2365,ENDED_NEG,1,0.45,,True,,False,,,,1.0,1.0,,False,-0.8253246222948127,,0,,-0.2365,0.0757,True,0.2497,0.2468,2026-05-26T22:36:35.795246,2026-05-26T22:21:20.915257,,,,,,,,,,,,,,,,,,,,,,-0.9067,-1.1925,-1.5192,-1.8867,-1.1108,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-26T22:15:32.090075,-0.5394,2026-05-26T22:15:42.177415,-0.376,,,-0.5394,12.36,,,2026-05-26T22:01:52,2026-05-26T22:21:20.574363,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
24,,TIAUSDT,LONG,CLOSED,0.47100000000000003,0.4725,0.4726,798.8873984186205,20.0,15977.747968372409,33923.03177998388,STRONG_BUY,0.3055,0.1337,58.15,58.61,15.5295,14.6812,0.1356,0.1357,BULLISH,0.1628,0.0274,20.7472,22.3193,55.1,55.1,51.3,0.1265,36.1,35.3,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,C4,,,0.3191,0.4688,62.2,18.9,90.4,0.8484,5.0,HEALTHY_BULL,CHOPPY_WEAK,,-0.2077,24.88456867585842,14.440537387802587,0.521,-0.2658,-0.000467,-0.3329,0.4001,0.0732,-0.2856,2026-05-26T20:17:16.894092,0.08555307855625867,89051715.6088,,-0.1346,,,,,,,,,2.875994634307034,7.2128846322190725,10.088879266526106,40.79566840344788,0.2553280254776955,0.6160997876857709,-0.25399681528662676,0.4742,0.47100000000000003,0.0,0.5046,0.3064,2026-05-26T20:29:29.577733,2026-05-26T20:13:00.778264,-0.0627,RECOVERED,2,0.9,,True,,False,,,,2.0,1.0,EXT_Ext0.4-0.6_L+Ext_QuietVol_L,False,,0.2553280254776955,0,,0.039,0.2911,True,0.4773,0.4702,2026-05-26T20:59:44.370252,2026-05-26T21:14:12.853802,1.2746,-0.2329,28.72,43.2,36.56,0.0856,0.0856,1.2746,4.52,0.0856,32.54,0.4678,,,39.56,0.1281,2026-05-26T20:35:04.900134,0.1493,,,,0.2767,0.213,0.0432,0.6164,0.9561,2026-05-26T20:28:57.252889,,,,,,2026-05-26T21:02:39.133686,0.7438,2026-05-26T20:31:04.563739,0.2342,2026-05-26T20:31:14.621453,0.1918,2026-05-26T20:31:04.563739,0.2342,2026-05-26T20:31:14.621453,0.1918,2026-05-26T20:31:02.550550,0.2767,2026-05-26T20:31:02.550550,0.2767,False,,,,False,,,2026-05-26T20:20:06.490432,0.2341,2026-05-26T20:30:06.097789,0.4251,,,-0.0418,5.01,,,2026-05-26T20:10:34,2026-05-26T20:31:00.660227,TRAILING_STOP L2,MAKER,TAKER,True,
23,,EDENUSDT,SHORT,CLOSED,0.06739,0.06696,0.06716,401.0467716114391,20.0,8020.935432228782,119022.63588408935,STRONG_BUY,0.7773,0.2202,34.56,37.65,28.1879,28.1836,0.6719,-0.6675,BEARISH,-0.3141,-0.0804,31.463,30.5761,34.6,38.9,44.3,0.196,29.4,30.6,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,,,,0.5101,0.4981,2.7,94.6,12.4,0.0043,5.0,STRONG_BEAR,STRONG_BEAR,,-0.4298,17.14395803341491,30.639917557537487,0.9063,-0.9118,5e-05,-1.603,-1.125,-0.2428,-0.3024,2026-05-26T19:04:37.976855,0.08814809318891377,69996620.45679,,-0.4281,,,,,,,,,3.609420944502952,3.5863900644593807,7.195811008962332,43.98392242119607,0.5483640005935596,1.008579907998226,-0.3423764653509268,0.06739,0.06665,0.0,1.3343,-0.4344,2026-05-26T19:10:45.408966,2026-05-26T19:03:32.042459,0.2297,NEVER,1,0.45,,True,,False,,,,1.0,1.0,,False,,0.5483640005935596,0,,0.8652,-0.4344,True,0.06741,0.06642,2026-05-26T19:15:03.194561,2026-05-26T19:55:41.670500,1.3494,-0.1197,4.29,44.93,,,1.3049,,,,26.78,0.4739,,,,,2026-05-26T19:41:05.836898,0.4739,,,,0.5629,0.2661,0.3255,0.0584,0.37,2026-05-26T19:10:45.248059,,2026-05-26T19:10:45.408993,,,,2026-05-26T19:11:52.950279,0.2365,2026-05-26T19:11:51.935961,0.2661,2026-05-26T19:11:52.950279,0.2365,2026-05-26T19:12:15.317113,0.2068,2026-05-26T19:12:15.317113,0.2068,2026-05-26T19:12:15.317113,0.2068,2026-05-26T19:12:45.620031,0.281,False,,,,False,,,,,,,,,,,-0.2088,8.01,2026-05-26T19:00:32,2026-05-26T19:10:45.417824,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
22,,ERAUSDT,SHORT,CLOSED,0.1355,0.136,0.136,802.0935432228782,20.0,16041.870864457564,118390.19088160562,VERY_STRONG,0.3541,0.0989,34.82,43.55,30.513,29.848,0.3363,-0.3352,BEARISH,-0.1695,-0.0635,30.1805,30.2306,40.6,36.9,44.1,0.1942,31.8,30.6,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,W1+W2,,,0.6074,0.771,2.7,94.6,16.1,0.665,5.0,STRONG_BEAR,STRONG_BEAR,,-0.4076,14.688590691603014,33.59566161398433,0.4647,-0.5101,5e-05,-0.7976,-0.5351,-0.1263,-0.2851,2026-05-26T19:15:16.562469,0.08466789667897101,62785414.9772,,-0.3979,2026-05-26T19:01:40.685361,-0.506,,,2026-05-26T19:01:56.137585,-0.6537,,,2.8875367556023614,7.245479681954264,10.133016437556625,-69.3281118783595,-0.43216974169741723,0.3061697416974173,-0.6536715867158636,0.1355,0.135,0.0,0.4668,-0.1543,2026-05-26T19:15:16.581996,2026-05-26T19:01:56.139751,-0.3231,ENDED_NEG,1,0.45,,False,,False,,,,2.0,1.0,W1+W2,False,-0.5060036900368926,,0,,-0.1486,0.1234,True,0.1372,0.136,2026-05-26T19:45:15.379523,2026-05-26T19:27:33.869513,-0.432,-1.3176,17.69,0.0,0.01,-0.432,-0.6534,0.0,0.01,-0.432,12.98,-0.801,,,0.01,-0.432,2026-05-26T19:41:06.843143,-0.8748,,,,-0.5058,-0.5058,-0.6534,-0.8748,-1.17,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.4322,17.39,-0.2107,7.05,2026-05-26T18:48:09,2026-05-26T19:27:33.541597,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
21,,ONDOUSDT,SHORT,CLOSED,0.41050000000000003,0.4093,0.4091,783.7643406164991,20.0,15675.286812329981,38185.83876328862,VERY_STRONG,0.5211,0.1149,33.67,40.72,33.2031,32.6363,0.3412,-0.3401,BEARISH,-0.2182,-0.0307,29.3016,30.2937,42.6,44.1,38.1,0.1857,33.6,30.6,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,W1+W2+W4,,,0.5192,0.2574,5.3,78.9,37.0,0.5668,3.0,STRONG_BEAR,STRONG_BEAR,,-0.3879,13.29297123543492,31.442868970500097,0.6205,-0.5583,-0.000467,-0.8478,-0.6223,-0.067,-0.277,2026-05-26T18:43:12.470465,,217951413.51891,,-0.4061,,,,,,,,,2.8215516262193967,7.033258712616315,9.854810338835712,35.96819617711195,0.229457978075526,0.5950304506699233,-0.1848574908647856,0.41050000000000003,0.4078,0.0,1.0137,-0.3563,2026-05-26T18:43:58.579769,2026-05-26T18:41:37.303369,0.1948,NEVER,2,0.9,,True,,False,,,,2.0,1.0,W1+W2+W4,False,,0.229457978075526,0,,0.4317,-0.5679,False,0.4115,0.4058,2026-05-26T18:48:12.008540,2026-05-26T19:26:13.639456,1.0819,-0.3066,2.61,40.64,,,0.9114,,5.58,-0.2092,2.51,-0.2579,,,,,,,,,,0.0101,-0.0874,-0.1604,0.3024,0.8383,2026-05-26T18:43:58.560715,,,,,,2026-05-26T18:46:14.055578,0.0588,2026-05-26T18:45:39.750736,0.205,2026-05-26T18:45:39.750736,0.205,2026-05-26T18:45:40.762385,0.205,2026-05-26T18:45:44.798834,0.2293,2026-05-26T18:45:44.798834,0.2293,2026-05-26T18:45:48.845119,0.1806,False,,,,False,,,,,,,,,,,,,2026-05-26T18:41:04,2026-05-26T18:45:34.971516,TRAILING_STOP L2,MAKER,TAKER,True,
20,,ERAUSDT,SHORT,CLOSED,0.1353,0.1362,0.1361,860.4701422656881,30.0,25814.104267970644,190791.60582387765,VERY_STRONG,0.6795,0.1511,30.2,34.55,34.5116,33.2963,0.2087,-0.2083,BEARISH,-0.2606,-0.1194,34.155,33.1672,33.4,32.6,24.2,0.2112,30.9,30.6,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,True,C1,,,0.7981,1.3072,7.9,86.8,14.7,1.2153,4.0,STRONG_BEAR,STRONG_BEAR,,-0.4928,12.56733690638468,38.01631528790874,0.4544,-0.648,-0.000467,-0.9905,-0.6016,-0.2403,-0.289,,,63436975.9353,,-0.4874,,,,,,,,,11.616346920586789,11.69361752094546,23.30996444153225,-195.0224096830191,-0.7554878048780369,0.0,-0.7554878048780369,0.1353,0.1353,0.0,,,,2026-05-26T18:09:13.173502,-0.2369,ENDED_NEG,1,0.45,,True,,False,,,,2.0,1.5,C1,False,,,0,,-0.2369,-0.0799,True,0.137,0.135,2026-05-26T18:23:14.623691,2026-05-26T18:46:43.270578,0.1317,-1.3465,14.02,37.5,8.48,-0.9769,-0.3856,0.0,0.01,-0.7552,14.52,-1.2726,,,8.48,-0.9769,2026-05-26T18:25:17.326406,-1.2726,,,,-0.6813,-0.6813,-0.7552,-1.2726,-0.7552,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.5337,2.05,,,2026-05-26T18:03:33,2026-05-26T18:09:13.180514,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
19,,BTCUSDT,SHORT,CLOSED,75914.1,76108.7,76108.7,391.1187058414783,20.0,7822.3741168295655,0.10304244029540711,STRONG_BUY,0.2663,0.093,28.74,36.49,26.3176,24.9665,0.2535,-0.2528,BEARISH,-0.1314,-0.1317,26.3176,24.9665,28.7,31.9,47.4,0.2084,32.3,40.1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,W1,,,1.4842,1.493,10.5,89.5,3.9,1.3511,4.0,HEALTHY_BEAR,STRONG_BEAR,,-0.352,15.528387457665433,39.81320721729941,0.2084,-0.1894,-0.000591,-0.3517,-0.4301,-0.4328,-0.2256,,,11278733405.65,,-0.4401,2026-05-26T18:17:51.440845,-0.2941,,,,,,,3.5200683525733045,3.5290917790699727,7.049160131643277,-27.101219013128603,-0.3464577199755925,0.04784931916469512,-0.38480776957112983,75914.1,75809.5,0.0,,,,2026-05-26T17:49:31.127523,-0.1555,ENDED_NEG,1,0.5,,False,,False,,,,1.0,1.0,,False,-0.2941382365067809,,0,,-0.0833,0.0823,True,76258.9,75766.5,2026-05-26T18:22:13.178652,2026-05-26T18:58:40.934394,0.1044,-0.5442,1.47,37.93,0.01,-0.3462,0.0403,0.0,0.01,-0.3462,41.8,0.0102,,,0.01,-0.3462,2026-05-26T18:25:18.335110,-0.5011,,,,-0.4342,-0.4554,-0.5098,-0.3338,-0.1108,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-26T17:49:12.796271,-0.2586,2026-05-26T17:49:28.906836,-0.3214,,,-0.2032,14.14,-0.1935,15.14,2026-05-26T17:30:08,2026-05-26T18:20:44.527745,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
18,,MMTUSDT,SHORT,CLOSED,0.1274,0.1263,0.1261,337.2339533690647,20.0,6744.679067381294,52940.96599200387,VERY_STRONG,0.4017,0.0999,32.89,41.02,31.9209,31.4355,0.3961,-0.3945,BEARISH,-0.1562,-0.0356,23.227,23.3397,40.9,43.2,42.0,0.1959,37.8,40.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,W2,,,0.6442,0.7884,35.9,53.8,4.8,0.4854,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.2654,13.718783633820724,30.700816970890898,0.5266,-0.4515,-0.000591,-0.7186,-0.6218,-0.1233,-0.181,2026-05-26T17:19:41.403861,0.06705651491366225,47460866.5359,,-0.3365,,,,,,,,,3.035105580321582,3.0088998021555393,6.044005382477121,52.19105720872806,0.7738108320251313,1.3235086342229383,-0.24705651491364047,0.1274,0.1256,0.0,1.2462,-0.859,2026-05-26T17:25:43.353544,2026-05-26T17:19:02.139847,0.3174,NEVER,3,1.5,,True,,False,,,,2.0,1.0,W2,True,,0.7738108320251313,0,,0.685,-0.859,False,0.1269,0.1244,2026-05-26T17:57:41.310726,2026-05-26T17:33:18.829404,2.2648,0.3025,31.64,7.27,39.56,0.381,0.4595,0.8519,23.92,0.5379,,,,,39.56,0.381,,,,,,0.9304,1.2444,1.6368,1.4799,0.5379,2026-05-26T17:23:53.350974,,2026-05-26T17:25:38.934848,,,,2026-05-26T17:51:12.648092,0.4595,2026-05-26T17:51:16.690510,0.4595,2026-05-26T17:51:16.690510,0.4595,2026-05-26T17:56:32.179312,0.4595,2026-05-26T17:56:32.179312,0.4595,2026-05-26T17:56:35.216534,0.4595,2026-05-26T17:56:37.239041,0.4595,False,,,,False,,,,,,,,,,,,,2026-05-26T17:18:28,2026-05-26T17:26:02.631227,TRAILING_STOP L3,TAKER_FALLBACK,TAKER,True,
