id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
27,,NILUSDT,LONG,CLOSED,0.06947,0.06977,0.0698,290.89800701182867,20.0,5817.960140236573,83747.8068264945,STRONG_BUY,0.311,0.1542,57.21,59.3,21.8532,20.7494,0.2006,0.201,BULLISH,0.2094,0.025,27.1461,26.7022,51.8,55.1,50.4,0.1411,44.0,39.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.814,0.9472,75.7,16.2,75.0,1.1038,5.0,HEALTHY_BULL,CHOPPY_FLAT,,0.0025,25.1930016939314,11.800559453515913,0.7323,-0.3028,-3.3e-05,-0.4019,0.4908,0.0314,-0.0721,2026-05-27T12:48:45.324542,,52273390.505859,,-0.008,,,,,,,,,2.618082063106458,2.6293880170280346,5.247470080134493,19.876871967813415,0.3416467539945224,0.7157406074564432,-0.27704692673097037,0.07003,0.06947,0.0,1.1031,0.6782,2026-05-27T12:49:23.394252,2026-05-27T12:46:49.647055,0.1574,NEVER,2,0.9,,True,,False,,,,1.0,1.0,UNMATCHED,False,,0.3416467539945224,0,,0.5243,0.8881,False,0.06995,0.06848,2026-05-27T12:55:07.997519,2026-05-27T13:20:00.936649,0.6009,-1.5151,4.7,29.58,17.11,-0.5506,-0.7378,0.6009,5.06,0.2411,2.03,0.0539,,,,,2026-05-27T12:50:26.549607,0.2987,,,,0.3274,-0.018,0.3131,-0.1476,-0.9681,2026-05-27T12:48:56.785004,,,,,,2026-05-27T12:50:30.643299,0.2123,2026-05-27T12:50:27.572183,0.2411,2026-05-27T12:50:27.572183,0.2411,2026-05-27T12:50:31.674538,0.1835,2026-05-27T12:50:34.735975,0.1835,2026-05-27T12:50:35.755334,0.1979,2026-05-27T12:50:57.144825,0.2123,False,,,,False,,,2026-05-27T12:46:58.669108,-0.1763,,,,,-0.09,0.02,,,2026-05-27T12:46:25,2026-05-27T12:50:25.725358,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
26,,AVAXUSDT,LONG,CLOSED,9.203,9.169,9.168,366.7150458763657,20.0,7334.300917527315,796.9467475309481,VERY_STRONG,0.2133,0.0946,63.76,66.6,24.8737,23.3535,0.1335,0.1337,BULLISH,0.135,0.0251,24.9364,24.2256,53.9,58.4,34.1,0.1415,44.5,39.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,1.3566,1.5253,75.7,18.9,65.6,1.5201,4.0,HEALTHY_BULL,HEALTHY_BEAR,,-0.0243,39.23785679411862,15.01972781372382,0.2404,0.0273,-3.3e-05,0.0984,0.3024,0.0754,-0.0704,,,97993120.241,,-0.0615,2026-05-27T12:55:50.202533,-0.2529,,,2026-05-27T13:04:13.109961,-0.3289,,,3.3004354128872917,3.2882421276500686,6.58867754053736,-33.684866956588735,-0.4592784961425505,0.14894490926871937,-0.5570286862979383,9.225,9.203,0.0,0.3417,0.3167,2026-05-27T12:39:46.174184,2026-05-27T13:05:26.783299,-0.3297,ENDED_NEG,1,0.45,,False,,False,,,,1.0,1.0,W6,False,-0.2529169835922937,,0,,-0.1202,-0.2524,True,9.177,9.076,2026-05-27T13:05:59.918321,2026-05-27T13:43:54.047062,-0.3725,-1.47,0.46,38.36,0.0,-0.4594,-1.2092,0.0,2.0,-0.4812,4.0,-0.6985,,,0.0,-0.4594,2026-05-27T13:05:32.553021,-0.4594,,,,-0.4594,-0.4812,-0.6768,-0.6659,-0.905,,,,,2026-05-27T12:56:01.153893,-0.2421,,,,,,,,,,,,,,,False,,,,False,,,2026-05-27T12:35:37.526509,-0.2095,2026-05-27T12:36:39.405088,-0.014,2026-05-27T12:56:01.153705,-0.2421,0.0078,12.03,-0.1769,14.38,2026-05-27T12:34:04,2026-05-27T13:05:31.977317,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
25,,SOLUSDT,LONG,CLOSED,84.199,83.92,83.92,366.7150458763657,20.0,7334.300917527315,87.10674613151362,VERY_STRONG,0.1531,0.0702,61.29,63.77,22.08,20.647,0.1129,0.113,BULLISH,0.1058,0.0251,24.9364,24.2256,53.9,58.4,34.1,0.1415,44.5,39.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,1.3566,1.9174,75.7,18.9,60.2,1.433,3.0,HEALTHY_BULL,HEALTHY_BEAR,,-0.0243,37.5251381430826,15.812155966381797,0.2614,0.0372,-3.3e-05,0.0979,0.2336,0.0754,-0.0704,,,1433666707.9632,,-0.0281,2026-05-27T12:47:24.616280,-0.1924,,,2026-05-27T12:48:29.983603,-0.2636,,,1.3201741651549168,3.2894991609104802,4.609673326065397,-28.91245549675738,-0.3942087435717721,0.1874840318768614,-0.4298225869665881,84.41,84.199,0.0,0.3462,0.204,2026-05-27T12:39:39.379007,2026-05-27T12:55:51.913351,-0.2768,ENDED_NEG,1,0.45,,False,,False,,,,1.0,1.0,W6,False,-0.19239696433448694,,0,,-0.1619,-0.1683,True,84.01,83.06,2026-05-27T13:02:46.940021,2026-05-27T13:41:19.635016,-0.2875,-1.4157,6.29,44.84,0.0,-0.3944,-1.3564,0.0,0.0,-0.3944,,,,,0.0,-0.3944,2026-05-27T12:56:29.752247,-0.3944,,,,-0.4181,-0.3825,-0.335,-0.6913,-0.7507,,,,,2026-05-27T12:56:02.204544,-0.3942,,,,,,,,,,,,,,,False,,,,False,,,2026-05-27T12:35:37.524981,-0.1924,2026-05-27T12:36:39.402065,0.0094,2026-05-27T12:56:02.204346,-0.3942,-0.0262,12.36,0.0094,10.36,2026-05-27T12:33:44,2026-05-27T12:56:29.201110,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
24,,1000LUNCUSDT,LONG,CLOSED,0.09190000000000001,0.09095,0.09106,366.7150458763657,20.0,7334.300917527315,79807.40933109155,STRONG_BUY,0.3921,0.1682,59.46,55.72,15.4272,14.8989,0.3955,0.3971,BULLISH,0.1746,0.0309,24.9364,24.2256,58.3,58.4,34.1,0.1385,46.2,39.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,1.221,1.0169,78.4,13.5,95.8,0.5283,5.0,HEALTHY_BULL,CHOPPY_FLAT,,-0.0179,20.756009031056983,13.188013054429401,0.7323,0.1942,-3.3e-05,0.4392,0.7088,0.1279,-0.0641,,,61658927.27663,,-0.0314,2026-05-27T12:34:51.627075,-0.7047,,,2026-05-27T12:36:07.678683,-0.7591,,,1.3201741651549168,3.2663177453982497,4.586491910553167,-80.40353077509064,-1.0962671381936957,0.0,-1.0962671381936957,0.09190000000000001,0.09190000000000001,0.0,,,,2026-05-27T12:36:10.792234,-0.5652,ENDED_NEG,1,0.45,,True,,False,,,,1.0,1.0,UNMATCHED,False,-0.7047132752992461,,0,,-0.5652,0.0196,True,0.09131,0.08997,2026-05-27T13:00:15.106455,2026-05-27T13:15:42.856031,-0.705,-2.1631,24.07,39.53,0.93,-1.2164,-1.6517,0.0,0.01,-1.1294,31.35,-1.5211,,,4.93,-1.0423,2026-05-27T12:36:11.746387,-1.1294,,,,-1.1838,-1.1185,-1.0423,-1.3035,-1.1838,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-27T12:35:37.523478,-0.6503,,,,,-0.6286,2.38,,,2026-05-27T12:32:42,2026-05-27T12:36:10.794698,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
23,,XRPUSDT,LONG,CLOSED,1.3338,1.3321,1.3321,366.7150458763657,20.0,7334.300917527315,5498.80110775777,VERY_STRONG,0.135,0.0712,62.32,63.23,22.5346,21.1805,0.1164,0.1166,BULLISH,0.093,0.0309,24.9364,24.2256,58.3,58.4,34.1,0.1385,46.2,39.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,1.221,1.7883,78.4,13.5,61.7,1.3541,3.0,HEALTHY_BULL,HEALTHY_BEAR,,-0.0179,38.558529991585885,16.471043335609885,0.2047,-0.0327,-3.3e-05,0.0046,0.2357,0.1279,-0.0641,,,502417459.6552,,-0.0345,2026-05-27T12:48:28.813674,-0.1949,,,2026-05-27T12:55:50.216030,-0.2174,,,3.3004354128872917,3.2962288300398566,6.596664242927148,-15.944626126115548,-0.21739803568751195,0.13482006297794957,-0.2848440545809085,1.3368,1.3338,0.0,0.2761,0.2103,2026-05-27T12:39:44.045457,2026-05-27T12:59:25.065855,-0.1642,ENDED_NEG,1,0.45,,False,,False,,,,1.0,1.0,W6,False,-0.1949160293897187,,0,,-0.0544,-0.1121,True,1.3327,1.318,2026-05-27T13:00:55.748255,2026-05-27T13:43:53.037643,-0.1725,-1.2746,0.39,43.35,0.0,-0.2175,-1.0497,0.0,1.99,-0.2025,9.0,-0.6298,,,0.0,-0.2175,2026-05-27T13:00:32.393898,-0.2175,,,,-0.2175,-0.2025,-0.3524,-0.5998,-0.8922,,,,,2026-05-27T12:56:02.200213,-0.1949,,,,,,,,,,,,,,,False,,,,False,,,2026-05-27T12:35:37.521926,-0.1649,2026-05-27T12:36:39.398990,-0.0001,2026-05-27T12:56:02.200000,-0.1949,0.0299,13.46,0.0374,3.48,2026-05-27T12:32:38,2026-05-27T13:00:31.881130,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
22,,VVVUSDT,LONG,CLOSED,17.401,17.281,17.285,366.7150458763657,20.0,7334.300917527315,421.4873235749276,VERY_STRONG,0.4409,0.1468,64.28,63.96,24.0751,21.9547,0.1833,0.1836,BULLISH,0.2198,0.0342,24.9364,24.2256,60.1,58.4,34.1,0.1376,46.6,39.9,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,W1+W4,,,1.1403,1.1878,75.7,13.5,68.6,2.1204,5.0,HEALTHY_BULL,HEALTHY_BEAR,,-0.0143,30.149807966909105,9.615025910305155,0.5048,0.1784,-3.3e-05,0.3166,0.4929,0.1578,-0.0625,2026-05-27T12:37:49.626866,0.09783788288028673,60976843.70606,,-0.088,2026-05-27T12:56:23.172805,-0.3215,,,2026-05-27T13:08:59.296809,-0.4306,,,1.3201741651549168,3.2776750974142455,4.597849262569162,-55.17632809156089,-0.7523052123441238,0.21272208493765768,-0.7523052123441238,17.449,17.401,0.0,0.4014,0.335,2026-05-27T12:37:49.628175,2026-05-27T13:09:03.160374,-0.5335,ENDED_NEG,1,0.45,,True,,False,,,,1.0,1.0,W1+W4,False,-0.3214894546290337,,0,,-0.5335,-0.0782,True,17.655,17.243,2026-05-27T13:52:39.385348,2026-05-27T13:09:37.247762,1.3967,-0.971,43.58,0.54,0.46,-0.8963,1.2013,0.0,0.46,-0.8963,,,,,0.46,-0.8963,2026-05-27T13:09:04.852019,-0.7469,,,,-0.7699,-0.5227,-0.1435,0.5519,0.0577,,,,,2026-05-27T12:56:02.176316,-0.2066,2026-05-27T13:17:40.288612,0.3048,2026-05-27T13:17:39.264754,0.3048,2026-05-27T13:17:40.288612,0.3048,2026-05-27T13:17:46.356006,0.2876,2026-05-27T13:17:46.356006,0.2876,2026-05-27T13:17:46.356006,0.2876,2026-05-27T13:18:08.779436,0.0864,False,,,,False,,,2026-05-27T12:35:37.520123,-0.1147,2026-05-27T12:36:39.395752,-0.017,2026-05-27T12:56:02.176115,-0.2066,-0.1492,14.8,-0.109,10.8,2026-05-27T12:31:18,2026-05-27T13:09:03.162995,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
21,,GRASSUSDT,SHORT,CLOSED,0.5021,0.5073,0.5056,382.56310935907584,20.0,7651.262187181517,15238.522579529013,STRONG_BUY,0.663,0.1539,33.85,33.74,27.9137,27.1776,0.1902,-0.1899,BEARISH,-0.2963,-0.0433,21.3696,20.1207,35.6,34.1,45.0,0.0802,39.6,39.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.9923,0.7338,23.7,73.7,10.5,0.7361,4.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.0455,11.438192809720482,25.153954752964474,0.7393,-0.748,-0.000112,-1.238,-0.5512,-0.0937,-0.0868,2026-05-27T12:06:40.154051,0.09640250946027146,72564778.84115,,-0.0992,2026-05-27T12:10:29.593505,-0.6209,,,2026-05-27T12:17:08.299721,-0.8202,,,1.3772271936926732,3.4787261270677803,4.855953320760453,-84.09627073431105,-1.0991163114917313,0.31558095996813645,-1.0991163114917313,0.5021,0.5002,0.0,0.5508,-0.4709,2026-05-27T12:06:46.215001,2026-05-27T12:17:08.365124,-0.7588,ENDED_NEG,1,0.45,,True,,False,,,,1.0,1.0,UNMATCHED,False,-0.620908783110939,,0,,-0.7588,0.0035,True,0.512,0.5008,2026-05-27T12:23:06.461009,2026-05-27T12:27:17.657811,0.1959,-2.0347,5.96,10.15,1.12,-0.7003,-0.1427,0.0,0.02,-1.0588,6.13,-1.8156,,,4.12,-0.9991,2026-05-27T12:21:49.052333,-1.3376,,,,-0.6804,-0.9393,-1.3376,-0.6605,-0.8995,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.3021,5.03,-0.2822,4.04,2026-05-27T12:06:13,2026-05-27T12:17:08.367488,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
20,,FILUSDT,LONG,CLOSED,1.059,1.047,1.048,400.7263430378451,20.0,8014.526860756901,7568.0140328204925,STRONG_BUY,0.4103,0.1496,59.48,51.6,18.9269,18.4108,0.4866,0.4889,BULLISH,0.1944,0.0388,17.5666,17.0608,65.2,63.5,53.5,0.0807,47.3,43.6,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,C4,,,0.7785,0.6086,50.0,47.4,85.3,0.5161,3.0,CHOPPY_WEAK,CHOPPY_WEAK,,0.083,29.16167623804547,17.260686871352643,0.7905,0.4695,-0.000112,0.6493,0.7773,0.1142,-0.0538,,,261988075.728,,0.0796,2026-05-27T10:34:18.884639,-1.2226,,,,,,,3.6065370873406057,3.565669811563375,7.172206898903981,-97.98837529274996,-1.2226345609065166,0.004386213408886866,-1.2226345609065166,1.06,1.059,0.0,0.956,0.5421,2026-05-27T10:27:20.298597,2026-05-27T10:34:18.889477,-0.2674,ENDED_NEG,1,0.45,,True,,False,,,,1.0,1.0,C4,False,-1.2226345609065166,,0,,-0.2674,0.5096,False,1.061,1.041,2026-05-27T11:16:01.738643,2026-05-27T10:42:00.722294,0.0989,-1.7897,41.71,7.69,6.16,-1.5064,-0.09,0.0,1.09,-1.3176,2.09,-1.1287,,,6.16,-1.5064,,,,,,-1.2231,-1.0343,-1.3176,-0.9399,-0.4677,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-27T10:27:19,2026-05-27T10:34:18.891673,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
19,,PENGUUSDT,SHORT,CLOSED,0.008407,0.00842,0.00842,409.7889806416996,20.0,8195.779612833992,974875.652769596,STRONG_BUY,0.3121,0.1328,29.74,34.13,22.235,21.477,0.2575,-0.2569,BEARISH,-0.1563,-0.0496,27.1435,27.7776,36.3,38.2,58.2,0.0915,40.1,42.4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,W1,,,0.7055,0.883,10.8,75.7,2.8,0.7581,3.0,HEALTHY_BEAR,CHOPPY_WEAK,,0.0387,14.252768581231686,27.722518183182615,0.279,0.0153,-0.000373,-0.0774,-0.5064,-0.1411,-0.0839,2026-05-27T10:01:27.604881,0.08850303318662293,54271321.096756,,0.0564,2026-05-27T09:38:32.454429,-0.3161,,,2026-05-27T10:14:48.305033,-0.2209,,,3.6881008257752965,3.693803848343999,7.381904674119296,-20.05528816012488,-0.2447026287617564,0.26700606637324587,-0.3518044486737384,0.008407,0.008377,0.0,0.2525,-0.171,2026-05-27T10:01:29.763349,2026-05-27T09:39:08.553485,-0.1644,ENDED_NEG,1,0.45,,False,,False,,,,1.0,1.0,W1,False,-0.3161038420363973,,0,,-0.141,0.0989,True,0.008446,0.008382,2026-05-27T11:01:44.559409,2026-05-27T10:40:04.812379,0.2074,-0.5539,44.79,23.12,0.01,-0.2446,-0.5182,0.0,0.01,-0.2446,8.03,-0.2922,,,0.01,-0.2446,2026-05-27T10:16:58.100750,-0.2446,,,,-0.2922,-0.2446,-0.1971,-0.2684,-0.0305,,,,,2026-05-27T09:40:18.494609,-0.2447,,,,,,,,,,,,,,,False,,,,False,,,2026-05-27T09:30:12.241691,0.029,,,2026-05-27T09:40:18.494464,-0.2447,-0.2328,12.02,-0.1257,9.02,2026-05-27T09:13:38,2026-05-27T10:16:57.103434,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
18,,ONDOUSDT,SHORT,CLOSED,0.4019,0.4,0.4006,775.5789560626291,30.0,23267.368681878874,57893.42792206737,STRONG_BUY,0.5868,0.1856,27.35,30.17,23.493,21.3119,0.289,-0.2882,BEARISH,-0.2714,-0.0409,27.7885,28.4739,37.6,34.5,63.7,0.0935,40.4,42.4,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,C1,,,0.8151,1.3371,10.8,67.6,12.9,2.1811,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,0.0586,9.076988295141566,28.62436470249939,0.4326,-0.2956,-0.000373,-0.5475,-0.6773,-0.1413,-0.0823,2026-05-27T09:12:42.091951,,157955497.10179,,0.0377,,,,,,,,,10.470315906845492,10.420817025972127,20.89113293281762,89.10638011910791,0.3829671560089469,0.6318972381189246,-0.21446504105498893,0.4019,0.399,0.0,0.963,-0.5525,2026-05-27T09:12:43.269312,2026-05-27T09:10:08.198684,0.3389,NEVER,1,0.45,,True,,False,,,,2.0,1.5,C1,False,,0.3829671560089469,0,,0.7106,-0.5525,False,0.4026,0.3986,2026-05-27T09:35:58.581742,2026-05-27T09:57:02.397577,0.7311,-0.2642,23.25,44.31,,,0.6316,,7.93,-0.0154,9.93,-0.1149,,,,,2026-05-27T09:30:12.244924,0.1339,,,,0.1837,0.2583,0.2086,0.1837,0.0095,2026-05-27T09:12:43.207165,,,,,,2026-05-27T09:13:17.878355,0.3081,2026-05-27T09:13:14.837642,0.3081,2026-05-27T09:13:14.837642,0.3081,2026-05-27T09:13:31.056929,0.2086,2026-05-27T09:13:31.056929,0.2086,2026-05-27T09:13:30.045490,0.2335,2026-05-27T09:13:45.261622,0.2086,False,,,,False,,,,,,,,,,,,,2026-05-27T09:09:16,2026-05-27T09:12:43.284671,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
