id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
87,,ALGOUSDT,LONG,CLOSED,0.1182,0.1186,0.1187,428.23689116677554,20.0,8564.73782333551,72459.71085732242,STRONG_BUY,0.2672,0.1531,0.0654,60.84,54.39,17.2667,17.019,0.6338,0.6379,BULLISH,0.1873,0.0263,28.4914,29.5773,53.8,56.7,26.7,0.1167,50.8,47.4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,0.9525,1.3081,61.1,19.4,78.4,0.2477,3.0,STRONG_BULL,HEALTHY_BULL,,0.0089,29.77392412332539,19.648981925269574,0.786,0.2434,-0.000144,0.4407,0.8578,0.0786,0.0249,2026-05-29T08:16:53.164793,0.07912859560068168,39551024.1048,,0.0486,,,,,,,,,3.8541320205009795,3.867174768455298,7.721306788956277,21.26257755397252,0.24825719120135162,0.6710786802030441,-0.17456429780034083,0.1191,0.1182,0.0,0.7802,0.9262,2026-05-29T08:23:20.397536,2026-05-29T08:16:00.657838,0.5497,NEVER,2,0.9,,True,,False,,,,1.0,1.0,,False,,0.24825719120135162,0,,0.3901,0.8983,False,0.12,0.1181,2026-05-29T09:02:05.044614,2026-05-29T08:27:00.790181,1.4328,-0.1746,37.08,2.01,,,0.756,,6.67,-0.0054,2.72,-0.0054,,,,,2026-05-29T08:51:06.794469,0.756,,,,0.0792,-0.1746,0.0792,0.6714,1.0098,2026-05-29T08:23:08.289875,,,,,,2026-05-29T08:43:06.064698,0.756,2026-05-29T08:25:41.486386,0.1638,2026-05-29T08:37:10.091486,0.5022,2026-05-29T08:25:39.447254,0.2484,2026-05-29T08:25:39.447254,0.2484,2026-05-29T08:25:39.447254,0.2484,2026-05-29T08:25:24.180112,0.2484,False,,,,False,,,,,,,,,,,,,2026-05-29T08:15:32,2026-05-29T08:24:59.995903,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
86,,ONDOUSDT,LONG,CLOSED,0.3723,0.3733,0.3734,856.4737823335511,20.0,17129.47564667102,46009.87280867854,VERY_STRONG,0.2182,0.098,0.0572,59.5,54.24,24.6198,24.7205,0.3709,0.3723,BULLISH,0.1433,0.0263,28.4914,29.5773,53.8,56.7,26.7,0.1167,50.8,47.4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,0.9525,0.9629,61.1,19.4,72.8,-0.1007,4.0,STRONG_BULL,HEALTHY_BULL,,0.0089,31.171750470337244,19.386097032892067,0.4558,0.1637,-0.000144,0.264,0.5282,0.0786,0.0249,2026-05-29T08:23:09.957003,0.09793580445876399,103362052.94637,,0.0645,,,,,,,,,7.708264041001959,7.728968483765866,15.437232524767825,30.572640283910754,0.17847972065538564,0.4469594413107713,-0.30478377652431454,0.3743,0.3723,0.0,0.5481,0.4997,2026-05-29T08:28:14.591652,2026-05-29T08:16:15.221513,0.3441,NEVER,1,0.45,,True,,False,,,,2.0,1.0,EXT_Ext0.4-0.6_L+Ext_SlowADX_L,False,,0.17847972065538564,0,,0.2371,0.5442,False,0.3744,0.3703,2026-05-29T08:45:21.076151,2026-05-29T08:33:00.039827,0.4741,-0.6272,16.33,3.97,36.45,-0.3049,-0.0631,0.4741,1.67,-0.09,2.65,-0.1437,,,36.45,-0.3049,2026-05-29T08:51:08.807422,0.0174,,,,-0.09,-0.1169,-0.4392,0.2592,-0.2512,,,,,,,2026-05-29T08:46:12.478225,0.2055,2026-05-29T08:29:07.268517,0.1517,2026-05-29T08:29:09.287220,0.1249,2026-05-29T08:29:10.294519,0.1249,2026-05-29T08:46:30.612582,0.1786,2026-05-29T08:29:56.666378,0.0443,2026-05-29T08:29:56.666378,0.0443,False,,,,False,,,,,,,,,,,,,2026-05-29T08:15:12,2026-05-29T08:29:01.206363,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
85,,XLMUSDT,LONG,CLOSED,0.21231,0.21771,0.21859,428.23689116677554,20.0,8564.73782333551,40340.717928197024,STRONG_BUY,0.4743,0.2254,0.1291,59.23,53.65,20.8103,20.8361,0.9478,0.9569,BULLISH,0.3043,0.0263,28.4914,29.5773,53.8,56.7,26.7,0.1167,50.8,47.4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,0.9525,0.8849,61.1,19.4,71.8,-0.0257,5.0,STRONG_BULL,HEALTHY_BULL,,0.0089,26.645373363882435,17.588130392656055,1.2823,0.5916,-0.000144,0.8831,1.3152,0.0786,0.0249,2026-05-29T08:19:04.856775,0.09831896754745957,1418396033.46389,,0.059,,,,,,,,,3.8541320205009795,3.952159965066498,7.806291985567477,210.03358482669597,2.452306061890626,3.4362726673260777,-0.6737887993971039,0.2198,0.21231,0.0,3.5343,1.5759,2026-05-29T08:24:33.927057,2026-05-29T08:17:42.447274,0.19,NEVER,8,3.6,,True,,False,,,,1.0,1.0,,False,,,0,,1.8688,2.3176,True,0.22368,0.21263,2026-05-29T09:01:56.975470,2026-05-29T08:31:00.103446,5.2654,0.0607,36.64,5.7,,,1.502,,5.38,0.4328,2.4,1.2901,,,,,2026-05-29T08:51:07.800172,3.1647,,,,1.5256,1.5067,0.6259,3.2071,3.5556,2026-05-29T08:20:01.540410,0.19718642550986737,2026-05-29T08:21:24.467430,,,,2026-05-29T08:25:19.030221,2.152,2026-05-29T08:25:19.030221,2.152,2026-05-29T08:25:19.030221,2.152,2026-05-29T08:25:19.030221,2.152,2026-05-29T08:25:19.030221,2.152,2026-05-29T08:25:19.030221,2.152,2026-05-29T08:25:19.030221,2.152,False,,,,False,,,,,,,,,,,,,2026-05-29T08:14:52,2026-05-29T08:25:18.022283,TRAILING_STOP L8,TAKER_FALLBACK,TAKER,True,
84,,SWARMSUSDT,LONG,CLOSED,0.007539,0.007579,0.007606,432.17417287829437,20.0,8643.483457565888,1146502.647243121,STRONG_BUY,0.4102,0.2202,0.1425,57.85,60.1,16.9541,17.098,0.3265,0.3275,BULLISH,0.2756,0.0776,30.4015,28.4194,68.0,75.4,69.2,0.102,53.3,51.5,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,0.9632,0.8473,91.7,5.6,75.3,-0.1439,4.0,STRONG_BULL,STRONG_BULL,,0.1682,22.06532601683662,16.2813844410087,1.1654,-0.0139,-0.000144,0.2266,0.6918,0.1346,0.0306,2026-05-29T06:36:44.993601,,92571789.704976,,0.1613,,,,,,,,,3.8895675559046494,3.910204603555026,7.799772159459676,38.06033373026528,0.4403355882743083,1.0369631250829026,-0.8324698235840249,0.007624,0.007539,0.0,1.5249,0.2212,2026-05-29T06:36:56.235033,2026-05-29T06:29:06.790553,-0.215,RECOVERED,3,1.35,,True,,False,,,,1.0,1.0,,False,,0.4403355882743083,0,,0.9402,0.2212,True,0.007682,0.007528,2026-05-29T06:50:32.879603,2026-05-29T06:37:27.951858,1.8068,-0.2359,13.58,0.5,41.59,0.613,0.4671,1.8068,11.4,0.4406,9.4,0.6793,,,,,,,,,,-0.0502,0.2549,0.3743,1.5813,0.4008,2026-05-29T06:36:50.693494,,2026-05-29T06:36:56.234235,0.4933691471017462,,,2026-05-29T06:40:09.347009,0.2814,2026-05-29T06:40:16.455536,0.2283,2026-05-29T06:40:17.470801,0.2416,2026-05-29T06:40:16.455536,0.2283,2026-05-29T06:40:17.470801,0.2416,2026-05-29T06:40:16.455536,0.2283,2026-05-29T06:41:19.682516,0.2018,False,,,,False,,,,,,,,,-0.4215,1.01,-0.6999,3.02,2026-05-29T06:27:14,2026-05-29T06:36:57.443380,TRAILING_STOP L3,TAKER_FALLBACK,TAKER,True,
83,,TONUSDT,LONG,CLOSED,1.7730000000000001,1.7804,1.7811,378.37966357269875,20.0,7567.593271453975,4268.242115879286,STRONG_BUY,0.192,0.0634,0.0684,62.49,59.29,18.7873,17.7664,0.1483,0.1485,BULLISH,0.0941,0.0458,24.9863,24.8031,63.3,64.0,54.3,0.088,50.6,51.5,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,C8,,,0.7957,1.2294,77.8,11.1,97.1,1.0209,2.0,HEALTHY_BULL,STRONG_BULL,,0.1097,29.164333208078684,15.0041351395892,0.2536,0.0508,-0.000144,0.1035,0.2806,0.0666,0.0147,2026-05-29T06:17:58.052596,,102476412.45218,,0.1682,,,,,,,,,1.3621667888617155,3.419630218400166,4.781797007261882,26.803194650244198,0.3541838691483277,0.7093539199097475,-0.07991285956007835,1.7867,1.7730000000000001,0.0,0.6311,0.325,2026-05-29T06:23:08.024948,2026-05-29T06:12:01.409015,0.0976,NEVER,2,0.9,,True,,False,,,,1.0,1.0,C8,False,,0.3541838691483277,0,,0.1008,0.3937,True,1.7984,1.777,2026-05-29T07:10:46.483359,2026-05-29T06:37:03.544365,1.3696,0.1626,43.67,9.96,,,1.1722,,4.16,0.3262,3.16,0.3487,,,,,,,,,,0.4108,0.3487,0.3826,0.3713,0.9804,2026-05-29T06:22:53.070113,,,,,,,,2026-05-29T06:33:39.283174,0.3036,2026-05-29T06:33:42.338465,0.3093,2026-05-29T06:33:46.412530,0.3036,,,2026-05-29T06:47:09.542581,0.3375,2026-05-29T06:47:36.959384,0.3375,False,,,,False,,,,,,,,,,,,,2026-05-29T06:11:40,2026-05-29T06:27:05.631675,TRAILING_STOP L2,MAKER,TAKER,True,
82,,1000PEPEUSDT,LONG,CLOSED,0.003403,0.003413,0.0034131,408.20985863688355,20.0,8164.197172737671,2399117.594104517,STRONG_BUY,0.2279,0.061,0.0824,61.88,60.4,20.7908,20.0242,0.0731,0.0732,BULLISH,0.1038,0.0554,24.8226,24.6263,63.1,68.0,54.8,0.0925,50.6,51.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,W2+W6,,,1.0133,1.1174,77.8,11.1,85.7,0.7666,3.0,HEALTHY_BULL,BULL_EXHAUSTED,,0.1047,32.310422386831746,17.110300335832285,0.22,0.1294,-0.000144,0.1858,0.2168,0.0772,0.0146,2026-05-29T06:22:42.467415,,190029500.6797305,,0.1682,,,,,,,,,3.673888727731952,3.6846847569054217,7.358573484637374,16.632602456406815,0.20372612400821602,0.4563305906552951,-0.13699617984131762,0.0034216,0.003403,0.0,0.4913,0.1521,2026-05-29T06:23:01.903806,2026-05-29T06:12:25.190270,-0.0041,RECOVERED,1,0.45,,True,,False,,,,1.0,1.0,W2+W6,False,,0.20372612400821602,0,,0.2406,0.1521,True,0.0034136,0.0033958,2026-05-29T06:23:58.691014,2026-05-29T06:38:47.286031,0.2215,-0.3016,0.31,15.12,14.65,-0.2663,0.0746,0.2215,7.59,-0.0371,3.25,0.0452,,,14.65,-0.2663,,,,,,0.1157,0.0511,-0.0018,-0.2928,0.0334,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.0195,10.26,,,2026-05-29T06:10:38,2026-05-29T06:23:39.683673,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
81,,JTOUSDT,LONG,CLOSED,0.47900000000000004,0.4818,0.4821,408.20985863688355,20.0,8164.197172737671,17044.25297022478,STRONG_BUY,0.3503,0.0915,0.1348,58.73,53.05,19.9924,19.2343,0.1944,0.1948,BULLISH,0.1263,0.0528,24.8774,24.6263,60.4,68.0,54.8,0.0922,50.1,51.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,W2+W6,,,0.9542,0.8964,77.8,13.9,83.9,0.7581,5.0,HEALTHY_BULL,HEALTHY_BULL,,0.1019,23.948970546526358,12.938696769385647,0.5108,0.0729,-0.000144,0.0773,0.4217,0.0543,0.0121,2026-05-29T06:10:11.900587,,38857264.543,,0.1266,,,,,,,,,1.4695554910927808,3.6953644864744346,5.164919977567216,42.55898833906165,0.5212881002087618,0.8760344467640812,-0.20907202505219916,0.4835,0.47900000000000004,0.0,0.7811,0.4939,2026-05-29T06:14:40.600078,2026-05-29T06:09:35.833383,0.0275,NEVER,2,0.9,,True,,False,,,,1.0,1.0,W2+W6,False,,0.5212881002087618,0,,0.3687,0.5561,True,0.4937,0.4812,2026-05-29T06:52:23.478910,2026-05-29T06:18:16.607368,3.0059,0.3963,36.66,2.54,,,1.6489,,15.52,0.6259,11.5,0.6677,,,,,,,,,,0.6886,0.5007,0.5007,0.7721,1.9829,2026-05-29T06:10:33.431480,,,,,,2026-05-29T06:25:39.151122,1.0017,2026-05-29T06:15:47.316649,0.5216,2026-05-29T06:15:54.489620,0.438,2026-05-29T06:15:47.316649,0.5216,2026-05-29T06:15:54.489620,0.438,2026-05-29T06:15:45.269762,0.5216,2026-05-29T06:15:49.368130,0.5216,False,,,,False,,,,,,,,,,,,,2026-05-29T06:09:18,2026-05-29T06:15:43.700253,TRAILING_STOP L2,MAKER,TAKER,True,
80,,LTCUSDT,LONG,CLOSED,51.779,51.78,51.79,408.20985863688355,20.0,8164.197172737671,157.6739058834213,STRONG_BUY,0.1756,0.0623,0.0649,64.59,62.66,18.857,17.2665,0.0891,0.0892,BULLISH,0.0902,0.0528,24.8774,24.6263,60.4,68.0,54.8,0.0922,50.1,51.5,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,C8,,,0.9542,1.2413,77.8,13.9,84.8,1.5905,2.0,HEALTHY_BULL,STRONG_BULL,,0.1019,38.24062305758279,16.571627137348464,0.1369,0.0412,-0.000144,0.0686,0.2166,0.0543,0.0121,2026-05-29T06:22:41.583743,0.09336368025646682,48851570.52,,0.1716,2026-05-29T06:37:42.597312,-0.0804,,,,,,,1.4695554910927808,3.6739596809896,5.143515172082381,-4.985841266199327,-0.06106958419436901,0.30570941887636954,-0.11898205836343585,51.97,51.779,0.0,0.2356,0.2065,2026-05-29T06:23:02.276129,2026-05-29T06:38:46.151959,-0.1181,ENDED_NEG,1,0.45,,False,,False,,,,1.0,1.0,C8,False,-0.08037374225072005,,0,,-0.0433,-0.0231,True,51.85,51.51,2026-05-29T07:11:01.746444,2026-05-29T07:45:28.719823,0.0741,-0.5825,4.42,38.87,0.0,-0.0611,-0.4087,0.0,0.0,-0.0611,18.99,-0.0418,,,0.0,-0.0611,2026-05-29T07:31:08.668983,-0.2156,,,,-0.0224,-0.0031,0.0741,0.0162,-0.3701,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.0418,3.51,0.0355,21.09,2026-05-29T06:09:10,2026-05-29T07:06:35.832600,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
79,,RENDERUSDT,LONG,CLOSED,2.0220000000000002,2.008,2.009,399.6258490704495,20.0,7992.5169814089895,3952.7779334366905,STRONG_BUY,0.3908,0.1625,0.1539,61.9,57.26,20.0913,18.811,0.2992,0.3001,BULLISH,0.214,0.0453,22.4969,21.5565,64.4,68.2,61.5,0.0944,50.4,47.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,0.7995,1.195,83.3,13.9,70.2,1.2803,5.0,HEALTHY_BULL,HEALTHY_BULL,,0.0675,33.3145820011011,15.414090759990968,0.4956,-0.0217,-0.000144,-0.0634,0.6177,0.1277,-0.0412,,,51961874.7984,,0.1047,2026-05-29T05:57:35.434075,-0.6562,,,2026-05-29T06:00:47.290299,-0.7056,,,1.4386530566536182,3.5717301406533934,5.010383197307012,-60.349274265421606,-0.7550722057369057,0.0,-0.7550722057369057,2.0220000000000002,2.0220000000000002,0.0,,,,2026-05-29T06:07:59.737739,-0.2488,ENDED_NEG,1,0.45,,True,,False,,,,1.0,1.0,W6,False,-0.6562047477745031,,0,,-0.2488,-0.13,True,2.038,2.007,2026-05-29T06:52:12.323935,2026-05-29T06:08:10.589458,0.7283,-0.8048,44.2,0.18,0.14,-0.7059,0.5305,0.0,0.14,-0.7059,28.29,-0.3103,,,,,,,,,,-0.7059,-0.607,-0.3597,0.5305,-0.2608,,,,,,,2026-05-29T06:24:26.609631,0.2832,2026-05-29T06:16:12.085098,0.0359,2026-05-29T06:16:12.085098,0.0359,2026-05-29T06:16:12.085098,0.0359,2026-05-29T06:16:12.085098,0.0359,2026-05-29T06:16:12.085098,0.0359,2026-05-29T06:24:50.633187,0.2337,False,,,,False,,,,,,,,,-0.409,4.98,-0.6068,6.96,2026-05-29T05:51:12,2026-05-29T06:07:59.739819,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
78,,TAOUSDT,LONG,CLOSED,258.6,260.02,260.05,438.04005370106825,20.0,8760.801074021365,33.877807710832805,STRONG_BUY,0.2628,0.076,0.1062,61.31,58.39,20.5695,20.8137,0.0934,0.0935,BULLISH,0.1176,0.0453,22.4969,21.5565,64.4,68.2,61.5,0.0944,50.4,47.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,0.7995,0.6628,83.3,13.9,84.8,-0.2442,4.0,HEALTHY_BULL,BULL_EXHAUSTED,,0.0675,27.374018823743455,19.261933414693708,0.3104,0.0099,-0.000144,-0.0667,0.2759,0.1277,-0.0412,2026-05-29T06:11:03.003991,,121385701.57,,0.1606,2026-05-29T05:53:01.540248,-0.3374,,,2026-05-29T05:56:19.468820,-0.4379,,,1.5769441933238457,3.964008402436835,5.540952595760681,42.56553435362052,0.4858634957463105,0.8414651972157674,-0.4649845320959088,260.94,258.6,0.0,0.5384,0.3946,2026-05-29T06:23:07.925919,2026-05-29T05:56:19.483907,-0.1812,RECOVERED,2,0.9,,True,,False,,,,1.0,1.0,W6,False,-0.3374317478731772,0.4858634957463105,0,,0.1198,0.461,True,260.27,258.37,2026-05-29T07:08:49.057957,2026-05-29T06:35:00.901930,0.5828,-0.1519,44.06,10.26,17.59,0.0298,0.5209,0.5016,6.5,0.1458,2.16,0.2889,,,,,,,,,,0.3198,0.2812,0.1381,0.0221,0.4397,2026-05-29T06:14:27.518733,,,,,,,,2026-05-29T06:25:17.638076,0.3392,,,2026-05-29T06:25:17.638076,0.3392,2026-05-29T06:25:32.015408,0.3778,2026-05-29T06:24:45.502475,0.4938,2026-05-29T06:24:46.532135,0.49,False,,,,False,,,,,,,,,-0.3993,5.02,-0.3877,6.01,2026-05-29T05:51:10,2026-05-29T06:24:45.015247,TRAILING_STOP L2,MAKER,TAKER,True,
