id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
55,,UNIUSDT,SHORT,CLOSED,2.983,2.97,2.972,457.43516421156755,20.0,9148.703284231351,3066.9471284717906,STRONG_BUY,0.3,0.082,0.1026,32.17,38.5,28.8909,28.0363,0.1692,-0.1689,BEARISH,-0.1198,-0.0601,34.2446,33.1005,30.9,33.4,39.2,0.1102,38.6,40.9,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,,,,0.7195,1.2718,19.4,77.8,3.6,0.8545,6.0,STRONG_BEAR,BEAR_EXHAUSTED,,-0.2384,12.505071302586312,29.178323927338635,0.2852,-0.2457,0.0001,-0.3941,-0.3532,-0.1476,-0.1394,2026-06-01T06:24:02.046721,0.0711535367080122,43437902.323,,-0.2667,,,,,,,,,1.6467665911616434,4.098974837202548,5.745741428364192,34.124571241768784,0.37299899430103595,0.6413060677170603,-0.09653838417699934,2.983,2.962,0.0,0.5623,-0.2705,2026-06-01T06:37:14.666302,2026-06-01T06:21:28.069460,0.102,NEVER,1,0.45,,True,,False,,,,1.0,1.0,,False,,0.37299899430103595,0,,0.2914,-0.2705,False,2.987,2.963,2026-06-01T07:06:50.724344,2026-06-01T06:45:14.964056,0.6075,-0.1971,29.6,8.0,29.06,0.004,0.2722,0.6075,15.09,0.0711,3.06,0.2052,,,29.17,-0.0965,,,,,,0.2387,0.2387,0.2722,0.0711,-0.0965,2026-06-01T06:37:14.643232,,,,,,2026-06-01T07:19:29.775833,0.1717,2026-06-01T06:45:49.704686,0.3728,2026-06-01T06:45:56.832799,0.3058,2026-06-01T06:45:55.817940,0.2722,2026-06-01T06:45:56.832799,0.3058,2026-06-01T06:45:57.846081,0.3058,2026-06-01T06:46:04.047344,0.3058,0.3913,trailing,15.89,0.0413,trailing,30.46,0.3913,trailing,15.89,0.3413,trailing,16.18,0.3393,stretch,16.18,0.2722,stretch,16.41,0.2387,stretch,16.77,0.004,signal_lost,44.95,0.5623,False,,,,False,,,,,,,,,,,,,2026-06-01T06:21:19,2026-06-01T06:37:14.674348,TRAILING_STOP L1,MAKER,TAKER,True,
54,,1000PEPEUSDT,SHORT,CLOSED,0.0033769,0.0033641,0.0033638,448.57389910035863,20.0,8971.477982007173,2656720.0633738553,VERY_STRONG,0.3393,0.0982,0.1119,32.75,36.22,33.4409,32.434,0.1812,-0.1809,BEARISH,-0.1625,-0.0662,32.4184,31.3486,33.7,29.3,41.7,0.1152,39.5,40.9,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,,,,0.8997,1.193,19.4,80.6,14.0,1.0069,5.0,STRONG_BEAR,BEAR_EXHAUSTED,,-0.2264,13.503809870078065,37.00671125265412,0.2796,-0.2757,0.0001,-0.4409,-0.3905,-0.1257,-0.1334,2026-06-01T06:24:03.732490,0.09960822055732046,147000473.9088101,,-0.3187,,,,,,,,,4.037165091903227,4.021862384338195,8.059027476241422,25.9469893349436,0.2892164411146281,0.6388065977671845,-0.32404764725043445,0.0033769,0.0033523,0.0,0.4591,-0.2811,2026-06-01T06:44:05.956548,2026-06-01T06:15:34.818586,0.0322,NEVER,2,0.9,,True,,False,,,,1.0,1.0,,False,,0.2892164411146281,0,,0.0552,-0.3327,True,0.0033834,0.003356,2026-06-01T07:20:00.955694,2026-06-01T06:47:53.603468,0.5289,-0.2825,33.83,1.71,20.12,-0.0456,0.4697,0.5289,6.16,-0.01,5.16,0.0048,,,20.24,-0.0722,,,,,,0.4934,0.4549,0.0196,0.0433,-0.0959,2026-06-01T06:44:03.951273,,,,,,2026-06-01T06:49:32.993332,0.0906,2026-06-01T06:46:11.146957,0.3127,2026-06-01T06:46:11.146957,0.3127,2026-06-01T06:46:11.146957,0.3127,2026-06-01T06:46:11.146957,0.3127,2026-06-01T06:46:11.146957,0.3127,2026-06-01T06:46:11.146957,0.3127,0.3888,trailing,31.52,0.0388,trailing,35.48,0.3888,trailing,31.52,0.3388,trailing,31.63,0.461,stretch,31.26,0.4166,stretch,31.5,0.3159,stretch,31.63,0.4136,stretch,31.52,0.4591,False,,,,False,,,,,,,,,-0.2559,2.01,,,2026-06-01T06:14:17,2026-06-01T06:46:10.578206,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
53,,SUIUSDT,SHORT,CLOSED,0.8817,0.8791,0.8788,538.9986197856882,20.0,10779.972395713765,12226.349547140484,STRONG_BUY,0.3764,0.1159,0.1243,33.28,38.96,28.1075,27.2325,0.2568,-0.2561,BEARISH,-0.1806,-0.0678,32.5114,31.3486,32.1,29.3,41.7,0.1109,39.3,40.9,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,True,,,,0.8178,0.9908,18.9,81.1,6.8,0.875,6.0,STRONG_BEAR,BEAR_EXHAUSTED,,-0.2281,15.466931101288306,35.64882557052365,0.3536,-0.2706,9e-06,-0.4451,-0.4955,-0.1401,-0.1349,2026-06-01T06:30:20.616549,,252391040.67581,,-0.2525,,,,,,,,,1.940395031228478,4.83668274910104,6.777077780329518,25.011431042236314,0.23201757967563197,0.48164783940115985,-0.4034048996257233,0.8817,0.8769,0.0,0.6703,-0.2136,2026-06-01T06:30:22.607770,2026-06-01T06:15:27.201662,-0.0116,RECOVERED,1,0.45,,True,,False,,,,1.0,1.0,,False,,0.23201757967563197,0,,0.4184,-0.2136,True,0.8826,0.8745,2026-06-01T07:05:10.548800,2026-06-01T06:45:39.383702,0.7536,-0.1651,34.6,15.08,35.73,0.0164,0.1185,0.7536,20.77,0.0958,20.77,0.0958,,,35.9,-0.0743,,,,,,0.2886,0.1412,0.3566,0.7423,0.0504,,,,,,,2026-06-01T06:36:47.758716,0.2205,2026-06-01T06:45:50.716934,0.5041,2026-06-01T06:45:51.730471,0.5041,2026-06-01T06:45:57.846081,0.4247,2026-06-01T06:45:58.861495,0.402,2026-06-01T06:45:58.861495,0.402,2026-06-01T06:45:58.861495,0.402,0.2316,trailing,18.62,0.1536,trailing,37.68,0.2316,trailing,18.62,0.1816,trailing,18.67,0.1298,stretch,18.75,0.2205,stretch,19.37,0.1525,stretch,20.17,0.2092,stretch,19.42,0.6703,False,,,,False,,,,,,,,,-0.3013,4.35,-0.3013,4.35,2026-06-01T06:11:57,2026-06-01T06:30:34.385584,TRAILING_STOP L1,MAKER,TAKER,True,
52,,DASHUSDT,SHORT,CLOSED,39.34,39.6,39.58,527.1089443492394,20.0,10542.178886984788,267.9760774525874,VERY_STRONG,0.532,0.1349,0.1761,31.52,37.54,31.0605,30.5812,0.3531,-0.3519,BEARISH,-0.2331,-0.0594,31.1444,30.1433,31.1,33.1,38.3,0.1116,39.5,40.9,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,,,,0.916,1.3387,18.9,75.7,6.1,0.4793,4.0,STRONG_BEAR,STRONG_BEAR,,-0.2145,13.847731364130023,30.317224061005543,0.4958,-0.4799,9e-06,-0.7386,-0.6615,-0.1543,-0.1335,,,38255706.62,,-0.2207,,,,,,,,,4.743980499143154,4.775333700205107,9.519314199348262,-79.19309433702044,-0.751202338586675,0.0,-0.751202338586675,39.34,39.34,0.0,,,,2026-06-01T06:16:35.537176,-0.1835,ENDED_NEG,1,0.45,,True,,False,,,,1.0,1.0,,False,,,0,,-0.1835,-0.5216,True,39.61,39.1,2026-06-01T06:16:38.089699,2026-06-01T06:44:40.321506,0.5201,-0.7763,0.04,28.07,,,-0.2425,,,,,,,,,,,,,,,-0.5221,-0.4713,-0.3442,0.215,0.1388,,,,,,,2026-06-01T06:45:52.743473,0.1896,2026-06-01T06:45:37.351737,0.3675,2026-06-01T06:45:47.673042,0.2405,2026-06-01T06:31:57.423971,0.0625,2026-06-01T06:31:58.443173,0.0625,2026-06-01T06:31:57.423971,0.0625,2026-06-01T06:45:57.846081,0.1134,0.2701,trailing,35.76,-0.0799,trailing,38.67,0.2701,trailing,35.76,0.2201,trailing,35.87,-0.0392,stretch,38.52,-0.1408,stretch,39.05,-0.2425,stretch,39.54,-0.2425,window,,1.0929,False,,,,False,,,,,,,,,,,,,2026-06-01T06:09:56,2026-06-01T06:16:35.540177,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
51,,TAOUSDT,SHORT,CLOSED,251.02,250.36,250.26,527.1089443492394,20.0,10542.178886984788,41.99736629346182,STRONG_BUY,0.3418,0.0929,0.1077,32.69,39.74,29.124,28.7998,0.3286,-0.3275,BEARISH,-0.1584,-0.0594,31.1444,30.1433,31.1,33.1,38.3,0.1116,39.5,40.9,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,,,,0.916,1.5898,18.9,75.7,5.3,0.3242,6.0,STRONG_BEAR,BEAR_EXHAUSTED,,-0.2145,15.535362901636049,31.074488052326537,0.4099,-0.3377,9e-06,-0.5306,-0.5274,-0.1543,-0.1335,2026-06-01T06:26:36.932943,0.09732033304119149,101499731.29,,-0.262,,,,,,,,,4.743980499143154,4.731507281353996,9.47548778049715,18.24277397318751,0.17304557405784263,0.5237730061349775,-0.3450744960560857,251.02,249.48,0.0,0.5195,-0.27,2026-06-01T06:30:26.125804,2026-06-01T06:16:25.053830,-0.0199,RECOVERED,2,0.9,,True,,False,,,,1.0,1.0,,False,,0.17304557405784263,0,,0.1356,-0.3006,True,251.83,248.97,2026-06-01T07:08:03.427229,2026-06-01T06:36:03.047415,0.7267,-0.4127,35.35,3.34,27.61,-0.1378,-0.0462,0.7267,18.64,-0.0382,6.6,0.3044,,,27.61,-0.1378,,,,,,0.0893,0.2725,0.5036,0.4558,0.1012,2026-06-01T06:30:26.076151,0.1969588080631021,,,,,2026-06-01T06:45:52.743473,0.4159,2026-06-01T06:32:46.626370,0.1052,2026-06-01T06:32:47.645437,0.1052,2026-06-01T06:32:46.626370,0.1052,2026-06-01T06:32:47.645437,0.1052,2026-06-01T06:32:47.645437,0.1052,2026-06-01T06:32:48.663504,0.157,0.2738,trailing,20.96,0.1267,trailing,39.85,0.2738,trailing,20.96,0.2238,trailing,21.1,0.2647,stretch,20.96,0.2129,stretch,21.1,0.193,stretch,22.94,-0.1378,ema13,50.7,0.5738,False,,,,False,,,,,,,,,-0.2893,6.7,-0.2893,6.7,2026-06-01T06:09:36,2026-06-01T06:32:42.187868,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
50,,LAUSDT,SHORT,CLOSED,0.1064,0.1061,0.1059,1054.2178886984789,20.0,21084.357773969576,198161.25727415015,VERY_STRONG,0.3437,0.0874,0.105,35.14,42.36,30.3734,30.1148,0.2945,-0.2936,BEARISH,-0.1617,-0.0577,31.0265,30.1433,32.0,33.1,38.3,0.1099,39.8,40.9,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,,,,0.6572,0.698,27.8,72.2,5.9,0.2586,4.0,STRONG_BEAR,BEAR_EXHAUSTED,,-0.2126,12.85224713822408,25.938271778757223,0.4837,-0.4313,0.0001,-0.6669,-0.4854,-0.1388,-0.1318,2026-06-01T06:08:26.132218,,42408985.75109,,-0.2329,,,,,,,,,9.487960998286308,9.4612092285543,18.949170226840607,40.49920695540339,0.19208176691728826,0.568190789473677,-0.18402725563910044,0.1064,0.1057,0.0,0.8323,-0.4239,2026-06-01T06:08:48.205937,2026-06-01T06:06:23.199115,0.1061,NEVER,2,0.9,,True,,False,,,,2.0,1.0,PAIR_35-40_30-35,False,,0.19208176691728826,0,,0.1443,-0.6599,False,0.1063,0.1042,2026-06-01T06:15:30.753811,2026-06-01T06:43:58.473701,1.9777,0.004,4.33,32.79,,,1.5077,,4.13,0.098,39.16,1.1318,,,,,,,,,,0.2859,0.2859,0.192,0.7559,1.5077,2026-06-01T06:08:48.205964,0.19208176691728826,,,,,2026-06-01T06:14:36.012266,0.2859,2026-06-01T06:11:11.262811,0.2859,2026-06-01T06:11:11.262811,0.2859,2026-06-01T06:15:08.280986,0.098,2026-06-01T06:15:09.301593,0.098,2026-06-01T06:15:06.241141,0.192,2026-06-01T06:15:09.301593,0.098,0.3182,trailing,2.59,1.3777,trailing,42.87,0.3182,trailing,2.59,0.2682,trailing,4.82,0.3801,stretch,4.66,0.2861,stretch,4.66,0.2861,stretch,4.66,1.5077,window,,0.8621,False,,,,False,,,,,,,,,,,,,2026-06-01T06:06:16,2026-06-01T06:11:10.630753,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
49,,DOTUSDT,SHORT,CLOSED,1.178,1.173,1.173,527.1089443492394,20.0,10542.178886984788,8949.218070445491,STRONG_BUY,0.3435,0.1032,0.1152,34.4,41.58,26.2283,25.3597,0.2706,-0.2699,BEARISH,-0.1593,-0.0577,31.0265,30.1433,32.0,33.1,38.3,0.1099,39.8,40.9,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,,,,0.6572,0.9152,27.8,72.2,7.1,0.8687,6.0,STRONG_BEAR,BEAR_EXHAUSTED,,-0.2126,13.656224121794835,30.058235253130817,0.4128,-0.2036,0.0001,-0.3327,-0.4876,-0.1388,-0.1318,2026-06-01T06:09:08.781168,0.07985568760611221,64696320.776,,-0.239,,,,,,,,,4.743980499143154,4.723844758484653,9.467825257627807,35.278265094598694,0.3346392190152711,0.5894227504244488,-0.2598556876061122,1.178,1.17,0.0,0.5303,-0.3389,2026-06-01T06:23:52.069797,2026-06-01T06:06:14.587702,0.1856,RECOVERED,1,0.45,,True,,False,,,,1.0,1.0,,False,,0.3346392190152711,0,,0.2732,-0.3389,True,1.176,1.165,2026-06-01T07:06:30.509380,2026-06-01T06:44:06.762628,1.0136,0.0798,42.63,20.24,41.44,0.2496,0.1647,1.0136,42.43,0.3344,42.43,0.3344,,,41.44,0.2496,,,,,,0.5042,0.5042,0.5042,0.7589,0.4193,2026-06-01T06:23:52.057476,,,,,,2026-06-01T06:27:24.827538,0.4193,2026-06-01T06:24:56.399963,0.4193,2026-06-01T06:27:24.827538,0.4193,2026-06-01T06:27:36.042481,0.4193,2026-06-01T06:27:36.042481,0.4193,2026-06-01T06:27:58.461573,0.4193,2026-06-01T06:27:36.042481,0.4193,0.3394,trailing,17.92,0.4136,trailing,43.55,0.3394,trailing,17.92,0.374,trailing,22.0,0.4193,stretch,18.67,0.4193,stretch,18.67,0.4193,stretch,19.83,0.4193,stretch,18.67,0.6163,False,,,,False,,,,,,,,,0.0799,9.37,,,2026-06-01T06:05:56,2026-06-01T06:23:52.091147,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
48,,ALGOUSDT,SHORT,CLOSED,0.124,0.1234,0.1233,996.3644679772206,30.0,29890.934039316617,241055.9196719082,STRONG_BUY,0.7476,0.2359,0.2873,27.87,31.39,20.3058,19.2715,0.3116,-0.3107,BEARISH,-0.3139,-0.0793,23.1341,22.5624,37.1,33.4,37.4,0.1305,43.3,49.9,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,C1,,-0.7,0.5696,0.8717,18.4,78.9,2.6,1.0343,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1438,13.788572581886182,27.838538792262547,0.4757,-0.3685,-4.3e-05,-0.6098,-0.8315,-0.125,-0.0312,2026-06-01T04:42:56.169343,0.0983629032258111,38316717.1089,,-0.1665,,,,,,,,,5.380368127076991,13.385835219381063,18.766203346458056,125.86734845668765,0.42108870967742196,0.8244959677419385,-0.063,0.124,0.1229,0.0,0.788,-0.646,2026-06-01T04:48:49.182517,,,NEVER,2,0.9,,True,,False,,,,2.0,1.5,C1,False,,0.42108870967742196,0,,0.3797,-0.646,True,0.1239,0.1228,2026-06-01T04:56:31.907476,2026-06-01T05:27:31.530279,0.9047,0.0176,6.25,37.24,,,0.7435,,25.43,0.2596,32.42,0.1789,,,,,,,,,,0.6628,0.4209,0.2596,0.2596,0.4209,2026-06-01T04:48:20.900962,,,,,,2026-06-01T05:21:15.578913,0.3402,2026-06-01T05:21:30.648968,0.3402,2026-06-01T05:21:30.648968,0.3402,2026-06-01T05:22:29.927551,0.1789,2026-06-01T05:22:34.960747,0.1789,2026-06-01T05:21:54.755427,0.2596,2026-06-01T05:21:54.755427,0.2596,0.2515,trailing,8.04,0.3047,trailing,17.13,0.2515,trailing,8.04,0.2015,trailing,8.04,0.4209,stretch,3.3,0.4209,stretch,3.47,0.3402,stretch,4.29,0.7435,window,,0.4774,False,,,,False,,,,,,,,,,,,,2026-06-01T04:41:43,2026-06-01T04:50:16.979010,TRAILING_STOP L2,MAKER,TAKER,True,
47,,LAUSDT,LONG,CLOSED,0.1086,0.1083,0.1083,524.7919018222665,20.0,10495.83803644533,96646.75908329032,STRONG_BUY,0.06,0.0785,0.0311,54.02,45.86,21.4813,23.0691,0.1413,0.1415,BULLISH,0.0533,0.1067,24.4858,23.4435,69.9,69.9,50.6,0.1647,54.5,50.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,0.7368,0.6537,73.7,21.1,76.5,-1.5878,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.0569,18.252840789090463,17.94859182651288,0.5287,-0.1868,-0.001023,-0.2452,0.2513,0.3252,-0.0337,2026-06-01T03:22:46.950944,0.09407918968691698,42313144.52767,,0.1363,2026-06-01T03:14:16.438835,-0.3661,,,2026-06-01T03:14:16.438835,-0.3661,,,4.7231271164003985,4.710079803924153,9.433206920324551,-38.42723464531248,-0.36611878453039465,0.37019797421731165,-0.5501979742173116,0.1091,0.1086,0.0,0.552,0.0164,2026-06-01T03:22:46.959220,2026-06-01T03:18:25.551237,-0.2899,ENDED_NEG,1,0.45,,False,,False,,,,1.0,1.0,W6,False,-0.36611878453039465,,0,,-0.0975,-0.1852,True,0.1087,0.1071,2026-06-01T03:47:42.192936,2026-06-01T04:30:03.842009,0.0021,-1.4712,2.43,44.79,0.01,-0.2742,-1.2871,0.0,26.12,-0.9187,8.95,-0.3662,,,0.33,-0.3662,2026-06-01T03:54:46.657422,-0.3662,,,,-0.1821,-0.2742,-0.09,-0.3662,-0.8266,,,,,,,,,,,,,,,,,,,,,-1.2871,window,,-1.2871,window,,-1.2871,window,,-1.2871,window,,-1.2871,window,,-1.2871,window,,-1.2871,window,,-1.2871,window,,,False,,,,False,,,,,,,,,-0.3661,12.26,-0.182,6.17,2026-06-01T03:06:25,2026-06-01T03:45:15.893179,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
46,,AVAXUSDT,LONG,CLOSED,9.026,9.026,9.025,518.0719701950025,20.0,10361.439403900049,1147.9547312098437,VERY_STRONG,0.1673,0.1141,0.0598,64.32,50.96,23.3349,22.9968,0.4269,0.4287,BULLISH,0.0865,0.0267,22.5316,22.5743,62.6,50.6,46.4,0.1746,51.0,36.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,1.018,1.3815,57.9,31.6,87.2,0.3381,3.0,HEALTHY_BULL,HEALTHY_BULL,,-0.1213,34.9448728185691,19.772094113178877,0.3251,-0.0614,5e-05,0.0454,0.6034,0.3288,-0.0472,2026-06-01T03:04:09.093961,0.09826002658984553,87232542.231,,0.135,2026-06-01T03:38:29.664674,-0.0568,,,,,,,4.662647731755022,4.662647731755022,9.325295463510043,-9.325295463510043,-0.09,0.375113006869043,-0.2893341458010268,9.068,9.026,0.0,0.3467,0.3476,2026-06-01T03:08:32.267816,2026-06-01T02:47:35.415889,0.1344,ENDED_NEG,1,0.45,,False,,False,,,,1.0,1.0,W6,False,-0.05677764236649552,,0,,-0.0621,-0.1572,True,9.041,8.915,2026-06-01T04:03:03.963627,2026-06-01T04:30:09.895031,0.0762,-1.3198,15.9,43.0,0.01,-0.09,-1.2311,0.0,6.05,-0.1676,7.05,-0.3005,,,0.01,-0.09,2026-06-01T03:54:47.663720,-0.3337,,,,-0.0789,-0.0568,-0.0789,0.0097,-0.5775,,,,,,,,,,,,,,,,,,,,,-1.2311,window,,-1.2311,window,,-1.2311,window,,-1.2311,window,,-1.2311,window,,-1.2311,window,,-1.2311,window,,-1.2311,window,,,False,,,,False,,,,,,,,,-0.0789,16.36,0.0983,26.51,2026-06-01T02:46:05,2026-06-01T03:47:09.375340,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
