id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,runner_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
19,,VICUSDT,LONG,CLOSED,0.04669,0.047,0.047,538.9711708102291,20.0,10779.423416204581,230872.20852869097,VERY_STRONG,0.5815,0.1584,0.2549,57.99,51.7,23.4439,22.5493,0.3384,0.3395,BULLISH,0.1843,0.0373,20.7521,21.7314,49.7,52.0,44.1,0.2989,20.7,14.9,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,,,,0.4599,1.0677,77.1,14.3,70.7,0.8945,5.0,HEALTHY_BULL,CHOPPY_WEAK,,-0.4794,27.931585954834294,13.426208403722544,1.2648,0.0877,-9.6e-05,0.0641,0.7546,0.048,-0.9807,2026-06-02T17:35:01.797127,0.0812657956735848,69169836.20528,10779.423416204581,69169.83620528001,False,,-0.4603,,,,,,,,,4.850740537292062,4.882947210381814,9.733687747673876,61.83669689621981,0.5736549582351633,1.3443510387663247,-0.5609809381023878,0.04736,0.04669,0.0,1.2735,0.7563,2026-06-02T17:42:59.016045,2026-06-02T17:39:10.796719,-0.1442,RECOVERED,2,0.9,,True,,0.1072,False,,,,1.0,1.0,,False,,,0,,0.5173,0.7563,True,0.04711,0.04657,2026-06-02T17:43:47.385821,2026-06-02T17:46:47.748876,,,,,,,,,,,,,,,,,,,,,,0.2099,0.167,-0.1757,,,2026-06-02T17:42:06.606500,,2026-06-02T17:42:38.143951,0.48802206039837104,2026-06-02T17:42:08.765945,0.5522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2317480452719898,False,,,,False,,,2026-06-02T17:35:10.156035,0.2953,,,2026-06-02T17:42:08.765772,0.5522,,,,,2026-06-02T17:34:37,2026-06-02T17:43:28.783174,RUNNER_TRAIL L2,TAKER_FALLBACK,TAKER,True,
18,,XRPUSDT,LONG,CLOSED,1.239,1.2374,1.2371,538.9711708102291,20.0,10779.423416204581,8700.099609527506,STRONG_BUY,0.2131,0.0681,0.0886,56.65,56.96,17.9831,18.3228,0.0811,0.0812,BULLISH,0.1071,0.0373,20.7521,21.7314,49.7,52.0,44.1,0.2989,20.7,14.9,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,0.4599,0.5482,77.1,14.3,89.1,-0.3397,3.0,HEALTHY_BULL,CHOPPY_WEAK,,-0.4794,23.048002100299882,17.541346301127405,0.3805,-0.1348,-9.6e-05,-0.2376,0.2381,0.048,-0.9807,2026-06-02T17:47:31.684850,-0.3130891848264812,859406497.1964,10779.423416204581,500000.0,False,,-0.4709,2026-06-02T17:47:31.677993,-0.3131,,,2026-06-02T17:47:31.677993,-0.3131,,,1.9402962149168248,4.844476465573201,6.7847726804900255,-20.70493205573443,-0.19207828894269938,0.2596957223567396,-0.3695609362389043,1.243,1.239,0.0,,,,,,ENDED_NEG,1,0.45,,False,,-0.0565,False,,,,1.0,1.0,,False,-0.1517413236481114,,0,,-0.0625,-0.0232,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-02T17:47:47.366488,-0.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30244768966919233,False,,,,False,,,2026-06-02T17:47:32.254424,-0.305,,,2026-06-02T17:47:47.366240,-0.2889,-0.3534,12.34,-0.0953,8.3,2026-06-02T17:34:17,2026-06-02T17:49:51.515830,MANUAL,MAKER,TAKER,True,
17,,SEIUSDT,SHORT,CLOSED,0.06520000000000001,0.06582,0.06579,1216.790870388743,30.0,36503.72611166229,559873.099872121,STRONG_BUY,0.6712,0.17,0.2109,34.49,36.18,27.7989,27.9288,0.2633,-0.2626,BEARISH,-0.2812,-0.075,23.7425,24.9059,43.3,43.9,49.8,0.3022,16.5,14.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,W2,,,0.3623,0.468,51.4,40.0,29.6,-0.13,3.0,HEALTHY_BEAR,CHOPPY_FLAT,,-0.6136,17.010555790523963,29.031936531997665,0.6784,-0.7573,-9.6e-05,-1.3653,-0.6422,-0.1283,-1.0057,,,54730387.54463,36503.72611166229,54730.38754463,False,,-0.5465,2026-06-02T17:22:15.200213,-0.6154,,,2026-06-02T17:24:00.843065,-0.9069,,,6.570670700099213,16.58288134511235,23.153552045211566,-370.2748739659241,-1.0143481595091954,0.05975460122701013,-1.0143481595091954,0.06520000000000001,0.06512,0.0,0.3351,-0.3416,2026-06-02T17:18:04.041895,2026-06-02T17:24:58.789076,-0.4897,ENDED_NEG,1,0.45,,False,,-0.0921,False,,,,2.0,1.5,W2,False,-0.6153957055214497,,0,,-0.4897,0.0561,True,0.0662,0.06571,2026-06-02T17:39:05.275661,2026-06-02T17:42:58.396081,,,,,,,,,,,,,,,,,,,,,,-1.2286,-0.9219,-1.1366,-1.4587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3350702951031303,False,,,,False,,,2026-06-02T17:22:51.237357,-0.6154,,,,,,,-0.3852,5.01,2026-06-02T17:16:18,2026-06-02T17:24:58.792323,STOP_LOSS L1,MAKER,TAKER,True,
16,,JTOUSDT,SHORT,CLOSED,0.6094,0.6163,0.6127,1337.9869296551772,20.0,26759.738593103542,43911.615676244735,VERY_STRONG,0.63,0.0922,0.1627,38.99,43.95,33.4361,34.2414,0.4294,-0.4276,BEARISH,-0.2422,-0.0859,32.8463,32.23,34.7,36.8,35.4,0.207,19.6,20.4,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,,,,0.8293,0.5269,48.6,28.6,29.0,-0.8053,2.0,STRONG_BEAR,STRONG_BEAR,,-0.4509,14.837583668952883,23.68529267047548,1.1857,-1.168,0.0001,-1.785,-0.6813,-0.2212,-0.6204,2026-06-02T13:37:21.002982,0.08475270758122938,111026388.3257,,,False,,-0.4477,2026-06-02T13:42:53.093043,-0.7853,,,2026-06-02T13:43:24.849975,-1.1137,,,4.816752946758638,12.178227933571332,16.99498088032997,-319.98512904641456,-1.1957707581227284,0.2653393501805057,-1.1957707581227284,0.6094,0.6074,0.0,0.7436,-0.3373,2026-06-02T13:37:21.326557,2026-06-02T13:43:24.888583,-0.5409,ENDED_NEG,1,0.45,,True,,,False,,,,2.0,1.0,PAIR_35-40_30-35,False,-0.7853465703971054,,0,,-0.5409,-0.1502,True,0.6296,0.6131,2026-06-02T14:14:53.365509,2026-06-02T13:49:40.961703,-0.6702,-3.3777,31.47,6.26,0.98,-1.4086,-2.2455,0.0,0.98,-1.4086,2.96,-1.4086,,,0.98,-1.4086,,,,,,-1.425,-1.6875,-1.146,-1.3101,-2.6885,,,,,,,,,,,,,,,,,,,,,-2.2455,window,,-2.2455,window,,-2.2455,window,,-2.2455,window,,-2.2455,window,,-2.2455,window,,-2.2455,window,,-2.2455,window,,-2.2455,window,,,0.6938520365544462,False,,,,False,,,,,,,,,,,-0.4242,3.98,2026-06-02T13:36:22,2026-06-02T13:43:24.891736,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
15,,TONUSDT,SHORT,CLOSED,2.0212,2.0159,2.0142,1371.7680490234995,30.0,41153.041470704986,20360.697343511274,VERY_STRONG,0.7384,0.2147,0.2617,34.09,38.95,30.1251,29.1593,0.3735,-0.3721,BEARISH,-0.3106,-0.0315,38.5263,39.3696,43.8,44.9,44.4,0.227,24.7,24.9,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,W1+W2+W6,,,0.8427,1.0605,20.0,62.9,2.1,0.9658,2.0,STRONG_BEAR,STRONG_BEAR,,-0.3827,11.842032843233,29.47730119202249,0.6366,-0.5643,6e-05,-0.8814,-0.8463,-0.0558,-0.4913,2026-06-02T08:09:47.276669,0.03869433999602779,382190226.96125,,,False,,-0.3905,,,,,,,,,18.518868661817244,18.470308398652968,36.98917706047021,70.92251886014122,0.1723384622996281,0.48912452998218,-0.5899280130615475,2.0212,2.0095,0.0,0.5831,-0.3532,2026-06-02T08:22:57.089923,2026-06-02T08:06:02.706934,0.0526,NEVER,1,0.45,,True,,,False,,,,2.0,1.5,W1+W2+W6,False,,0.1723384622996281,0,,0.2389,-0.3781,True,2.0171,1.9843,2026-06-02T08:23:46.749562,2026-06-02T08:30:53.545852,1.7356,0.1128,0.07,7.19,,,0.9935,,20.17,1.2805,10.27,1.3794,,,,,,,,,,1.132,1.4388,1.4388,1.3794,0.8797,,,,,,,2026-06-02T08:25:51.816139,1.3745,2026-06-02T08:25:52.821095,1.3745,2026-06-02T08:25:53.826243,1.3943,2026-06-02T08:46:13.370982,1.137,2026-06-02T08:46:18.394364,1.0727,2026-06-02T08:33:11.166744,1.3201,2026-06-02T08:33:26.229816,1.2953,0.2391,trailing,18.92,1.1356,trailing,39.15,0.2391,trailing,18.92,0.1891,trailing,19.52,0.2218,stretch,19.52,0.1376,stretch,19.53,1.4932,stretch,26.92,0.2812,stretch,18.86,1.132,ema5_cross,39.15,1.7232,0.6417693666117066,False,,,,False,,,,,,,,,-0.1642,11.94,-0.1642,11.94,2026-06-02T08:04:10,2026-06-02T08:23:42.055213,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
14,,AAVEUSDT,SHORT,CLOSED,78.18,77.93,77.91,703.7584860565369,20.0,14075.169721130736,180.0354274895208,STRONG_BUY,0.5162,0.1469,0.1917,28.18,32.4,25.9157,24.5985,0.2356,-0.2351,BEARISH,-0.2107,-0.1041,31.7772,30.7679,34.0,36.6,35.4,0.1807,28.2,26.2,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,,,,0.7939,1.4934,14.3,80.0,2.6,1.3171,4.0,STRONG_BEAR,BEAR_EXHAUSTED,,-0.3527,13.18723547115534,33.114817676657665,0.328,-0.2839,6e-05,-0.4716,-0.5727,-0.2272,-0.4352,2026-06-02T06:46:44.357654,0.08915451522128492,76388345.448,,,False,,-0.4339,,,,,,,,,6.333826374508831,6.313572388916261,12.647398763425091,32.361458108955105,0.22991877718086465,0.5882278076234345,-0.37152852391915947,78.18,77.65,0.0,0.4811,-0.3089,2026-06-02T06:57:39.453759,2026-06-02T06:14:15.668103,0.095,RECOVERED,2,0.9,,True,,,False,,,,1.0,1.0,,False,,0.22991877718086465,0,,0.1287,-0.3004,True,78.04,77.3,2026-06-02T07:18:59.890682,2026-06-02T07:03:12.263855,1.0356,0.0891,20.26,4.47,,,0.2554,,11.6,0.4984,10.6,0.5623,,,,,2026-06-02T07:40:37.917025,0.2809,,,,0.2426,0.2042,0.7926,0.5368,0.8437,2026-06-02T06:57:39.364214,,,,,,,,2026-06-02T07:05:05.714387,0.7158,2026-06-02T07:05:20.976170,0.6903,2026-06-02T07:05:13.898023,0.6647,2026-06-02T07:05:20.976170,0.6903,2026-06-02T06:59:10.026569,0.1786,2026-06-02T06:59:09.016778,0.1914,0.3382,trailing,44.52,0.4356,trailing,54.39,0.3382,trailing,44.52,0.2882,trailing,44.53,0.3451,stretch,44.45,0.2939,stretch,44.53,0.2427,stretch,44.91,0.3323,stretch,44.52,0.3961,ema5_cross,57.68,0.7865,0.44231910800445723,False,,,,False,,,,,,,,,-0.1796,12.88,-0.282,14.86,2026-06-02T06:13:49,2026-06-02T06:58:43.936224,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
13,,SOLUSDT,SHORT,CLOSED,79.39,79.77,79.78,1407.5169721130737,30.0,42225.50916339221,531.8744068949768,VERY_STRONG,0.4975,0.1272,0.1806,27.35,30.66,33.6257,31.6222,0.2495,-0.2489,BEARISH,-0.1953,-0.1041,31.7772,30.7679,34.0,36.6,35.4,0.1807,28.2,26.2,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,C1,,-0.7,0.7939,1.321,14.3,80.0,2.0,2.0035,3.0,STRONG_BEAR,STRONG_BEAR,,-0.3527,9.38927431100874,37.1739015073152,0.2867,-0.3553,6e-05,-0.5475,-0.5557,-0.2272,-0.4352,2026-06-02T07:03:06.888605,0.09902569593148469,1821374282.5389,,,False,,-0.4907,2026-06-02T06:51:14.175634,-0.4428,,,2026-06-02T07:15:11.678427,-0.4302,,,19.001479123526494,19.092429647105533,38.09390877063203,-240.20618339072078,-0.5688650963597373,0.2880513918629515,-0.6318736616702263,79.39,79.09,0.0,0.4389,-0.1519,2026-06-02T07:04:04.028162,2026-06-02T07:16:03.898405,-0.4331,ENDED_NEG,1,0.45,,False,,,False,,,,2.0,1.5,C1,False,-0.4428479657387595,,0,,-0.2471,0.1831,True,79.89,79.36,2026-06-02T07:18:54.859098,2026-06-02T07:28:01.710875,-0.0522,-0.7198,2.6,11.71,0.01,-0.5812,-0.3923,0.0,0.01,-0.5812,2.97,-0.6064,,,0.01,-0.5812,2026-06-02T07:40:38.934754,-0.6064,,,,-0.5435,-0.6316,-0.5435,-0.2537,-0.4553,,,,,,,,,,,,,,,,,,,,,-0.3923,window,,-0.3923,window,,-0.3923,window,,-0.3923,window,,-0.3923,window,,-0.3923,window,,-0.3923,window,,-0.3923,window,,-0.3923,window,,,0.4302497044855057,False,,,,False,,,,,,,,,-0.2538,13.23,-0.3168,3.33,2026-06-02T06:13:28,2026-06-02T07:16:18.545554,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
12,,AVAXUSDT,SHORT,CLOSED,8.728,8.686,8.682,703.7584860565369,20.0,14075.169721130736,1612.6454767565006,STRONG_BUY,0.4333,0.1227,0.1567,32.93,31.13,28.2404,26.9389,0.2284,-0.2279,BEARISH,-0.196,-0.1317,30.7954,29.7099,33.8,33.9,39.0,0.1871,28.5,26.2,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,,,,0.8908,1.394,14.3,82.9,2.9,1.3015,5.0,STRONG_BEAR,STRONG_BEAR,,-0.3449,10.659622594056865,28.215583337292195,0.3299,-0.274,6e-05,-0.455,-0.5064,-0.225,-0.4335,2026-06-02T06:15:03.554754,,134835624.084,,,False,,-0.3779,,,,,,,,,2.5335305498035328,6.3033473749981335,8.836877924801666,58.89423209897106,0.41842644362969544,0.7737650091659075,-0.1890878780935038,8.728,8.655,0.0,0.805,-0.3694,2026-06-02T06:18:44.100237,2026-06-02T06:11:17.679209,0.0707,NEVER,2,0.9,,True,,,False,,,,1.0,1.0,,False,,0.41842644362969544,0,,0.1638,-0.5637,True,8.728,8.662,2026-06-02T06:51:56.138529,2026-06-02T07:04:03.900105,0.6932,-0.063,29.63,41.76,,,0.4068,,3.4,0.3609,4.39,0.2349,,,,,,,,,,0.3838,0.3724,0.1089,0.063,0.0172,2026-06-02T06:18:19.672051,,,,,,,,2026-06-02T06:26:57.094654,0.1203,2026-06-02T06:50:12.861764,0.0974,2026-06-02T06:26:55.067280,0.1547,,,2026-06-02T06:26:55.067280,0.1547,2026-06-02T06:26:59.124496,0.1089,0.5238,trailing,10.0,0.1738,trailing,17.7,0.5238,trailing,10.0,0.4738,trailing,13.05,0.5445,stretch,11.63,0.5445,stretch,11.63,0.4872,stretch,13.02,0.4757,stretch,13.05,0.2463,ema5_cross,17.35,0.805,0.758465015899807,False,,,,False,,,,,,,,,,,,,2026-06-02T06:09:10,2026-06-02T06:22:18.000082,TRAILING_STOP L2,MAKER,TAKER,True,
11,,SUIUSDT,SHORT,CLOSED,0.8561000000000001,0.8539,0.8537,1365.4110819558086,30.0,40962.33245867426,47847.60245143588,STRONG_BUY,0.6139,0.1734,0.2254,27.84,31.69,23.3543,21.8752,0.314,-0.3131,BEARISH,-0.264,-0.089,23.4728,21.785,35.7,35.4,42.6,0.1746,28.8,32.0,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,C1,,-0.7,0.6361,1.1109,28.6,65.7,2.1,1.4791,2.0,HEALTHY_BEAR,BEAR_EXHAUSTED,,-0.2219,13.757083877697607,34.16263395062767,0.382,-0.3968,6e-05,-0.5832,-0.7102,-0.2167,-0.3552,2026-06-02T05:51:19.811412,0.08891975236538709,239880780.55221,,,False,,-0.3469,,,,,,,,,7.373219842561367,18.385680479976493,25.758900322537862,79.5058250706254,0.19409496554141928,0.4511899310828256,-0.21491975236537408,0.8561000000000001,0.8517,0.0,0.5277,-0.4482,2026-06-02T05:59:31.971411,2026-06-02T05:46:13.503686,0.1502,NEVER,1,0.45,,True,,,False,,,,2.0,1.5,C1,False,,0.19409496554141928,0,,0.105,-0.467,False,0.8573,0.8492,2026-06-02T06:32:19.038912,2026-06-02T06:21:26.285162,0.743,-0.2032,30.97,20.09,34.26,-0.0163,0.0304,0.743,4.6,0.1239,15.45,0.2407,,,34.31,-0.0396,,,,,,0.3458,0.2407,0.2407,0.2524,-0.063,,,,,,,2026-06-02T06:14:19.337298,0.2991,2026-06-02T06:09:26.039945,0.229,2026-06-02T06:14:21.368506,0.3108,2026-06-02T06:16:31.396131,0.2057,2026-06-02T06:22:18.134637,0.3458,2026-06-02T06:14:38.624988,0.3108,2026-06-02T06:22:18.134637,0.3458,0.2012,trailing,15.24,0.143,trailing,43.5,0.2012,trailing,15.24,0.1512,trailing,15.56,0.346,stretch,14.9,0.2993,stretch,14.99,0.2408,stretch,15.07,0.346,stretch,14.9,0.1239,ema5_cross,25.13,0.5277,0.5030610640230699,False,,,,False,,,,,,,,,,,,,2026-06-02T05:46:05,2026-06-02T06:01:20.556810,TRAILING_STOP L1,MAKER,TAKER,True,
10,,AVAXUSDT,LONG,CLOSED,8.86,8.837,8.837,586.2167747138192,20.0,11724.335494276384,1323.2884305052353,STRONG_BUY,0.2817,0.1039,0.1251,58.51,55.31,19.8238,21.0718,0.1455,0.1458,BULLISH,0.117,0.0475,21.6616,22.9449,56.4,55.0,52.1,0.2278,34.6,31.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.7343,0.501,77.8,13.9,96.0,-1.248,4.0,HEALTHY_BULL,CHOPPY_WEAK,,-0.1619,23.4171531700534,21.790080520589346,0.3783,-0.0922,5e-05,-0.1426,0.3752,0.1757,-0.4014,2026-06-02T03:54:02.493292,0.09050564334085796,133244613.32,,,False,,-0.0626,2026-06-02T04:05:31.250191,-0.1464,,,2026-06-02T04:07:17.845694,-0.2479,,,5.275950972424372,5.262254937168644,10.538205909593016,-40.97383981121301,-0.34947686230247954,0.2710112866817159,-0.34947686230247954,8.892,8.86,0.0,0.2628,0.1352,2026-06-02T03:54:38.211029,2026-06-02T04:08:20.276912,-0.2783,ENDED_NEG,1,0.45,,False,,,False,,,,2.0,1.0,UNMATCHED,True,-0.14640801354400684,,0,,-0.2444,-0.1246,True,8.861,8.811,2026-06-02T04:29:13.059027,2026-06-02T04:10:28.797394,-0.0787,-0.643,20.7,1.96,0.0,-0.3496,-0.4512,0.0,0.0,-0.3496,2.97,-0.5753,,,0.0,-0.3496,2026-06-02T04:08:31.156215,-0.3496,,,,-0.4173,-0.6318,-0.3722,-0.4737,-0.2932,,,,,,,,,,,,,,,,,,,,,-0.4512,window,,-0.4512,window,,-0.4512,window,,-0.4512,window,,-0.4512,window,,-0.4512,window,,-0.4512,window,,-0.4512,window,,-0.4512,window,,,0.3195146040986492,False,,,,False,,,2026-06-02T04:08:01.635297,-0.2818,,,,,-0.0223,6.02,-0.0787,7.02,2026-06-02T03:29:29,2026-06-02T04:08:30.721043,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
