id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,runner_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
64,,ONDOUSDT,LONG,CLOSED,0.3524,0.3484,0.3486,222.87228192484736,20.0,4457.445638496947,12648.82417280632,STRONG_BUY,0.1299,0.1389,0.0577,53.43,50.88,16.1997,17.0741,0.2104,0.2109,BULLISH,0.1299,0.0341,18.7457,19.7289,49.9,52.9,31.8,0.3759,43.1,39.6,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,,,0.8721,0.9302,52.3,29.5,77.9,-0.8745,2.0,HEALTHY_BULL,CHOPPY_FLAT,,-0.3259,17.531267587837345,15.915215224954702,0.7869,-0.4442,5e-05,-0.5879,0.4079,0.1139,-0.3788,,,156059542.46322,4457.445638496947,156059.54246322002,False,,-0.3356,2026-06-05T12:28:05.085082,-0.4601,,,2026-06-05T12:27:58.251996,-0.375,,,0.8023402149294505,1.9830826538125748,2.7854228687420255,-53.38071955996735,-1.1975629965947798,0.07882037457434748,-1.1975629965947798,0.3529,0.3524,0.0,0.4274,0.5179,2026-06-05T12:30:05.685710,2026-06-05T12:31:16.147811,-0.7726,ENDED_NEG,1,0.45,,False,,-0.0284,False,,,,1.0,1.0,,False,-0.46009704880817603,,0,,-0.7726,0.4329,True,0.358,0.3484,2026-06-05T13:15:12.912743,2026-06-05T12:31:16.498034,1.5261,-1.1981,43.94,0.0,0.01,-1.1413,1.2991,0.0,0.22,-0.9994,5.81,-0.6305,,,4.69,-1.0562,2026-06-05T12:31:17.355587,-1.1413,,,,-0.9994,-0.517,-1.0278,-0.3468,0.391,,,,,,,2026-06-05T13:11:12.615574,1.0437,2026-06-05T13:06:09.060107,1.1572,2026-06-05T13:06:09.060107,1.1572,2026-06-05T13:11:11.611506,1.0721,2026-06-05T13:11:11.611506,1.0721,2026-06-05T13:06:41.203490,1.0721,2026-06-05T13:11:11.611506,1.0721,0.5897,ema13,34.94,0.5897,ema13,34.94,0.5897,ema13,34.94,0.5897,ema13,34.94,0.5897,ema13,34.94,0.5897,ema13,34.94,0.5897,ema13,34.94,0.5897,ema13,34.94,0.5897,ema13,34.94,1.2601,0.3709669127200716,False,,,,False,,,2026-06-05T12:28:37.799011,-0.4885,,,,,,,-0.5168,3.41,2026-06-05T12:26:57,2026-06-05T12:31:16.150981,STOP_LOSS L1,MAKER,TAKER,True,
63,,SOLUSDT,LONG,CLOSED,65.93900000000001,65.48,65.49,229.25565726787377,20.0,4585.113145357475,69.53567911793438,STRONG_BUY,0.2371,0.0629,0.1123,56.08,52.37,16.7749,17.9625,0.1826,0.1829,BULLISH,0.1068,0.0872,22.126,22.7972,57.9,55.3,68.5,0.4682,45.0,47.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,W2+W6,,,0.2821,0.3781,36.4,50.0,86.7,-1.1876,2.0,HEALTHY_BULL,HEALTHY_BULL,,0.1163,20.828304331004464,20.279085791279318,0.6594,-0.1541,-0.000159,-0.476,0.3585,0.2463,-0.3312,,,2909980613.1156,4585.113145357475,500000.0,False,,0.0893,2026-06-05T08:36:33.363711,-0.4101,,,2026-06-05T08:37:16.579965,-0.4708,,,0.8253203661643456,2.048938320889054,2.8742586870533997,-34.7911354021855,-0.7587846646142695,0.12042035820985322,-0.7891020791944272,66.06,65.93900000000001,0.0,0.3841,0.2053,2026-06-05T08:32:01.560539,2026-06-05T08:38:35.193286,-0.4528,ENDED_NEG,1,0.45,,False,,-0.0015,False,,,,1.0,1.0,W2+W6,False,-0.4101343969426491,,0,,-0.3101,-0.0168,True,66.44,65.02,2026-06-05T09:15:04.071762,2026-06-05T08:55:49.365608,0.6968,-1.4567,35.36,16.11,0.01,-0.7591,0.2873,0.0,0.01,-0.7591,14.6,-1.3657,,,0.01,-0.7591,2026-06-05T08:40:17.845409,-0.8046,,,,-0.8046,-0.7743,-0.8956,-1.2292,-0.3496,,,,,,,,,2026-06-05T09:16:10.407259,0.1205,2026-06-05T09:17:38.850571,0.1357,2026-06-05T09:16:24.475375,0.1205,2026-06-05T09:16:26.484665,0.2418,2026-06-05T09:18:00.952002,0.1053,2026-06-05T09:16:26.484665,0.2418,0.6058,ema13,44.32,0.6058,ema13,44.32,0.6058,ema13,44.32,0.6058,ema13,44.32,0.6058,ema13,44.32,0.6058,ema13,44.32,0.6058,ema13,44.32,0.6058,ema13,44.32,0.6058,ema13,44.32,1.094,0.32372688222189083,False,,,,False,,,,,,,,,-0.5162,6.74,-0.2737,3.37,2026-06-05T08:30:42,2026-06-05T08:39:42.360282,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
62,,XLMUSDT,LONG,CLOSED,0.1933,0.19112,0.19113,240.08624200823482,20.0,4801.724840164697,24840.79068890169,VERY_STRONG,0.2937,0.2817,0.1379,57.26,49.87,28.4549,30.2236,0.5595,0.5626,BULLISH,0.2114,0.3179,26.7677,26.9515,66.6,68.5,57.6,0.5109,47.0,47.4,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,,,0.4446,0.4615,93.2,6.8,80.0,-1.7687,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.0317,20.427475520793614,22.788045600815284,1.0621,-0.9489,-0.000159,-1.0849,0.985,0.7674,-0.2942,,,219684888.45829,4801.724840164697,219684.88845829002,False,,0.0612,2026-06-05T08:05:36.152261,-1.0817,,,2026-06-05T08:05:26.831519,-0.9317,,,0.8643104712296454,2.136407362408301,3.000717833637946,-57.15364153544331,-1.1902731505431905,0.0,-1.1902731505431905,0.1933,0.1933,0.0,,,,2026-06-05T08:07:05.674508,-0.3237,ENDED_NEG,1,0.45,,True,,-0.0414,False,,,,1.0,1.0,,False,-1.0816826176927052,,0,,-0.3237,0.4475,True,0.19133,0.18819,2026-06-05T08:41:56.928158,2026-06-05T08:30:16.091498,-1.0821,-2.7066,34.85,23.17,1.13,-1.2063,-1.5943,0.0,0.01,-1.2063,3.38,-1.8788,,,3.38,-1.8788,2026-06-05T08:40:16.837192,-1.734,,,,-1.1856,-1.6512,-1.853,-2.0651,-2.1116,,,,,,,,,,,,,,,,,,,,,-1.5943,window,,-1.5943,window,,-1.5943,window,,-1.5943,window,,-1.5943,window,,-1.5943,window,,-1.5943,window,,-1.5943,window,,-1.5943,window,,,0.3430344912679391,False,,,,False,,,,,,,,,-1.0713,4.49,,,2026-06-05T08:01:29,2026-06-05T08:07:05.677279,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
61,,RENDERUSDT,LONG,CLOSED,1.741,1.75,1.75,246.19035718377853,20.0,4923.807143675571,2828.1488476022805,VERY_STRONG,0.3361,0.3325,0.1866,53.91,55.99,28.864,30.9297,0.3254,0.3264,BULLISH,0.2575,0.3261,27.7268,28.39,65.5,65.1,38.5,0.5651,45.4,35.3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,,,0.8075,0.4273,90.9,9.1,83.0,-2.0657,3.0,HEALTHY_BULL,HEALTHY_BULL,,-0.2922,20.299614835394483,21.13219256575614,1.1942,-1.3003,-0.000159,-1.6258,0.8479,0.957,-0.4796,2026-06-05T07:54:01.445275,0.05182481332567499,83150293.6413,4923.807143675571,83150.2936413,False,,-0.0732,,,,,,,,,0.8862852858616028,2.2271672174867962,3.113452503348399,22.339887125071836,0.45371165996553114,0.45371165996553114,-0.407474439977025,1.75,1.741,0.0,0.6223,0.5384,2026-06-05T07:59:58.919536,2026-06-05T07:50:53.602132,-0.0768,RECOVERED,1,0.45,,True,,-0.0574,False,,,,1.0,1.0,,False,,,0,,0.6223,0.5384,True,1.75,1.702,2026-06-05T08:00:00.481986,2026-06-05T08:44:59.426776,0.4539,-2.3031,0.0,44.98,9.34,-0.5799,-2.3031,0.4539,5.97,-0.1204,5.97,-0.1204,,,16.07,-1.4415,2026-06-05T08:40:15.830479,-1.9585,,,,0.1093,-0.063,-0.1204,-1.0969,-0.8097,,,,,,,,,2026-06-05T08:00:43.585668,0.1668,,,2026-06-05T08:02:01.637463,0.1093,,,,,2026-06-05T08:01:13.057398,0.0519,0.2039,trailing,9.93,-0.1461,trailing,11.6,0.2039,trailing,9.93,0.1539,trailing,10.01,0.1093,stretch,10.01,0.1668,stretch,10.1,0.1668,stretch,10.1,-0.7,hard_sl,18.8,-0.063,ema5_cross,10.89,0.6223,0.6222727157186826,False,,,,False,,,,,,,,,-0.2926,1.13,,,2026-06-05T07:50:13,2026-06-05T07:59:59.826587,TRAILING_STOP L1,MAKER,TAKER,True,
60,,INJUSDT,LONG,CLOSED,5.19,5.131,5.134,246.19035718377853,20.0,4923.807143675571,948.7104323074317,VERY_STRONG,0.0715,0.2386,0.0579,53.23,48.85,29.4823,30.7119,0.432,0.4339,BULLISH,0.13,0.3226,27.48,28.39,65.2,65.1,38.5,0.5364,45.3,35.3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,,,0.5962,0.4403,90.9,9.1,83.0,-1.2296,2.0,HEALTHY_BULL,HEALTHY_BULL,,-0.2959,17.4346108182051,22.875675023140936,1.1125,-1.0464,-0.000159,-1.3793,0.7318,0.9262,-0.4817,,,113598603.2861,4923.807143675571,113598.6032861,False,,-0.1001,2026-06-05T07:47:06.823865,-0.7948,,,2026-06-05T07:47:00.186053,-0.5637,,,0.8862852858616028,2.1905249526762445,3.0768102385378473,-59.05072574467647,-1.1992899807321802,0.09107321772639705,-1.1992899807321802,5.198,5.19,0.0,0.5661,0.8322,2026-06-05T07:46:00.685381,2026-06-05T07:56:57.389678,-0.5427,ENDED_NEG,1,0.45,,False,,-0.0193,False,,,,1.0,1.0,,False,-0.7948477842003903,,0,,-0.5427,0.0288,True,5.161,5.021,2026-06-05T08:02:19.890303,2026-06-05T08:38:35.371427,-0.6218,-3.3193,5.37,41.63,0.01,-1.1998,-2.9146,0.0,0.01,-1.1998,9.02,-1.5274,,,7.9,-1.6044,2026-06-05T08:40:14.823848,-2.9917,,,,-1.0842,-0.9493,-0.8144,-2.1632,-2.4715,,,,,,,,,,,,,,,,,,,,,-2.9146,window,,-2.9146,window,,-2.9146,window,,-2.9146,window,,-2.9146,window,,-2.9146,window,,-2.9146,window,,-2.9146,window,,-2.9146,window,,,0.7392614404581803,False,,,,False,,,,,,,,,-0.4289,5.66,,,2026-06-05T07:45:41,2026-06-05T07:56:57.392075,STOP_LOSS L1,MAKER,TAKER,True,
59,,SOLUSDT,LONG,CLOSED,67.85,67.35,67.36,165.45995333669185,20.0,3309.199066733837,48.772278065347635,STRONG_BUY,0.2319,0.0742,0.0955,56.47,51.95,16.2899,16.5905,0.1628,0.163,BULLISH,0.0944,0.146,24.2141,23.5493,63.5,62.9,61.2,0.3397,48.5,49.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,W2+W6,,,0.5625,0.3832,77.3,11.4,86.0,-0.3006,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.275,22.243542210583502,17.342171080896314,0.5524,-0.0704,5e-05,-0.1038,0.333,0.3465,-0.1384,,,2443038498.765,3309.199066733837,500000.0,False,,0.2403,2026-06-05T05:34:49.088019,-0.473,,,2026-06-05T05:35:25.880147,-0.5614,,,1.4891395800302265,1.4781658174655234,2.9673053974957497,-27.353444430169567,-0.8265880619012529,0.0,-0.8265880619012529,67.86,67.85,0.0,,,,2026-06-05T05:36:15.266883,-0.384,ENDED_NEG,1,0.45,,True,,0.0442,False,,,,1.0,1.0,W2+W6,False,-0.47302579218863805,,0,,-0.384,0.0177,True,67.39,64.86,2026-06-05T05:36:56.939034,2026-06-05T06:21:14.565966,-0.768,-4.4968,0.69,44.98,1.09,-0.9596,-4.482,0.0,0.0,-0.8122,11.18,-2.4187,,,1.09,-0.9596,2026-06-05T05:40:15.782558,-1.0922,,,,-0.9448,-1.3133,-1.4165,-1.9028,-2.4629,,,,,,,,,,,,,,,,,,,,,-4.482,window,,-4.482,window,,-4.482,window,,-4.482,window,,-4.482,window,,-4.482,window,,-4.482,window,,-4.482,window,,-4.482,window,,,0.20689903028308132,False,,,,False,,,,,,,,,-0.7677,4.58,-0.7677,4.58,2026-06-05T05:31:38,2026-06-05T05:36:15.269772,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
58,,DOTUSDT,LONG,CLOSED,1.022,1.014,1.014,244.56489978385167,20.0,4891.297995677033,4786.005866611578,STRONG_BUY,0.2054,0.0638,0.0838,57.73,51.37,16.0332,16.2049,0.3211,0.3221,BULLISH,0.0765,0.1191,23.4698,22.9351,61.5,59.7,68.4,0.3458,47.6,49.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,W2+W6,,,0.5952,0.5639,68.2,18.2,78.6,-0.1717,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.2299,24.922801874718996,18.877710721775586,0.6464,-0.1038,5e-05,-0.1828,0.4702,0.2946,-0.1508,,,89249223.11,4891.297995677033,89249.22311,False,,0.2281,2026-06-05T05:34:55.737828,-0.4542,,,2026-06-05T05:35:23.542535,-0.552,,,0.880433639221866,2.183854476934863,3.064288116156729,-41.352335049049394,-0.8454266144814097,0.13260665362035243,-0.9432299412915967,1.024,1.022,0.0,0.4185,0.1522,2026-06-05T05:28:29.400976,2026-06-05T05:36:24.812196,-0.5286,ENDED_NEG,1,0.45,,False,,-0.0978,False,,,,1.0,1.0,W2+W6,False,-0.45421330724070486,,0,,-0.3309,-0.0705,True,1.015,0.96,2026-06-05T05:37:22.889810,2026-06-05T06:22:17.054880,-0.7479,-6.1295,0.02,44.93,0.01,-0.8458,-5.836,0.0,0.01,-0.8458,6.72,-1.6286,,,0.01,-0.8458,2026-06-05T05:40:16.796342,-0.9436,,,,-0.9436,-1.0415,-1.335,-1.1393,-2.607,,,,,,,,,,,,,,,,,,,,,-5.836,window,,-5.836,window,,-5.836,window,,-5.836,window,,-5.836,window,,-5.836,window,,-5.836,window,,-5.836,window,,-5.836,window,,,0.41886073835019233,False,,,,False,,,,,,,,,-0.6498,8.3,-0.6498,8.3,2026-06-05T05:27:56,2026-06-05T05:37:21.101444,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
57,,NEARUSDT,LONG,CLOSED,2.199,2.218,2.218,281.44288428103783,20.0,5628.8576856207565,2559.735191278198,STRONG_BUY,0.3691,0.0918,0.1494,57.67,51.95,16.1643,16.3411,0.5326,0.5354,BULLISH,0.124,0.1191,23.4698,22.9351,61.5,59.7,68.4,0.3458,47.6,49.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,W2+W6,,,0.5952,0.7178,68.2,18.2,87.5,-0.1768,5.0,HEALTHY_BULL,HEALTHY_BULL,,0.2299,21.259340226057255,16.081855391352764,1.052,-0.0814,5e-05,-0.2447,0.778,0.2946,-0.1508,2026-06-05T05:32:05.004029,0.04636425648022345,735477539.628,5628.8576856207565,500000.0,False,,0.2691,,,,,,,,,2.5329859585293404,2.554871694414769,5.087857652944109,43.54711098134198,0.7736402910413884,1.546371077762621,-0.4536380172805825,2.235,2.199,0.0,1.7553,0.8447,2026-06-05T05:32:56.069337,2026-06-05T05:29:44.846591,0.32,NEVER,1,0.45,,True,,0.2736,False,,,,1.0,1.0,W2+W6,False,,,0,,1.0023,0.8447,True,2.229,2.126,2026-06-05T05:34:40.922165,2026-06-05T06:18:42.193067,1.2743,-3.4097,0.96,44.99,14.85,-0.9995,-3.4097,1.2743,8.11,0.774,3.63,0.8195,,,22.71,-0.8631,2026-06-05T05:40:13.756474,0.9559,,,,1.2288,1.0469,0.6376,-1.0905,-1.2724,2026-06-05T05:32:05.117338,0.04636425648022345,2026-06-05T05:32:05.680585,,,,2026-06-05T05:33:44.108456,0.8195,2026-06-05T05:33:43.057842,0.774,2026-06-05T05:33:43.057842,0.774,2026-06-05T05:33:43.057842,0.774,2026-06-05T05:33:43.057842,0.774,2026-06-05T05:33:43.057842,0.774,2026-06-05T05:34:10.049923,0.9559,0.2509,trailing,4.17,0.9464,trailing,5.76,0.2509,trailing,4.17,0.2009,trailing,4.17,0.7736,stretch,5.79,0.9559,stretch,8.3,0.7286,stretch,8.49,0.6376,stretch,8.59,0.3648,ema5_cross,13.29,2.0703,2.0264492627202695,False,,,,False,,,,,,,,,,,,,2026-06-05T05:27:54,2026-06-05T05:33:42.737556,RUNNER_TRAIL L1,TAKER_FALLBACK,TAKER,True,
56,,币安人生USDT,LONG,CLOSED,0.67261,0.67304,0.67333,162.34631035840863,30.0,4870.389310752259,7241.030182055364,VERY_STRONG,0.2831,0.1183,0.1404,54.15,52.52,24.6718,25.5852,0.2429,0.2435,BULLISH,0.138,0.1125,23.4698,22.9351,60.3,59.7,68.4,0.3411,47.2,49.4,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,True,,,,0.5276,0.6692,70.5,20.5,66.7,-0.9134,5.0,HEALTHY_BULL,HEALTHY_BULL,,0.2228,24.869387497761988,19.226031860603356,0.9686,-0.5767,5e-05,-0.9287,0.5029,0.2353,-0.1552,2026-06-05T05:27:17.828470,0.09873173161267204,110424535.79103,4870.389310752259,110424.53579103001,False,,0.2342,,,,,,,,,2.1916751898385165,2.193076329178744,4.384751519017261,-1.271108540733958,-0.026098705044538383,0.4672787350767785,-0.22374689641843143,0.67636,0.67261,0.0,0.9685,0.3132,2026-06-05T05:27:17.847482,2026-06-05T05:26:43.671525,0.283,NEVER,1,0.45,,True,,0.1743,False,,,,2.0,1.5,BTC_60-65_22-25,True,,-0.026098705044538383,0,,0.3176,0.4757,False,0.69064,0.66616,2026-06-05T06:08:06.335686,2026-06-05T05:37:48.538302,2.5906,-1.049,37.72,7.42,6.96,-0.9018,0.1063,0.0453,6.96,-0.9018,3.57,-0.3755,,,,,2026-06-05T05:40:12.745484,-0.8334,,,,0.0022,-0.2223,-0.6565,0.2802,0.7173,,,,,,,2026-06-05T05:45:32.306751,0.2029,2026-06-05T05:47:42.698608,0.637,2026-06-05T05:47:43.711044,0.637,2026-06-05T05:55:24.743232,1.987,2026-06-05T05:55:35.888230,1.0355,2026-06-05T05:30:38.685039,0.0453,2026-06-05T05:30:38.685039,0.0453,0.2173,trailing,1.02,-0.1327,trailing,5.22,0.2173,trailing,1.02,0.1673,trailing,1.29,0.121,stretch,2.82,0.0423,stretch,3.88,-0.0736,stretch,4.26,-0.7,hard_sl,8.37,-0.2699,ema5_cross,5.78,1.555,0.8673980910734476,False,,,,False,,,,,,,,,,,,,2026-06-05T05:26:27,2026-06-05T05:30:22.863628,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
55,,HUSDT,LONG,CLOSED,0.5710000000000001,0.56456,0.56507,293.73554578009987,20.0,5874.710915601998,10288.460447639225,STRONG_BUY,0.1482,0.1114,0.037,59.12,45.82,16.6432,16.6939,0.7466,0.7522,BULLISH,0.1191,0.1125,23.4698,22.9351,60.3,59.7,68.4,0.3411,47.2,49.4,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,W2+W6,,,0.5276,1.4221,70.5,20.5,89.4,-0.0508,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.2228,26.98544192038587,19.547977474105085,0.8469,-0.0135,5e-05,-0.0259,0.9017,0.2353,-0.1552,,,124453736.13763,5874.710915601998,124453.73613763001,False,,0.2228,2026-06-05T05:26:39.617810,-0.947,,,2026-06-05T05:26:39.625114,-0.9488,,,1.0574479648083597,2.61380395364364,3.6712519184519996,-69.92893720124977,-1.1903383537653436,0.0,-1.1903383537653436,0.5710000000000001,0.5710000000000001,0.0,,,,2026-06-05T05:26:44.950407,-0.3961,ENDED_NEG,1,0.45,,True,,-0.0105,False,,,,1.0,1.0,W2+W6,False,-0.9470153239930138,,0,,-0.3961,0.7664,False,0.5668,0.55629,2026-06-05T05:27:42.415981,2026-06-05T05:58:06.842129,-0.7986,-2.6392,0.95,31.36,1.16,-1.3677,-1.4535,0.0,20.68,-1.8318,3.45,-2.2591,,,1.16,-1.3677,2026-06-05T05:40:10.726536,-1.2189,,,,-1.049,-1.5691,-1.8651,-1.5691,-1.345,,,,,,,,,,,,,,,,,,,,,-1.4535,window,,-1.4535,window,,-1.4535,window,,-1.4535,window,,-1.4535,window,,-1.4535,window,,-1.4535,window,,-1.4535,window,,-1.4535,window,,,0.7361959080616101,False,,,,False,,,,,,,,,,,,,2026-06-05T05:26:06,2026-06-05T05:26:44.952729,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
