id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,runner_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
18,,PIPPINUSDT,LONG,CLOSED,0.02338,0.02312,0.02313,680.8417257322897,20.0,13616.834514645794,582413.7944673137,STRONG_BUY,0.3346,0.275,0.1364,58.33,45.54,16.2166,16.5151,0.8554,0.8628,BULLISH,0.2207,0.1695,21.5085,19.2868,71.6,73.1,48.6,0.2902,49.2,35.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,2.1171,0.812,88.4,7.0,79.6,-0.2986,5.0,HEALTHY_BULL,HEALTHY_BULL,,0.0176,28.955502853476418,22.596412843605574,1.3288,-0.3465,0.0001,-0.4334,1.2781,0.6517,-0.1514,,,72299187.80186,13616.834514645794,72299.18780186001,False,,0.0288,,,,,,,,,6.127575531590607,6.059433117637933,12.18700864922854,-163.61459521073,-1.2015611633875098,0.16651411462787663,-1.2015611633875098,0.02344,0.02338,0.0,1.6168,1.0952,2026-06-10T12:36:06.490082,2026-06-10T12:39:13.144855,0.2262,NEVER,1,0.45,,True,,0.5159,False,,,,2.0,1.0,UNMATCHED,False,,,0,,0.2262,1.1238,False,0.02435,0.02293,2026-06-10T13:12:31.541213,2026-06-10T12:44:43.058451,4.0588,-2.0147,33.3,5.49,5.8,-1.587,2.2197,0.0,2.44,-1.4587,2.44,-1.4587,,,,,,,,,False,,,,,,-1.1165,-1.2876,-1.972,-0.09,3.1179,,,,,,,2026-06-10T12:59:50.041728,0.851,2026-06-10T13:02:01.757201,2.6474,2026-06-10T13:02:01.757201,2.6474,2026-06-10T13:03:39.510862,2.3908,2026-06-10T13:03:39.510862,2.3908,2026-06-10T13:06:06.900141,2.5618,2026-06-10T13:06:07.906436,2.6046,1.6209,signal_lost,23.01,1.6209,signal_lost,23.01,1.6209,signal_lost,23.01,1.6209,signal_lost,23.01,1.6209,signal_lost,23.01,1.6209,signal_lost,23.01,1.6209,signal_lost,23.01,1.6209,signal_lost,23.01,1.6209,signal_lost,23.01,2.4639,1.6167803413991912,False,,,,False,,,,,,,,,,,,,2026-06-10T12:36:04,2026-06-10T12:39:13.147368,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
17,,PLAYUSDT,SHORT,CLOSED,0.0806,0.08052,0.0805,356.9195025359686,20.0,7138.390050719372,88565.63338361503,VERY_STRONG,0.6304,0.1748,0.1835,34.46,48.48,34.2419,33.3417,0.6674,-0.663,BEARISH,-0.2653,-0.0475,20.467,20.6475,42.1,43.3,36.8,0.2388,35.6,41.4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,,,0.5661,1.187,14.0,67.4,24.7,0.9003,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.2508,10.649300271492319,28.752557820000085,1.1664,-1.3068,0.0001,-2.0988,-1.0186,-0.0761,-0.2226,2026-06-10T12:00:12.672542,0.0983629032258128,53767701.99475,7138.390050719372,53767.70199475,False,,-0.2594,,,,,,,,,1.284910209129487,3.2090871600219066,4.493997369151394,2.5912533015387487,0.03630024813897099,0.6321017369727108,-0.34848821339949637,0.0806,0.08004,0.0,1.0805,-0.9073,2026-06-10T12:01:41.887662,2026-06-10T12:00:28.202920,0.3348,NEVER,2,0.9,,True,,-0.1242,False,,,,1.0,1.0,W1,False,,0.03630024813897099,0,,0.3827,-1.003,False,0.0821,0.08033,2026-06-10T12:14:49.633435,2026-06-10T12:25:59.866673,0.272,-1.924,12.46,23.63,12.09,-1.6635,-0.1747,0.0363,0.93,-0.4848,3.17,-0.9439,,,12.09,-1.6635,,,,,False,2026-06-10T12:06:05.812132,-0.9315,,,,-0.46,-0.6337,-0.8943,-1.0556,-0.4228,2026-06-10T12:01:17.200812,0.1976631513647665,,,,,,,2026-06-10T12:02:21.860648,0.0363,2026-06-10T12:02:21.860648,0.0363,,,,,,,,,0.3821,trailing,4.18,0.0321,trailing,4.71,0.3821,trailing,4.18,0.3321,trailing,4.22,0.086,stretch,4.31,0.0611,stretch,4.61,-0.0506,stretch,4.74,-0.7,hard_sl,7.28,-0.3732,ema5_cross,5.2,1.0805,1.017421768046431,False,,,,False,,,,,,,,,,,,,2026-06-10T11:57:42,2026-06-10T12:02:21.515100,TRAILING_STOP L2,MAKER,TAKER,True,
16,,TONUSDT,SHORT,CLOSED,1.6380000000000001,1.6451,1.6447,386.49915930706385,20.0,7729.983186141277,4719.159454298703,STRONG_BUY,0.6587,0.2032,0.2528,30.56,35.02,26.0892,24.6452,0.258,-0.2573,BEARISH,-0.2715,-0.0986,20.6128,20.0682,38.2,39.1,40.3,0.2621,35.0,41.4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,,,0.741,0.9098,11.6,83.7,12.9,1.444,4.0,HEALTHY_BEAR,CHOPPY_FLAT,,-0.2417,12.292003383210034,32.29376264301156,0.489,-0.2971,-1.2e-05,-0.4948,-0.7116,-0.2125,-0.229,2026-06-10T11:50:57.131317,0.09580158730159692,80866186.52852,7729.983186141277,80866.18652852,False,,-0.1958,2026-06-10T11:59:50.464977,-0.5333,,,2026-06-10T12:13:24.970309,-0.6555,,,1.39139697350543,3.493570148220058,4.884967121725488,-38.39099924724573,-0.4966504884004812,0.24238766788767488,-0.7837148962148847,1.6380000000000001,1.633,0.0,0.4729,-0.1899,2026-06-10T11:50:58.189584,2026-06-10T12:15:27.528477,-0.4073,ENDED_NEG,1,0.45,,False,,-0.0305,False,,,,1.0,1.0,W1,False,-0.5332970085469974,,0,,-0.0859,0.2012,True,1.6787,1.6403,2026-06-10T12:49:31.942084,2026-06-10T12:23:16.956765,-0.2034,-2.5477,33.95,7.7,0.01,-0.5087,-2.1448,0.0,0.01,-0.5087,11.14,-0.5026,,,0.01,-0.5087,,,,,False,2026-06-10T12:15:35.403305,-0.5087,,,,-0.411,-0.4293,-0.3011,-1.3695,-1.8945,,,,,,,,,,,,,,,,,,,,,-2.1448,window,,-2.1448,window,,-2.1448,window,,-2.1448,window,,-2.1448,window,,-2.1448,window,,-2.1448,window,,-2.1448,window,,-2.1448,window,,,0.4359757160877883,False,,,,False,,,2026-06-10T12:06:04.783173,-0.3195,2026-06-10T12:09:25.427711,-0.2157,,,-0.5455,5.59,-0.4539,3.36,2026-06-10T11:40:38,2026-06-10T12:15:34.616278,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
15,,DOTUSDT,SHORT,CLOSED,0.9251,0.931,0.93,772.9983186141277,30.0,23189.949558423832,25067.505738216227,STRONG_BUY,0.515,0.1616,0.1859,27.84,31.05,25.1128,23.5532,0.2454,-0.2448,BEARISH,-0.2287,-0.0971,20.6128,20.0682,38.7,39.1,40.3,0.2605,35.0,41.4,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,C1,,-0.7,1.0285,1.455,14.0,83.7,11.8,1.5596,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.24,9.790067934133484,26.062605791968913,0.4307,-0.3052,-1.2e-05,-0.5651,-0.5911,-0.1989,-0.229,,,55301599.748,23189.949558423832,55301.59974800001,False,,-0.2447,,,,,,,,,4.17419092051629,10.502031529025688,14.676222449541978,-162.5745063050181,-0.70105588585018,0.0,-0.70105588585018,0.9251,0.925,0.0,,,,2026-06-10T11:46:01.104288,-0.2196,ENDED_NEG,1,0.45,,True,,-0.0108,False,,,,2.0,1.5,C1,False,,,0,,-0.2895,-0.0107,True,0.947,0.926,2026-06-10T12:31:17.658842,2026-06-10T12:01:53.100636,-0.1603,-2.4303,44.43,15.02,23.13,-0.5927,-1.8898,0.0,0.01,-0.7008,18.66,-0.4846,,,23.13,-0.5927,,,,,False,2026-06-10T12:06:04.786248,-0.4846,,,,-0.7008,-0.5927,-0.5927,-0.1603,-0.5927,,,,,,,,,,,,,,,,,,,,,-1.8898,window,,-1.8898,window,,-1.8898,window,,-1.8898,window,,-1.8898,window,,-1.8898,window,,-1.8898,window,,-1.8898,window,,-1.8898,window,,,0.24535611617113712,False,,,,False,,,,,,,,,-0.4848,3.4,,,2026-06-10T11:38:22,2026-06-10T11:46:51.783055,PATTERN_FIXED_SL L1,MAKER,TAKER,True,
14,,FETUSDT,SHORT,CLOSED,0.193,0.1944,0.1944,386.49915930706385,20.0,7729.983186141277,40051.72635306361,VERY_STRONG,0.6645,0.1681,0.2357,32.14,35.04,30.9025,29.2022,0.2148,-0.2143,BEARISH,-0.2655,-0.0907,20.0809,19.2259,40.0,36.9,35.1,0.2655,35.5,41.4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,,,1.0717,0.9879,16.3,81.4,16.4,1.7003,3.0,HEALTHY_BEAR,CHOPPY_WEAK,,-0.2214,10.874346853830092,35.40515744204639,0.5086,-0.5502,-1.2e-05,-0.896,-0.6169,-0.1971,-0.2239,2026-06-10T12:18:43.123460,0.06551036269429777,37027051.5341,7729.983186141277,37027.05153410001,False,,-0.1714,2026-06-10T11:46:25.487027,-0.6084,,,2026-06-10T12:29:44.429176,-0.5047,,,3.4784924337635745,3.5037250213660043,6.982217455129579,-63.054634349418016,-0.8157150259067276,0.22102072538860992,-0.8157150259067276,0.193,0.1924,0.0,0.4039,-0.2049,2026-06-10T12:18:43.123419,2026-06-10T12:30:04.741251,-0.592,ENDED_NEG,1,0.45,,False,,0.0,False,,,,1.0,1.0,W1,False,-0.6083678756476689,,0,,-0.5147,0.1494,True,0.1986,0.1943,2026-06-10T12:33:25.995504,2026-06-10T12:30:05.544154,-0.7636,-2.9916,3.34,0.0,0.0,-0.7636,-2.0589,0.0,0.0,-0.7636,19.37,-2.5252,,,0.0,-0.7636,,,,,False,2026-06-10T12:30:05.545724,-0.7636,,,,-2.3698,-2.0071,-2.6807,-2.318,-2.0589,,,,,,,,,,,,,,,,,,,,,-2.0589,window,,-2.0589,window,,-2.0589,window,,-2.0589,window,,-2.0589,window,,-2.0589,window,,-2.0589,window,,-2.0589,window,,-2.0589,window,,,0.4752570771507696,False,,,,False,,,2026-06-10T12:06:04.780882,-0.3492,2026-06-10T12:09:25.425206,-0.09,,,-0.5047,14.59,-0.3492,10.14,2026-06-10T11:31:38,2026-06-10T12:30:05.257520,STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
13,,PIPPINUSDT,LONG,CLOSED,0.0236,0.02333,0.02335,833.0116268813232,20.0,16660.232537626463,705942.0566790875,STRONG_BUY,0.2157,0.1427,0.0718,54.04,50.32,17.1359,17.2383,0.4125,0.4142,BULLISH,0.1504,0.0229,21.3223,22.7303,55.5,53.1,48.8,0.2246,41.3,40.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.7329,0.4012,44.2,41.9,60.7,-0.1024,2.0,HEALTHY_BULL,HEALTHY_BULL,,-0.1049,27.322543051456716,19.86451876549609,1.4432,0.3718,-1.2e-05,0.6853,0.6296,0.1456,-0.2063,,,77026140.5872,16660.232537626463,77026.1405872,False,,-0.0894,2026-06-10T10:36:00.786208,-0.4865,,,2026-06-10T10:36:00.786208,-0.4865,,,2.9988418567727635,7.4113326820453995,10.410174538818163,-201.01452984217136,-1.2065529661016923,0.06406144067797563,-1.2065529661016923,0.02363,0.0236,0.0,0.5257,0.4574,2026-06-10T10:37:00.566350,2026-06-10T10:37:57.717113,-0.6106,ENDED_NEG,1,0.45,,False,,-0.2114,False,,,,2.0,1.0,UNMATCHED,False,-0.4865381355932178,,0,,-0.6106,0.316,False,0.02346,0.02239,2026-06-10T10:39:56.947675,2026-06-10T11:05:11.638532,-0.6562,-5.1901,1.98,27.23,0.01,-1.2494,-2.7325,0.0,3.16,-1.2494,10.96,-1.5884,,,3.16,-1.2494,,,,,False,2026-06-10T10:40:35.369970,-0.9528,,,,-1.2071,-0.6562,-1.3766,-2.3511,-4.0037,,,,,,,,,,,,,,,,,,,,,-2.7325,window,,-2.7325,window,,-2.7325,window,,-2.7325,window,,-2.7325,window,,-2.7325,window,,-2.7325,window,,-2.7325,window,,-2.7325,window,,,0.5256735718335661,False,,,,False,,,,,,,,,,,,,2026-06-10T10:35:33,2026-06-10T10:37:57.719290,STOP_LOSS L1,MAKER,TAKER,True,
12,,XLMUSDT,LONG,CLOSED,0.1852,0.18561,0.18563,916.312789569457,20.0,18326.25579138914,98953.8649643042,STRONG_BUY,0.4029,0.1139,0.1671,63.83,57.19,18.1336,18.5026,0.2197,0.2202,BULLISH,0.1516,0.026,21.3223,22.7303,56.7,53.1,48.8,0.2245,41.8,40.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.7712,0.6365,37.2,41.9,95.6,-0.369,3.0,HEALTHY_BULL,CHOPPY_WEAK,,-0.1016,24.742044036356642,18.919042989122296,0.4272,0.0264,-1.2e-05,-0.0077,0.502,0.1734,-0.2029,2026-06-10T10:56:35.687963,,119393863.30297,18326.25579138914,119393.86330297001,False,,-0.0392,,,,,,,,,3.2987260424500455,8.265072094211025,11.56379813666107,29.00728649870303,0.15828266738660568,0.5144937904967536,-0.25729697624190023,0.18627,0.1852,0.0,0.4707,0.1786,2026-06-10T10:58:43.277828,2026-06-10T10:38:47.704269,-0.1008,ENDED_NEG,2,0.9,,True,,-0.0648,False,,,,2.0,1.0,UNMATCHED,False,,0.15828266738660568,0,,-0.0233,0.2739,True,0.18611,0.183,2026-06-10T11:03:23.277987,2026-06-10T11:39:59.518574,0.4284,-1.2509,1.85,38.46,4.13,-0.3438,-0.5436,0.4284,4.13,-0.3438,5.26,-0.5868,,,4.13,-0.3438,,,,,False,2026-06-10T11:03:59.600364,-0.1008,,,,0.288,0.396,-0.5868,-0.0144,-0.7595,2026-06-10T10:58:43.270715,0.1960626349892053,,,,,2026-06-10T11:03:44.437053,0.1962,2026-06-10T11:03:44.437053,0.1962,2026-06-10T11:03:44.437053,0.1962,2026-06-10T11:03:51.524401,0.0936,2026-06-10T11:03:51.524401,0.0936,2026-06-10T11:01:34.259092,0.153,2026-06-10T11:01:32.237864,0.1476,0.2645,trailing,26.71,-0.0855,trailing,29.74,0.2645,trailing,26.71,0.2145,trailing,26.95,0.331,stretch,26.54,0.2824,stretch,26.63,0.2338,stretch,26.81,-0.3438,ema13,31.43,0.1799,ema5_cross,27.24,0.4707,0.46537746776547373,False,,,,False,,,2026-06-10T10:40:34.357548,-0.1116,2026-06-10T10:50:36.851654,-0.0252,,,-0.117,8.03,,,2026-06-10T10:34:13,2026-06-10T11:01:31.719669,TRAILING_STOP L2,MAKER,TAKER,True,
11,,ESPORTSUSDT,LONG,CLOSED,0.09680000000000001,0.0957,0.09615,916.312789569457,20.0,18326.25579138914,189320.8242912101,VERY_STRONG,0.401,0.2122,0.1102,54.27,49.45,28.1191,28.6404,1.1347,1.1478,BULLISH,0.2665,0.0285,21.3223,22.7303,57.5,53.1,48.8,0.2245,42.0,40.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.7228,0.5241,37.2,39.5,39.2,-0.5213,3.0,HEALTHY_BULL,HEALTHY_BULL,,-0.0989,22.504941657979057,14.588410885322581,4.68,3.4153,-1.2e-05,6.3464,1.2507,0.1958,-0.2016,,,152618940.69678,18326.25579138914,152618.94069678,False,,-0.1049,,,,,,,,,3.2987260424500455,8.153101298100962,11.451827340551008,-219.70473406088544,-1.1988522727272908,0.12286673553717532,-1.1988522727272908,0.09698,0.09680000000000001,0.0,1.2367,1.3791,2026-06-10T10:33:37.764899,2026-06-10T10:34:59.861150,-0.0355,ENDED_NEG,1,0.45,,True,,-0.0826,False,,,,2.0,1.0,UNMATCHED,False,,,0,,-0.0355,1.331,False,0.09938,0.09082,2026-06-10T10:37:49.333306,2026-06-10T10:50:20.675786,2.6023,-6.2407,2.82,15.34,9.48,-2.2324,1.373,2.6023,11.7,-4.6911,7.24,0.6291,,,10.59,-3.6994,,,,,False,2026-06-10T10:40:34.361673,1.1973,,,,-0.9514,1.5072,1.2593,-5.8378,-1.6436,,,,,,,2026-06-10T10:37:11.891641,1.2696,2026-06-10T10:37:27.083398,1.0527,2026-06-10T10:37:27.083398,1.0527,2026-06-10T10:38:20.707630,1.3833,2026-06-10T10:38:34.845896,1.0837,2026-06-10T10:38:20.707630,1.3833,2026-06-10T10:38:34.845896,1.0837,2.125,trailing,3.47,1.775,trailing,3.57,1.575,trailing,3.59,1.3957,trailing,4.04,1.3213,stretch,5.17,0.8874,stretch,5.54,1.0217,stretch,8.31,1.0217,stretch,8.31,-0.7,hard_sl,9.95,3.6903,1.195927682570316,False,,,,False,,,,,,,,,,,,,2026-06-10T10:33:03,2026-06-10T10:34:59.864385,STOP_LOSS_WIDE L1,MAKER,TAKER,True,
10,,BCHUSDT,SHORT,CLOSED,196.49,194.93,195.04,444.0544073953105,20.0,8881.08814790621,45.19867753018581,VERY_STRONG,0.6873,0.182,0.2517,27.52,28.6,32.1565,30.1703,0.2139,-0.2134,BEARISH,-0.2935,-0.1068,23.9485,23.3302,35.2,33.6,46.4,0.1938,38.9,45.6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,,,0.98,1.2138,32.6,65.1,18.7,1.9861,2.0,HEALTHY_BEAR,BEAR_EXHAUSTED,,-0.0966,9.004423547301696,33.849253805392685,0.463,-0.5057,-3.9e-05,-0.7538,-0.6457,-0.2008,-0.1657,2026-06-10T09:03:20.517498,0.09993144689298264,98477463.68,8881.08814790621,98477.46368000002,False,,-0.2517,,,,,,,,,1.598595866623118,3.964760194931604,5.563356061554722,64.94658088553524,0.731290803603238,1.220085144282157,-0.2564810931854015,196.49,193.97,0.0,1.1323,-0.2364,2026-06-10T09:19:56.957261,2026-06-10T09:01:28.432527,-0.0287,RECOVERED,2,0.9,,True,,-0.0051,False,,,,1.0,1.0,W1,False,,0.731290803603238,0,,0.6342,-0.2364,True,197.66,194.39,2026-06-10T09:56:43.932882,2026-06-10T09:21:46.437484,1.0058,-0.6585,36.78,1.82,19.3,-0.3276,-0.4447,1.0058,5.93,0.3441,5.93,0.3441,,,19.3,-0.3276,,,,,True,2026-06-10T09:35:20.888269,-0.0477,,,,0.8022,0.8887,0.5833,-0.0376,-0.063,2026-06-10T09:19:47.229685,,2026-06-10T09:19:56.879050,,,,2026-06-10T09:27:15.224468,0.1457,2026-06-10T09:22:34.703511,0.736,2026-06-10T09:22:37.716235,0.7564,2026-06-10T09:23:14.990707,0.6241,2026-06-10T09:23:17.002499,0.6139,2026-06-10T09:23:12.979951,0.6495,2026-06-10T09:23:14.990707,0.6241,0.9701,trailing,21.97,0.6201,trailing,25.31,0.4201,trailing,27.63,0.2201,trailing,29.16,0.3189,stretch,17.88,0.3138,stretch,17.88,0.268,stretch,18.93,0.3189,stretch,17.88,0.395,ema5_cross,27.63,1.1323,0.5774881596983329,False,,,,False,,,,,,,,,-0.0121,13.42,-0.1445,10.04,2026-06-10T08:57:58,2026-06-10T09:19:56.964440,TRAILING_STOP L2,MAKER,TAKER,True,
9,,INJUSDT,SHORT,CLOSED,5.259,5.293,5.29,965.4672573989171,30.0,28964.017721967513,5507.514303473571,STRONG_BUY,0.6699,0.1658,0.2293,30.14,35.86,27.0403,25.8384,0.2974,-0.2965,BEARISH,-0.2592,-0.031,31.1751,32.0691,40.5,45.5,33.5,0.181,34.8,36.2,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,C1,,-0.7,0.789,1.1139,20.9,69.8,4.2,1.2019,5.0,STRONG_BEAR,HEALTHY_BULL,,-0.2744,11.509556710943214,28.63910762130085,0.5079,-0.7751,-3.9e-05,-1.2322,-0.69,-0.0966,-0.2925,2026-06-10T05:48:54.640421,0.08918862901692348,58789096.4268,28964.017721967513,58789.0964268,False,,-0.0994,2026-06-10T06:03:02.705880,-0.4625,,,2026-06-10T06:17:58.988377,-0.6147,,,5.213523189954152,13.118072943728526,18.33159613368268,-205.58708245178303,-0.7098016733219206,0.2223536794067421,-0.7098016733219206,5.259,5.244,0.0,0.4489,-0.2641,2026-06-10T05:48:56.245597,2026-06-10T06:19:21.954962,-0.3332,ENDED_NEG,1,0.45,,True,,-0.019,False,,,,2.0,1.5,C1,False,-0.462495151169422,,0,,-0.352,0.0475,True,5.331,5.261,2026-06-10T06:39:05.825509,2026-06-10T06:33:06.011175,-0.101,-1.4321,19.73,13.73,0.07,-0.7095,-0.6905,0.0,,,19.03,-1.0138,,,0.07,-0.7095,,,,,False,2026-06-10T06:19:22.683622,-0.7095,,,,-1.0328,-0.9377,-0.9377,-0.3102,-0.6335,,,,,2026-06-10T06:01:02.708068,-0.3103,,,,,,,,,,,,,,,-0.6905,window,,-0.6905,window,,-0.6905,window,,-0.6905,window,,-0.6905,window,,-0.6905,window,,-0.6905,window,,-0.6905,window,,-0.6905,window,,,0.42977482133419004,False,,,,False,,,2026-06-10T05:43:10.437737,-0.4054,2026-06-10T05:44:17.325793,-0.3484,2026-06-10T06:01:02.707812,-0.3103,-0.2913,18.94,-0.2342,15.6,2026-06-10T05:39:17,2026-06-10T06:19:21.960934,PATTERN_FIXED_SL L1,MAKER,TAKER,True,
