id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,runner_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
14,,INJUSDT,SHORT,CLOSED,5.267,5.251,5.257,1200.5439490196588,30.0,36016.318470589766,6838.108690068305,STRONG_BUY,0.6346,0.1808,0.2169,29.45,36.79,23.0971,22.0865,0.3965,-0.395,BEARISH,-0.2674,-0.0928,30.6342,29.1489,32.9,29.7,41.4,0.1862,49.1,52.7,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,C1,,-0.7,0.701,1.3522,23.3,69.8,2.3,1.0106,3.0,STRONG_BEAR,STRONG_BEAR,,-0.1865,12.040725414557077,25.72501014369568,0.526,-0.5404,-8.4e-05,-0.8725,-0.7907,-0.2335,0.0609,2026-06-12T13:40:43.756659,0.08895747104613644,52658056.8312,,36016.318470589766,52658.0568312,False,,-0.1741,,,,,,,,,6.482937324706159,16.1581089291969,22.641046253903056,86.76869278718992,0.2409149420922729,0.5258352003037892,-0.3289255743307261,5.267,5.236,0.0,0.9174,-0.4438,2026-06-12T13:40:46.187236,2026-06-12T13:40:00.427367,0.1429,NEVER,1,0.45,,True,,-0.019,False,,,,2.0,1.5,C1,False,,0.2409149420922729,0,,0.6291,-0.4438,False,5.251,5.165,2026-06-12T13:40:46.535688,2026-06-12T13:42:25.888269,1.8736,0.2408,0.0,1.66,,,0.6775,,11.08,1.0002,11.08,1.0002,,,,,,,,,False,2026-06-12T14:06:56.949124,0.6964,,,,1.3799,1.6647,1.0762,1.0572,0.5066,2026-06-12T13:40:46.183354,,,,,,2026-06-12T13:43:10.203019,1.4939,2026-06-12T13:43:09.198665,1.4749,2026-06-12T13:43:10.203019,1.4939,2026-06-12T13:43:31.299818,1.3799,2026-06-12T13:43:33.307602,1.361,2026-06-12T13:43:33.307602,1.361,2026-06-12T13:43:44.362009,1.285,0.2758,trailing,2.32,1.2736,trailing,5.19,0.2758,trailing,2.32,0.8736,trailing,7.03,1.266,stretch,5.19,0.8673,stretch,7.03,1.0952,stretch,7.91,0.6775,window,,0.6964,ema5_cross,20.86,2.1464,0.5524729062310819,False,,,,False,,,,,,,,,,,,,2026-06-12T13:38:25,2026-06-12T13:40:46.207589,TRAILING_STOP L1,MAKER,TAKER,True,
13,,TONUSDT,LONG,CLOSED,1.7077,1.7157,1.7175,1157.1761030314792,20.0,23143.522060629584,13552.451871306192,STRONG_BUY,0.4244,0.1407,0.1716,62.58,64.91,19.6105,17.5127,0.0933,0.0934,BULLISH,0.2023,0.0644,34.5284,34.6463,65.3,60.5,70.9,0.1545,56.1,55.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,1.0254,0.8312,76.7,23.3,76.5,2.0978,3.0,STRONG_BULL,STRONG_BULL,,0.1236,26.545028751272216,9.599788682379012,0.4427,-0.0044,-0.001302,-0.0012,0.4061,0.1593,0.0485,2026-06-12T09:12:24.940605,,92510302.6734,,23143.522060629584,92510.3026734,False,,0.168,,,,,,,,,10.414584927283313,10.463373754020013,20.877958681303326,87.5416562891463,0.37825554839843106,0.7353004040522341,-0.11341277741991893,1.7218,1.7077,0.0,0.6039,0.3268,2026-06-12T09:17:06.187484,2026-06-12T09:10:16.551506,0.0406,NEVER,2,0.9,,True,,-0.0293,False,,,,2.0,1.0,UNMATCHED,False,,0.37825554839843106,0,,0.1902,0.387,False,1.7346,1.7156,2026-06-12T10:01:33.634418,2026-06-12T09:19:01.412671,1.4852,0.3726,42.65,0.11,,,1.0929,,,,25.05,1.2158,,,,,,,,,True,,,,,,0.56,0.683,0.7415,1.1046,1.2276,2026-06-12T09:14:01.973214,,,,,,2026-06-12T09:58:14.384963,1.2158,2026-06-12T09:23:00.766770,0.7415,2026-06-12T09:45:20.185589,1.046,2026-06-12T09:41:48.090763,1.1456,2026-06-12T09:45:20.185589,1.046,2026-06-12T09:41:46.082160,1.1104,2026-06-12T09:41:50.100402,1.1456,0.2687,trailing,4.39,1.0929,window,,0.2687,trailing,4.39,0.4353,trailing,8.63,0.3022,stretch,4.36,0.3139,stretch,5.74,0.2553,stretch,5.77,1.0929,stretch,32.97,1.0929,ema5_cross,41.78,0.6229,0.48867126513138054,False,,,,False,,,,,,,,,,,,,2026-06-12T09:10:16,2026-06-12T09:18:54.345726,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
12,,ADAUSDT,LONG,CLOSED,0.1616,0.1632,0.1634,1072.2457468456814,20.0,21444.91493691363,132703.68154030712,VERY_STRONG,0.3201,0.0926,0.1158,60.49,59.61,23.475,22.5308,0.147,0.1473,BULLISH,0.158,0.0988,27.7271,25.8335,67.4,62.4,52.6,0.2099,50.5,44.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.7583,0.813,86.0,9.3,88.5,0.9442,4.0,HEALTHY_BULL,BULL_EXHAUSTED,,-0.0125,20.47670586891629,9.691683294523003,0.5028,0.1251,0.001095,0.149,0.356,0.3763,-0.0992,2026-06-11T00:17:44.632252,0.09556002475247201,221963787.7987,,21444.91493691363,221963.7877987,False,,0.4793,2026-06-11T00:27:42.621332,-0.4611,,,2026-06-11T00:36:35.077638,-0.523,,,9.650211721611132,9.745758372320156,19.39597009393129,192.9299203705625,0.8996534653465459,1.5181868811881307,-0.646680074257416,0.1642,0.1616,0.0,0.8246,0.6007,2026-06-11T01:47:31.162315,2026-06-11T00:54:27.697619,-0.3083,RECOVERED,4,1.8,,True,,0.1239,False,,,,2.0,1.0,UNMATCHED,False,-0.461120049504944,0.8996534653465459,0,,0.022,0.6653,True,0.1638,0.1618,2026-06-11T02:04:53.007237,2026-06-11T02:32:04.833543,1.2714,0.0338,10.17,37.36,27.93,0.3432,0.2194,1.2714,1.05,0.7763,15.58,0.7145,,,27.93,0.3432,-0.461120049504944,2026-06-11T00:41:00.081510,,,False,2026-06-11T02:31:00.539153,0.405,,,,0.8382,0.7763,1.0239,0.8382,0.405,2026-06-11T01:39:36.397948,,2026-06-11T01:42:45.400709,,,,2026-06-11T01:54:43.284304,0.9001,2026-06-11T01:54:43.284304,0.9001,2026-06-11T01:54:43.284304,0.9001,2026-06-11T01:54:44.290008,0.9001,2026-06-11T01:54:44.290008,0.9001,2026-06-11T01:54:46.300806,0.9001,2026-06-11T01:54:46.300806,0.9001,0.3404,trailing,82.79,0.9182,trailing,97.22,0.3404,trailing,82.79,0.2904,trailing,82.79,0.343,stretch,82.19,0.343,stretch,82.7,0.343,stretch,82.7,0.3432,ema13,125.15,0.8382,ema5_cross,97.56,0.8246,0.824590098465551,False,,,,False,,,,,,,,,-0.2756,10.07,-0.2756,7.83,2026-06-11T00:17:28,2026-06-11T01:54:42.614715,TRAILING_STOP L4,TAKER_FALLBACK,TAKER,True,
11,,CHZUSDT,SHORT,CLOSED,0.02728,0.02704,0.02702,931.9845479169987,30.0,27959.536437509963,1024909.6934571102,VERY_STRONG,0.6454,0.1644,0.2349,32.29,35.17,31.7705,29.9943,0.4597,-0.4576,BEARISH,-0.2482,-0.0419,18.7942,17.7396,40.2,44.1,52.8,0.2147,47.6,51.1,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,C1,,-0.7,0.509,1.0377,9.3,81.4,3.5,1.7762,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1195,7.882650474636516,27.04380207157448,0.7091,-0.5556,5e-05,-0.7724,-0.8546,-0.1505,-0.0039,2026-06-10T21:04:41.395337,0.0933669354838635,56928143.06745,,27959.536437509963,56928.14306745,False,,-0.1296,,,,,,,,,12.581791396879483,12.471101149986119,25.0528925468656,220.92543388283795,0.7901612903225703,1.266915322580641,-0.4934072580645252,0.02728,0.02691,0.0,1.5945,-0.5088,2026-06-10T21:05:33.622184,2026-06-10T20:59:40.926178,0.0255,RECOVERED,3,1.35,,True,,0.0366,False,,,,2.0,1.5,C1,False,,0.7901612903225703,0,,1.1061,-0.5088,True,0.02707,0.02636,2026-06-10T21:06:01.702880,2026-06-10T21:50:32.324739,3.2824,0.6798,0.32,44.83,,,2.9525,,17.19,1.9628,18.3,2.256,,,,,,,,,False,,,,,,2.7326,2.7326,2.7326,2.4027,2.1461,2026-06-10T21:05:10.194895,,2026-06-10T21:05:33.572274,,,,2026-06-10T21:15:05.482934,2.4393,2026-06-10T21:15:01.408420,2.5126,2026-06-10T21:15:01.408420,2.5126,2026-06-10T21:15:20.634931,2.476,2026-06-10T21:17:13.172962,2.3294,2026-06-10T21:15:20.634931,2.476,2026-06-10T21:17:13.172962,2.3294,2.4826,trailing,0.54,2.3159,trailing,2.74,2.1159,trailing,8.21,1.9159,trailing,8.5,2.5126,stretch,1.69,2.5126,stretch,1.69,2.2927,stretch,2.74,2.9525,window,,2.1094,ema5_cross,17.05,2.7346,1.4437549787913224,False,,,,False,,,,,,,,,,,,,2026-06-10T20:56:07,2026-06-10T21:05:42.460140,TRAILING_STOP L3,TAKER_FALLBACK,TAKER,True,
10,,INJUSDT,SHORT,CLOSED,5.003,4.99,4.989,931.9845479169987,30.0,27959.536437509963,5588.554155008987,STRONG_BUY,0.6273,0.1802,0.2043,28.59,37.48,29.2732,27.5457,0.6141,-0.6104,BEARISH,-0.2631,-0.0419,18.7942,17.7396,40.2,44.1,52.8,0.2147,47.6,51.1,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,C1,,-0.7,0.509,1.2639,9.3,81.4,10.2,1.7275,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1195,9.173636640587407,28.836443095082963,0.5987,-0.7111,5e-05,-1.086,-0.9922,-0.1505,-0.0039,2026-06-10T21:05:25.485388,,65868721.7777,,27959.536437509963,65868.7217777,False,,-0.1518,,,,,,,,,12.581791396879483,12.549098355072681,25.130889751952164,47.52031426316411,0.16996102338596641,0.4699160503697875,-0.36995802518489374,5.003,4.975,0.0,0.8485,-0.6353,2026-06-10T21:05:28.932320,2026-06-10T20:58:50.716666,0.1558,NEVER,1,0.45,,True,,0.0,False,,,,2.0,1.5,C1,False,,0.16996102338596641,0,,0.5453,-0.6353,False,4.992,4.917,2026-06-10T21:06:10.118620,2026-06-10T21:24:43.379675,1.629,0.1299,0.28,18.84,,,1.1293,,24.85,0.6096,,,,,,,,,,,False,2026-06-10T21:14:30.000436,0.8095,,,,0.8095,0.8095,0.8095,1.2492,0.4297,,,,,,,2026-06-10T21:16:15.469716,0.5096,2026-06-10T21:15:01.408420,0.5696,2026-06-10T21:15:01.408420,0.5696,2026-06-10T21:15:18.616651,0.5096,2026-06-10T21:15:19.626193,0.5496,2026-06-10T21:15:17.607235,0.5296,2026-06-10T21:15:42.867760,0.6296,0.5994,trailing,0.49,1.029,trailing,15.23,0.5994,trailing,0.49,0.5494,trailing,0.78,0.6096,stretch,0.56,0.5696,stretch,0.76,0.5496,stretch,1.69,1.1293,window,,0.9294,ema5_cross,15.33,1.0117,0.8281860786958982,False,,,,False,,,,,,,,,,,,,2026-06-10T20:55:47,2026-06-10T21:05:53.201959,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
9,,XLMUSDT,SHORT,CLOSED,0.18335,0.18272,0.18266,465.99227395849937,20.0,9319.845479169988,50830.899804581335,VERY_STRONG,0.3377,0.101,0.1146,36.53,30.2,30.6957,29.2945,0.2021,-0.2017,BEARISH,-0.1696,-0.0419,18.7942,17.7396,40.2,44.1,52.8,0.2147,47.6,51.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,,,0.509,1.5196,9.3,81.4,16.7,1.4012,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1195,8.2169033702365,23.9499299310787,0.4433,-0.3568,5e-05,-0.5882,-0.4167,-0.1505,-0.0039,2026-06-10T21:14:13.534774,0.09552113444232721,106258595.51538,,9319.845479169988,106258.59551538,False,,-0.2379,,,,,,,,,4.193930465626495,4.179519905531896,8.373450371158391,23.650016505728836,0.2537597491137275,0.6029760021816313,-0.401020725388594,0.18335,0.18208,0.0,0.5112,-0.2162,2026-06-10T21:24:41.301034,,,ENDED_NEG,2,0.9,,True,,0.0981,False,,,,1.0,1.0,W1,False,,0.2537597491137275,0,,-0.0815,-0.2438,True,0.18318,0.18107,2026-06-10T21:35:31.771225,2026-06-10T21:58:05.167999,1.1535,0.0027,1.59,24.14,,,0.6081,,0.14,0.2154,2.38,0.1609,,,,,,,,,False,,,,,,0.1063,0.1282,0.45,0.0791,0.6899,2026-06-10T21:24:36.292891,,,,,,,,2026-06-10T21:35:01.354557,0.1009,2026-06-10T21:44:39.230487,0.4281,2026-06-10T21:35:01.354557,0.1009,2026-06-10T21:44:39.230487,0.4281,2026-06-10T21:35:20.694182,0.0518,2026-06-10T21:35:16.647824,0.0518,0.353,trailing,11.17,0.003,trailing,21.3,0.353,trailing,11.17,0.303,trailing,12.86,0.4284,stretch,10.94,0.4284,stretch,10.94,0.3847,stretch,11.04,0.6081,window,,0.3302,ema5_cross,19.31,0.6088,0.6268727426324239,False,,,,False,,,2026-06-10T21:14:13.895718,0.412,2026-06-10T21:14:31.031055,0.4447,,,-0.281,7.48,-0.2319,5.24,2026-06-10T20:55:27,2026-06-10T21:33:56.288327,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
8,,CHZUSDT,LONG,CLOSED,0.02802,0.02776,0.02778,505.3969901401142,20.0,10107.939802802284,360740.1785439787,STRONG_BUY,0.3094,0.0949,0.1261,57.0,58.31,16.9071,17.2819,0.134,0.1342,BULLISH,0.1554,0.0477,19.834,20.6589,55.8,55.1,41.0,0.2511,52.1,50.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.4726,0.4786,18.6,67.4,81.5,-0.3748,3.0,HEALTHY_BULL,HEALTHY_BULL,,-0.0921,21.146064930655466,16.60295101090765,0.6693,0.0982,-5e-06,0.097,0.3557,0.1897,0.0446,,,56980687.71345,,10107.939802802284,56980.68771345,False,,-0.0776,2026-06-10T19:46:26.845957,-0.4111,,,2026-06-10T19:47:33.706251,-0.5537,,,4.548572911261028,4.506366310371382,9.05493922163241,-102.84738564306681,-1.0174910778015696,0.1953818700927916,-1.0174910778015696,0.0281,0.02802,0.0,0.4183,0.3009,2026-06-10T19:42:00.050049,2026-06-10T19:48:42.700430,-0.6663,ENDED_NEG,1,0.45,,False,,0.0,False,,,,2.0,1.0,UNMATCHED,True,-0.41105460385438897,,0,,-0.6663,-0.0019,True,0.02778,0.02737,2026-06-10T19:49:43.722472,2026-06-10T20:09:38.061441,-0.9465,-2.4098,1.01,20.92,0.0,-1.0179,-1.8031,0.0,0.0,-1.0179,18.29,-1.9815,,,0.37,-1.0179,,,,,False,2026-06-10T20:00:50.647205,-1.2677,,,,-0.9465,-1.1964,-1.0893,-1.3391,-1.5176,,,,,,,,,,,,,,,,,,,,,-1.8031,window,,-1.8031,window,,-1.8031,window,,-1.8031,window,,-1.8031,window,,-1.8031,window,,-1.8031,window,,-1.8031,window,,-1.8031,window,,,0.382893074271567,False,,,,False,,,,,,,,,-0.2684,3.36,,,2026-06-10T19:41:16,2026-06-10T19:48:42.702973,STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
7,,LINKUSDT,SHORT,CLOSED,7.613,7.591,7.588,1010.7939802802287,30.0,30323.81940840686,3983.1629329314146,VERY_STRONG,0.3418,0.0811,0.1087,36.42,39.7,31.0903,30.4495,0.182,-0.1816,BEARISH,-0.1572,-0.086,23.0396,22.1872,39.2,40.0,43.0,0.2688,47.2,50.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,W2,,,0.7141,0.6244,16.3,79.1,14.1,0.6408,3.0,HEALTHY_BEAR,CHOPPY_WEAK,,-0.1887,10.953010638549273,25.207993630311943,0.401,-0.3957,-2.1e-05,-0.6106,-0.3711,-0.2036,-0.0011,2026-06-10T19:50:04.433148,0.09469604623670637,90320710.478,,30323.81940840686,90320.71047800001,False,,-0.0962,2026-06-10T19:31:08.336062,-0.3784,,,2026-06-10T19:39:06.641013,-0.5361,,,5.458287493513235,13.606285420747067,19.064572914260303,68.56501161023178,0.22610941810062052,0.4757948246420646,-0.6149361618284489,7.613,7.572,0.0,0.4924,-0.2176,2026-06-10T20:09:32.221813,2026-06-10T19:39:07.691705,-0.2714,RECOVERED,1,0.45,,True,,-0.0131,False,,,,2.0,1.5,W2,False,-0.3783920924733894,0.22610941810062052,0,,0.2409,-0.2176,True,7.632,7.572,2026-06-10T20:23:11.880018,2026-06-10T20:53:13.438317,0.4756,-0.3126,12.91,42.94,15.73,-0.2994,0.4624,0.3179,9.01,-0.1024,3.42,0.1209,,,15.73,-0.2994,,,,,False,2026-06-10T20:23:12.891637,-0.3126,,,,0.1866,0.0946,0.0684,-0.2863,0.1078,,,,,2026-06-10T19:39:13.895524,-0.5361,,,,,,,2026-06-10T20:11:00.958070,0.1603,,,2026-06-10T20:11:01.987086,0.1603,2026-06-10T20:11:30.240413,0.1472,0.2258,trailing,49.04,-0.1242,trailing,57.3,0.2258,trailing,49.04,0.1758,trailing,49.15,0.2261,stretch,48.42,0.1997,stretch,49.04,0.1603,stretch,49.15,-0.2994,ema13,64.16,0.0289,ema5_cross,50.77,0.4924,0.478297612865234,False,,,,False,,,2026-06-10T19:35:52.091050,-0.2995,2026-06-10T20:07:32.724745,0.2261,2026-06-10T19:39:13.895363,-0.5361,-0.2076,4.52,-0.3653,18.02,2026-06-10T19:21:47,2026-06-10T20:10:16.982701,TRAILING_STOP L1,MAKER,TAKER,True,
6,,XLMUSDT,SHORT,CLOSED,0.18430000000000002,0.18546,0.18541,1010.7939802802287,30.0,30323.81940840686,164535.102595805,STRONG_BUY,0.2932,0.0814,0.0879,33.2,43.23,25.9786,25.5131,0.3392,-0.338,BEARISH,-0.1285,-0.086,23.0396,22.1872,39.2,40.0,43.0,0.2688,47.2,50.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,W2,,,0.7141,0.6779,16.3,79.1,3.3,0.4655,5.0,HEALTHY_BEAR,HEALTHY_BULL,,-0.1887,12.60891931765429,24.492479439431307,0.4133,-0.3451,-2.1e-05,-0.5521,-0.5067,-0.2036,-0.0011,,,107233668.70433,,30323.81940840686,107233.66870433,False,,-0.0934,2026-06-10T19:39:04.764272,-0.4484,,,2026-06-10T19:39:08.508374,-0.5678,,,5.458287493513235,13.731606057338098,19.189893550851334,-210.0506125619842,-0.6926918068366762,0.19756212696690617,-0.7144053174172428,0.18430000000000002,0.18382,0.0,0.6083,-0.2681,2026-06-10T19:23:52.694391,2026-06-10T19:40:37.662933,-0.3167,ENDED_NEG,1,0.45,,False,,-0.0326,False,,,,2.0,1.5,W2,False,-0.4484148128052025,,0,,-0.2585,0.1445,True,0.18567,0.18388,2026-06-10T19:42:42.975274,2026-06-10T20:09:38.061441,0.1649,-0.8064,0.12,27.04,0.0,-0.6924,-0.2583,0.0,3.14,-0.5134,12.08,-0.2583,,,0.91,-0.7087,,,,,False,2026-06-10T19:42:35.871804,-0.6924,,,,-0.7033,-0.6436,-0.4537,-0.4537,-0.1552,,,,,2026-06-10T19:39:13.892657,-0.5298,,,,,,,,,,,,,,,-0.2583,window,,-0.2583,window,,-0.2583,window,,-0.2583,window,,-0.2583,window,,-0.2583,window,,-0.2583,window,,-0.2583,window,,-0.2583,window,,,0.5645593862778527,False,,,,False,,,2026-06-10T19:35:52.088696,-0.2421,,,2026-06-10T19:39:13.892455,-0.5298,-0.4321,18.09,,,2026-06-10T19:21:43,2026-06-10T19:42:35.526310,STOP_LOSS L1,MAKER,TAKER,True,
5,,ALLOUSDT,SHORT,CLOSED,0.3854,0.38436,0.38428,500.0,20.0,10000.0,25947.06798131811,STRONG_BUY,0.73,0.1739,0.2547,34.34,43.01,29.1476,28.2046,0.5947,-0.5912,BEARISH,-0.2759,-0.056,21.8068,21.195,40.4,41.0,40.9,0.2695,47.6,50.1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,W1+W4,,,0.8117,0.7164,23.3,69.8,28.2,0.943,4.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1667,11.553958644078282,27.883509206105572,0.9616,-0.8798,-2.1e-05,-1.3323,-1.0167,-0.1948,0.0031,2026-06-10T19:17:08.012991,0.09534833938764903,169994162.92207,,10000.0,169994.16292207,False,,-0.1887,,,,,,,,,1.8,4.487856772184742,6.287856772184742,20.69709392838715,0.2069709392838715,0.6846118318629978,-0.23173183705240888,0.3854,0.38252,0.0,1.3763,-0.3678,2026-06-10T19:19:00.389362,2026-06-10T19:16:17.371137,0.4045,NEVER,2,0.9,,True,,-0.0208,False,,,,1.0,1.0,W1+W4,False,,0.2069709392838715,0,,0.3685,-0.9006,False,0.39389,0.37879,2026-06-10T19:23:48.499321,2026-06-10T20:04:44.095236,1.6521,-2.2659,2.57,43.49,,,1.0683,,6.26,-1.023,2.81,-1.6587,,,,,,,,,False,2026-06-10T19:35:52.095263,0.0278,,,,-0.242,-0.6416,-0.9919,-0.063,0.5052,2026-06-10T19:18:47.970791,,,,,,2026-06-10T19:42:48.038616,0.1446,2026-06-10T19:42:49.051705,0.142,2026-06-10T19:42:49.051705,0.142,2026-06-10T19:44:36.497299,0.059,2026-06-10T19:44:37.512266,0.0486,2026-06-10T19:44:36.497299,0.059,2026-06-10T19:44:37.512266,0.0486,0.4346,trailing,3.32,0.0846,trailing,5.24,0.4346,trailing,3.32,0.3846,trailing,3.96,0.5237,stretch,4.65,0.3835,stretch,4.73,0.2485,stretch,5.13,0.4302,stretch,4.66,-0.242,ema5_cross,6.16,1.3763,1.3683769836104662,False,,,,False,,,,,,,,,,,,,2026-06-10T19:16:05,2026-06-10T19:21:14.153331,TRAILING_STOP L2,MAKER,TAKER,True,
