id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,entry_strategy,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,shadow_peak_stretch_at_close,shadow_atr05_pnl,shadow_atr05_min,shadow_atr10_pnl,shadow_atr10_min,shadow_atr15_pnl,shadow_atr15_min,shadow_cap025_pnl,shadow_cap025_min,shadow_cap035_pnl,shadow_cap035_min,shadow_cap050_pnl,shadow_cap050_min,runner_peak_stretch,runner_trail_bound,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
16,,AAVEUSDT,SHORT,CLOSED,72.921,73.6,72.921,432.2915035381943,20.0,8645.830070763886,118.56433771840602,STRONG_BUY,0.2201,0.0755,0.0823,60.44,53.9,22.4944,22.0287,0.3375,0.3387,BULLISH,0.0794,0.0691,25.3664,24.9661,63.2,58.3,67.0,0.2884,36.8,30.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.9345,0.968,69.0,21.4,74.8,0.4657,1.0,HEALTHY_BULL,HEALTHY_BULL,,0.16,24.452948792977764,13.591722190350296,0.5382,0.1364,,0.2271,0.497,0.2229,-0.3838,,,64761908.8,35,8645.830070763886,64761.9088,False,,0.16,2026-06-23T14:39:10.982843,-0.9946,,,2026-06-23T14:39:10.982843,-0.9946,,,1.5562494127374997,3.926850865233607,5.483100277971107,-85.98828558876735,-0.9945636785013751,0.0,-0.9945636785013751,72.921,72.921,0.0,,,,2026-06-23T14:39:10.982947,-1.281,ENDED_NEG,1,0.45,,False,,-0.0014,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-1.2583,0.1301,False,73.9,73.18,2026-06-23T14:49:29.721646,2026-06-23T14:43:11.727177,,,,,,,,,,,,,,,,,,,,,,FLIP:FAN_RATIO_GATE,,,,,,-0.7336,-0.4593,-0.5965,-0.6787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-06-23T14:39:10,2026-06-23T14:39:10.985454,FLIP_STOP_LOSS L1,MAKER,TAKER,True,
15,,HYPEUSDT,LONG,CLOSED,63.602000000000004,63.203,63.215,445.6799200052569,20.0,8913.598400105138,140.1465111176557,STRONG_BUY,0.4073,0.1241,0.1502,62.42,58.72,16.532,15.9029,0.1553,0.1556,BULLISH,0.1751,0.1594,27.3029,25.5858,67.3,76.7,59.1,0.2561,37.4,30.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,1.0974,0.9793,69.0,23.8,91.9,0.6291,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.1291,20.431011125504313,12.334558544875682,0.4582,0.1567,5e-05,0.2791,0.4305,0.3015,-0.3803,,,1030152319.59689,4,8913.598400105138,500000.0,False,,0.1453,2026-06-23T14:31:29.413464,-0.4355,,,2026-06-23T14:32:11.466853,-0.5659,,,1.604447712018925,3.985955973976137,5.590403685995062,-61.508861621939815,-0.6900564604886652,0.07058345649506893,-0.6900564604886652,63.687,63.602000000000004,0.0,0.3951,0.1208,2026-06-23T14:29:22.295258,2026-06-23T14:44:41.339202,-0.2437,ENDED_NEG,1,0.45,,False,,-0.0016,False,,,,2.0,1.0,UNMATCHED,True,-0.43546210810981084,,0,,-0.2437,-0.1884,True,63.25,62.89,2026-06-23T14:46:07.348405,2026-06-23T14:47:46.998389,,,,,,,,,,,,,,,,,-0.6224789472029207,2026-06-23T14:42:33.104655,,,False,MOMENTUM,,,,,,-0.7061,-0.9073,-0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39042929954444094,,False,,,,False,,,,,,,,,-0.481,4.47,,,2026-06-23T14:22:19,2026-06-23T14:44:41.341935,STOP_LOSS L1,MAKER,TAKER,True,
14,,DOTUSDT,LONG,CLOSED,0.9059,0.907,0.908,435.113093579871,20.0,8702.26187159742,9606.205841259985,VERY_STRONG,0.2803,0.0842,0.1043,63.1,63.1,22.8922,23.6165,0.0772,0.0773,BULLISH,0.1258,0.0871,22.6512,22.2531,62.3,66.4,52.9,0.2387,32.1,30.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,1.1023,1.0159,59.5,19.0,84.6,-0.7242,5.0,HEALTHY_BULL,HEALTHY_BULL,,-0.038,19.092230825008723,14.557215904880547,0.3867,0.1196,5e-05,0.2153,0.2661,0.2145,-0.409,2026-06-23T14:14:11.103702,0.05837156419030686,59238611.999,38,8702.26187159742,59238.611999,False,,0.1464,,,,,,,,,1.5664071368875359,3.9207729141102634,5.487180050997799,5.079646374388088,0.05837156419030686,0.4997227067005181,-0.27264179269235156,0.911,0.9059,0.0,0.5025,0.2202,2026-06-23T14:14:50.686204,,,ENDED_NEG,2,0.9,,True,,-0.011,False,,,,2.0,1.0,UNMATCHED,True,-0.27264179269235156,0.05837156419030686,0,,-0.2045,0.3544,True,0.91,0.902,2026-06-23T14:36:32.440429,2026-06-23T14:46:50.001463,,,,,,,,,,,,,,,,,,,,,True,MOMENTUM,,,,,,-0.052,0.0584,-0.2727,0.2792,-0.2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5025,,,,,,,,,,,,,0.5024576361580261,,False,,,,False,,,2026-06-23T14:12:36.555152,-0.052,2026-06-23T14:12:49.746432,-0.052,,,,,,,2026-06-23T14:09:28,2026-06-23T14:21:37.309335,TRAILING_STOP L2,MAKER,TAKER,True,
13,,LINKUSDT,LONG,CLOSED,7.612,7.637,7.638,487.81581924445055,20.0,9756.31638488901,1281.7020999591448,STRONG_BUY,0.1559,0.0771,0.0501,62.77,56.52,20.3417,19.8241,0.2103,0.2108,,0.0839,0.0403,21.9724,23.244,55.9,57.4,30.9,0.2197,27.7,23.8,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,,,,1.4516,1.4615,73.8,21.4,86.9,0.5176,3.0,HEALTHY_BULL,HEALTHY_BULL,,-0.1757,25.211239746720494,14.469573889863039,0.3073,-0.0471,,0.0006,0.3382,0.1543,-0.4686,2026-06-23T14:12:33.530909,-0.010475039411461384,97024540.468,27,9756.31638488901,97024.54046799999,False,,0.1291,,,,,,,,,1.756136949280022,4.404761521824594,6.160898471104616,25.881654027873317,0.26528100367839547,0.6198244876510719,-0.41754348397267643,7.664,7.612,0.0,0.4039,0.3555,2026-06-23T14:20:17.406990,,,NEVER,2,0.9,,True,,-0.0131,False,,,,1.0,1.0,BULL_LONG,False,-0.28623108250131823,0.26528100367839547,0,,0.0098,0.362,True,7.673,7.614,2026-06-23T14:36:32.440429,2026-06-23T14:26:34.921138,,,,,,,,,,,,,,,,,,,,,,BULL_LONG,,,,,,0.2654,0.226,0.1209,0.6201,0.2129,2026-06-23T14:16:35.140233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4344,,,,,,,,,,,,,0.42137601494673893,,False,,,,False,,,2026-06-23T14:12:34.522540,-0.0105,2026-06-23T14:12:49.744761,-0.0105,,,-0.3781,16.9,,,2026-06-23T13:49:13,2026-06-23T14:22:25.089207,TRAILING_STOP L2,MAKER,TAKER,True,
12,,XLMUSDT,LONG,CLOSED,0.19434,0.19309,0.19309,487.81581924445055,20.0,9756.31638488901,50202.30721873526,STRONG_BUY,0.2206,0.1206,0.072,63.34,52.99,19.6783,19.0603,0.4532,0.4552,,0.1094,0.0403,21.9724,23.244,55.9,57.4,30.9,0.2197,27.7,23.8,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,,,,1.4516,2.2174,73.8,21.4,82.8,0.618,2.0,HEALTHY_BULL,HEALTHY_BULL,,-0.1757,31.815311889379398,18.00803671922782,0.4334,-0.0885,,-0.0212,0.6488,0.1543,-0.4686,,,110737148.20665,21,9756.31638488901,110737.14820665,False,,0.1165,2026-06-23T14:22:21.072035,-0.4397,,,2026-06-23T14:24:54.187125,-0.5632,,,4.390342373200054,4.362103575389516,8.752445948589571,-71.5053299720087,-0.7329131933724405,0.10030230523823272,-0.7740596377482893,0.19471,0.19434,0.0,,,,2026-06-23T14:32:16.192749,-0.4742,ENDED_NEG,1,0.45,,False,,0.1236,False,,,,1.0,1.0,BULL_LONG,False,-0.6249037768858768,,0,,-0.3134,-0.2296,True,0.1942,0.19302,2026-06-23T14:36:32.440429,2026-06-23T14:47:42.941137,,,,,,,,,,,,,,,,,,,,,,BULL_LONG,,,,,,-0.5634,-0.5685,-0.265,-0.7023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6937332081258247,,False,,,,False,,,2026-06-23T14:12:35.535887,-0.4346,2026-06-23T14:12:49.741420,-0.4192,,,-0.2289,11.46,-0.4449,34.37,2026-06-23T13:49:05,2026-06-23T14:32:27.889381,STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
11,,ALLOUSDT,LONG,CLOSED,0.3926,0.38889,0.38906,482.84449190331986,20.0,9656.889838066398,24597.27416726031,STRONG_BUY,0.2289,0.1429,0.0951,55.18,57.85,27.034,26.823,0.1512,0.1514,,0.1862,0.0251,21.9724,23.244,48.8,57.4,30.9,0.2193,24.6,23.8,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,1.3466,1.0021,69.0,21.4,53.2,0.2111,4.0,HEALTHY_BULL,HEALTHY_BULL,,-0.1922,37.09994269608553,20.07460648284004,0.6771,-0.3238,,-0.4739,0.3899,0.0177,-0.483,2026-06-23T14:12:34.150246,-0.12919536423840616,93085529.64365,29,9656.889838066398,93085.52964364999,False,,0.1583,2026-06-23T14:13:30.313353,-0.2616,,,2026-06-23T14:13:30.347491,-0.2972,,,1.7382401708519517,4.304535277907639,6.04277544875959,-97.29866260929512,-1.0075569281711643,0.3214423076923106,-1.0075569281711643,0.39411,0.3926,0.0,,,,2026-06-23T14:37:24.175873,-0.6838,ENDED_NEG,1,0.45,,False,,-0.0255,False,,,,1.0,1.0,BULL_LONG,False,-0.3150515792154842,,0,,-0.6838,-0.1744,True,0.39546,0.38651,2026-06-23T14:54:06.695597,2026-06-23T14:41:43.844986,,,,,,,,,,,,,,,,,-0.43725840550178985,2026-06-23T14:16:44.204207,,,,BULL_LONG,,,,,,-0.8781,-0.9494,-1.3901,-0.0426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4635815968950494,,False,,,,False,,,2026-06-23T14:12:34.520021,-0.0808,2026-06-23T14:12:49.739454,-0.1699,,,0.0847,2.72,-0.338,21.81,2026-06-23T13:47:38,2026-06-23T14:37:24.179203,STOP_LOSS L1,MAKER,TAKER,True,
10,,TNSRUSDT,LONG,CLOSED,0.03537,0.03498,0.03505,486.5686635131853,20.0,9731.373270263706,275130.7116274726,STRONG_BUY,0.1208,0.0767,0.04,51.84,54.52,16.6897,17.2322,0.0568,0.0569,,0.1092,0.0305,23.1915,24.5553,55.9,52.9,34.5,0.2153,27.6,23.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,1.7384,0.9387,78.6,16.7,62.3,-0.5425,2.0,HEALTHY_BULL,HEALTHY_BULL,,-0.2071,21.156318906550364,17.436978011169018,0.8519,-0.2785,,-0.2802,0.1737,0.1742,-0.4692,,,47513583.809878,40,9731.373270263706,47513.583809878,False,,0.1367,2026-06-23T14:12:33.551760,-0.7117,2026-06-23T14:25:46.510681,-0.5422,2026-06-23T14:12:33.551760,-0.7117,2026-06-23T14:25:46.510681,-0.5422,4.379117971618668,4.3308325317280465,8.709950503346715,-116.01092803806144,-1.1921331636980532,0.1360785976816615,-1.1921331636980532,0.03545,0.03537,0.0,,,,2026-06-23T14:30:59.331751,-0.8177,ENDED_NEG,1,0.45,,False,,0.2835,False,,,,1.0,1.0,BULL_LONG,False,-0.4573777212326779,,0,,-0.8177,-0.0548,True,0.03523,0.03481,2026-06-23T14:36:50.790935,2026-06-23T14:32:28.229165,,,,,,,,,,,,,,,,,-0.5986768447837137,2026-06-23T14:06:07.157920,,,,BULL_LONG,,,,,,-1.4471,-1.645,-0.9947,-1.1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45199186480127057,,False,,,,False,,,2026-06-23T14:12:34.515936,-0.6552,2026-06-23T14:12:49.737414,-0.7965,,,-0.0335,0.02,-0.4291,16.38,2026-06-23T13:45:17,2026-06-23T14:30:59.334736,STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
9,,ONDOUSDT,LONG,CLOSED,0.31320000000000003,0.314,0.3142,486.5686635131853,20.0,9731.373270263706,31070.795882068025,STRONG_BUY,0.178,0.1194,0.0636,59.99,59.44,28.7311,28.8621,0.268,0.2687,,0.15,0.0305,23.1915,24.5553,55.9,52.9,34.5,0.2153,27.6,23.8,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,W6,,,1.7384,1.487,78.6,16.7,80.4,-0.131,4.0,HEALTHY_BULL,HEALTHY_BULL,,-0.2071,25.03418559364386,14.381159107144686,0.4124,-0.1996,,-0.1969,0.4523,0.1742,-0.4692,2026-06-23T13:48:12.089433,,64348338.56277,36,9731.373270263706,64348.338562770005,False,,-0.1757,,,,,,,,,1.7516471886474672,4.390303458136212,6.141950646783679,18.71468605886973,0.19231289910599214,0.447625798212002,-0.3821411238825212,0.3148,0.31320000000000003,0.0,0.6614,0.402,2026-06-23T13:48:14.810881,2026-06-23T13:46:36.368807,-0.1446,RECOVERED,1,0.45,,True,,-0.0319,False,,,,1.0,1.0,BULL_LONG,False,,0.19231289910599214,0,,0.4083,0.402,True,0.3157,0.3127,2026-06-23T14:18:51.225830,2026-06-23T14:05:56.291209,0.7352,-0.2226,30.49,17.58,,,0.2882,,37.31,0.1286,35.09,0.3521,,,,,,,,,,BULL_LONG,,,,,,0.0647,0.1924,0.384,0.0647,0.6394,,,,,,,2026-06-23T14:21:42.141533,0.4159,2026-06-23T14:19:18.841138,0.5117,2026-06-23T14:21:42.141533,0.4159,2026-06-23T14:16:27.507859,0.3521,2026-06-23T14:21:42.141533,0.4159,2026-06-23T14:16:30.578376,0.3521,2026-06-23T14:21:36.002539,0.4798,0.4852,trailing,6.35,0.1352,trailing,12.02,0.4852,trailing,6.35,0.4352,trailing,8.75,0.4798,stretch,2.74,0.4798,stretch,2.74,0.4479,stretch,2.83,0.2882,window,,0.3201,ema5_cross,3.54,0.4495,,0.2882,,0.2882,,0.2882,,0.2882,,0.2882,,0.2882,,0.62979828746537,,False,,,,False,,,,,,,,,,,,,2026-06-23T13:44:57,2026-06-23T13:48:21.708520,TRAILING_STOP L1,MAKER,TAKER,True,
8,,AAVEUSDT,LONG,CLOSED,72.67,72.23,72.24,486.5686635131853,20.0,9731.373270263706,133.91183803858135,STRONG_BUY,0.1478,0.096,0.0497,57.36,58.9,22.0587,21.9521,0.1329,0.1331,,0.1164,0.0305,23.1915,24.5553,55.9,52.9,34.5,0.2153,27.6,23.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,1.7384,1.5202,78.6,16.7,64.5,0.1066,4.0,HEALTHY_BULL,HEALTHY_BULL,,-0.2071,22.556475728002216,13.988741043064968,0.4132,-0.0802,,0.0084,0.279,0.1742,-0.4692,,,65317758.569,35,9731.373270263706,65317.758569,False,,-0.0447,2026-06-23T13:54:36.365614,-0.4339,,,2026-06-23T13:54:36.376408,-0.4476,,,4.379117971618668,4.352603427687029,8.731721399305698,-67.65293013628119,-0.6952043484243811,0.19884752992981114,-0.7639775698362391,72.88,72.67,0.0,,,,2026-06-23T13:55:36.686632,-0.3603,ENDED_NEG,1,0.45,,False,,0.1102,False,,,,1.0,1.0,BULL_LONG,False,-0.46137539562404845,,0,,-0.2161,-0.07,True,73.9,72.12,2026-06-23T14:49:29.721646,2026-06-23T14:11:48.069694,1.6026,-0.8468,43.19,5.49,6.57,-0.6817,1.231,0.0,6.57,-0.6817,,,,,6.57,-0.6817,-0.5714125498830447,2026-06-23T13:56:05.232240,,,,BULL_LONG,2026-06-23T14:47:31.819604,1.0659,,,,-0.668,-0.6817,-0.7643,0.0201,-0.09,,,,,,,2026-06-23T14:38:44.014005,0.2815,2026-06-23T14:41:07.255831,0.6668,2026-06-23T14:41:08.269005,0.6531,2026-06-23T14:41:07.255831,0.6668,2026-06-23T14:41:08.269005,0.6531,2026-06-23T14:41:07.255831,0.6668,2026-06-23T14:41:08.269005,0.6531,0.488,ema13,25.09,0.488,ema13,25.09,0.488,ema13,25.09,0.488,ema13,25.09,0.488,ema13,25.09,0.488,ema13,25.09,0.488,ema13,25.09,0.488,ema13,25.09,0.488,ema13,25.09,1.4149,,1.231,,1.231,,1.231,,1.231,,1.231,,1.231,,0.448479382521902,,False,,,,False,,,2026-06-23T13:54:08.989581,-0.0487,2026-06-23T13:54:24.245879,-0.1863,,,-0.4476,1.59,,,2026-06-23T13:44:49,2026-06-23T14:06:18.487995,STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
7,,BELUSDT,LONG,CLOSED,0.17246,0.17213,0.1726,486.5686635131853,20.0,9731.373270263706,56426.84257371974,STRONG_BUY,0.2068,0.1294,0.0731,54.0,53.9,21.6135,21.6929,0.5024,0.5049,,0.1422,0.0305,23.1915,24.5553,55.9,52.9,34.5,0.2153,27.6,23.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,1.7384,0.76,78.6,16.7,50.2,-0.0794,4.0,HEALTHY_BULL,HEALTHY_BULL,,-0.2071,23.446679765191718,15.442841026705691,1.7416,-0.1931,,-0.1966,0.7086,0.1742,-0.4692,2026-06-23T13:44:41.975208,0.09546677490431808,131045236.79422,20,9731.373270263706,131045.23679422,False,,-0.2071,,,,,,,,,4.379117971618668,4.37073858549647,8.749856557115137,-27.37071460644248,-0.28126261162008404,0.599704569175459,-0.28126261162008404,0.17365,0.17246,0.0,1.4765,0.5168,2026-06-23T13:44:50.675519,2026-06-23T13:45:05.735635,0.6064,NEVER,2,0.9,,True,,0.2966,False,,,,1.0,1.0,BULL_LONG,False,,-0.28126261162008404,0,,0.6064,0.5168,False,0.17352,0.16748,2026-06-23T14:02:10.529200,2026-06-23T14:08:14.921173,0.5246,-2.9776,17.08,23.15,27.78,-1.7715,-1.3889,0.0,,,32.75,-2.6123,,,27.78,-1.7715,,,,,,BULL_LONG,,,,,,-0.3103,-0.5365,-1.0062,0.026,-2.0615,2026-06-23T13:44:45.378761,0.19979183578800905,,,,,,,,,,,,,,,,,,,-1.3889,window,,-1.3889,window,,-1.3889,window,,-1.3889,window,,-1.3889,window,,-1.3889,window,,-1.3889,window,,-1.3889,window,,-1.3889,window,,,1.4765,-1.3889,,-1.3889,,-1.3889,,-1.3889,,-1.3889,,-1.3889,,1.4707867391453704,,False,,,,False,,,,,,,,,,,,,2026-06-23T13:44:28,2026-06-23T13:45:05.744096,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
