id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,entry_strategy,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,shadow_peak_stretch_at_close,shadow_atr05_pnl,shadow_atr05_min,shadow_atr10_pnl,shadow_atr10_min,shadow_atr15_pnl,shadow_atr15_min,shadow_cap025_pnl,shadow_cap025_min,shadow_cap035_pnl,shadow_cap035_min,shadow_cap050_pnl,shadow_cap050_min,runner_peak_stretch,runner_trail_bound,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
15,,TAOUSDT,SHORT,CLOSED,200.32,201.26,201.25,631.5117816033486,20.0,12630.235632066971,63.050297684040395,STRONG_BUY,0.4411,0.118,0.1568,26.55,24.51,26.7925,24.68,0.1413,-0.1411,BEARISH,-0.2092,-0.0439,22.1038,22.2757,41.5,37.7,52.3,0.1487,38.4,40.8,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,0.9641,1.6403,7.1,83.3,24.7,2.1126,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,0.0749,10.982536130362078,37.03515854805743,0.2817,-0.3475,-0.001606,-0.5098,-0.4153,-0.1308,-0.1665,,,61855492.95,29,12630.235632066971,61855.49295000001,False,,0.0195,2026-06-30T21:31:04.253320,-0.3826,,,2026-06-30T21:35:52.120902,-0.5375,,,2.273442413772055,5.710276310350486,7.983718724122541,-67.25099854712037,-0.5324603634185293,0.02689666533546666,-0.5374546226038424,200.32,200.14,0.0,0.1953,-0.2348,2026-06-30T21:23:35.035217,2026-06-30T21:35:52.121071,-0.2801,ENDED_NEG,1,0.45,,False,,-0.005,False,,,,1.0,1.0,,False,-0.3826325878594323,,0,,-0.1817,0.2041,True,201.88,200.65,2026-06-30T22:07:49.505597,2026-06-30T21:49:34.180478,,,,,,,,,,,,,,,,,,,,,False,MOMENTUM,,,,,,-0.5672,-0.6021,-0.5922,-0.2926,-0.7769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19031676051219076,,False,,,,False,,,,,,,,,-0.093,1.12,-0.5275,15.62,2026-06-30T21:20:17,2026-06-30T21:35:54.237173,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
14,,PUMPUSDT,SHORT,CLOSED,0.001426,0.001435,0.001435,631.5117816033487,20.0,12630.235632066975,8857107.736372354,STRONG_BUY,0.4439,0.1122,0.1607,29.12,39.33,23.6797,22.8047,0.4306,-0.4287,BEARISH,-0.1727,-0.0323,22.121,22.29,36.1,45.6,45.4,0.1526,37.5,40.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,W1,,,0.9425,1.1342,11.9,83.3,8.8,0.8751,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,0.0924,14.070095686805034,29.259472423403604,0.4875,-0.1889,-0.001606,-0.181,-0.7003,-0.2395,-0.1753,,,63135026.31109,28,12630.235632066975,63135.02631109,False,,0.0185,2026-06-30T21:30:49.897011,-0.7214,,,2026-06-30T21:32:06.846537,-0.8617,,,5.683606034430139,5.719477320762448,11.403083355192587,-91.11705298254475,-0.7214200561009896,0.0,-0.8617356241234182,0.001426,0.001423,0.0,,,,2026-06-30T21:32:06.846691,-0.2538,ENDED_NEG,1,0.45,,False,,0.0,False,,,,1.0,1.0,W1,False,-0.7214200561009896,,0,,-0.0916,0.0956,True,0.001443,0.001434,2026-06-30T22:01:18.566339,2026-06-30T22:08:08.704761,,,,,,,,,,,,,,,,,,,,,False,MOMENTUM,,,,,,-0.7913,-0.8614,-0.9315,-1.0016,-1.2821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.430553550077903,,False,,,,False,,,,,,,,,-0.7916,17.87,-0.5109,14.5,2026-06-30T21:13:34,2026-06-30T21:32:41.159735,STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
13,,NEARUSDT,SHORT,CLOSED,1.78,1.789,1.79,631.5117816033486,20.0,12630.235632066971,7095.637995543242,STRONG_BUY,0.3899,0.1122,0.1413,26.67,34.7,27.6021,25.3407,0.2699,-0.2692,BEARISH,-0.1622,-0.0321,22.1063,22.29,36.2,45.6,45.4,0.1524,37.5,40.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,W1,,,0.6809,1.6477,11.9,83.3,10.3,2.2614,4.0,HEALTHY_BEAR,HEALTHY_BEAR,,0.0926,7.1239986416387335,26.011577310243933,0.3209,-0.1879,-0.001606,-0.2896,-0.5218,-0.2375,-0.1751,,,126427141.506,17,12630.235632066971,126427.141506,False,,0.0195,2026-06-30T21:31:02.252682,-0.4834,,,2026-06-30T21:33:49.118830,-0.5958,,,5.683606034430137,5.712343368312086,11.395949402742223,-75.25669136263068,-0.5958455056179718,0.07861516853933224,-0.6520505617977533,1.78,1.777,0.0,0.2723,-0.3012,2026-06-30T21:21:26.026514,2026-06-30T21:34:28.314174,-0.3557,ENDED_NEG,1,0.45,,False,,0.0,False,,,,1.0,1.0,W1,False,-0.4834353932584211,,0,,-0.1628,0.2192,True,1.801,1.786,2026-06-30T22:07:48.494407,2026-06-30T21:51:08.844298,,,,,,,,,,,,,,,,,,,,,False,MOMENTUM,,,,,,-0.7642,-0.708,-0.6518,-0.5956,-0.9889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3826904891481068,,False,,,,False,,,,,,,,,-0.4272,19.3,-0.1462,14.82,2026-06-30T21:12:08,2026-06-30T21:35:55.560594,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
12,,BCHUSDT,SHORT,CLOSED,198.54,199.8,199.67,670.9130121923635,20.0,13418.26024384727,67.58466930516404,STRONG_BUY,0.1932,0.0652,0.064,58.04,57.39,27.5976,27.3495,0.1826,0.1829,BEARISH,0.1233,-0.1333,28.4523,28.5544,37.3,38.0,39.7,0.3776,28.1,29.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,0.6502,1.7112,23.8,61.9,71.5,0.2481,2.0,STRONG_BEAR,HEALTHY_BEAR,,-0.4256,33.212396432595405,17.56217330158175,0.4696,0.0032,,-0.0216,0.3123,-0.3402,-0.4579,,,67917150.74,27,13418.26024384727,67917.15074,False,,-0.4009,2026-06-30T15:28:42.620005,-0.0428,2026-06-30T15:33:43.522116,-0.2746,2026-06-30T15:28:42.620005,-0.0428,2026-06-30T15:33:43.522116,-0.2746,2.415286843892509,6.0765376172273,8.491824461119808,-93.6485077856278,-0.6979184043517777,0.0,-0.6979184043517777,198.54,198.33,0.0,,,,2026-06-30T15:45:59.022171,-0.5017,ENDED_NEG,1,0.45,,False,,-0.005,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.5017,0.1952,True,202.45,199.19,2026-06-30T16:08:07.566739,2026-06-30T16:30:48.582764,-0.3904,-2.0324,44.82,22.14,0.01,-0.8185,-0.4458,0.0,0.23,-1.2869,10.33,-1.2517,,,0.01,-0.8185,,,,,,FLIP:FAN_RATIO_GATE,2026-06-30T15:50:06.958973,-1.0552,,,,-1.3574,-1.1207,-1.0754,-1.1862,-1.0653,,,,,,,,,,,,,,,,,,,,,-0.4458,window,,-0.4458,window,,-0.4458,window,,-0.4458,window,,-0.4458,window,,-0.4458,window,,-0.4458,window,,-0.4458,window,,-0.4458,window,,,,-0.4458,,-0.4458,,-0.4458,,-0.4458,,-0.4458,,-0.4458,,,,False,,,,False,,,,,,,,,,,,,2026-06-30T15:23:19,2026-06-30T15:45:59.034507,FLIP_STOP_LOSS L1,MAKER,TAKER,True,
11,,TIAUSDT,SHORT,CLOSED,0.3639,0.3667,0.3666,670.9130121923635,20.0,13418.26024384727,36873.482395843006,STRONG_BUY,0.1604,0.0873,0.0586,55.68,52.51,26.301,26.541,0.2275,0.2281,BEARISH,0.1171,-0.13,28.1456,28.8151,41.3,40.7,43.6,0.3602,29.5,29.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,0.5382,0.4517,28.6,69.0,55.8,-0.24,3.0,STRONG_BEAR,HEALTHY_BEAR,,-0.3857,23.386267506462044,14.584295638601372,0.5787,-0.4287,,-0.6732,0.3744,-0.2126,-0.4375,,,33590977.9326,46,13418.26024384727,33590.9779326,False,,-0.3437,2026-06-30T15:28:41.956206,-0.2275,2026-06-30T15:33:42.023048,-0.09,2026-06-30T15:28:41.956206,-0.2275,2026-06-30T15:33:42.023048,-0.09,6.038217109731271,6.084677697550034,12.122894807281305,-115.36864551564264,-0.8597884034075364,0.10244710085187646,-0.8597884034075364,0.3639,0.3628,0.0,0.1313,0.0599,2026-06-30T15:38:58.365680,2026-06-30T16:10:01.959956,-0.5244,ENDED_NEG,1,0.45,,False,,0.0275,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE,False,,,0,,-0.5244,0.128,True,0.3667,0.3592,2026-06-30T16:10:02.412528,2026-06-30T16:43:58.797248,1.2016,-0.8594,33.94,0.0,0.0,-0.832,0.2398,0.0,27.42,0.5695,37.42,0.6245,,,0.0,-0.832,,,,,,FLIP:FAN_RATIO_GATE,2026-06-30T16:10:12.750429,-0.8045,,,,-0.8594,-0.6121,-0.2274,0.2947,0.2398,,,,,,,2026-06-30T16:24:24.596012,0.1573,2026-06-30T16:24:25.602387,0.1573,2026-06-30T16:24:25.602387,0.1573,2026-06-30T16:34:54.895250,0.652,2026-06-30T16:34:55.899721,0.652,2026-06-30T16:34:54.895250,0.652,2026-06-30T16:34:57.909273,0.652,0.4871,ema13,56.62,0.4871,ema13,56.62,0.4871,ema13,56.62,0.4871,ema13,56.62,0.4871,ema13,56.62,0.4871,ema13,56.62,0.4871,ema13,56.62,0.4871,ema13,56.62,0.4871,ema13,56.62,0.78,,0.4871,56.62,0.4871,56.62,0.4871,56.62,0.4871,56.62,0.4871,56.62,0.4871,56.62,,,False,,,,False,,,,,,,,,,,,,2026-06-30T15:16:29,2026-06-30T16:10:01.963050,FLIP_STOP_LOSS L1,TAKER_FALLBACK,TAKER,True,
10,,XLMUSDT,SHORT,CLOSED,0.1787,0.17793,0.17793,648.8830247871406,20.0,12977.660495742812,72622.6104966022,STRONG_BUY,0.6519,0.1399,0.2183,26.72,29.81,20.4929,19.3483,0.2647,-0.264,BEARISH,-0.2602,-0.0346,22.9644,22.311,39.8,40.2,48.4,0.1436,35.5,35.8,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,C1,,-0.7,0.5345,0.5464,14.6,75.6,4.4,1.1446,2.0,HEALTHY_BEAR,CHOPPY_WEAK,,-0.1995,12.0372824994251,25.213748098339593,0.4763,-0.6341,5e-05,-0.9555,-0.6211,-0.0761,-0.2295,2026-06-30T09:34:24.241751,0.09935618354783701,103140165.24088,20,12977.660495742812,103140.16524088,False,,-0.1312,,,,,,,,,2.335978889233706,5.814783488547193,8.1507623777809,47.76864770460227,0.3680836597649652,0.687197537772808,-0.4492957470621132,0.1787,0.17736,0.0,0.7784,-0.1855,2026-06-30T10:11:38.627430,2026-06-30T09:41:55.258440,-0.1624,RECOVERED,1,0.45,,True,,-0.056,False,,,,1.0,1.0,C1,False,,,0,,0.3526,-0.2884,True,0.17971,0.17731,2026-06-30T10:55:44.863820,2026-06-30T10:36:11.604573,0.7148,-0.6282,24.14,43.7,37.73,-0.1749,-0.5666,0.7148,27.7,0.3511,5.45,0.1217,,,37.73,-0.1749,,,,,False,MOMENTUM,2026-06-30T10:12:03.057091,0.3567,,,,0.435,0.3735,0.1832,0.4238,0.435,2026-06-30T10:11:31.251812,,,,,,,,2026-06-30T10:14:08.544296,0.3623,2026-06-30T10:38:41.481755,0.3175,2026-06-30T10:32:51.154494,0.3287,2026-06-30T10:38:39.472730,0.3175,2026-06-30T10:37:51.165511,0.4518,2026-06-30T10:33:28.436343,0.3007,0.4372,trailing,38.85,0.1148,trailing,74.73,0.4372,trailing,38.85,0.3872,trailing,38.87,0.4017,stretch,38.86,0.2951,stretch,39.12,0.2448,stretch,42.84,0.3343,stretch,41.52,0.3287,ema5_cross,59.63,0.7784,0.7784,0.4465,38.85,0.2,43.29,-0.0518,75.37,0.3401,38.37,0.3793,38.37,0.4465,38.85,0.7330087170264401,,False,,,,False,,,2026-06-30T09:45:52.622491,-0.2869,,,,,-0.3429,7.75,-0.2981,5.54,2026-06-30T09:33:09,2026-06-30T10:12:02.551104,RUNNER_TRAIL L1,MAKER,TAKER,True,
9,,AAVEUSDT,SHORT,CLOSED,89.08,88.53,88.53,648.8830247871406,20.0,12977.660495742812,145.68545684489013,VERY_STRONG,0.4069,0.0934,0.1361,33.12,34.19,30.4375,29.7964,0.1093,-0.1092,BEARISH,-0.1729,-0.0346,22.9644,22.311,39.8,40.2,48.4,0.1436,35.5,35.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,0.5345,0.4971,14.6,75.6,19.3,0.6411,3.0,HEALTHY_BEAR,CHOPPY_WEAK,,-0.1995,13.314181987368858,30.175692622424716,0.3351,-0.3763,5e-05,-0.5873,-0.3383,-0.0761,-0.2295,2026-06-30T10:05:16.350900,0.0896946564885458,115732405.656,18,12977.660495742812,115732.405656,False,,-0.1327,,,,,,,,,5.839947223084265,5.803890072515155,11.64383729559942,68.48316396908973,0.5277003816793862,0.6512404580152633,-0.3146183206106902,89.08,88.42,0.0,0.6051,-0.2088,2026-06-30T10:10:37.951419,2026-06-30T09:40:53.682847,-0.1239,RECOVERED,1,0.45,,True,,0.0337,False,,,,1.0,1.0,,False,,,0,,0.2711,-0.3873,True,89.66,88.53,2026-06-30T10:31:01.482806,2026-06-30T10:10:49.517043,0.5274,-0.7411,0.0,20.2,5.57,-0.539,-0.4492,0.4488,5.57,-0.539,3.33,-0.1237,,,5.57,-0.539,,,,,True,MOMENTUM,2026-06-30T10:10:49.524058,0.5274,,,,0.1682,-0.0002,-0.4492,-0.4268,-0.5054,2026-06-30T10:09:21.081043,,,,,,2026-06-30T10:10:54.592187,0.3703,2026-06-30T10:10:56.618907,0.3927,2026-06-30T10:11:00.668694,0.3815,2026-06-30T10:11:02.699686,0.3815,2026-06-30T10:11:11.821203,0.3141,2026-06-30T10:11:14.857350,0.2917,2026-06-30T10:11:17.896118,0.157,0.4012,trailing,37.82,0.0512,trailing,39.15,0.4012,trailing,37.82,0.3512,trailing,38.06,0.4376,stretch,37.79,0.4376,stretch,37.79,0.4376,stretch,37.79,0.359,stretch,38.04,0.1682,ema5_cross,38.21,0.6615,0.6615,0.4603,36.57,0.3141,38.09,0.1345,38.41,0.4715,36.51,0.4603,36.57,0.4603,36.57,0.6051290229684121,,False,,,,False,,,2026-06-30T09:45:52.620173,-0.1574,,,,,-0.1012,3.43,-0.2248,8.96,2026-06-30T09:33:03,2026-06-30T10:10:49.180703,RUNNER_TRAIL L1,TAKER_FALLBACK,TAKER,True,
8,,CHZUSDT,SHORT,CLOSED,0.01918,0.01906,0.01905,633.0405094311983,20.0,12660.810188623966,660104.8064975999,STRONG_BUY,0.285,0.0777,0.0557,59.96,49.35,28.5066,28.6406,0.6235,0.6274,BEARISH,0.1387,-0.0551,24.1933,23.9548,35.2,39.8,35.6,0.1484,35.4,40.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,1.2596,0.7056,24.4,73.2,65.1,-0.1339,4.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.2147,28.588007784375485,16.515820260025386,0.8358,0.6554,,0.8685,0.7616,-0.1132,-0.2041,2026-06-30T08:59:32.554451,0.06648331595411253,34110802.49636,45,12660.810188623966,34110.80249636,False,,-0.2005,2026-06-30T08:58:23.569388,-0.09,2026-06-30T09:03:27.612659,-0.09,2026-06-30T08:58:23.569388,-0.09,2026-06-30T09:03:27.612659,-0.09,5.697364584880784,5.661718925329915,11.359083510210699,67.85349326950036,0.5359332638164682,1.0053832116788237,-0.7680943691345237,0.01918,0.01897,0.0,0.6773,-0.027,2026-06-30T09:19:03.547988,2026-06-30T09:07:26.233354,-0.7815,RECOVERED,3,0.45,,False,,-0.0522,False,,,,1.0,1.0,FLIP:FAN_RATIO_GATE[QS≥3×BEAR≥70×RNG60-90],False,,,0,,0.2369,0.0079,True,0.01929,0.01894,2026-06-30T09:55:11.349011,2026-06-30T09:35:06.533346,1.1613,-0.6635,15.26,35.34,0.0,0.5357,0.2228,0.0,6.23,0.3271,2.92,0.2228,,,2.05,0.3792,,,,,,FLIP:FAN_RATIO_GATE,2026-06-30T09:25:31.866643,0.2228,,,,0.5878,0.4835,0.275,0.9528,0.4314,2026-06-30T09:16:31.244571,,2026-06-30T09:19:03.548025,,,,2026-06-30T09:26:31.156248,0.1186,2026-06-30T09:20:01.155037,0.4835,2026-06-30T09:20:03.242077,0.4835,2026-06-30T09:20:01.155037,0.4835,2026-06-30T09:20:03.242077,0.4835,2026-06-30T09:20:01.155037,0.4835,2026-06-30T09:20:03.242077,0.4835,0.7032,trailing,20.3,0.5357,signal_lost,21.46,0.7032,trailing,20.3,0.6532,trailing,20.38,0.6924,stretch,20.3,0.6403,stretch,20.38,0.5359,stretch,21.45,0.5357,signal_lost,21.46,0.5357,signal_lost,21.46,0.7995,0.7995,0.5359,21.45,0.5357,21.46,0.5357,21.46,0.6924,20.3,0.5881,20.47,0.5359,21.45,0.2895317600611554,atr,False,,,,False,,,,,,,,,,,,,2026-06-30T08:58:22,2026-06-30T09:19:50.656478,FLIP_RUNNER_TRAIL,TAKER_FALLBACK,TAKER,True,
7,,FARTCOINUSDT,LONG,CLOSED,0.1432,0.1438,0.1438,1225.0189317641557,20.0,24500.378635283116,171092.02957599942,VERY_STRONG,0.3329,0.0621,0.1181,59.71,59.28,26.8557,28.1051,0.0556,0.0557,BULLISH,0.1376,0.0268,19.9432,19.6154,61.0,50.8,58.0,0.1481,44.0,42.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.8384,0.7822,62.5,27.5,86.4,-1.2494,4.0,HEALTHY_BULL,HEALTHY_BULL,,-0.1475,19.62203816379694,15.856630443562302,0.473,0.4816,8e-06,0.676,0.2361,0.2033,-0.17,2026-06-30T06:31:31.478462,,42225632.26847,41,24500.378635283116,42225.63226847,False,,-0.1256,,,,,,,,,4.410068154350961,11.071365233862924,15.481433388213885,87.17378435738871,0.35580586592179975,0.8444127094972036,-0.1328009776536236,0.1445,0.1432,0.0,0.6673,0.3241,2026-06-30T06:36:55.586747,2026-06-30T06:30:39.473684,-0.084,RECOVERED,1,0.45,,True,,-0.0698,False,,,,2.0,1.0,UNMATCHED,False,,,0,,0.1374,0.3703,False,0.1442,0.1429,2026-06-30T07:03:22.024321,2026-06-30T07:09:00.808115,0.6353,-0.2725,25.4,31.05,32.52,-0.2027,-0.063,0.6353,7.82,-0.063,7.82,-0.063,,,32.52,-0.2027,,,,,True,MOMENTUM,2026-06-30T06:40:14.519025,0.356,,,,0.356,0.2862,0.2163,0.2163,0.1465,2026-06-30T06:31:35.389840,,,,,,2026-06-30T07:04:20.284068,0.2862,2026-06-30T06:37:57.783111,0.356,2026-06-30T06:37:57.783111,0.356,2026-06-30T06:40:18.550987,0.2862,2026-06-30T07:04:20.284068,0.2862,2026-06-30T06:44:13.771359,0.0767,2026-06-30T07:04:24.299683,0.2862,0.3152,trailing,1.14,0.2444,trailing,10.57,0.3152,trailing,1.14,0.2652,trailing,1.62,0.2162,stretch,1.62,0.2162,stretch,1.62,0.2162,stretch,2.94,-0.2027,ema13,39.83,0.1465,ema5_cross,12.18,0.6673,0.6673,0.286,1.14,0.3558,7.29,0.0767,13.3,0.3558,1.07,0.3558,1.07,0.286,1.14,0.5296367766113799,,False,,,,False,,,,,,,,,,,,,2026-06-30T06:30:32,2026-06-30T06:37:57.443232,RUNNER_TRAIL L1,MAKER,TAKER,True,
6,,ACTUSDT,LONG,CLOSED,0.01235,0.01253,0.01253,962.3282383819671,20.0,19246.564767639342,1558426.2969748455,STRONG_BUY,0.5184,0.177,0.2116,55.37,48.45,15.5179,15.1842,0.3323,0.3334,BULLISH,0.2014,0.1592,20.8367,18.7957,69.4,67.4,57.4,0.2795,58.4,51.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,1.0115,0.8094,72.5,25.0,78.1,0.3337,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.2241,25.041675189588098,16.74463077277643,1.4785,-0.0643,7e-05,-0.2856,0.7237,0.5498,0.0696,2026-06-29T17:07:40.228730,0.071870445344137,174597660.01019,15,19246.564767639342,174597.66001019,False,,0.4021,,,,,,,,,8.660954145437703,8.787186675492666,17.44814082093037,263.06859263454123,1.366834008097163,2.1761862348178194,-0.6565465587044583,0.01263,0.01235,0.0,1.9187,0.7207,2026-06-29T17:16:16.848358,2026-06-29T17:09:00.179774,-0.2899,RECOVERED,1,0.45,,True,,-0.0809,False,,,,2.0,1.0,UNMATCHED,False,,,0,,1.1359,0.7207,True,0.01331,0.01254,2026-06-29T17:31:28.529850,2026-06-29T17:16:30.149283,7.6833,1.4485,14.97,0.0,,,3.3108,,12.39,4.4444,12.39,4.4444,,,,,,,,,False,MOMENTUM,,,,,,4.3634,4.1205,3.6347,7.6833,4.7683,2026-06-29T17:13:17.773251,,2026-06-29T17:13:37.446855,,,,2026-06-29T17:18:24.973056,4.3634,2026-06-29T17:18:28.992401,4.0396,2026-06-29T17:18:29.996759,4.1205,2026-06-29T17:18:38.040050,4.0396,2026-06-29T17:18:38.040050,4.0396,2026-06-29T17:18:38.040050,4.0396,2026-06-29T17:19:14.241651,4.4444,0.874,trailing,6.12,0.6859,trailing,8.08,1.3762,trailing,8.98,4.74,trailing,9.71,0.6384,stretch,7.29,4.1205,stretch,13.26,4.1205,stretch,13.26,5.4161,stretch,28.51,5.0922,ema5_cross,28.56,5.0675,1.9187,1.3668,8.98,4.2015,9.96,5.4161,28.51,0.4765,5.82,0.7194,6.12,0.5575,6.39,1.4504923859460646,,False,,,,False,,,,,,,,,,,,,2026-06-29T17:07:29,2026-06-29T17:16:29.806689,RUNNER_TRAIL L1,TAKER_FALLBACK,TAKER,True,
