id,pair,source_filter,blocked_direction,flip_direction,entry_price,pnl_pct,peak_pct,trough_pct,exit_reason,is_paper,entry_at,exit_at,entry_cohort,entry_gap,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_adx_delta,entry_pos_di,entry_neg_di,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_atr_pct,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_range_position,entry_btc_adx,entry_btc_rsi,entry_btc_ema20_slope,entry_btc_1h_slope,entry_btc_dist_from_ema13_pct,entry_macro_trend,entry_btc_regime,entry_ema20_slope,entry_ema50_slope,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_pair_volume_24h_usd,entry_pair_rank,entry_quality_score,entry_btc_adx_prev,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev
135,BTCUSDT,SPIKE_REV_BTC,SHORT,LONG,61728.4,0.4215,0.6715,-0.0209,trail,True,2026-07-08T09:18:24.899685,2026-07-08T10:01:37.598098,,,,,,,,,,,,,,,,,,,,,,,BEARISH,BEAR_EXHAUSTED,,,,,,,,,,,,,,,
134,BTCUSDT,SPIKE_REV_BTC,LONG,SHORT,62304.9,0.384,0.634,-0.005,trail,True,2026-07-08T08:47:26.790177,2026-07-08T09:04:25.957625,,,,,,,,,,,,,,,,,,,,,,,BEARISH,STRONG_BEAR,,,,,,,,,,,,,,,
133,BTCUSDT,SPIKE_REV_BTC,SHORT,LONG,62547.5,-0.7,0.0566,-0.7195,sl,True,2026-07-08T08:17:11.199761,2026-07-08T08:27:14.020011,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,CHOPPY_FLAT,,,,,,,,,,,,,,,
128,NEARUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,1.915,0.951,1.201,-0.0522,trail,True,2026-07-08T08:10:26.695987,2026-07-08T08:17:16.225612,,0.1223,58.0,47.43,20.3595,20.8851,-0.5256,23.620009929228264,17.99147824463795,0.0738,0.0532,0.2087,0.2092,0.3617,-0.3105,0.3365,84.0,21.9502,57.0,0.0512,-0.1912,0.0587,BULLISH,HEALTHY_BULL,0.0667,-0.2107,1.0431,0.7025,65.0,27.5,174441049.529,16,0,22.7096,61.3,54.7,0.1437,41.8,42.5
127,1000PEPEUSDT,PASS:LONG_UNMATCHED_ONLY,LONG,LONG,0.0026257,-0.7,0.198,-0.7236,sl,True,2026-07-08T07:57:11.068514,2026-07-08T08:16:52.953553,C2+W6,0.3135,64.84,60.75,22.2246,22.0684,0.1562,26.214594267844447,15.98037773788866,0.0975,0.1254,0.1482,0.1485,0.2914,0.0674,0.3718,97.1,22.785,59.6,0.0657,-0.2471,0.1268,BULLISH,HEALTHY_BULL,0.1287,0.0304,0.7923,0.7557,60.0,27.5,143997119.9802156,18,5,23.1151,62.3,60.2,0.136,42.2,36.4
129,1000PEPEUSDT,LONG_UNMATCHED_ONLY,LONG,SHORT,0.0026257,0.7631,1.0131,-0.198,trail,True,2026-07-08T07:57:11.068491,2026-07-08T08:17:21.255591,C2+W6,0.3135,64.84,60.75,22.2246,22.0684,0.1562,26.214594267844447,15.98037773788866,0.0975,0.1254,0.1482,0.1485,0.2914,0.0674,0.3718,97.1,22.785,59.6,0.0657,-0.2471,0.1268,BULLISH,HEALTHY_BULL,0.1287,0.0304,0.7923,0.7557,60.0,27.5,143997119.9802156,18,5,23.1151,62.3,60.2,0.136,42.2,36.4
122,RIFUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,0.13652,-0.7,0.1538,-0.8204,sl,True,2026-07-08T07:56:10.220722,2026-07-08T07:57:41.470011,,0.1717,59.34,55.34,15.3922,16.3696,-0.9774,21.74391113281275,22.944553494158093,0.0927,0.0446,0.3916,0.3931,0.6667,0.3036,0.531,87.7,22.785,60.4,0.067,-0.245,0.1384,BULLISH,HEALTHY_BULL,0.1283,0.1717,0.675,1.0053,60.0,27.5,47622352.82867,43,1,23.1151,62.3,60.2,0.1349,42.5,36.4
131,DOGEUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,0.07241,0.9515,1.2015,-0.1381,trail,True,2026-07-08T07:55:09.270521,2026-07-08T08:18:17.674482,,0.1405,57.67,59.62,29.484,30.9483,-1.4643,25.74230876130627,20.872021388798352,0.0647,0.0628,0.0757,0.0758,0.25,-0.2396,0.2034,76.9,23.2002,62.0,0.065,-0.2437,0.1877,BULLISH,HEALTHY_BULL,0.0755,-0.171,0.8206,0.6138,62.5,20.0,292503924.42532,11,1,23.5653,60.6,55.9,0.1428,42.7,36.4
132,LINKUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,7.704,0.8923,1.1423,-0.1947,trail,True,2026-07-08T07:35:47.435255,2026-07-08T08:18:20.690369,,0.1503,62.31,58.65,24.4168,25.1031,-0.6862,29.08085334624172,21.277285065911038,0.0777,0.0599,0.1291,0.1292,0.1945,-0.1852,0.267,93.7,26.2319,62.3,0.0758,-0.2487,0.2002,BULLISH,HEALTHY_BULL,0.0858,-0.1496,0.907,0.5932,72.5,17.5,77998977.094,29,0,26.9767,64.3,46.1,0.141,41.9,36.4
130,HYPEUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,68.278,0.5702,0.8202,-0.2153,trail,True,2026-07-08T07:35:47.382765,2026-07-08T08:18:16.667030,,0.1127,58.23,50.52,15.3248,15.9084,-0.5836,24.201241524968285,20.724839077958777,0.0639,0.0411,0.1514,0.1516,0.2634,-0.1179,0.2568,82.1,26.2319,62.3,0.0758,-0.2487,0.2002,BULLISH,HEALTHY_BULL,0.0622,-0.0914,0.907,0.7423,72.5,17.5,685427502.20595,8,0,26.9767,64.3,46.1,0.141,41.9,36.4
