id,pair,source_filter,blocked_direction,flip_direction,entry_price,pnl_pct,peak_pct,trough_pct,exit_reason,is_paper,entry_at,exit_at,entry_cohort,entry_gap,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_adx_delta,entry_pos_di,entry_neg_di,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_atr_pct,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_range_position,entry_btc_adx,entry_btc_rsi,entry_btc_ema20_slope,entry_btc_1h_slope,entry_btc_dist_from_ema13_pct,entry_btc_trend_gap_pct,entry_macro_trend,entry_btc_regime,entry_ema20_slope,entry_ema50_slope,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_pair_volume_24h_usd,entry_pair_rank,entry_quality_score,entry_btc_adx_prev,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev
150,VANRYUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.006254,-0.7,0.2398,-0.7355,sl,True,2026-07-11T00:15:41.680417,2026-07-11T00:23:59.721608,,0.131,56.29,49.04,20.197,21.3813,-1.1843,18.748835899097344,17.031034138487527,0.1404,0.0579,0.3174,0.3184,0.7214,-0.6973,0.5174,76.6,18.6738,42.1,-0.0199,0.0808,-0.0796,0.0846,NEUTRAL,CHOPPY_FLAT,0.1172,-0.5054,1.0764,1.0555,17.5,67.5,54653079.299019,36,2,19.1355,42.6,53.2,0.0766,54.6,57.9
149,EVAAUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,2.4809,0.2942,0.5442,0.0,trail,True,2026-07-10T23:56:17.195191,2026-07-10T23:56:42.800388,,0.5133,57.36,54.19,25.2352,26.8714,-1.6362,23.654065974094987,25.607190782691607,0.1936,0.0768,0.9163,0.9248,1.7597,2.8234,1.1979,75.9,21.489,55.6,0.0077,0.0791,0.0026,0.1377,NEUTRAL,CHOPPY_FLAT,0.3478,1.7713,0.428,0.7175,20.0,47.5,402709600.65839,9,2,22.6989,54.6,67.8,0.0769,57.5,56.9
148,DEXEUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,35.16,0.4042,0.6542,-0.3413,trail,True,2026-07-10T23:48:09.245213,2026-07-10T23:55:15.530760,,0.21,55.46,51.74,21.7238,21.1642,0.5597,20.807264609448612,11.452235074671446,0.0888,0.0799,0.0966,0.0967,0.5557,0.0373,0.2656,82.0,24.6071,58.4,0.0344,0.0812,0.0167,0.1502,BULLISH,HEALTHY_BULL,0.091,-0.0211,0.5398,0.9223,30.0,50.0,158684890.85089,15,1,25.0185,67.3,60.1,0.0809,57.9,56.9
147,XLMUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.18974,-0.4691,0.4269,-0.5428,horizon,True,2026-07-10T17:26:34.943836,2026-07-10T18:11:35.487810,,0.2575,59.81,58.8,19.5001,19.3056,0.1945,26.550151238487658,16.964643418069763,0.0877,0.1021,0.0873,0.0874,0.2925,-0.1103,0.2775,83.6,18.6318,48.5,-0.032,0.0746,0.0009,-0.1357,BEARISH,HEALTHY_BEAR,0.124,-0.0804,0.7697,1.0245,41.0,38.5,69301636.83121,29,2,19.0418,45.7,57.6,0.1707,54.0,57.9
144,TLMUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.001984,0.506,0.756,-0.2016,trail,True,2026-07-10T17:25:34.232069,2026-07-10T17:33:14.340241,,0.1251,55.87,47.52,18.6655,18.9109,-0.2455,23.78468192097441,17.41005002951301,0.1744,0.0714,0.4621,0.4642,0.8675,-1.1184,0.7113,76.7,18.9189,47.2,-0.0347,0.0731,-0.0232,-0.1386,BEARISH,HEALTHY_BEAR,0.1275,-0.7802,0.7234,0.4739,41.0,38.5,28547227.0687,48,1,19.0418,45.7,57.6,0.1679,53.7,57.9
142,TIAUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,0.4054,0.6873,0.9373,-0.0247,trail,True,2026-07-10T17:05:18.808496,2026-07-10T17:24:41.861177,,0.156,55.2,53.74,21.3948,21.9466,-0.5518,18.607978611350518,13.974359095243882,0.0632,0.066,0.0898,0.0899,0.4047,-0.3047,0.2192,86.0,20.512,58.0,0.039,0.0956,0.1592,-0.1172,BULLISH,HEALTHY_BULL,0.0817,-0.1828,1.1219,0.6649,69.2,20.5,29583414.9831,44,0,21.4718,57.6,45.9,0.1803,58.1,57.9
146,TAOUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,212.32,0.4898,0.5275,-0.1507,horizon,True,2026-07-10T17:02:14.669148,2026-07-10T17:47:15.158373,,0.1293,58.51,55.91,16.2206,17.1792,-0.9586,19.277627275359592,17.88106668933703,0.0609,0.0536,0.1244,0.1245,0.2936,-0.1538,0.2392,90.2,20.512,57.8,0.0386,0.0952,0.1556,-0.1176,BULLISH,HEALTHY_BULL,0.0693,-0.1105,0.8453,0.7457,64.1,23.1,73868033.81,26,0,21.4718,57.6,45.9,0.1768,58.0,57.9
140,SENTUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,0.01488,-0.7,0.0672,-0.7392,sl,True,2026-07-10T16:59:30.665317,2026-07-10T17:13:29.790177,,0.3377,62.95,60.01,23.5267,23.8632,-0.3365,26.84174057151452,18.212688427689265,0.1596,0.1376,0.3013,0.3022,0.4596,-0.1791,0.6006,85.7,21.4862,60.1,0.0215,0.0723,0.2333,-0.1341,BULLISH,HEALTHY_BULL,0.1885,-0.1594,1.0223,0.8698,64.1,25.6,73957307.45622,26,2,22.5201,52.2,44.0,0.1867,58.5,55.7
145,ADAUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.167,0.2395,0.3593,-0.2395,horizon,True,2026-07-10T16:50:24.184298,2026-07-10T17:35:24.994296,,0.1856,61.16,57.99,19.2985,19.6094,-0.3109,20.109849815143594,14.785725910877392,0.067,0.0782,0.1254,0.1255,0.3002,-0.1069,0.2709,93.8,23.9545,45.1,-0.0483,0.044,-0.0339,-0.1903,BEARISH,HEALTHY_BEAR,0.0897,-0.057,0.8702,0.543,48.7,38.5,135135498.5096,18,0,23.3253,41.7,51.2,0.1725,53.9,55.7
139,SENTUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.01483,-0.7,0.0674,-0.7417,sl,True,2026-07-10T16:49:23.640801,2026-07-10T17:03:09.942542,,0.1242,58.09,44.15,24.2198,25.9033,-1.6834,22.447080085378264,21.4227084924729,0.0974,0.0576,0.3206,0.3216,0.4547,-0.3566,0.4772,92.6,23.9545,44.8,-0.0487,0.0435,-0.038,-0.1908,BEARISH,HEALTHY_BEAR,0.0465,-0.2806,1.1527,0.8442,33.3,48.7,77214905.07465,25,0,23.3253,41.7,51.2,0.1725,53.9,55.7
