id,pair,source_filter,blocked_direction,flip_direction,entry_price,pnl_pct,peak_pct,trough_pct,exit_reason,is_paper,entry_at,exit_at,entry_cohort,entry_gap,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_adx_delta,entry_pos_di,entry_neg_di,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_atr_pct,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_range_position,entry_btc_adx,entry_btc_rsi,entry_btc_ema20_slope,entry_btc_1h_slope,entry_btc_dist_from_ema13_pct,entry_btc_trend_gap_pct,entry_macro_trend,entry_btc_regime,entry_ema20_slope,entry_ema50_slope,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_pair_volume_24h_usd,entry_pair_rank,entry_quality_score,entry_btc_adx_prev,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev
815,INJUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,4.804,-0.4371,0.0208,-0.6869,horizon,True,2026-07-30T08:40:08.075434,2026-07-30T09:25:08.503752,,0.2949,58.98,57.33,23.6833,24.1441,-0.4608,27.035608480879226,18.907046345206115,0.0142,0.0882,0.084,0.084,0.4674,1.0341,0.1865,71.4,18.3044,69.4,0.0902,0.018,0.1971,0.081,BULLISH,HEALTHY_BULL,0.0982,0.7525,,,,,,,3,16.7995,73.7,46.6,0.1294,54.7,49.1
813,EULUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,1.4611,1.3994,1.6494,-0.5065,trail,True,2026-07-30T08:40:08.022783,2026-07-30T08:45:39.166034,,0.3957,52.74,60.13,29.5521,29.6186,-0.0664,27.82410778049303,15.418528461936637,0.0823,0.138,0.1806,-0.1802,0.9488,0.0987,0.0398,43.8,18.3044,69.4,0.0902,0.018,0.1971,0.081,BULLISH,HEALTHY_BULL,0.2008,0.0803,,,,,,,2,16.7995,73.7,46.6,0.1294,54.7,49.1
814,UNIUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,4.02,0.1244,0.4229,-0.0995,horizon,True,2026-07-30T08:40:08.005429,2026-07-30T09:25:08.501278,,0.575,55.82,72.48,24.738,24.6877,0.0503,28.227108766774876,16.79495680070768,0.137,0.2285,0.2852,-0.2844,0.4843,0.4558,0.0804,56.2,18.3044,69.4,0.0902,0.018,0.1971,0.081,BULLISH,HEALTHY_BULL,0.2477,0.2693,,,,,,,3,16.7995,73.7,46.6,0.1294,54.7,49.1
808,PUMPUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,0.001891,0.2259,0.4759,-0.1058,trail,True,2026-07-30T02:40:32.993460,2026-07-30T02:54:15.204743,,0.2345,57.9,54.19,26.2667,25.9566,0.3101,25.07603865523778,13.414319761506457,0.0149,0.0744,0.0494,0.0494,0.3876,0.6153,0.1388,61.9,34.8052,61.1,0.0674,0.023,0.0556,0.3001,BULLISH,STRONG_BULL,0.0774,0.4839,,,,,,,1,35.3781,60.3,71.1,0.1567,53.7,53.9
812,1000PEPEUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,0.0027534,0.0872,0.276,-0.2361,horizon,True,2026-07-30T02:40:32.948427,2026-07-30T03:25:33.795017,,0.244,59.83,52.89,29.6836,30.4691,-0.7855,26.68505900194999,17.986518221415675,0.0174,0.0842,0.0445,0.0445,0.2864,0.5321,0.1462,75.1,34.8052,61.1,0.0674,0.023,0.0556,0.3001,BULLISH,STRONG_BULL,0.0692,0.4218,,,,,,,1,35.3781,60.3,71.1,0.1567,53.7,53.9
810,ZILUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,0.002594,-0.7,0.2699,-0.7325,sl,True,2026-07-30T02:34:58.718060,2026-07-30T02:56:21.527421,,0.1648,55.56,54.42,17.8862,18.4606,-0.5745,23.373282988075417,18.962650530128208,0.0102,0.0388,0.2053,0.2057,0.6191,0.6499,0.2549,63.2,35.4656,60.9,0.0893,0.0222,0.0544,0.3025,BULLISH,STRONG_BULL,0.0909,0.4677,,,,,,,1,35.5222,72.6,69.5,0.163,53.6,53.9
807,1000SHIBUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,0.004679,0.7545,1.0045,-0.0641,trail,True,2026-07-30T02:34:58.668932,2026-07-30T02:52:57.372492,,0.2816,57.58,64.08,31.0881,29.2694,1.8187,28.118017889561735,8.226287567728189,0.0575,0.1047,0.063,-0.063,0.3024,0.3501,0.0992,69.2,35.4656,60.9,0.0893,0.0222,0.0544,0.3025,BULLISH,STRONG_BULL,0.1171,0.2219,,,,,,,2,35.5222,72.6,69.5,0.163,53.6,53.9
811,NEARUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,1.618,0.2444,0.4944,-0.2472,trail,True,2026-07-30T02:34:58.653693,2026-07-30T02:59:52.825276,,0.1601,52.57,62.06,24.1027,23.7933,0.3094,21.753836448243113,12.203442938048754,0.0245,0.0614,0.0983,-0.0982,0.3164,0.325,-0.0123,60.9,35.4656,60.9,0.0893,0.0222,0.0544,0.3025,BULLISH,STRONG_BULL,0.0687,0.2139,,,,,,,1,35.5222,72.6,69.5,0.163,53.6,53.9
809,AAVEUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,96.12,0.3222,0.5722,-0.2081,trail,True,2026-07-30T02:34:58.643786,2026-07-30T02:54:16.215628,,0.3599,53.88,67.04,29.2556,30.3408,-1.0852,27.269879041077,20.09518978815374,0.0415,0.1526,0.2139,-0.2134,0.389,0.2039,-0.0197,77.6,35.4656,60.9,0.0893,0.0222,0.0544,0.3025,BULLISH,STRONG_BULL,0.1374,0.2427,,,,,,,2,35.5222,72.6,69.5,0.163,53.6,53.9
802,FETUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,0.1394,-0.7,0.0717,-0.7174,sl,True,2026-07-30T02:03:20.647826,2026-07-30T02:15:57.208995,,0.3074,57.25,66.3,26.0753,26.5396,-0.4643,25.682190602672723,17.10763835160115,0.0301,0.1123,0.0591,-0.0591,0.3452,0.6369,0.0833,73.9,27.8193,69.6,0.1512,0.0241,0.3388,0.1953,BULLISH,HEALTHY_BULL,0.1008,0.4577,,,,,,,2,26.2215,69.2,58.2,0.1731,53.8,53.9
